word,rating
admiration,4
robbery,6
peach,1
property,5
liar,6
figure,2
pie,1
lily,1
marriage,5
banana,1
tongue,2
steam,1
form,2
visitor,2
impossibility,2
situation,2
interaction,3
hog,1
vapor,1
acquisition,3
brawl,5
establishment,3
instructor,3
bird,1
opera,2
logic,3
fate,3
grammar,2
laughter,1
ignition,1
location,1
magnitude,1
soul,5
empty,1
rabbit,1
stimulus,1
rule,7
advice,4
queen,3
girl,1
decision,4
safety,5
hatred,5
confidence,2
boy,1
rent,3
crisis,4
extent,1
orchid,1
stranger,2
lock,2
betrayal,6
photo,1
macaroni,1
majority,3
electricity,1
fat,2
inn,1
road,1
capacity,2
view,2
personality,2
dove,2
brute,4
ambulance,3
pig,1
boundary,4
idea,2
baby,3
weather,1
vocabulary,1
flavor,1
toilet,1
show,1
murder,7
teacher,4
genuine,2
rainbow,1
foundation,2
fifteen,1
pond,1
acre,1
intention,4
skull,2
assistance,4
adversity,2
evidence,3
bag,1
square,1
menu,1
individual,2
punishment,7
reality,2
production,1
witness,4
dimension,1
advantage,2
hierarchy,4
crocodile,1
volume,1
degree,2
damage,4
rhyme,1
idiom,1
bottle,1
fisherman,1
mustard,1
behavior,7
body,2
faith,5
winter,1
purpose,4
determination,3
cloth,1
meeting,2
dagger,5
frustration,2
fog,1
philosophy,4
standard,5
eyeball,1
annoyance,2
democracy,5
cranberry,1
sword,5
loan,3
chicken,1
tide,1
law,7
cup,1
sofa,1
originality,1
weight,1
roof,1
candidate,3
job,3
subtraction,1
robin,1
necklace,1
ballot,5
memory,1
station,1
chair,1
refrigerator,1
result,2
thief,6
pimple,1
skunk,1
reputation,4
accident,2
method,2
parish,5
eight,1
justification,5
animal,1
sole,1
play,1
tendency,2
chipmunk,1
shirt,1
reinforcement,3
corporation,3
pawn,2
volt,1
money,4
cognition,2
talent,1
alligator,1
republic,4
orchestra,1
dad,3
door,1
beverage,1
suit,2
grief,3
misery,3
margin,1
response,2
site,1
ball,1
car,1
mile,1
season,1
disagreement,4
ability,1
tradition,4
speech,3
recital,1
requirement,6
theory,1
opinion,2
sadness,2
security,5
month,1
lake,1
band,1
stick,1
retention,1
revenge,6
atom,1
permission,6
frog,1
sneeze,1
ownership,5
trust,6
reduction,1
cow,1
character,5
accomplishment,2
policeman,6
increase,1
sandal,1
independence,4
window,1
wood,1
duel,5
christmas,3
bridge,1
deduction,2
territory,3
comprehension,1
equality,6
irrigation,1
bolt,1
moment,1
beast,3
bell,1
division,2
information,1
palace,2
crime,7
chlorine,1
river,1
paradigm,2
separation,2
state,3
cake,1
potato,1
lemon,1
mercy,6
suggestion,2
writing,1
bedroom,1
literature,2
heap,1
city,1
duration,1
fight,5
time,1
gun,5
smell,1
appeal,3
clean,2
perception,1
diet,1
stupidity,2
envy,4
owner,4
sky,1
ceremony,3
sow,1
helplessness,3
article,1
necessity,2
key,1
length,1
drug,4
belief,5
lamp,1
gorilla,1
onion,1
intelligence,1
bubble,1
effort,2
produce,1
rocket,1
lunch,1
topic,1
uncertainty,2
twig,1
puppy,1
ring,2
germ,1
file,1
conscience,7
economy,3
past,2
street,1
lettuce,1
translation,1
spirit,5
regret,4
story,1
mattress,1
preparation,2
traveler,1
gesture,2
comparison,1
newspaper,1
mileage,1
object,1
mosquito,1
heart,4
identity,3
nerve,1
consistency,2
sight,1
candy,1
radio,1
stride,1
protection,5
fallacy,4
linen,1
instinct,2
expression,2
raspberry,1
pretense,5
victim,4
father,3
opponent,2
beaver,1
lamb,1
arrangement,2
desk,1
ally,3
danger,4
message,1
preference,1
appointment,1
camera,1
music,1
brevity,1
destiny,3
propeller,1
anxiety,2
wolf,1
microscope,1
lobster,1
significance,2
improvement,2
occasion,1
freedom,6
kitten,1
shrimp,1
water,1
contempt,5
convergence,1
uniform,3
unity,4
hotel,1
peacemaker,6
wish,2
grandmother,3
possibility,1
episode,1
duty,7
horse,1
wave,1
metaphor,1
institute,2
contract,6
photograph,1
deputy,5
eagle,1
boulder,1
hurt,4
description,1
hurricane,2
reflex,1
flask,1
thorn,1
elephant,1
skin,1
doctor,3
specimen,1
professor,3
selection,1
bracelet,1
member,2
size,1
verse,1
core,1
friendship,4
honesty,7
proportion,1
correspondent,1
dozen,1
truck,1
fireplace,1
bank,3
autumn,1
iron,1
guilt,7
self,3
mansion,1
salad,1
nation,4
coupon,1
distribution,1
principle,7
mud,1
coffee,1
scholar,2
boredom,1
amount,1
cocktail,1
knife,4
injury,3
attitude,2
jewel,1
miracle,4
riddle,1
scene,1
puddle,1
mastery,2
skill,1
odor,1
truth,7
edge,1
woman,1
bullet,4
conclusion,1
name,1
abundance,1
entree,1
food,1
ambition,2
charity,6
sugar,1
fantasy,1
integrity,7
diversity,4
stapler,1
magic,1
announcement,1
wisdom,5
calculation,1
butter,1
ditch,1
coincidence,1
prop,1
tragedy,3
latch,1
artist,1
charter,4
diamond,1
drum,1
origin,1
material,1
crown,2
mold,1
mother,3
lizard,1
alphabet,1
apology,6
hat,1
cat,1
paragraph,1
instance,1
border,3
neighborhood,2
outfit,1
tallness,1
fact,2
introduction,1
anger,4
beetle,1
wallet,1
opposition,3
claim,2
complication,1
empire,3
pill,1
second,1
costume,1
relief,2
effect,1
poetry,1
construction,1
measure,2
competence,2
infection,2
emergence,1
handkerchief,1
hazard,3
hospital,2
duck,1
silence,2
darkness,1
master,3
cliff,1
corn,1
resort,1
error,3
grasshopper,1
lip,1
variety,1
incident,1
incentive,2
brain,1
number,1
summer,1
tool,1
supply,1
risk,3
