word,properties,codes,frequencies
ability,"['practice', 'limitations', 'unlock', 'confidence']","['sensorimotor feature', 'other abstract concept', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
accusation,"['finger pointing', 'courtroom', 'doubt', 'betrayal']","['sensorimotor feature', 'association', 'internal state and emotion', 'social constellation']","[0.25, 0.25, 0.25, 0.25]"
achievement,"['medal', 'effort', 'goal', 'celebration']","['association', 'internal state and emotion', 'other abstract concept', 'social constellation']","[0.0, 0.25, 0.25, 0.5]"
activity,"['sweat', 'schedule', 'children', 'energy']","['sensorimotor feature', 'association', 'social constellation', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
addiction,"['withdrawal', 'relapse', 'dopamine', 'isolation']","['internal state and emotion', 'internal state and emotion', 'sensorimotor feature', 'social constellation']","[0.25, 0.5, 0.25, 0.0]"
admiration,"['trophy', 'applause', 'role model', 'breathless']","['association', 'social constellation', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.5, 0.25]"
advantage,"['competition', 'leverage', 'head start', 'exploit']","['social constellation', 'association', 'association', 'social constellation']","[0.0, 0.0, 0.5, 0.5]"
adventure,"['mountains', 'unknown', 'excitement', 'risk']","['sensorimotor feature', 'other abstract concept', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
advice,"['mentor', 'hesitation', 'unsolicited', 'crossroads']","['social constellation', 'internal state and emotion', 'other abstract concept', 'association']","[0.0, 0.25, 0.25, 0.5]"
agony,"['twisted', 'silence', 'hospital', 'drowning']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
agreement,"['handshake', 'contract', 'compromise', 'nod']","['sensorimotor feature', 'other abstract concept', 'social constellation', 'sensorimotor feature']","[0.5, 0.0, 0.25, 0.25]"
amazement,"['wide eyes', 'jaw drop', 'frozen moment', 'discovery']","['sensorimotor feature', 'sensorimotor feature', 'association', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
ambition,"['climbing', 'sleepless', 'sacrifice', 'climb']","['sensorimotor feature', 'internal state and emotion', 'association', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
ambush,"['jungle', 'soldiers', 'trap', 'surprise']","['association', 'social constellation', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
amusement,"['carousel', 'laughter', 'distraction', 'tickets']","['sensorimotor feature', 'internal state and emotion', 'internal state and emotion', 'association']","[0.25, 0.5, 0.0, 0.25]"
anger,"['fist', 'red', 'storm', 'betrayal']","['sensorimotor feature', 'sensorimotor feature', 'association', 'social constellation']","[0.5, 0.0, 0.25, 0.25]"
anxiety,"['racing heart', 'blank mind', 'perfectionism', 'waiting room']","['sensorimotor feature', 'internal state and emotion', 'internal state and emotion', 'association']","[0.25, 0.5, 0.0, 0.25]"
apology,"['mistake', 'forgiveness', 'sincere', 'repair']","['association', 'internal state and emotion', 'internal state and emotion', 'association']","[0.0, 0.5, 0.0, 0.5]"
appearance,"['mirror', 'first impression', 'makeup', 'deceptive']","['sensorimotor feature', 'association', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
appetite,"['growling stomach', 'dessert', 'travel', 'satisfaction']","['sensorimotor feature', 'association', 'association', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
application,"['form', 'smartphone', 'job interview', 'waiting']","['other abstract concept', 'association', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
aptitude,"['test', 'musician', 'natural', 'struggle']","['association', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
argument,"['raised voices', 'kitchen table', 'compromise', 'logical fallacy']","['sensorimotor feature', 'association', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
art,"['canvas', 'museum', 'expression', 'paint']","['sensorimotor feature', 'association', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
aspect,"['angle', 'compromise', 'examine', 'facet']","['sensorimotor feature', 'other abstract concept', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
assassination,"['conspiracy', 'history', 'politics', 'violence']","['association', 'association', 'other abstract concept', 'sensorimotor feature']","[0.25, 0.0, 0.0, 0.75]"
assumption,"['quicksand', 'detective', 'foundation', 'gamble']","['association', 'social constellation', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.25, 0.5]"
astonishment,"['jaw dropping', 'wide eyes', 'frozen moment', 'speechless']","['sensorimotor feature', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
attack,"['predator', 'fortress', 'heart', 'sudden']","['association', 'association', 'association', 'other abstract concept']","[0.0, 0.0, 0.0, 1.0]"
attention,"['spotlight', 'distraction', 'reward', 'eyes']","['association', 'internal state and emotion', 'association', 'sensorimotor feature']","[0.25, 0.25, 0.0, 0.5]"
attraction,"['magnet', 'gravity', 'amusement park', 'chemistry']","['sensorimotor feature', 'sensorimotor feature', 'association', 'association']","[0.5, 0.0, 0.0, 0.5]"
beauty,"['mirror', 'rose', 'peacock', 'sunset']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
being,"['breathing', 'existence', 'human', 'present']","['sensorimotor feature', 'other abstract concept', 'social constellation', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
betrayal,"['knife in the back', 'trust broken', 'friend becomes enemy', 'silence after']","['association', 'internal state and emotion', 'social constellation', 'association']","[0.0, 0.25, 0.25, 0.5]"
blackmail,"['envelope', 'secrets', 'threat', 'money']","['association', 'association', 'internal state and emotion', 'association']","[0.0, 0.25, 0.0, 0.75]"
boredom,"['clock', 'scrolling', 'yawn', 'waiting']","['association', 'sensorimotor feature', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
boycott,"['protest', 'grapes', 'business loss', 'unity']","['sensorimotor feature', 'association', 'association', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
bravery,"['fire', 'soldier', 'trembling hands', 'mountain climb']","['association', 'social constellation', 'internal state and emotion', 'sensorimotor feature']","[0.25, 0.25, 0.25, 0.25]"
career,"['ladder', 'resume', 'promotion', 'cubicle']","['association', 'sensorimotor feature', 'other abstract concept', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
carefulness,"['checking twice', 'fragile objects', 'slow movements', 'fear of mistakes']","['sensorimotor feature', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
catastrophe,"['earthquake', 'drowning', 'helplessness', 'rubble']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.5, 0.25, 0.0, 0.25]"
caution,"['yellow tape', 'slippery floor', 'hesitation', 'accident']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.5, 0.25, 0.0, 0.25]"
challenge,"['mountain', 'strength', 'competition', 'growth']","['sensorimotor feature', 'internal state and emotion', 'social constellation', 'other abstract concept']","[0.25, 0.25, 0.25, 0.25]"
chaos,"['tornado', 'lost', 'screaming', 'scattered']","['sensorimotor feature', 'internal state and emotion', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.25, 0.0, 0.0]"
character,"['flaws', 'story', 'actor', 'morality']","['other abstract concept', 'association', 'social constellation', 'other abstract concept']","[0.0, 0.0, 0.25, 0.75]"
charm,"['spell', 'bracelet', 'smile', 'magic']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
comfort,"['blanket', 'sigh', 'couch', 'familiar']","['sensorimotor feature', 'internal state and emotion', 'association', 'association']","[0.25, 0.25, 0.0, 0.5]"
commitment,"['wedding ring', 'alarm clock', 'breaking promises', 'chains']","['association', 'association', 'other abstract concept', 'association']","[0.0, 0.0, 0.0, 1.0]"
comparison,"['scale', 'choice', 'mirror', 'gap']","['sensorimotor feature', 'internal state and emotion', 'association', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
