word,rating
suit,4
performance,5
cognition,3
hat,2
disappointment,6
city,4
independence,7
hotel,5
guilt,6
bubble,4
marriage,5
neighborhood,3
adversity,6
crown,5
fisherman,2
peach,7
lion,4
vapor,3
fantasy,6
advice,5
metaphor,4
blade,6
arc,3
lamp,2
square,4
accident,6
attitude,5
material,3
outcome,4
error,6
puddle,2
comparison,5
regulation,4
cowardice,6
engagement,5
site,3
professor,4
mosquito,2
mold,3
irony,5
contempt,6
purpose,7
knife,4
opportunity,5
curfew,2
despair,6
anxiety,5
cloth,3
truck,4
stride,6
three,2
mind,5
sword,4
spider,3
baby,7
inn,5
bullet,6
trumpet,4
costume,5
leopard,3
diversity,7
river,4
duty,5
math,2
bell,3
ceiling,4
blood,6
landscape,5
photograph,7
consideration,6
chief,4
witness,5
insight,7
fear,6
bird,3
butter,4
equality,7
perception,5
availability,6
weather,4
hierarchy,3
toilet,2
principle,5
propeller,4
future,7
riddle,6
promotion,5
annoyance,6
advantage,7
spelling,3
key,4
typewriter,2
sight,5
occasion,6
gun,4
odor,3
ambulance,5
past,2
lane,4
decision,6
volt,3
band,5
ocean,7
sedative,4
rabbit,3
opposition,6
clean,5
boy,7
riot,4
nerve,6
confidence,7
frustration,5
specialist,4
recognition,6
kitten,7
pawn,3
selection,5
mile,4
genuine,7
beetle,2
job,5
towel,3
issue,6
dynasty,4
sandal,2
establishment,5
dagger,6
neck,4
stapler,3
fight,5
lightning,6
lunch,4
second,2
child,7
exclusion,5
description,6
art,4
suggestion,7
development,5
magnitude,6
institute,4
sow,3
alley,2
time,5
honesty,7
produce,4
arrangement,6
bag,3
intention,5
group,4
body,6
rebel,5
midnight,2
drama,4
distraction,6
bracelet,3
proportion,5
horse,4
crime,6
core,3
personality,7
park,5
disaster,6
cocktail,4
suspect,5
philosophy,7
literature,6
limitation,4
magic,5
conscience,7
teacher,6
destiny,5
murder,6
assistance,7
escape,4
affection,7
ability,6
cake,5
football,4
brain,7
psalm,3
fountain,6
imagination,7
state,5
majority,4
tool,3
incentive,6
stranger,5
interaction,7
enemy,6
stick,4
leader,5
competence,7
bedroom,3
cottage,4
pest,2
subtraction,5
lake,6
jacket,4
volume,4
spirit,6
orchestra,4
improvement,7
darkness,2
chicken,3
mileage,4
steam,5
thought,6
criticism,2
reality,4
segment,3
robin,5
student,6
dozen,4
diet,3
rent,5
charity,7
security,6
helplessness,2
sadness,1
sole,4
apple,6
file,3
proof,5
island,4
reflex,6
intelligence,7
accomplishment,7
lettuce,3
physics,5
vocabulary,6
saloon,4
disagreement,2
revenge,1
protection,6
visitor,5
alphabet,4
brevity,3
synagogue,2
wolf,5
shrimp,4
duration,6
lamb,3
circuit,5
cup,4
conclusion,6
want,7
preference,6
grammar,5
reinforcement,7
idiom,6
forest,4
worry,2
branch,3
orchid,5
oven,4
effect,6
salary,5
atom,6
variety,7
beauty,7
assumption,4
republic,5
object,6
belief,7
combination,6
guide,5
factory,4
real,7
effort,6
chocolate,5
flavor,7
composer,4
cucumber,3
hobby,5
empire,6
topic,4
pool,3
ally,5
mercy,7
scent,6
beaver,4
theory,5
drum,3
opinion,6
border,4
nose,5
safety,7
appeal,6
correspondent,4
number,5
tree,3
traveler,6
television,4
refrigerator,3
disgust,1
crisis,2
cause,6
lobster,4
shark,5
temperature,6
satisfaction,7
ditch,2
shame,1
flask,4
supply,5
menu,3
calculation,6
outfit,4
deputy,5
miracle,7
increase,6
lemon,3
attention,5
month,4
rule,6
snow,3
coupon,5
tension,2
phenomenon,6
truth,7
station,4
diamond,5
property,6
aspect,7
kite,4
construction,5
distribution,6
photo,3
paradigm,6
reduction,5
myth,4
punishment,2
brute,1
industry,5
necessity,6
faith,7
loan,4
income,5
summer,6
bed,3
ignorance,1
bolt,5
helmet,4
ceremony,6
paragraph,3
music,5
reason,7
heap,2
addition,6
adventurer,5
hazard,2
justification,7
rhyme,4
betrayal,1
chipmunk,3
sky,5
hurt,2
animal,4
corn,3
mud,1
candy,5
street,4
desk,3
rocket,6
gender,5
possibility,7
foundation,6
woman,4
entrance,5
attempt,6
idea,7
verse,4
grief,2
entree,3
wave,5
permission,6
fallacy,2
wisdom,7
expression,6
territory,5
abundance,7
infection,2
method,6
charter,5
volcano,4
deceit,1
grass,3
moment,5
ignition,6
thief,2
holiday,4
peace,7
introduction,6
fat,2
economy,5
roof,4
palace,6
scene,5
hurricane,2
camera,2
regret,6
boat,3
identification,4
preparation,5
starch,2
definition,3
evidence,4
distance,2
tennis,5
benefactor,6
nation,4
grandmother,7
resort,5
occupation,3
immortality,6
bridge,4
burner,2
claim,3
friendship,6
announcement,4
payment,5
form,2
mankind,6
soul,7
butterfly,5
boredom,2
youth,6
pillow,3
memory,5
weight,4
injury,2
legality,6
owner,5
uncle,4
member,3
hatred,6
category,2
shock,5
amplitude,3
march,4
frog,2
skill,6
uniform,3
design,5
anger,6
information,4
speech,3
tune,5
boundary,2
silence,4
girl,6
calendar,3
margin,2
temple,5
envy,6
snake,4
jerk,2
clothing,3
shape,5
wallet,4
ballot,2
fog,3
talent,6
underworld,5
originality,7
sneeze,2
peacemaker,6
dilemma,5
convergence,4
heresy,6
retention,3
impossibility,2
route,4
chlorine,3
damage,6
lizard,2
ball,5
drug,4
explanation,6
dove,7
context,5
church,4
trust,6
vision,7
sugar,5
pile,2
law,6
salad,3
skunk,4
danger,6
manner,5
laundry,2
character,7
accumulation,4
identity,6
misery,2
pimple,3
tallness,5
requirement,4
jewel,6
arrow,5
obstruction,2
electricity,4
mother,7
university,6
unit,5
apology,4
opponent,3
significance,7
wish,6
line,2
situation,5
fact,4
pill,3
autumn,6
play,5
crocodile,2
impairment,6
parish,4
message,5
gorilla,3
tendency,6
wage,4
complication,5
sister,7
comprehension,6
inch,2
itch,3
car,5
willingness,6
radio,4
integrity,7
money,5
smell,3
pond,2
grasshopper,4
hospital,6
unity,7
christmas,5
reputation,6
coffee,4
love,7
admiration,7
acre,2
banana,3
clearance,4
artist,6
ring,5
cow,2
self,7
debt,4
lip,3
thing,5
conference,6
iron,4
thorn,2
exception,5
tragedy,6
season,4
door,3
specimen,5
instructor,6
figure,4
location,5
prediction,7
replacement,6
pretense,4
freedom,7
macaroni,2
water,5
master,6
pigeon,3
event,4
presence,7
mattress,5
responsibility,6
bandit,2
ownership,4
doctor,5
stupidity,6
squeak,3
denial,2
show,5
loafer,4
stimulus,6
origin,5
interruption,3
risk,4
amount,2
handkerchief,5
tomato,3
instinct,6
importance,7
fifteen,2
bank,4
gesture,5
dad,7
cliff,3
tradition,6
acquisition,4
mastery,6
response,5
pie,7
length,4
item,3
dimension,5
sanctuary,7
fabric,4
dentist,2
tax,1
raspberry,7
winter,4
meeting,5
division,3
corporation,2
example,6
story,7
uncertainty,5
bottle,4
caterpillar,3
name,6
heart,7
relief,7
onion,4
kindness,7
duel,5
brawl,6
hope,7
capacity,6
justice,7
interior,5
behavior,4
laughter,7
victim,2
liar,1
necklace,6
edge,5
pyramid,4
alligator,3
tide,5
pig,2
lisp,4
brother,6
robbery,1
record,5
size,4
knowledge,7
consequence,6
empty,2
eyeball,4
contract,5
newspaper,3
measure,6
rainbow,7
chair,4
latch,5
view,6
window,7
incident,4
tongue,5
coffin,2
ankle,4
skull,3
cranberry,7
translation,6
result,5
zoo,4
ambition,7
fireplace,6
microscope,5
boulder,4
production,6
leadership,7
difference,5
mystery,6
malice,1
puppy,7
sofa,4
value,6
democracy,7
road,3
standard,5
missile,2
elephant,4
waste,1
atrocity,1
recital,6
fate,5
emergence,7
hog,2
corpse,1
eagle,6
mansion,7
germ,2
writing,5
candidate,6
shortness,4
nurse,7
poetry,6
coincidence,5
moral,7
lily,6
quality,7
father,6
cat,4
lens,5
instance,6
poll,3
bet,4
moonlight,7
logic,6
guess,5
appointment,4
determination,7
scholar,6
mustard,4
separation,5
extent,6
episode,5
eight,3
article,4
circumstance,6
prop,5
opera,7
potato,4
lock,3
assault,1
beast,2
medicine,6
skin,4
tip,5
mountain,7
irrigation,4
donor,6
queen,7
wood,5
awareness,7
linen,4
deduction,6
degree,5
shirt,3
chance,4
food,6
beverage,5
lesson,7
duck,2
twig,4
individual,6
consistency,5
policeman,4
