word,properties,codes,frequencies
ability,"['wings', 'piano', 'running', 'puzzle']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
accusation,"['finger', 'gavel', 'silence', 'eyewitness']","['sensorimotor feature', 'association', 'sensorimotor feature', 'social constellation']","[0.5, 0.0, 0.25, 0.25]"
achievement,"['trophy', 'mountain', 'sweat', 'diploma']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
activity,"['sneakers', 'playground', 'sweat', 'checklist']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
addiction,"['needle', 'smartphone', 'shackles', 'dopamine']","['sensorimotor feature', 'association', 'association', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
admiration,"['applause', 'pedestal', 'mentor', 'portrait']","['association', 'association', 'social constellation', 'association']","[0.0, 0.0, 0.25, 0.75]"
advantage,"['tennis', 'ladder', 'binoculars', 'stopwatch']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
adventure,"['mountain', 'compass', 'backpack', 'map']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
advice,"['mentor', 'crossroads', 'ear', 'notebook']","['social constellation', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.25, 0.5]"
agony,"['hospital', 'scream', 'clock', 'thorns']","['association', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
agreement,"['handshake', 'pen', 'nod', 'table']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
amazement,"['fireworks', 'jaw', 'magic', 'telescope']","['association', 'sensorimotor feature', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
ambition,"['ladder', 'mountain', 'coffee', 'trophy']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
ambush,"['jungle', 'camouflage', 'silence', 'shadows']","['association', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
amusement,"['rollercoaster', 'popcorn', 'smirk', 'park']","['sensorimotor feature', 'association', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
anger,"['fire', 'traffic', 'fist', 'steam']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
anxiety,"['pacing', 'sweat', 'deadline', 'coffee']","['sensorimotor feature', 'sensorimotor feature', 'association', 'association']","[0.5, 0.0, 0.0, 0.5]"
apology,"['flowers', 'letter', 'tears', 'handshake']","['association', 'association', 'internal state and emotion', 'social constellation']","[0.0, 0.25, 0.25, 0.5]"
appearance,"['mirror', 'court', 'disguise', 'stage']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'association']","[0.25, 0.25, 0.25, 0.25]"
appetite,"['kitchen', 'growl', 'menu', 'hike']","['association', 'sensorimotor feature', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
application,"['smartphone', 'interview', 'lotion', 'university']","['association', 'social constellation', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.25, 0.5]"
aptitude,"['scantron', 'piano', 'seed', 'puzzle']","['association', 'sensorimotor feature', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
argument,"['logic', 'courtroom', 'pulse', 'silence']","['other abstract concept', 'social constellation', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.25, 0.5]"
art,"['museum', 'canvas', 'emotion', 'frame']","['association', 'sensorimotor feature', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
aspect,"['prism', 'verbs', 'telescope', 'shadow']","['sensorimotor feature', 'other abstract concept', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
assassination,"['scope', 'balcony', 'motorcade', 'dagger']","['other abstract concept', 'sensorimotor feature', 'social constellation', 'sensorimotor feature']","[0.5, 0.0, 0.25, 0.25]"
assumption,"['pointing', 'fog', 'bridge', 'iceberg']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
astonishment,"['jaw', 'galaxy', 'magician', 'lottery']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
attack,"['chess', 'heart', 'sword', 'wall']","['association', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
attention,"['spotlight', 'classroom', 'meditation', 'soldier']","['association', 'social constellation', 'internal state and emotion', 'association']","[0.0, 0.25, 0.25, 0.5]"
attraction,"['magnet', 'roller coaster', 'smile', 'iron filings']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
beauty,"['sunset', 'mirror', 'canvas', 'petals']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
being,"['breathing', 'starlight', 'silence', 'pulse']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
betrayal,"['dagger', 'kiss', 'signature', 'shadow']","['sensorimotor feature', 'sensorimotor feature', 'association', 'association']","[0.5, 0.0, 0.0, 0.5]"
blackmail,"['secret', 'envelope', 'silence', 'phone']","['association', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
boredom,"['doodling', 'clock', 'rain', 'ceiling']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
boycott,"['grocery shelf', 'picket sign', 'empty bus', 'wallet']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
bravery,"['fire', 'mountain', 'medal', 'darkness']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
career,"['ladder', 'retirement', 'briefcase', 'ambition']","['association', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
carefulness,"['glass', 'tiptoe', 'tweezers', 'ice']","['association', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
catastrophe,"['rubble', 'sirens', 'flood', 'insurance']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
caution,"['yellow', 'puddle', 'glass', 'cliff']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
challenge,"['mountain', 'sweat', 'chess', 'trophy']","['sensorimotor feature', 'sensorimotor feature', 'association', 'association']","[0.5, 0.0, 0.0, 0.5]"
chaos,"['storm', 'glitter', 'crowd', 'static']","['sensorimotor feature', 'association', 'social constellation', 'association']","[0.25, 0.0, 0.25, 0.5]"
character,"['ink', 'stage', 'spine', 'mask']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
charm,"['bracelet', 'smile', 'spell', 'luck']","['sensorimotor feature', 'sensorimotor feature', 'association', 'association']","[0.5, 0.0, 0.0, 0.5]"
comfort,"['blanket', 'soup', 'rain', 'pillow']","['sensorimotor feature', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
commitment,"['ring', 'signature', 'mortgage', 'marathon']","['association', 'sensorimotor feature', 'other abstract concept', 'association']","[0.25, 0.0, 0.0, 0.75]"
comparison,"['scale', 'shopping', 'mirror', 'envy']","['sensorimotor feature', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
compassion,"['soup', 'bandage', 'shelter', 'listening']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
competence,"['surgeon', 'certificate', 'toolbelt', 'promotion']","['sensorimotor feature', 'association', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
compromise,"['handshake', 'pizza', 'scales', 'gray']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
compulsion,"['padlock', 'magnet', 'clockwork', 'itch']","['sensorimotor feature', 'association', 'association', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
confession,"['booth', 'guilt', 'police', 'secrets']","['association', 'internal state and emotion', 'social constellation', 'association']","[0.0, 0.25, 0.25, 0.5]"
conflict,"['sword', 'lightning', 'border', 'knot']","['sensorimotor feature', 'association', 'other abstract concept', 'association']","[0.25, 0.0, 0.0, 0.75]"
consideration,"['contract', 'scale', 'waiting', 'library']","['other abstract concept', 'association', 'internal state and emotion', 'association']","[0.0, 0.25, 0.0, 0.75]"
consolation,"['prize', 'shoulder', 'tissue', 'blanket']","['association', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
contempt,"['sneer', 'gavel', 'ice', 'spit']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
convention,"['lanyard', 'ballroom', 'cosplay', 'handshake']","['association', 'association', 'association', 'social constellation']","[0.0, 0.0, 0.25, 0.75]"
cooperation,"['ants', 'gears', 'orchestra', 'bridge']","['association', 'association', 'social constellation', 'association']","[0.0, 0.0, 0.25, 0.75]"
courage,"['lion', 'cliff', 'trembling', 'shield']","['association', 'association', 'internal state and emotion', 'association']","[0.0, 0.25, 0.0, 0.75]"
creativity,"['canvas', 'chaos', 'lightbulb', 'mess']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
crime,"['handcuffs', 'night', 'siren', 'prison']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
criticism,"['red pen', 'thick skin', 'theater', 'sting']","['association', 'internal state and emotion', 'association', 'sensorimotor feature']","[0.25, 0.25, 0.0, 0.5]"
cruelty,"['whip', 'cage', 'thorns', 'ice']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
culture,"['petri dish', 'spices', 'museum', 'ancestors']","['association', 'sensorimotor feature', 'association', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
curiosity,"['magnifying glass', 'Mars', 'keyhole', 'library']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
custom,"['tailor', 'wedding', 'paint', 'airport']","['sensorimotor feature', 'social constellation', 'association', 'association']","[0.25, 0.0, 0.25, 0.5]"
danger,"['cliff', 'poison', 'red', 'adrenaline']","['sensorimotor feature', 'sensorimotor feature', 'association', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
death,"['skull', 'will', 'raven', 'hourglass']","['sensorimotor feature', 'internal state and emotion', 'association', 'association']","[0.25, 0.25, 0.0, 0.5]"
decision,"['fork', 'coin', 'deadline', 'regret']","['sensorimotor feature', 'association', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
demand,"['supply', 'finger', 'deadline', 'shouting']","['other abstract concept', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
desire,"['fire', 'reach', 'chocolate', 'thirst']","['association', 'sensorimotor feature', 'association', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
desperation,"['clawing', 'empty wallet', 'ticking clock', 'desert']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
destruction,"['rubble', 'wrecking ball', 'ashes', 'earthquake']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
detection,"['radar', 'magnifying glass', 'bloodhound', 'beep']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
dictatorship,"['propaganda', 'iron fist', 'silence', 'statue']","['association', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
difference,"['subtraction', 'puzzle', 'impact', 'colors']","['other abstract concept', 'association', 'other abstract concept', 'sensorimotor feature']","[0.25, 0.0, 0.0, 0.75]"
difficulty,"['mountain', 'puzzle', 'sweat', 'knot']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
dignity,"['spine', 'hospital', 'silence', 'suit']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
diligence,"['ants', 'library', 'sunrise', 'pencils']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
disadvantage,"['hurdles', 'mountain', 'anchor', 'darkness']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
disappointment,"['rain', 'sigh', 'empty', 'grey']","['association', 'internal state and emotion', 'sensorimotor feature', 'association']","[0.25, 0.25, 0.0, 0.5]"
discovery,"['telescope', 'magnifying glass', 'hidden', 'gold']","['sensorimotor feature', 'sensorimotor feature', 'association', 'association']","[0.5, 0.0, 0.0, 0.5]"
disgust,"['garbage', 'maggots', 'slime', 'sour milk']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
dismay,"['spilled', 'gasp', 'shadow', 'cracks']","['sensorimotor feature', 'internal state and emotion', 'association', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
dispute,"['gavel', 'fence', 'whistle', 'inheritance']","['sensorimotor feature', 'association', 'association', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
distance,"['horizon', 'marathon', 'telescope', 'map']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
distraction,"['smartphone', 'window', 'magician', 'static']","['association', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
diversity,"['ecosystem', 'mosaic', 'potluck', 'genes']","['association', 'association', 'social constellation', 'association']","[0.0, 0.0, 0.25, 0.75]"
doubt,"['fog', 'shadow', 'question mark', 'crossroads']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
downfall,"['crown', 'cliff', 'ego', 'rain']","['association', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
dream,"['pillow', 'clouds', 'running', 'alarm']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
duty,"['uniform', 'clock', 'medal', 'trash']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
eagerness,"['puppy', 'doorstep', 'sunrise', 'unwrapping']","['association', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
effort,"['sweat', 'mountain', 'marathon', 'trophy']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
elegance,"['swan', 'velvet', 'waltz', 'marble']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
emotion,"['tears', 'heart', 'storm', 'painting']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
enchantment,"['wand', 'forest', 'music', 'moon']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
enthusiasm,"['fireworks', 'sprinting', 'confetti', 'megaphone']","['association', 'sensorimotor feature', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
envy,"['green', 'neighbor', 'trophy', 'poison']","['association', 'social constellation', 'association', 'association']","[0.0, 0.0, 0.25, 0.75]"
error,"['computer', 'eraser', 'trial', 'buzzer']","['association', 'sensorimotor feature', 'other abstract concept', 'association']","[0.25, 0.0, 0.0, 0.75]"
event,"['ticket', 'stage', 'calendar', 'crowd']","['sensorimotor feature', 'sensorimotor feature', 'association', 'social constellation']","[0.5, 0.0, 0.25, 0.25]"
excitement,"['roller coaster', 'confetti', 'heartbeat', 'countdown']","['sensorimotor feature', 'association', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
expectation,"['baby', 'clock', 'grades', 'stage']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
experience,"['resume', 'wrinkles', 'backpacking', 'scar']","['association', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
explanation,"['chalkboard', 'lightbulb', 'teacher', 'diagram']","['sensorimotor feature', 'association', 'social constellation', 'sensorimotor feature']","[0.5, 0.0, 0.25, 0.25]"
exploitation,"['oil', 'factory', 'mine', 'dividend']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
faithfulness,"['dog', 'ring', 'mountain', 'anchor']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
fantasy,"['dragon', 'castle', 'wand', 'island']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
fate,"['thread', 'scissors', 'stars', 'crossroads']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
fear,"['darkness', 'sweat', 'shadows', 'heartbeat']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
fight,"['gloves', 'bruise', 'adrenaline', 'bell']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.5, 0.25, 0.0, 0.25]"
fitness,"['sweat', 'dumbbell', 'pulse', 'yoga mat']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
flexibility,"['yoga', 'schedule', 'bamboo', 'limbo']","['sensorimotor feature', 'other abstract concept', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
force,"['magnet', 'badge', 'lightsaber', 'gravity']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
forgiveness,"['weight', 'bridge', 'eraser', 'handshake']","['other abstract concept', 'association', 'sensorimotor feature', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
freedom,"['sky', 'wings', 'barefoot', 'ocean']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
fright,"['goosebumps', 'shadow', 'adrenaline', 'basement']","['sensorimotor feature', 'association', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
frustration,"['traffic', 'knot', 'scream', 'puzzle']","['association', 'association', 'internal state and emotion', 'association']","[0.0, 0.25, 0.0, 0.75]"
fun,"['rollercoaster', 'confetti', 'trampoline', 'sparklers']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
fury,"['fire', 'glass', 'fist', 'hurricane']","['association', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
future,"['rocket', 'silver', 'telescope', 'hologram']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
genius,"['lightbulb', 'chalkboard', 'chess', 'violin']","['association', 'sensorimotor feature', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
glory,"['trumpet', 'gold', 'wreath', 'sunrise']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
