word,properties,codes,frequencies
ability,"['learning', 'overcoming', 'confidence', 'adaptability']","['other abstract concept', 'other abstract concept', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.0, 0.75]"
accusation,"['courtroom', 'betrayal', 'silence', 'confrontation']","['association', 'internal state and emotion', 'association', 'social constellation']","[0.0, 0.25, 0.25, 0.5]"
achievement,"['medal', 'personal growth', 'overcoming obstacles', 'pride']","['association', 'other abstract concept', 'other abstract concept', 'internal state and emotion']","[0.0, 0.25, 0.0, 0.75]"
activity,"['sports event', 'school project', 'dance class', 'outdoor hike']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
addiction,"['compulsive behavior', 'withdrawal symptoms', 'loss of control', 'dependency on substances or activities']","['internal state and emotion', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.25, 0.5, 0.0, 0.25]"
admiration,"['compliment', 'quiet respect', 'glowing eyes', 'standing still in awe']","['social constellation', 'internal state and emotion', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.5, 0.25, 0.0]"
advantage,"['negotiation', 'competition', 'strategy', 'opportunity']","['social constellation', 'social constellation', 'other abstract concept', 'other abstract concept']","[0.0, 0.0, 0.5, 0.5]"
adventure,"['mountain climb', 'lost map', 'foreign language', 'campfire story']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
advice,"['career choice', 'family conflict', 'personal growth', 'decision-making dilemma']","['association', 'social constellation', 'other abstract concept', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
agony,"['sharp pain', 'isolation', 'silent tears', 'suffocating silence']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'association']","[0.25, 0.25, 0.25, 0.25]"
agreement,"['contract', 'peace', 'compromise', 'negotiation']","['other abstract concept', 'other abstract concept', 'other abstract concept', 'social constellation']","[0.0, 0.0, 0.25, 0.75]"
amazement,"['witnessing a rare bird', 'stumbling upon an old photograph', '""hearing a child\'s first word""', 'seeing a sunset over mountains']","['sensorimotor feature', 'association', 'social constellation', 'sensorimotor feature']","[0.5, 0.0, 0.25, 0.25]"
ambition,"['early mornings', 'climbing mountains', 'writing goals', 'overcoming failure']","['association', 'sensorimotor feature', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
ambush,"['surprise', 'stealth', 'danger', 'sudden attack']","['internal state and emotion', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
amusement,"['carnival', 'laughter', 'popcorn', 'roller coaster']","['association', 'internal state and emotion', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
anger,"['shouting', 'betrayal', 'fists', 'silence']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
anxiety,"['racing heart', 'tight chest', 'sleepless nights', 'avoidance behavior']","['sensorimotor feature', 'sensorimotor feature', 'association', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
apology,"['broken promise', 'public statement', 'heartfelt words', 'second chance']","['association', 'social constellation', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
appearance,"['mirror', 'fashion', 'identity', 'first impression']","['sensorimotor feature', 'association', 'other abstract concept', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
appetite,"['hunger', 'meal prep', 'food cravings', 'digestive system']","['sensorimotor feature', 'association', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
application,"['software', 'phone', 'form', 'update']","['association', 'association', 'other abstract concept', 'other abstract concept']","[0.0, 0.0, 0.0, 1.0]"
aptitude,"['academic success', 'quick learning', 'problem-solving ability', 'natural talent']","['association', 'internal state and emotion', 'internal state and emotion', 'other abstract concept']","[0.0, 0.5, 0.0, 0.5]"
argument,"['disagreement', 'raised voice', 'broken silence', 'heated exchange']","['other abstract concept', 'sensorimotor feature', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
art,"['brushstrokes', 'silent conversation', 'transformation', 'imagination']","['sensorimotor feature', 'social constellation', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
aspect,"['angle', 'dimension', 'perspective', 'feature']","['sensorimotor feature', 'other abstract concept', 'other abstract concept', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
assassination,"['political conspiracy', 'silent gunshots', 'sudden betrayal', 'historical violence']","['social constellation', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.25, 0.25, 0.25, 0.25]"
assumption,"['hidden bias', 'unverified truth', 'logical leap', 'societal norm']","['internal state and emotion', 'other abstract concept', 'other abstract concept', 'social constellation']","[0.0, 0.25, 0.25, 0.5]"
astonishment,"['a sudden silence', 'a gasp', 'eyes widening', 'someone dropping their phone']","['association', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
attack,"['battle', 'betrayal', 'surprise', 'defense']","['association', 'social constellation', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
attention,"['classroom', 'phone notification', 'focused gaze', 'public speech']","['association', 'association', 'sensorimotor feature', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
attraction,"['magnetic pull', 'unexpected meeting', 'romantic spark', 'natural draw']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'association']","[0.25, 0.25, 0.25, 0.25]"
beauty,"['symmetry', 'soft light', 'natural grace', 'quiet strength']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'internal state and emotion']","[0.75, 0.25, 0.0, 0.0]"
being,"['meditation', 'stillness', 'presence', 'awareness']","['internal state and emotion', 'sensorimotor feature', 'internal state and emotion', 'internal state and emotion']","[0.25, 0.75, 0.0, 0.0]"
betrayal,"['trust shattered', 'silent accusation', 'broken promise', 'lingering guilt']","['internal state and emotion', 'social constellation', 'association', 'internal state and emotion']","[0.0, 0.5, 0.25, 0.25]"
blackmail,"['threat', 'coercion', 'secret', 'leverage']","['internal state and emotion', 'social constellation', 'association', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
boredom,"['staring at walls', 'idle chatter', 'clock ticking', 'forgotten hobbies']","['sensorimotor feature', 'social constellation', 'association', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
boycott,"['protest', 'food', 'political action', 'refusal to buy']","['social constellation', 'association', 'other abstract concept', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
bravery,"['standing up for others', 'facing fear in the dark', 'risking personal safety', 'making a difficult choice for the right reason']","['social constellation', 'sensorimotor feature', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.25, 0.0]"
career,"['job interview', 'professional growth', 'long hours', 'career change']","['social constellation', 'other abstract concept', 'association', 'other abstract concept']","[0.0, 0.0, 0.25, 0.75]"
carefulness,"['patience', 'meticulous planning', 'quiet attention', 'thoughtful gestures']","['internal state and emotion', 'internal state and emotion', 'internal state and emotion', 'sensorimotor feature']","[0.25, 0.75, 0.0, 0.0]"
catastrophe,"['natural disaster', 'sudden collapse', 'global impact', 'human suffering']","['association', 'sensorimotor feature', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
caution,"['traffic lights', 'old warning signs', 'slow movement', 'careful planning']","['sensorimotor feature', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
challenge,"['mountain climb', 'solving a puzzle', 'public speech', 'competitive game']","['sensorimotor feature', 'internal state and emotion', 'social constellation', 'social constellation']","[0.25, 0.25, 0.5, 0.0]"
chaos,"['storm', 'broken clocks', 'scattered papers', 'unpredictable weather']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
character,"['integrity', 'transformation', 'conflict', 'loyalty']","['internal state and emotion', 'other abstract concept', 'social constellation', 'internal state and emotion']","[0.0, 0.5, 0.25, 0.25]"
charm,"['magic', 'attraction', 'mystery', 'confidence']","['association', 'sensorimotor feature', 'association', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
comfort,"['warm blanket', 'quiet room', 'soft music', 'familiar scent']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
commitment,"['loyalty', 'long-term partnership', 'trust', 'responsibility']","['internal state and emotion', 'social constellation', 'internal state and emotion', 'other abstract concept']","[0.0, 0.5, 0.25, 0.25]"
comparison,"['side-by-side review', 'competitive ranking', 'hidden flaws', 'subjective bias']","['sensorimotor feature', 'social constellation', 'association', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
compassion,"['healing', 'silence', 'shared struggle', 'quiet strength']","['association', 'association', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
competence,"['professional success', 'independent decision-making', 'skill mastery', 'confidence in challenges']","['association', 'internal state and emotion', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.5, 0.0, 0.25]"
compromise,"['negotiation', 'conflict resolution', 'mutual agreement', 'sacrifice']","['social constellation', 'other abstract concept', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.5, 0.25]"
compulsion,"['addiction', 'irresistible urge', 'uncontrollable desire', 'automatic behavior']","['association', 'internal state and emotion', 'internal state and emotion', 'sensorimotor feature']","[0.25, 0.5, 0.0, 0.25]"
confession,"['truth', 'guilt', 'silence', 'vulnerability']","['sensorimotor feature', 'internal state and emotion', 'association', 'internal state and emotion']","[0.25, 0.5, 0.0, 0.25]"
conflict,"['war', 'negotiation', 'disagreement', 'power struggle']","['association', 'social constellation', 'internal state and emotion', 'social constellation']","[0.0, 0.25, 0.5, 0.25]"
consideration,"['compromise', 'patience', 'thoughtful acts', 'long-term planning']","['social constellation', 'internal state and emotion', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.25, 0.25, 0.25]"
consolation,"['grief', 'quiet', 'warmth', 'shared silence']","['association', 'sensorimotor feature', 'sensorimotor feature', 'social constellation']","[0.5, 0.0, 0.25, 0.25]"
contempt,"['public failure', 'silent dismissal', 'cold eyes', 'betrayal']","['association', 'internal state and emotion', 'sensorimotor feature', 'social constellation']","[0.25, 0.25, 0.25, 0.25]"
