word,rating
admiration,4
robbery,5
peach,6
property,3
liar,4
figure,5
pie,6
lily,7
marriage,4
banana,5
tongue,6
steam,3
form,4
visitor,5
impossibility,2
situation,4
interaction,5
hog,3
vapor,2
acquisition,4
brawl,5
establishment,3
instructor,4
bird,6
opera,5
logic,7
fate,4
grammar,6
laughter,5
ignition,3
location,4
magnitude,6
soul,7
empty,2
rabbit,5
stimulus,4
rule,6
advice,7
queen,5
girl,6
decision,4
safety,7
hatred,2
confidence,6
boy,5
rent,4
crisis,3
extent,6
orchid,5
stranger,4
lock,3
betrayal,2
photo,5
macaroni,6
majority,4
electricity,3
fat,2
inn,5
road,4
capacity,6
view,7
personality,5
dove,6
brute,2
ambulance,3
pig,5
boundary,4
idea,7
baby,6
weather,5
vocabulary,4
flavor,7
toilet,2
show,5
murder,3
teacher,4
genuine,6
rainbow,5
foundation,4
fifteen,2
pond,6
acre,3
intention,7
skull,2
assistance,5
adversity,4
evidence,6
bag,3
square,5
menu,4
individual,7
punishment,6
reality,5
production,4
witness,7
dimension,6
advantage,5
hierarchy,4
crocodile,2
volume,6
degree,7
damage,3
rhyme,5
idiom,4
bottle,6
fisherman,2
mustard,3
behavior,5
body,7
faith,6
winter,4
purpose,5
determination,7
cloth,3
meeting,4
dagger,2
frustration,5
fog,3
philosophy,6
standard,7
eyeball,2
annoyance,4
democracy,5
cranberry,3
sword,2
loan,4
chicken,5
tide,6
law,7
cup,3
sofa,4
originality,6
weight,5
roof,3
candidate,4
job,6
subtraction,2
robin,5
necklace,3
ballot,4
memory,7
station,5
chair,6
refrigerator,2
result,4
thief,3
pimple,5
skunk,2
reputation,6
accident,4
method,7
parish,3
eight,2
justification,5
animal,6
sole,4
play,7
tendency,5
chipmunk,2
shirt,3
reinforcement,4
corporation,6
pawn,5
volt,2
money,7
cognition,6
talent,5
alligator,3
republic,4
orchestra,6
dad,5
door,3
beverage,4
suit,6
grief,2
misery,5
margin,4
response,7
site,3
ball,5
car,4
mile,6
season,7
disagreement,2
ability,5
tradition,6
speech,7
recital,4
requirement,5
theory,6
opinion,7
sadness,2
security,5
month,3
lake,6
band,4
stick,5
retention,7
revenge,6
atom,2
permission,4
frog,6
sneeze,5
ownership,3
trust,4
reduction,2
cow,6
character,5
accomplishment,4
policeman,3
increase,5
sandal,6
independence,7
window,4
wood,5
duel,6
christmas,2
bridge,4
deduction,5
territory,3
comprehension,6
equality,7
irrigation,2
bolt,5
moment,4
beast,6
bell,3
division,5
information,7
palace,6
crime,3
chlorine,2
river,5
paradigm,4
separation,6
state,5
cake,2
potato,4
lemon,6
mercy,7
suggestion,5
writing,4
bedroom,3
literature,6
heap,5
city,4
duration,2
fight,6
time,5
gun,3
smell,7
appeal,6
clean,5
perception,4
diet,2
stupidity,3
envy,5
owner,4
sky,6
ceremony,3
sow,5
helplessness,2
article,4
necessity,6
key,5
length,3
drug,2
belief,4
lamp,5
gorilla,6
onion,3
intelligence,7
bubble,4
effort,5
produce,6
rocket,3
lunch,2
topic,4
uncertainty,5
twig,6
puppy,7
ring,4
germ,3
file,2
conscience,6
economy,5
past,4
street,3
lettuce,2
translation,6
spirit,5
regret,4
story,7
mattress,3
preparation,5
