word,rating
lake,1
ambition,4
chance,2
individual,3
apology,6
opponent,2
boredom,2
cowardice,7
beetle,1
silence,2
bet,2
animal,1
coupon,1
faith,6
liar,7
lip,1
tongue,1
originality,3
ankle,1
potato,1
accumulation,2
outfit,1
chair,1
cognition,2
station,1
disaster,2
real,2
dilemma,5
scene,1
ally,3
ownership,5
theory,2
reinforcement,3
puppy,1
guide,4
damage,3
circumstance,2
state,5
response,2
key,1
boat,1
degree,2
crown,4
myth,4
blood,1
deduction,2
forest,1
latch,1
tune,1
show,2
interior,1
starch,1
mankind,3
infection,1
fabric,1
wood,1
tragedy,2
germ,1
iron,1
spider,1
calendar,1
affection,3
photograph,1
territory,4
incident,2
vapor,1
dentist,2
sword,1
flavor,1
clean,3
consistency,3
appeal,4
identification,2
fact,1
route,2
linen,1
macaroni,1
skin,1
stride,1
writing,1
roof,1
menu,1
division,2
value,6
suit,1
lamp,1
personality,4
contract,5
cloth,1
amount,1
intention,5
magic,3
confidence,2
duration,1
sandal,1
thing,1
mattress,1
addition,1
newspaper,1
opposition,2
leopard,1
pigeon,1
clearance,2
opinion,2
play,2
heart,4
irrigation,1
clothing,1
distance,1
fate,2
calculation,2
number,1
wisdom,6
vocabulary,1
talent,2
character,7
nose,1
salad,1
tree,1
risk,3
definition,2
ditch,1
hobby,1
adversity,2
inn,1
butter,1
pyramid,1
tomato,1
riot,6
independence,4
itch,1
temple,4
teacher,4
brain,2
occupation,2
ignition,1
suspect,5
costume,1
door,1
necessity,3
equality,7
orchid,1
bag,1
dove,1
chlorine,1
reflex,1
conference,2
result,2
helmet,1
beauty,2
shortness,1
verse,1
exception,2
bird,1
circuit,1
queen,3
charter,6
principle,7
music,1
want,2
relief,2
moral,7
jerk,3
metaphor,1
scent,1
girl,1
tradition,6
development,2
crisis,2
bubble,1
camera,1
pond,1
decision,3
job,2
frustration,2
error,4
student,2
reputation,6
fear,4
tool,1
shrimp,1
refrigerator,1
empty,1
kindness,7
impairment,2
wish,2
alligator,1
moment,1
injury,3
master,4
file,1
factory,1
body,1
weight,1
tide,1
lemon,1
television,1
coffin,1
admiration,2
tip,1
complication,2
shock,2
past,1
park,1
line,1
nerve,1
income,2
specialist,2
lesson,5
cause,2
squeak,1
insight,2
hotel,1
peacemaker,6
law,7
conscience,7
misery,2
dimension,1
pill,1
alley,1
banana,1
pest,1
debt,5
march,1
justice,7
sanctuary,4
meeting,2
cucumber,1
expression,2
opera,1
significance,2
intelligence,2
object,1
tallness,1
grasshopper,1
purpose,4
mosquito,1
assault,7
pillow,1
anxiety,2
hope,2
fountain,1
benefactor,5
love,5
drum,1
stimulus,1
beverage,1
mountain,1
capacity,2
awareness,2
danger,2
raspberry,1
reality,1
acquisition,2
snow,1
appointment,3
ocean,1
wave,1
composer,1
guilt,7
payment,4
jacket,1
city,1
lamb,1
retention,1
requirement,7
miracle,1
segment,1
oven,1
kitten,1
trust,6
flask,1
preparation,2
imagination,2
bridge,1
towel,1
coincidence,1
context,1
hospital,3
article,1
mercy,7
rabbit,1
spirit,4
rebel,6
interruption,2
design,1
criticism,5
duty,7
fog,1
peach,1
professor,4
friendship,5
cup,1
length,1
form,1
lunch,1
square,1
empire,5
pimple,1
shirt,1
pile,1
abundance,1
visitor,1
responsibility,7
location,1
corporation,4
literature,4
laundry,1
landscape,1
eagle,1
presence,2
tendency,2
construction,1
regulation,7
rocket,1
church,6
doctor,5
topic,1
midnight,1
conclusion,1
neck,1
car,1
fat,1
volume,1
story,2
physics,1
security,5
hog,1
name,1
lens,1
cow,1
chipmunk,1
christmas,4
possibility,1
suggestion,2
fallacy,2
robbery,7
assistance,4
distribution,1
skill,1
stranger,1
record,1
instructor,4
mold,1
occasion,1
hurricane,1
medicine,4
cocktail,1
institute,3
pig,1
guess,1
uncle,1
owner,5
hazard,2
desk,1
apple,1
pie,1
convergence,1
ability,1
democracy,6
grief,2
bed,1
fantasy,1
bolt,1
material,1
issue,2
rent,3
belief,5
rhyme,1
hat,1
variety,1
consideration,5
wage,4
arrow,1
identity,2
advice,5
corpse,1
contempt,5
message,1
math,1
paradigm,1
lightning,1
necklace,1
idea,1
assumption,1
future,1
bracelet,1
despair,2
stupidity,2
skunk,1
cat,1
size,1
method,1
pawn,1
laughter,1
cottage,1
ambulance,1
puddle,1
industry,3
effect,1
crocodile,1
proof,1
waste,3
immortality,1
economy,4
property,5
chocolate,1
scholar,2
incentive,4
coffee,1
tension,2
consequence,4
lobster,1
opportunity,2
uncertainty,2
volt,1
cake,1
justification,5
self,4
safety,4
fireplace,1
grammar,1
leader,6
establishment,5
irony,1
poll,1
fisherman,1
season,1
lane,1
odor,1
event,1
thief,7
saloon,1
extent,1
introduction,1
caterpillar,1
grandmother,1
entree,1
category,1
idiom,1
arc,1
winter,1
explanation,1
moonlight,1
figure,1
shark,1
hurt,3
member,3
riddle,1
adventurer,2
worry,2
accident,1
rainbow,1
emergence,1
mud,1
comprehension,1
lily,1
edge,1
behavior,6
stick,1
mustard,1
helplessness,2
zoo,1
loafer,1
perception,1
protection,4
hatred,5
typewriter,1
effort,2
soul,5
boulder,1
candidate,2
window,1
snake,1
art,1
promotion,3
cliff,1
item,1
sedative,1
lettuce,1
supply,1
spelling,1
logic,1
majority,1
denial,2
weather,1
malice,7
street,1
month,1
betrayal,7
exclusion,4
advantage,2
holiday,3
twig,1
competence,2
duck,1
mystery,1
temperature,1
water,1
impossibility,1
truck,1
toilet,1
reduction,1
foundation,1
handkerchief,1
time,1
wallet,1
steam,1
gender,1
bottle,1
dagger,1
university,3
orchestra,1
eight,1
onion,1
disagreement,2
ignorance,2
witness,4
cranberry,1
produce,1
kite,1
grass,1
preference,2
radio,1
leadership,6
microscope,1
prediction,1
donor,4
sofa,1
sister,1
entrance,1
deputy,5
woman,1
trumpet,1
acre,1
heap,1
magnitude,1
republic,5
manner,4
poetry,1
mastery,1
willingness,2
memory,1
tennis,1
hierarchy,4
group,3
second,1
salary,4
baby,1
fight,4
rule,7
regret,5
increase,1
