word,rating
lake,1
ambition,5
chance,4
individual,4
apology,4
opponent,3
boredom,4
cowardice,4
beetle,1
silence,3
bet,4
animal,1
coupon,1
faith,6
liar,4
lip,1
tongue,1
originality,6
ankle,1
potato,1
accumulation,3
outfit,1
chair,1
cognition,7
station,1
disaster,2
real,4
dilemma,6
scene,2
ally,2
ownership,3
theory,7
reinforcement,4
puppy,1
guide,3
damage,1
circumstance,3
state,3
response,4
key,2
boat,1
degree,3
crown,1
myth,6
blood,1
deduction,7
forest,1
latch,1
tune,2
show,2
interior,2
starch,1
mankind,3
infection,1
fabric,1
wood,1
tragedy,3
germ,1
iron,1
spider,1
calendar,2
affection,4
photograph,1
territory,2
incident,2
vapor,1
dentist,1
sword,1
flavor,2
clean,2
consistency,4
appeal,4
identification,5
fact,6
route,2
linen,1
macaroni,1
skin,1
stride,1
writing,4
roof,1
menu,2
division,3
value,6
suit,1
lamp,1
personality,5
contract,3
cloth,1
amount,2
intention,6
magic,3
confidence,5
duration,2
sandal,1
thing,2
mattress,1
addition,3
newspaper,3
opposition,5
leopard,1
pigeon,1
clearance,2
opinion,7
play,2
heart,2
irrigation,1
clothing,1
distance,2
fate,4
calculation,6
number,3
wisdom,7
vocabulary,5
talent,4
character,5
nose,1
salad,1
tree,1
risk,5
definition,6
ditch,1
hobby,2
adversity,3
inn,1
butter,1
pyramid,1
tomato,1
riot,2
independence,5
itch,1
temple,2
teacher,4
brain,6
occupation,2
ignition,1
suspect,4
costume,1
door,1
necessity,4
equality,6
orchid,1
bag,1
dove,1
chlorine,1
reflex,2
conference,4
result,4
helmet,1
beauty,4
shortness,2
verse,3
exception,4
bird,1
circuit,2
queen,1
charter,2
principle,7
music,3
want,4
relief,3
moral,7
jerk,2
metaphor,6
scent,2
girl,1
tradition,5
development,4
crisis,3
bubble,1
camera,1
pond,1
decision,7
job,2
frustration,4
error,5
student,4
reputation,5
fear,4
tool,1
shrimp,1
refrigerator,1
empty,2
kindness,4
impairment,2
wish,5
alligator,1
moment,2
injury,1
master,3
file,2
factory,1
body,1
weight,2
tide,1
lemon,1
television,2
coffin,1
admiration,5
tip,2
complication,4
shock,3
past,3
park,1
line,2
nerve,2
income,2
specialist,4
lesson,5
cause,4
squeak,1
insight,7
hotel,1
peacemaker,3
law,5
conscience,7
misery,3
dimension,3
pill,1
alley,1
banana,1
pest,2
debt,2
march,1
justice,7
sanctuary,2
meeting,3
cucumber,1
expression,5
opera,2
significance,6
intelligence,7
object,2
tallness,2
grasshopper,1
purpose,6
mosquito,1
assault,2
pillow,1
anxiety,4
hope,5
fountain,1
benefactor,2
love,4
drum,1
stimulus,3
beverage,1
mountain,1
capacity,4
awareness,7
danger,3
raspberry,1
reality,5
acquisition,3
snow,1
appointment,2
ocean,1
wave,1
composer,4
guilt,5
payment,1
jacket,1
city,1
lamb,1
retention,4
requirement,4
miracle,4
segment,2
oven,1
kitten,1
trust,6
flask,1
preparation,4
imagination,7
bridge,1
towel,1
coincidence,4
context,5
hospital,1
article,3
mercy,5
rabbit,1
spirit,4
rebel,3
interruption,2
design,5
criticism,7
duty,5
fog,1
peach,1
professor,5
friendship,4
cup,1
length,2
form,3
lunch,1
square,2
empire,2
pimple,1
shirt,1
pile,1
abundance,2
visitor,1
responsibility,6
location,2
corporation,2
literature,5
laundry,1
landscape,1
eagle,1
presence,3
tendency,4
construction,2
regulation,4
rocket,1
church,2
doctor,3
topic,6
midnight,1
conclusion,7
neck,1
car,1
fat,1
volume,2
story,4
physics,6
security,4
hog,1
name,3
lens,1
cow,1
chipmunk,1
christmas,2
possibility,6
suggestion,6
fallacy,7
robbery,1
assistance,2
distribution,2
skill,4
stranger,1
record,3
instructor,4
mold,1
occasion,2
hurricane,1
medicine,1
cocktail,1
institute,3
pig,1
guess,6
uncle,1
owner,2
hazard,3
desk,1
apple,1
pie,1
convergence,4
ability,5
democracy,6
grief,4
bed,1
fantasy,6
bolt,1
material,1
issue,5
rent,1
belief,7
rhyme,3
hat,1
variety,3
consideration,7
wage,1
arrow,1
identity,5
advice,6
corpse,1
contempt,5
message,4
math,6
paradigm,7
lightning,1
necklace,1
idea,7
assumption,7
future,4
bracelet,1
despair,4
stupidity,6
skunk,1
cat,1
size,2
method,5
pawn,2
laughter,2
cottage,1
ambulance,1
puddle,1
industry,2
effect,3
crocodile,1
proof,6
waste,2
immortality,5
economy,4
property,2
chocolate,1
scholar,6
incentive,4
coffee,1
tension,3
consequence,4
lobster,1
opportunity,4
uncertainty,6
volt,1
cake,1
justification,7
self,5
safety,3
fireplace,1
grammar,5
leader,3
establishment,3
irony,6
poll,4
fisherman,1
season,1
lane,1
odor,1
event,2
thief,1
saloon,1
extent,2
introduction,3
caterpillar,1
grandmother,1
entree,1
category,5
idiom,5
arc,1
winter,1
explanation,6
moonlight,1
figure,3
shark,1
hurt,2
member,1
riddle,6
adventurer,2
worry,5
accident,1
rainbow,1
emergence,3
mud,1
comprehension,7
lily,1
edge,1
behavior,4
stick,1
mustard,1
helplessness,4
zoo,1
loafer,2
perception,7
protection,3
hatred,4
typewriter,1
effort,4
soul,5
boulder,1
candidate,2
window,1
snake,1
art,4
promotion,3
cliff,1
item,1
sedative,1
lettuce,1
supply,1
spelling,4
logic,7
majority,3
denial,5
weather,1
malice,4
street,1
month,1
betrayal,4
exclusion,4
advantage,4
holiday,1
twig,1
competence,5
duck,1
mystery,5
temperature,1
water,1
impossibility,5
truck,1
toilet,1
reduction,2
foundation,3
handkerchief,1
time,3
wallet,1
steam,1
gender,3
bottle,1
dagger,1
university,4
orchestra,2
eight,2
onion,1
disagreement,6
ignorance,6
witness,3
cranberry,1
produce,1
kite,1
grass,1
preference,6
radio,1
leadership,4
microscope,1
prediction,6
donor,1
sofa,1
sister,1
entrance,1
deputy,1
woman,1
trumpet,1
acre,1
heap,1
magnitude,3
republic,3
manner,3
poetry,4
mastery,5
willingness,5
memory,7
tennis,1
hierarchy,5
group,2
second,1
salary,1
baby,1
fight,2
rule,5
regret,5
increase,2
volcano,1
outcome,3
duel,1
example,4
combination,3
pool,1
uniform,1
island,1
atrocity,3
freedom,5
policeman,1
peace,4
branch,1
victim,2
escape,2
resort,1
road,1
mind,7
replacement,2
missile,1
border,1
lion,1
dad,1
core,2
chicken,1
drug,1
father,1
translation,5
thought,7
disappointment,5
candy,1
performance,3
vision,5
nation,2
distraction,5
bandit,1
horse,1
knife,1
beast,1
neighborhood,1
sky,1
amplitude,2
crime,2
improvement,4
diamond,1
youth,2
beaver,1
instinct,5
pretense,5
lizard,1
claim,5
electricity,1
anger,4
comparison,6
three,2
charity,4
instance,3
prop,1
artist,2
loan,1
sneeze,1
attention,6
brother,1
bullet,1
destiny,4
underworld,2
wolf,1
limitation,4
episode,2
measure,3
quality,4
site,1
knowledge,7
difference,4
sugar,1
lock,1
lisp,1
child,1
importance,5
stapler,1
view,5
sight,3
truth,6
river,1
genuine,4
bedroom,1
accomplishment,4
integrity,6
murder,2
announcement,4
fifteen,2
skull,1
reason,7
correspondent,3
boundary,2
obstruction,2
boy,1
availability,3
phenomenon,4
brute,1
atom,1
deceit,5
honesty,6
description,5
attempt,4
unit,2
summer,1
propeller,1
sadness,4
sow,1
subtraction,5
bell,1
specimen,2
proportion,4
mileage,2
recognition,6
interaction,4
alphabet,3
food,1
ballot,3
annoyance,4
arrangement,4
attitude,6
sole,1
paragraph,3
synagogue,2
margin,2
frog,1
separation,3
palace,1
mansion,1
philosophy,7
money,1
smell,2
brawl,1
nurse,1
chief,2
gesture,3
disgust,4
drama,3
butterfly,1
photo,1
inch,1
football,1
darkness,1
aspect,4
gorilla,1
marriage,3
origin,3
recital,2
information,6
dynasty,2
legality,5
punishment,3
diversity,4
envy,4
heresy,6
speech,4
traveler,1
eyeball,1
unity,4
evidence,6
elephant,1
jewel,1
situation,3
blade,1
permission,4
gun,1
shape,2
engagement,3
selection,5
corn,1
thorn,1
tax,2
autumn,1
burner,1
satisfaction,5
revenge,4
diet,2
band,1
robin,1
brevity,4
psalm,3
bank,1
dozen,2
production,2
mile,1
mother,1
ceiling,1
determination,6
ceremony,2
enemy,2
shame,4
parish,2
standard,4
curfew,2
ball,1
ring,1
