word,response,properties
ability,"word: ability
properties: skill, potential, talent, strength","['skill', 'potential', 'talent', 'strength']"
accusation,"word: accusation
properties: finger, courtroom, denial, guilt","['finger', 'courtroom', 'denial', 'guilt']"
achievement,"word: achievement
properties: trophy, graduation, sweat, milestone","['trophy', 'graduation', 'sweat', 'milestone']"
activity,"word: activity
properties: buzzing, recess, schedule, sweat","['buzzing', 'recess', 'schedule', 'sweat']"
addiction,"word: addiction
properties: craving, withdrawal, spiral, needle","['craving', 'withdrawal', 'spiral', 'needle']"
admiration,"word: admiration
properties: gaze, pedestal, applause, hero","['gaze', 'pedestal', 'applause', 'hero']"
advantage,"word: advantage
properties: edge, competition, leverage, unfair","['edge', 'competition', 'leverage', 'unfair']"
adventure,"word: adventure
properties: jungle, treasure, risk, compass","['jungle', 'treasure', 'risk', 'compass']"
advice,"word: advice
properties: mentor, column, unsolicited, wisdom","['mentor', 'column', 'unsolicited', 'wisdom']"
agony,"word: agony
properties: scream, wound, writhing, hospital","['scream', 'wound', 'writhing', 'hospital']"
agreement,"word: agreement
properties: handshake, contract, nod, compromise","['handshake', 'contract', 'nod', 'compromise']"
amazement,"word: amazement
properties: jaw-drop, fireworks, child, unexpected","['jaw-drop', 'fireworks', 'child', 'unexpected']"
ambition,"word: ambition
properties: ladder, fire, sleepless, summit","['ladder', 'fire', 'sleepless', 'summit']"
ambush,"word: ambush
properties: jungle, surprise, trap, predator","['jungle', 'surprise', 'trap', 'predator']"
amusement,"word: amusement
properties: roller coaster, laughter, popcorn, carnival","['roller coaster', 'laughter', 'popcorn', 'carnival']"
anger,"word: anger
properties: fist, red, shout, volcano","['fist', 'red', 'shout', 'volcano']"
anxiety,"word: anxiety
properties: sweating, exam, knot, sleepless","['sweating', 'exam', 'knot', 'sleepless']"
apology,"word: apology
properties: regret, letter, forgiveness, flowers","['regret', 'letter', 'forgiveness', 'flowers']"
appearance,"word: appearance
properties: mirror, first impression, costume, deceiving","['mirror', 'first impression', 'costume', 'deceiving']"
appetite,"word: appetite
properties: growling, buffet, hunger, delicious","['growling', 'buffet', 'hunger', 'delicious']"
application,"word: application
properties: resume, software, rejection, form","['resume', 'software', 'rejection', 'form']"
aptitude,"word: aptitude
properties: test, talent, learning, potential","['test', 'talent', 'learning', 'potential']"
argument,"word: argument
properties: debate, heated, courtroom, fists","['debate', 'heated', 'courtroom', 'fists']"
art,"word: art
properties: canvas, museum, creativity, brush","['canvas', 'museum', 'creativity', 'brush']"
aspect,"word: aspect
properties: facet, perspective, diamond, consideration","['facet', 'perspective', 'diamond', 'consideration']"
assassination,"word: assassination
properties: bullet, conspiracy, president, shadow","['bullet', 'conspiracy', 'president', 'shadow']"
assumption,"word: assumption
properties: leap, wrong, premise, risk","['leap', 'wrong', 'premise', 'risk']"
astonishment,"word: astonishment
properties: jaw-drop, thunder, unexpected, gasp","['jaw-drop', 'thunder', 'unexpected', 'gasp']"
attack,"word: attack
properties: sword, surprise, heart, defense","['sword', 'surprise', 'heart', 'defense']"
attention,"word: attention
properties: spotlight, classroom, deficit, salute","['spotlight', 'classroom', 'deficit', 'salute']"
attraction,"word: attraction
properties: magnet, rollercoaster, butterflies, gravity","['magnet', 'rollercoaster', 'butterflies', 'gravity']"
beauty,"word: beauty
properties: mirror, rose, sunset, grace","['mirror', 'rose', 'sunset', 'grace']"
being,"word: being
properties: existence, alive, creature, presence","['existence', 'alive', 'creature', 'presence']"
betrayal,"word: betrayal
properties: knife, trust, shadow, tears","['knife', 'trust', 'shadow', 'tears']"
blackmail,"word: blackmail
properties: secret, threat, envelope, leverage","['secret', 'threat', 'envelope', 'leverage']"
boredom,"word: boredom
properties: clock, yawn, rainy, fidget","['clock', 'yawn', 'rainy', 'fidget']"
