word,rating
lake,3
ambition,6
chance,4
individual,5
apology,7
opponent,4
boredom,2
cowardice,6
beetle,3
silence,5
bet,4
animal,3
coupon,2
faith,6
liar,6
lip,3
tongue,5
originality,4
ankle,2
potato,3
accumulation,4
outfit,3
chair,3
cognition,5
station,3
disaster,5
real,4
dilemma,6
scene,3
ally,5
ownership,6
theory,4
reinforcement,5
puppy,3
guide,4
damage,5
circumstance,4
state,4
response,4
key,5
boat,3
degree,4
crown,5
myth,2
blood,4
deduction,5
forest,3
latch,3
tune,4
show,3
interior,3
starch,3
mankind,5
infection,4
fabric,3
wood,4
tragedy,6
germ,4
iron,3
spider,3
calendar,3
affection,5
photograph,3
territory,4
incident,4
vapor,2
dentist,3
sword,5
flavor,3
clean,4
consistency,4
appeal,4
identification,5
fact,5
route,3
linen,3
macaroni,3
skin,3
stride,3
writing,3
roof,3
menu,3
division,4
value,6
suit,4
lamp,3
personality,5
contract,5
cloth,3
amount,3
intention,5
magic,3
confidence,5
duration,4
sandal,3
thing,3
mattress,3
addition,4
newspaper,3
opposition,4
leopard,3
pigeon,3
clearance,3
opinion,4
play,3
heart,6
irrigation,3
clothing,3
distance,3
fate,5
calculation,4
number,3
wisdom,6
vocabulary,4
talent,5
character,6
nose,3
salad,3
tree,4
risk,4
definition,3
ditch,3
hobby,3
adversity,5
inn,3
butter,3
pyramid,4
tomato,3
riot,5
independence,5
itch,3
temple,4
teacher,4
brain,5
occupation,4
ignition,3
suspect,4
costume,3
door,3
necessity,5
equality,4
orchid,3
bag,3
dove,4
chlorine,3
reflex,3
conference,3
result,4
helmet,3
beauty,4
shortness,3
verse,3
exception,3
bird,3
circuit,3
queen,5
charter,4
principle,6
music,4
want,4
relief,4
moral,7
jerk,4
metaphor,3
scent,3
girl,3
tradition,5
development,4
crisis,6
bubble,3
camera,3
pond,3
decision,5
job,4
frustration,4
error,3
student,3
reputation,5
fear,4
tool,3
shrimp,3
refrigerator,3
empty,2
kindness,6
impairment,3
wish,4
alligator,3
moment,3
injury,4
master,5
file,3
factory,3
body,3
weight,3
tide,3
lemon,3
television,3
coffin,3
admiration,5
tip,3
complication,4
shock,3
past,3
park,3
line,3
nerve,4
income,4
specialist,4
lesson,4
cause,4
squeak,3
insight,5
hotel,3
peacemaker,6
law,6
conscience,7
misery,5
dimension,3
pill,3
alley,3
banana,3
pest,3
debt,5
march,3
justice,6
sanctuary,5
meeting,3
cucumber,3
expression,4
opera,3
significance,5
intelligence,5
object,3
tallness,3
grasshopper,3
purpose,5
mosquito,3
assault,5
pillow,3
anxiety,4
hope,5
fountain,3
benefactor,5
love,6
drum,3
stimulus,3
beverage,3
mountain,3
capacity,4
awareness,5
danger,4
raspberry,3
reality,4
acquisition,4
snow,3
appointment,3
ocean,3
wave,3
composer,3
guilt,6
payment,4
jacket,3
city,3
lamb,3
retention,4
requirement,5
miracle,4
segment,3
oven,3
kitten,3
trust,6
flask,3
preparation,4
imagination,4
bridge,3
towel,3
coincidence,3
context,4
hospital,3
article,3
mercy,6
rabbit,3
spirit,4
rebel,5
interruption,3
design,4
criticism,4
duty,6
fog,3
peach,3
professor,4
friendship,5
cup,3
length,3
form,3
lunch,3
square,3
empire,4
pimple,3
shirt,3
pile,3
abundance,5
visitor,3
responsibility,6
location,3
corporation,4
literature,4
laundry,3
landscape,4
eagle,3
presence,4
tendency,3
construction,4
regulation,6
rocket,3
church,4
doctor,4
topic,3
midnight,3
conclusion,4
neck,3
car,3
fat,3
volume,3
story,4
physics,3
security,5
hog,3
name,3
lens,3
cow,3
chipmunk,3
christmas,3
possibility,4
suggestion,3
fallacy,3
robbery,5
assistance,4
distribution,4
skill,5
stranger,3
record,3
instructor,4
mold,3
occasion,3
hurricane,5
medicine,3
cocktail,3
institute,3
pig,3
guess,3
uncle,3
owner,5
hazard,4
desk,3
apple,3
pie,3
convergence,3
ability,5
democracy,5
grief,5
bed,3
fantasy,3
bolt,3
material,3
issue,4
rent,4
belief,5
rhyme,3
hat,3
variety,3
consideration,5
wage,4
arrow,3
identity,6
advice,5
corpse,3
contempt,3
message,3
math,3
paradigm,4
lightning,3
necklace,3
idea,4
assumption,3
future,4
bracelet,3
despair,4
stupidity,3
skunk,3
cat,3
size,3
method,3
pawn,3
laughter,3
cottage,3
ambulance,3
puddle,3
industry,3
effect,4
crocodile,3
proof,3
waste,3
immortality,3
economy,4
property,5
chocolate,3
scholar,4
incentive,4
coffee,3
tension,4
consequence,5
lobster,3
opportunity,5
uncertainty,3
volt,3
cake,3
justification,5
self,4
safety,5
fireplace,3
grammar,3
leader,5
establishment,4
irony,3
poll,3
fisherman,3
season,3
lane,3
odor,3
event,3
thief,5
saloon,3
extent,3
introduction,3
caterpillar,3
grandmother,3
entree,3
category,3
idiom,3
arc,3
winter,3
explanation,4
moonlight,3
figure,3
shark,3
hurt,4
member,3
riddle,3
adventurer,3
worry,4
accident,4
rainbow,3
emergence,3
mud,3
comprehension,4
lily,3
edge,3
behavior,6
stick,3
mustard,3
helplessness,3
zoo,3
loafer,3
perception,4
protection,5
hatred,4
typewriter,3
effort,4
soul,5
boulder,3
candidate,3
window,3
snake,3
art,3
promotion,3
cliff,3
item,3
sedative,3
lettuce,3
supply,3
spelling,3
logic,4
majority,4
denial,3
weather,3
malice,5
street,3
month,3
betrayal,5
exclusion,3
advantage,4
holiday,3
twig,3
competence,5
duck,3
mystery,3
temperature,3
water,3
impossibility,3
truck,3
toilet,3
reduction,4
foundation,5
handkerchief,3
time,3
wallet,3
steam,3
gender,3
bottle,3
dagger,3
university,4
orchestra,3
eight,3
onion,3
disagreement,2
ignorance,3
witness,3
cranberry,3
produce,3
kite,3
grass,3
preference,3
radio,3
leadership,5
microscope,3
prediction,3
donor,5
sofa,3
sister,3
entrance,3
deputy,3
woman,3
trumpet,3
acre,3
heap,3
magnitude,3
republic,4
manner,3
poetry,3
mastery,5
willingness,4
memory,4
tennis,3
hierarchy,3
group,3
second,3
salary,4
baby,3
fight,4
rule,6
regret,4
increase,3
volcano,5
outcome,4
duel,5
example,3
combination,3
pool,3
uniform,3
island,3
atrocity,5
freedom,5
policeman,4
peace,5
branch,3
victim,4
escape,3
resort,3
road,3
mind,5
replacement,3
missile,3
border,3
lion,3
dad,3
core,3
chicken,3
drug,3
father,3
translation,3
thought,4
disappointment,4
candy,3
performance,4
vision,4
nation,4
distraction,3
bandit,5
horse,3
knife,3
beast,3
neighborhood,3
sky,3
amplitude,3
crime,5
improvement,4
diamond,4
youth,3
beaver,3
instinct,3
pretense,3
lizard,3
claim,3
electricity,3
anger,4
comparison,3
three,3
charity,5
instance,3
prop,3
artist,3
loan,4
sneeze,3
attention,4
brother,3
bullet,3
destiny,5
underworld,3
wolf,3
limitation,3
episode,3
measure,4
quality,4
site,3
knowledge,5
difference,3
sugar,3
lock,3
lisp,3
child,3
importance,5
stapler,3
view,3
sight,3
truth,5
river,3
genuine,5
bedroom,3
accomplishment,5
integrity,6
murder,5
announcement,3
fifteen,3
skull,3
reason,4
correspondent,3
boundary,4
obstruction,3
boy,3
availability,3
phenomenon,3
brute,3
atom,3
deceit,4
honesty,6
description,3
attempt,3
unit,3
summer,3
propeller,3
sadness,4
sow,3
subtraction,3
bell,3
specimen,3
proportion,3
mileage,3
recognition,4
interaction,3
alphabet,3
food,3
ballot,3
annoyance,3
arrangement,3
attitude,4
sole,3
paragraph,3
synagogue,3
margin,3
frog,3
separation,3
palace,3
mansion,3
philosophy,5
money,4
smell,3
brawl,3
nurse,3
chief,3
gesture,3
disgust,3
drama,3
butterfly,3
photo,3
inch,3
football,3
darkness,3
aspect,3
gorilla,3
marriage,4
origin,3
recital,3
information,4
dynasty,3
legality,5
punishment,5
diversity,3
envy,4
heresy,3
speech,3
traveler,3
eyeball,3
unity,4
evidence,5
elephant,3
jewel,4
situation,3
blade,3
permission,4
gun,3
shape,3
engagement,3
selection,3
corn,3
thorn,3
tax,3
autumn,3
burner,3
satisfaction,5
revenge,5
diet,3
band,3
robin,3
brevity,3
psalm,3
bank,3
dozen,3
production,3
mile,3
mother,3
ceiling,3
determination,5
ceremony,3
enemy,4
shame,5
parish,3
standard,4
curfew,3
ball,3
ring,3
