word,rating
corporation,3
deputy,4
brawl,5
church,6
uncle,4
moral,7
faith,6
mountain,2
shirt,1
duel,5
hospital,6
lip,2
love,7
material,3
ambulance,6
enemy,5
event,4
honesty,7
tennis,1
missile,5
origin,2
waste,4
route,1
university,3
limitation,4
poetry,6
artist,6
instructor,4
salary,3
arrangement,2
personality,5
opposition,5
pretense,4
rent,2
possibility,5
ignition,3
circumstance,4
justification,5
gesture,4
lobster,1
insight,6
selection,3
accumulation,2
student,4
topic,2
philosophy,6
gorilla,2
myth,5
misery,7
truth,7
member,3
purpose,6
temperature,1
station,2
marriage,7
outcome,4
cliff,2
puddle,1
lens,1
skin,3
complication,5
peace,6
mustard,1
beverage,2
beaver,1
consistency,3
television,2
logic,4
chief,4
brain,5
cocktail,2
danger,6
pest,3
truck,1
mercy,7
metaphor,6
intelligence,6
damage,5
explanation,4
banana,2
beast,3
oven,1
body,4
holiday,3
theory,4
rocket,5
addition,2
integrity,7
pawn,1
form,2
supply,3
attention,6
hope,7
circuit,2
annoyance,5
memory,6
stimulus,4
proof,5
empty,1
rainbow,3
charter,3
mystery,6
desk,2
music,7
hat,1
length,1
stupidity,5
donor,4
thorn,3
cottage,2
mud,1
crocodile,3
atrocity,7
teacher,6
group,3
establishment,3
zoo,2
meeting,4
site,2
horse,3
interruption,5
dentist,4
originality,6
orchestra,5
christmas,7
ceiling,1
denial,5
want,6
expression,6
shock,6
idiom,4
toilet,2
animal,3
typewriter,1
legality,4
fountain,2
subtraction,1
victim,7
unit,1
requirement,4
car,2
security,6
preparation,5
season,3
sword,4
brevity,5
future,6
menu,2
helplessness,7
woman,5
rhyme,5
cow,1
duration,2
ballot,3
cat,2
hierarchy,4
incident,5
capacity,3
blade,4
grass,1
miracle,7
autumn,2
introduction,3
chlorine,1
jerk,5
outfit,2
frog,1
attempt,4
assault,6
ceremony,6
leader,5
fisherman,3
willingness,6
grammar,4
talent,6
criticism,5
appointment,3
river,2
clearance,3
ditch,1
phenomenon,4
island,2
permission,4
flask,1
tax,3
loafer,1
calculation,4
identity,5
starch,1
fat,2
ankle,1
development,4
tool,3
ownership,4
abundance,5
visitor,3
doctor,6
laundry,2
importance,7
inch,1
cranberry,3
arc,2
girl,5
chair,2
destiny,6
magic,7
square,2
saloon,4
jewel,5
eight,1
cake,6
lily,5
second,2
wave,3
ignorance,4
laughter,7
engagement,6
boat,3
debt,4
impossibility,4
conference,3
speech,5
blood,5
opponent,4
caterpillar,2
revenge,6
wood,3
grasshopper,1
definition,2
mattress,3
ocean,5
leadership,6
bell,4
grief,7
result,2
tendency,3
combination,2
measure,2
policeman,4
anxiety,7
shape,2
sneeze,1
raspberry,5
dagger,6
linen,2
factory,3
irrigation,1
volt,1
comparison,2
paradigm,2
odor,3
lock,3
dilemma,6
lightning,5
bet,4
acquisition,3
rabbit,4
potato,1
summer,5
ring,5
skill,4
construction,2
determination,6
volcano,5
episode,3
key,4
skull,5
stapler,1
witness,4
appeal,5
vocabulary,2
protection,6
reality,3
cloth,2
money,5
friendship,7
context,2
crime,4
writing,3
frustration,7
hog,1
window,2
mankind,6
suggestion,3
reflex,2
cowardice,6
behavior,4
scholar,3
wisdom,5
separation,6
disgust,7
leopard,1
pyramid,2
punishment,6
view,3
despair,7
football,4
hatred,7
segment,2
bank,3
professor,4
queen,5
robin,3
entrance,4
silence,4
alley,3
palace,4
lamp,2
recital,4
loan,4
chicken,1
vapor,1
fallacy,2
physics,2
hazard,5
dynasty,3
uncertainty,6
chance,4
snake,4
salad,2
design,4
bullet,6
snow,3
nose,1
clothing,2
guide,5
rule,4
stranger,4
fantasy,5
instance,2
exclusion,6
street,3
forest,3
occupation,3
neighborhood,3
scent,3
thought,4
refrigerator,1
hurricane,7
responsibility,6
intention,5
benefactor,5
shrimp,1
stick,2
burner,1
peacemaker,6
cause,4
bed,3
corn,1
economy,3
deduction,2
fact,2
equality,5
line,2
sight,3
tragedy,7
specimen,1
majority,3
bracelet,4
identification,3
three,1
bedroom,3
distraction,5
germ,2
medicine,5
value,4
cognition,3
volume,2
skunk,2
coincidence,3
nation,4
division,6
peach,3
shame,7
month,1
adversity,6
character,5
play,4
clean,2
coffin,6
alligator,2
jacket,3
atom,2
information,3
satisfaction,5
produce,3
youth,4
spelling,2
translation,2
pimple,4
difference,3
sadness,7
consequence,4
conscience,5
pie,4
ball,4
squeak,1
dozen,1
affection,7
contract,3
duty,3
door,2
paragraph,2
diamond,4
instinct,6
mile,2
democracy,5
safety,7
freedom,7
fog,3
curfew,3
past,5
onion,2
corpse,1
mastery,6
law,4
evidence,4
dimension,2
adventurer,5
moonlight,5
alphabet,2
sow,3
category,2
interaction,6
uniform,3
city,4
butterfly,5
error,4
sole,3
pig,2
lisp,1
knowledge,6
hobby,5
fear,7
competence,6
situation,4
coupon,3
opportunity,6
boundary,3
specialist,5
nerve,6
shortness,4
eagle,5
kite,4
boy,5
principle,5
drum,4
aspect,3
mind,7
trumpet,4
scene,5
heart,7
robbery,6
flavor,4
convergence,2
butter,3
tip,3
presence,6
spirit,7
drug,5
envy,6
math,3
candy,4
wish,6
retention,2
arrow,3
mileage,2
sanctuary,6
interior,3
obstruction,4
midnight,5
extent,2
vision,6
cucumber,2
fifteen,1
reason,5
object,3
assumption,4
beetle,2
edge,3
latch,2
ambition,6
temple,5
duck,3
incentive,5
band,4
brute,4
tune,4
weather,4
coffee,5
pile,2
magnitude,3
mansion,4
bag,3
brother,7
twig,2
item,2
pond,3
fate,6
tongue,4
winter,4
variety,3
distance,4
regulation,3
moment,5
macaroni,2
example,3
crown,5
underworld,4
march,4
eyeball,3
regret,7
reinforcement,4
amplitude,2
story,6
lettuce,1
conclusion,4
betrayal,7
iron,3
idea,5
industry,4
replacement,3
fight,6
nurse,6
spider,4
relief,7
psalm,5
belief,6
payment,3
name,4
bird,5
property,4
prop,2
inn,3
neck,3
decision,6
pigeon,3
kindness,7
republic,5
perception,5
degree,3
advantage,4
tree,4
availability,2
heap,2
tide,3
heresy,4
father,7
diversity,5
weight,3
reduction,2
dad,7
riddle,4
tradition,5
towel,2
margin,2
independence,6
synagogue,5
electricity,3
bolt,3
real,4
description,3
literature,5
hotel,4
opinion,5
lemon,2
food,5
lunch,4
entree,4
ally,6
gun,6
baby,7
malice,6
wallet,3
claim,4
newspaper,3
number,2
pool,4
escape,5
disagreement,6
grandmother,7
cup,3
water,5
exception,3
branch,3
bridge,4
beauty,7
message,5
occasion,5
puppy,6
foundation,4
manner,5
accomplishment,6
guess,4
consideration,5
resort,4
gender,5
hurt,7
apology,6
effect,3
comprehension,3
issue,4
significance,6
lesson,5
file,2
prediction,5
emergence,4
worry,7
parish,2
traveler,3
effort,5
boulder,1
fabric,2
crisis,7
art,4
child,6
anger,7
disappointment,6
darkness,3
amount,2
method,3
proportion,2
self,5
announcement,4
stride,3
propeller,1
calendar,2
admiration,6
necessity,5
confidence,6
empire,3
elephant,4
disaster,7
composer,4
radio,3
charity,6
article,2
individual,5
attitude,5
tallness,1
sky,3
genuine,6
show,4
advice,5
wolf,3
accident,7
production,2
reputation,5
sugar,1
orchid,2
microscope,2
performance,4
infection,6
rebel,5
poll,3
correspondent,2
lion,3
lake,2
riot,7
immortality,4
diet,3
recognition,5
photograph,3
tomato,1
awareness,6
state,3
location,2
tension,7
trust,6
suit,2
roof,1
opera,4
soul,7
lizard,1
risk,6
murder,7
imagination,5
thing,2
job,3
record,3
shark,4
mold,2
mosquito,3
sandal,1
pill,2
assistance,6
bubble,1
camera,3
owner,4
chocolate,2
irony,5
promotion,3
bandit,4
preference,5
chipmunk,1
size,2
contempt,6
unity,5
core,2
thief,5
increase,3
quality,4
helmet,2
liar,7
pillow,1
institute,3
acre,1
candidate,4
bottle,2
improvement,5
landscape,3
costume,2
border,2
steam,1
master,4
suspect,6
apple,2
ability,5
dove,4
lamb,3
sofa,1
boredom,7
wage,3
road,2
necklace,2
verse,4
guilt,6
distribution,2
lane,1
smell,2
itch,5
knife,4
park,3
sedative,3
injury,7
territory,3
income,3
photo,3
standard,2
sister,5
figure,3
justice,6
drama,4
response,4
kitten,6
fireplace,2
impairment,6
handkerchief,1
time,3
deceit,7
mother,7
