word,rating
scholar,2
deputy,3
produce,4
woman,5
scent,6
ambulance,2
doctor,4
obstruction,1
three,3
flavor,5
volcano,2
cow,4
ankle,6
clearance,3
nerve,5
helmet,4
chief,6
cake,7
manner,5
pill,2
robbery,1
marriage,6
spirit,7
speech,5
scene,4
math,3
freedom,7
atom,2
kindness,6
cat,4
ballot,3
abundance,5
incentive,6
guess,4
effort,5
pond,2
impairment,1
grass,4
belief,6
door,3
conclusion,5
photograph,4
photo,6
explanation,7
chocolate,5
candy,6
sword,2
presence,4
admiration,7
lobster,3
jerk,1
knife,2
crime,1
betrayal,1
microscope,3
bracelet,4
emergence,5
mansion,6
escape,4
heresy,1
stimulus,5
deduction,6
reduction,4
pig,3
sugar,5
lamb,4
loan,2
frog,3
lane,4
gorilla,5
flask,6
music,7
willingness,6
hurt,1
combination,5
lightning,2
foundation,4
confidence,7
contempt,1
contract,3
skin,4
magic,6
conscience,7
evidence,5
response,4
addition,6
ceiling,3
brawl,1
pimple,2
temple,4
saloon,3
integrity,7
suit,5
industry,6
fountain,4
occasion,5
file,3
comparison,6
border,4
sandal,5
future,7
money,6
accomplishment,7
composer,5
correspondent,4
month,3
pie,6
conference,5
burner,4
fog,2
disappointment,1
forest,3
linen,4
student,5
kitten,6
thorn,2
zoo,4
enemy,1
hurricane,2
route,3
fabric,4
boredom,1
ignorance,1
sow,3
character,6
cranberry,4
cup,5
episode,4
assistance,6
duration,5
squeak,2
paradigm,4
circuit,3
disagreement,1
hazard,2
arc,3
toilet,4
bottle,5
tool,6
snow,2
permission,4
awareness,7
heart,6
poetry,5
importance,7
pool,4
stick,3
beauty,6
subtraction,2
translation,5
pile,4
performance,6
hospital,5
criticism,3
apology,4
park,3
medicine,5
mile,2
inn,4
grandmother,6
circumstance,5
trust,7
engagement,6
location,4
lettuce,3
tradition,5
cloth,4
alphabet,2
diamond,6
moment,5
child,4
arrangement,5
island,3
variety,6
information,7
latch,4
chicken,5
artist,6
beaver,3
refrigerator,4
destiny,5
tip,3
grammar,6
hotel,4
brevity,2
shortness,1
capacity,6
worry,1
owner,4
view,5
denial,2
issue,3
personality,6
boy,4
entrance,5
orchid,3
radio,2
hatred,1
opera,4
steam,3
phenomenon,2
lizard,3
visitor,4
ambition,5
mankind,6
brother,7
crocodile,2
error,1
miracle,6
bell,4
germ,2
property,5
bet,3
hog,1
bed,4
deceit,2
member,5
intention,6
hope,7
specialist,4
attitude,5
poll,3
salary,2
fireplace,4
rocket,6
past,3
misery,2
thought,5
entree,4
want,6
skull,2
margin,3
ceremony,5
extent,4
potato,1
reputation,6
determination,7
increase,5
independence,6
genuine,7
story,4
rule,3
eyeball,2
landscape,5
factory,4
injury,3
dad,7
advantage,6
electricity,4
bedroom,5
gesture,6
bridge,5
fact,4
unity,7
lisp,2
coupon,3
stranger,4
dove,6
material,5
prop,3
event,4
result,6
handkerchief,2
institute,5
announcement,4
assault,1
helplessness,2
robin,6
grasshopper,3
justification,5
thing,4
duel,2
adventurer,6
mosquito,3
revenge,2
elephant,5
segment,4
suspect,3
degree,6
anxiety,2
record,5
reflex,4
dilemma,6
replacement,5
tree,7
clean,4
lock,3
stride,6
wish,7
apple,4
reality,5
self,6
consequence,7
form,4
laughter,5
opponent,3
lily,6
lunch,4
sedative,2
menu,5
benefactor,6
duty,4
drama,5
equality,7
trumpet,3
art,6
alligator,2
lake,5
idiom,4
vocabulary,6
instance,5
cucumber,1
chance,4
nose,3
charter,5
branch,4
interruption,2
logic,6
comprehension,7
boundary,5
camera,4
tomato,1
volt,3
nation,6
volume,5
waste,2
key,4
significance,7
hat,3
figure,5
football,4
fear,2
separation,3
measure,5
puddle,1
sight,6
philosophy,7
irony,5
charity,6
advice,4
beast,2
moonlight,5
appeal,6
instructor,4
paragraph,3
economy,5
traveler,6
disaster,2
butter,1
law,4
convergence,6
state,5
instinct,7
season,4
vapor,3
diversity,6
definition,5
lesson,4
spider,2
impossibility,1
window,5
cliff,3
mountain,6
disgust,2
onion,1
republic,5
chipmunk,3
pest,2
safety,6
skunk,1
shame,2
beetle,3
possibility,6
crown,5
retention,4
immortality,7
proportion,6
raspberry,1
beverage,4
metaphor,5
effect,6
weight,3
physics,4
curfew,2
teacher,5
salad,3
bullet,1
lemon,4
second,6
fisherman,3
uncertainty,2
shock,1
leadership,6
winter,5
ring,4
food,3
payment,2
recital,5
bag,1
sadness,2
behavior,4
lip,2
guilt,5
incident,3
annoyance,4
wood,2
mastery,6
victim,3
autumn,4
gender,5
leader,6
peacemaker,7
ownership,6
distance,4
cowardice,2
ally,5
jewel,4
truck,3
intelligence,7
palace,5
job,4
situation,6
summer,5
mileage,3
shrimp,2
parish,4
perception,6
ditch,3
fantasy,5
uncle,4
regret,6
bank,3
midnight,5
policeman,4
calculation,6
outfit,5
witness,4
verse,3
dentist,2
satisfaction,7
preference,6
originality,5
resort,4
fat,2
attention,6
writing,5
legality,4
size,3
smell,2
thief,1
heap,4
dagger,3
underworld,5
fifteen,2
mold,3
frustration,6
shirt,4
brain,5
expression,7
edge,6
ignition,4
name,5
darkness,3
message,6
square,4
site,5
snake,2
consideration,7
occupation,6
claim,5
pretense,4
silence,3
mystery,6
wallet,2
corn,4
caterpillar,3
calendar,5
opposition,6
chlorine,2
candidate,4
road,3
method,5
leopard,2
shark,1
neighborhood,4
cognition,7
promotion,6
holiday,5
necklace,4
tendency,3
lion,2
car,5
bandit,1
oven,3
atrocity,6
pyramid,5
interaction,7
talent,6
master,7
eight,2
clothing,4
duck,3
donor,5
protection,6
guide,4
peach,2
description,5
bubble,3
production,6
risk,4
university,5
tide,3
limitation,2
amplitude,6
principle,7
magnitude,5
bird,4
value,6
consistency,7
corpse,2
show,5
irrigation,3
jacket,4
church,5
truth,7
girl,2
wage,3
uniform,4
tragedy,6
selection,5
lamp,3
literature,7
development,6
temperature,5
drug,2
memory,4
riot,1
difference,6
knowledge,7
identification,5
affection,4
chair,3
boulder,2
typewriter,5
eagle,4
availability,6
acre,3
roof,5
competence,7
context,6
ocean,4
rent,3
twig,2
alley,5
exception,6
regulation,4
kite,3
fallacy,2
drum,1
group,4
outcome,6
baby,2
sole,3
distribution,5
responsibility,7
play,4
meeting,6
dynasty,5
prediction,7
preparation,6
debt,2
empty,1
professor,5
empire,6
relief,4
shape,3
youth,5
reinforcement,6
construction,7
security,6
blood,2
odor,1
towel,3
punishment,5
insight,7
arrow,4
tax,2
mother,5
appointment,6
diet,3
ball,2
tension,4
acquisition,6
identity,7
missile,1
individual,5
inch,3
territory,4
loafer,2
hobby,5
despair,2
cocktail,3
boat,4
sofa,5
decision,6
hierarchy,3
ability,7
river,4
wisdom,6
sanctuary,5
gun,2
recognition,6
item,4
banana,3
newspaper,5
lens,4
propeller,6
origin,7
mustard,2
malice,1
city,5
fate,4
grief,2
rebel,6
specimen,4
vision,7
myth,5
synagogue,3
nurse,6
accumulation,4
soul,7
peace,5
itch,2
democracy,6
animal,4
desk,5
purpose,7
tennis,6
tune,4
liar,1
coffin,2
mud,3
damage,4
division,5
accident,4
pawn,3
costume,6
weather,5
wave,4
street,5
bolt,6
fight,7
honesty,7
tongue,4
love,5
stupidity,1
spelling,3
psalm,2
line,4
corporation,5
body,6
blade,7
idea,6
pillow,5
theory,7
improvement,6
example,5
band,4
stapler,3
television,6
danger,2
cause,5
butterfly,4
coffee,3
aspect,6
topic,5
exclusion,4
opportunity,7
envy,2
