word,properties,codes,frequencies
ability,[''],[],"[0, 0, 0, 0]"
accusation,[''],[],"[0, 0, 0, 0]"
achievement,[''],[],"[0, 0, 0, 0]"
activity,"['energy', 'sports', 'travel', 'festival']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
addiction,"['intervention', 'withdrawal symptoms', 'financial troubles', 'rehabilitation centre']","[""503 unavailable. {'error'""]","[0.0, 0.0, 0.0, 0.0]"
admiration,"['applause', 'art gallery', 'national hero', 'romance novel']","['sensorimotor feature', 'association', 'social constellation', 'association']","[0.25, 0.0, 0.25, 0.5]"
advantage,"['negotiation', 'skillset', '""winner\'s circle""', 'scoreboard']","['social constellation', 'sensorimotor feature', 'association', 'association']","[0.25, 0.0, 0.25, 0.5]"
adventure,"['trekking', 'pirate', 'map', 'secret']","['sensorimotor feature', 'association', 'association', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
advice,"['coach', 'lawyer', 'older sibling', 'professor']","['social constellation', 'social constellation', 'social constellation', 'social constellation']","[0.0, 0.0, 1.0, 0.0]"
agony,"['cry', 'hospital', 'darkness', 'silence']","['internal state and emotion', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
agreement,[''],[],"[0, 0, 0, 0]"
amazement,"['wonderland', 'fireworks', 'overwhelming', 'dreamlike']","['association', 'association', 'internal state and emotion', 'association']","[0.0, 0.25, 0.0, 0.75]"
ambition,[''],[],"[0, 0, 0, 0]"
ambush,"['surprise attack', 'stealth', 'war movies', 'military tactics']","['sensorimotor feature', 'sensorimotor feature', 'association', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
amusement,[''],[],"[0, 0, 0, 0]"
anger,"['fist', 'scream', 'betrayal', 'darkness']","['sensorimotor feature', 'sensorimotor feature', 'social constellation', 'association']","[0.5, 0.0, 0.25, 0.25]"
anxiety,[''],[],"[0, 0, 0, 0]"
apology,[''],[],"[0, 0, 0, 0]"
appearance,"['makeup', 'photo shoot', 'first impression', 'disguise']","['sensorimotor feature', 'association', 'social constellation', 'sensorimotor feature']","[0.5, 0.0, 0.25, 0.25]"
appetite,[''],[],"[0, 0, 0, 0]"
application,"['resume', 'interview', 'productivity', 'software']","['association', 'social constellation', 'other abstract concept', 'association']","[0.0, 0.0, 0.25, 0.75]"
aptitude,"['sport', 'employee', 'puzzle', 'interview']","['association', 'social constellation', 'sensorimotor feature', 'social constellation']","[0.25, 0.0, 0.5, 0.25]"
argument,[''],[],"[0, 0, 0, 0]"
art,"['museum', 'painter', 'sculpture', 'expression']","['association', 'social constellation', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
aspect,"['beauty', 'architecture', 'silence', 'transparency']","['association', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
assassination,"['conspiracy', 'guns', 'secret service', 'trial']","['social constellation', 'sensorimotor feature', 'social constellation', 'association']","[0.25, 0.0, 0.5, 0.25]"
assumption,[''],[],"[0, 0, 0, 0]"
astonishment,"['silence', 'scream', 'telescope', 'explosion']","['association', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
attack,"['military', 'virus', 'chess', 'sudden']","['association', 'association', 'association', 'sensorimotor feature']","[0.25, 0.0, 0.0, 0.75]"
attention,"['focus', 'hearing aid', 'sign language', 'spotlight']","['internal state and emotion', 'association', 'sensorimotor feature', 'association']","[0.25, 0.25, 0.0, 0.5]"
attraction,[''],[],"[0, 0, 0, 0]"
beauty,[''],[],"[0, 0, 0, 0]"
being,[''],[],"[0, 0, 0, 0]"
betrayal,[''],"['sensorimotor feature', 'social constellation', 'internal state and emotion', 'association']","[0.25, 0.25, 0.25, 0.25]"
blackmail,"['ransom', 'secret', 'mobster', 'danger']","['association', 'association', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
boredom,"['sleepiness', 'old movie', 'desert landscape', 'solitary room']","['internal state and emotion', 'association', 'association', 'social constellation']","[0.0, 0.25, 0.25, 0.5]"
boycott,[''],"['association', 'other abstract concept', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
bravery,[''],[],"[0, 0, 0, 0]"
career,[''],[],"[0, 0, 0, 0]"
carefulness,"['slow motion', 'safety net', 'precision instrument', 'children playing']","['sensorimotor feature', 'association', 'association', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
catastrophe,"['disaster movie', 'economic collapse', 'war aftermath', 'massive earthquake']","['association', 'other abstract concept', 'social constellation', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
caution,[''],[],"[0, 0, 0, 0]"
challenge,[''],[],"[0, 0, 0, 0]"
chaos,"['1. hurricane', '2. abyss', '3. paint splatter', '4. sci-fi movie']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
