word,rating
truth,1.0
legality,1.0
drug,2.0
stranger,1.0
band,4.0
hotel,1.0
material,3.0
lesson,1.0
victim,1.0
extent,1.0
burner,5.0
suggestion,1.0
dagger,2.0
site,1.0
consequence,1.0
thing,1.0
degree,3.0
unity,1.0
duty,1.0
combination,1.0
guess,1.0
tool,4.0
incentive,2.0
anger,2.0
manner,1.0
satisfaction,1.0
supply,2.0
bag,3.0
paragraph,1.0
neighborhood,1.0
trust,1.0
philosophy,1.0
route,2.0
father,1.0
wolf,5.0
vocabulary,1.0
incident,1.0
teacher,1.0
contract,1.0
factory,4.0
rabbit,3.0
reality,1.0
territory,2.0
chief,2.0
salary,1.0
outcome,1.0
past,1.0
assumption,1.0
institute,1.0
chicken,4.0
street,1.0
willingness,1.0
reinforcement,1.0
crocodile,5.0
diet,1.0
bet,1.0
entree,2.0
fog,4.0
rule,1.0
example,1.0
moment,1.0
uncle,1.0
deputy,1.0
cow,3.0
result,1.0
coincidence,1.0
thorn,2.0
fat,1.0
occasion,1.0
mile,1.0
advantage,1.0
rent,1.0
time,1.0
spirit,2.0
corporation,1.0
helmet,2.0
composer,1.0
distance,1.0
engagement,1.0
duel,1.0
gender,3.0
individual,1.0
specialist,1.0
mankind,1.0
sky,7.0
gesture,1.0
cliff,2.0
line,4.0
tree,5.0
promotion,1.0
donor,1.0
acquisition,1.0
leader,1.0
replacement,1.0
flask,3.0
obstruction,1.0
pest,2.0
confidence,1.0
episode,1.0
show,1.0
hurricane,1.0
eight,1.0
calendar,2.0
bank,2.0
meeting,2.0
necklace,5.0
opposition,1.0
miracle,4.0
peach,7.0
christmas,3.0
vision,6.0
tension,2.0
odor,4.0
inch,2.0
perception,6.0
appointment,2.0
cocktail,3.0
blade,1.0
truck,2.0
peacemaker,5.0
marriage,3.0
chair,2.0
cranberry,7.0
payment,2.0
belief,4.0
microscope,6.0
significance,5.0
speech,3.0
cause,1.0
loan,2.0
entrance,2.0
lock,1.0
tennis,1.0
bed,2.0
retention,2.0
skunk,1.0
silence,5.0
coffee,4.0
scholar,3.0
holiday,4.0
paradigm,6.0
river,4.0
limitation,2.0
volt,2.0
description,6.0
bird,1.0
diversity,5.0
salad,5.0
trumpet,3.0
child,4.0
march,1.0
stride,1.0
apology,1.0
boulder,3.0
fallacy,1.0
shortness,2.0
knowledge,1.0
kite,2.0
diamond,7.0
starch,4.0
hat,2.0
pimple,6.0
advice,1.0
costume,5.0
mileage,1.0
exception,1.0
mud,6.0
skin,5.0
brevity,1.0
blood,7.0
record,2.0
puppy,3.0
heap,2.0
lobster,4.0
robbery,1.0
spelling,1.0
stapler,2.0
fabric,5.0
vapor,2.0
poll,1.0
road,2.0
handkerchief,4.0
stick,3.0
hospital,1.0
job,1.0
grammar,1.0
radio,1.0
irrigation,5.0
genuine,2.0
location,2.0
personality,2.0
waste,4.0
darkness,6.0
island,3.0
guilt,1.0
pie,1.0
difference,2.0
mastery,1.0
bullet,3.0
insight,1.0
metaphor,1.0
lunch,1.0
faith,1.0
midnight,3.0
typewriter,1.0
bolt,5.0
wood,2.0
disappointment,1.0
ignition,4.0
quality,1.0
conclusion,1.0
ballot,1.0
bracelet,3.0
propeller,1.0
hierarchy,1.0
escape,1.0
definition,1.0
grasshopper,2.0
identity,1.0
skull,2.0
preference,1.0
temple,1.0
nose,2.0
interruption,1.0
item,1.0
mold,3.0
disagreement,1.0
zoo,1.0
cucumber,2.0
mother,1.0
crime,1.0
electricity,4.0
friendship,1.0
sight,5.0
sister,1.0
value,1.0
atrocity,1.0
ignorance,1.0
establishment,1.0
sow,2.0
charity,1.0
shame,1.0
woman,1.0
tradition,1.0
arc,3.0
refrigerator,1.0
sedative,2.0
safety,1.0
murder,1.0
fantasy,4.0
mustard,4.0
grandmother,1.0
liar,1.0
coupon,2.0
nation,1.0
animal,1.0
knife,1.0
reason,1.0
intention,1.0
honesty,1.0
uniform,5.0
protection,1.0
pool,6.0
addition,1.0
story,2.0
awareness,3.0
adventurer,1.0
fireplace,2.0
state,1.0
frog,2.0
performance,2.0
squeak,1.0
mansion,4.0
station,1.0
emergence,3.0
edge,2.0
division,1.0
issue,2.0
betrayal,1.0
linen,5.0
potato,2.0
grass,6.0
roof,1.0
kitten,3.0
punishment,1.0
bottle,4.0
sandal,1.0
number,1.0
irony,1.0
riddle,2.0
pretense,1.0
consideration,1.0
category,3.0
lisp,1.0
chance,1.0
queen,2.0
origin,2.0
brute,1.0
calculation,1.0
jerk,4.0
adversity,1.0
logic,1.0
majority,1.0
claim,1.0
selection,2.0
flavor,3.0
measure,1.0
ceiling,1.0
oven,2.0
apple,7.0
independence,1.0
affection,1.0
hurt,1.0
loafer,1.0
underworld,1.0
improvement,1.0
tip,1.0
method,1.0
view,3.0
name,2.0
translation,1.0
member,1.0
lake,4.0
macaroni,2.0
corpse,1.0
intelligence,1.0
alley,1.0
rainbow,7.0
love,1.0
beetle,5.0
ally,1.0
leopard,6.0
injury,1.0
uncertainty,1.0
justification,1.0
tendency,1.0
attitude,2.0
context,1.0
