word,rating
lake,1
ambition,2
chance,3
individual,1
apology,2
opponent,1
boredom,3
cowardice,1
beetle,1
silence,2
bet,1
animal,1
coupon,1
faith,1
liar,1
lip,1
tongue,1
originality,1
ankle,1
potato,1
accumulation,4
outfit,1
chair,1
cognition,2
station,3
disaster,2
real,1
dilemma,2
scene,1
ally,1
ownership,1
theory,2
reinforcement,3
puppy,1
guide,2
damage,2
circumstance,2
state,2
response,3
key,1
boat,1
degree,2
crown,1
myth,1
blood,1
deduction,2
forest,1
latch,1
tune,2
show,2
interior,1
starch,1
mankind,1
infection,2
fabric,1
wood,1
tragedy,2
germ,1
iron,1
spider,1
calendar,7
affection,1
photograph,3
territory,1
incident,3
vapor,1
dentist,1
sword,1
flavor,1
clean,1
consistency,2
appeal,1
identification,1
fact,1
route,2
linen,1
macaroni,1
skin,1
stride,2
writing,2
roof,1
menu,1
division,3
value,1
suit,1
lamp,1
personality,1
contract,3
cloth,1
amount,2
intention,2
magic,1
confidence,1
duration,7
sandal,1
thing,1
mattress,1
addition,3
newspaper,2
opposition,2
leopard,1
pigeon,1
clearance,2
opinion,1
play,2
heart,1
irrigation,2
clothing,1
distance,3
fate,2
calculation,2
number,2
wisdom,1
vocabulary,1
talent,1
character,1
nose,1
salad,1
tree,1
risk,2
definition,1
ditch,1
hobby,2
adversity,2
inn,1
butter,1
pyramid,1
tomato,1
riot,2
independence,1
itch,1
temple,1
teacher,1
brain,1
occupation,2
ignition,3
suspect,1
costume,1
door,1
necessity,1
equality,1
orchid,1
bag,1
dove,1
chlorine,1
reflex,2
conference,3
result,3
helmet,1
beauty,1
shortness,2
verse,2
exception,1
bird,1
circuit,2
queen,1
charter,2
principle,1
music,2
want,1
relief,2
moral,1
jerk,1
metaphor,1
scent,1
girl,1
tradition,4
development,5
crisis,3
bubble,1
camera,1
pond,1
decision,3
job,2
frustration,2
error,2
student,1
reputation,2
fear,1
tool,1
shrimp,1
refrigerator,1
empty,1
kindness,1
impairment,2
wish,1
alligator,1
moment,7
injury,2
master,1
file,1
factory,1
body,1
weight,1
tide,4
lemon,1
television,1
coffin,1
admiration,1
tip,1
complication,3
shock,1
past,7
park,1
line,4
nerve,1
income,2
specialist,1
lesson,2
cause,2
squeak,1
insight,1
hotel,1
peacemaker,1
law,1
conscience,1
misery,2
dimension,2
pill,1
alley,1
banana,1
pest,1
debt,2
march,4
justice,1
sanctuary,1
meeting,3
cucumber,1
expression,1
opera,2
significance,1
intelligence,1
object,1
tallness,1
grasshopper,1
purpose,2
mosquito,1
assault,2
pillow,1
anxiety,2
hope,2
fountain,1
benefactor,1
love,1
drum,2
stimulus,2
beverage,1
mountain,1
capacity,1
awareness,1
danger,2
raspberry,1
reality,1
acquisition,3
snow,1
appointment,6
ocean,1
wave,3
composer,1
guilt,1
payment,3
jacket,1
city,1
lamb,1
retention,2
requirement,2
miracle,1
segment,2
oven,1
kitten,1
trust,1
flask,1
preparation,4
imagination,1
bridge,1
towel,1
coincidence,2
context,1
hospital,1
article,1
mercy,1
rabbit,1
spirit,1
rebel,1
interruption,4
design,1
criticism,2
duty,2
fog,1
peach,1
professor,1
friendship,1
cup,1
length,5
form,1
lunch,3
square,1
empire,2
pimple,1
shirt,1
pile,2
abundance,1
visitor,1
responsibility,2
location,1
corporation,1
literature,1
laundry,2
landscape,1
eagle,1
presence,2
tendency,2
construction,4
regulation,2
rocket,1
church,1
doctor,1
topic,1
midnight,7
conclusion,3
neck,1
car,1
fat,1
volume,2
story,3
physics,1
security,1
hog,1
name,1
lens,1
cow,1
chipmunk,1
christmas,5
possibility,1
suggestion,1
fallacy,1
robbery,2
assistance,1
distribution,3
skill,1
stranger,1
record,3
instructor,1
mold,1
occasion,4
hurricane,2
medicine,1
cocktail,1
institute,1
pig,1
guess,1
uncle,1
owner,1
hazard,2
desk,1
apple,1
pie,1
convergence,3
ability,1
democracy,1
grief,2
bed,1
fantasy,1
bolt,1
material,1
issue,2
rent,3
belief,1
rhyme,1
hat,1
variety,1
consideration,1
wage,2
arrow,1
identity,1
advice,1
corpse,1
contempt,1
message,1
math,1
paradigm,1
lightning,1
necklace,1
idea,1
assumption,1
future,7
bracelet,1
despair,2
stupidity,1
skunk,1
cat,1
size,2
method,2
pawn,1
laughter,2
cottage,1
ambulance,1
puddle,1
industry,1
effect,2
crocodile,1
proof,1
waste,2
immortality,4
economy,1
property,1
chocolate,1
scholar,1
incentive,1
coffee,1
tension,2
consequence,3
lobster,1
opportunity,3
uncertainty,2
volt,1
cake,1
justification,1
self,1
safety,1
fireplace,1
grammar,1
leader,1
establishment,3
irony,1
poll,1
fisherman,1
season,7
lane,1
odor,1
event,5
thief,1
saloon,1
extent,3
introduction,3
caterpillar,1
grandmother,1
entree,1
category,1
idiom,1
arc,1
winter,6
explanation,1
moonlight,1
figure,1
shark,1
hurt,2
member,1
riddle,1
adventurer,1
worry,2
accident,2
rainbow,1
emergence,4
mud,1
comprehension,1
lily,1
edge,1
behavior,2
stick,1
mustard,1
helplessness,1
zoo,1
loafer,1
perception,1
protection,1
hatred,1
typewriter,1
effort,2
soul,1
boulder,1
candidate,1
window,1
snake,1
art,1
promotion,3
cliff,1
item,1
sedative,1
lettuce,1
supply,2
spelling,1
logic,1
majority,1
denial,1
weather,3
malice,1
street,1
month,7
betrayal,2
exclusion,2
advantage,1
holiday,5
twig,1
competence,1
duck,1
mystery,1
temperature,2
water,1
impossibility,1
truck,1
toilet,1
reduction,3
foundation,2
handkerchief,1
time,7
wallet,1
steam,1
gender,1
bottle,1
dagger,1
university,1
orchestra,2
eight,4
onion,1
disagreement,1
ignorance,1
witness,1
cranberry,1
produce,1
kite,1
grass,1
preference,1
radio,1
leadership,1
microscope,1
prediction,4
donor,1
sofa,1
sister,1
entrance,2
deputy,1
woman,1
trumpet,1
acre,1
heap,2
magnitude,2
republic,1
manner,1
poetry,1
mastery,2
willingness,1
memory,4
tennis,1
hierarchy,4
group,1
second,7
salary,2
baby,2
fight,2
rule,3
regret,2
increase,4
volcano,1
outcome,3
duel,2
example,1
combination,2
pool,1
uniform,1
island,1
atrocity,2
freedom,1
policeman,1
peace,1
branch,1
victim,1
escape,2
resort,1
road,2
mind,1
replacement,4
missile,1
border,1
lion,1
dad,1
core,1
chicken,1
drug,1
father,1
translation,1
thought,1
disappointment,2
candy,1
performance,3
vision,1
nation,1
distraction,2
bandit,1
horse,1
knife,1
beast,1
neighborhood,1
sky,1
amplitude,1
crime,2
improvement,4
diamond,1
youth,4
beaver,1
instinct,1
pretense,1
lizard,1
claim,1
electricity,1
anger,1
comparison,2
three,3
charity,1
instance,2
prop,1
artist,1
loan,2
sneeze,1
attention,1
brother,1
bullet,1
destiny,3
underworld,1
wolf,1
limitation,2
episode,4
measure,3
quality,1
site,1
knowledge,1
difference,2
sugar,1
lock,1
lisp,1
child,2
importance,1
stapler,1
view,1
sight,1
truth,1
river,1
genuine,1
bedroom,1
accomplishment,3
integrity,1
murder,2
announcement,2
fifteen,4
skull,1
reason,1
correspondent,1
boundary,1
obstruction,2
boy,1
availability,2
phenomenon,2
brute,1
atom,1
deceit,1
honesty,1
description,1
attempt,2
unit,2
summer,6
propeller,1
sadness,2
sow,1
subtraction,3
bell,1
specimen,1
proportion,2
mileage,2
recognition,1
interaction,2
alphabet,3
food,1
ballot,1
annoyance,1
arrangement,3
attitude,1
sole,1
paragraph,2
synagogue,1
margin,1
frog,1
separation,4
palace,1
mansion,1
philosophy,1
money,1
smell,1
brawl,2
nurse,1
chief,1
gesture,1
disgust,1
drama,2
butterfly,1
photo,2
inch,3
football,1
darkness,1
aspect,1
gorilla,1
marriage,4
origin,4
recital,3
information,1
dynasty,3
legality,1
punishment,2
diversity,1
envy,1
heresy,1
speech,2
traveler,2
eyeball,1
unity,1
evidence,1
elephant,1
jewel,1
situation,2
blade,1
permission,1
gun,1
shape,1
engagement,4
selection,2
corn,1
thorn,1
tax,2
autumn,6
burner,1
satisfaction,1
revenge,2
diet,2
band,1
robin,1
brevity,5
psalm,1
bank,1
dozen,3
production,3
mile,3
mother,1
ceiling,1
determination,1
ceremony,3
enemy,1
shame,1
parish,1
standard,2
curfew,5
ball,1
ring,1
