word,rating
suit,3
performance,3
cognition,2
hat,2
disappointment,5
city,3
independence,4
hotel,2
guilt,4
bubble,1
marriage,7
neighborhood,5
adversity,4
crown,3
fisherman,2
peach,1
lion,1
vapor,1
fantasy,2
advice,6
metaphor,2
blade,1
arc,1
lamp,1
square,1
accident,3
attitude,4
material,1
outcome,2
error,2
puddle,1
comparison,3
regulation,3
cowardice,4
engagement,7
site,1
professor,3
mosquito,1
mold,1
irony,3
contempt,5
purpose,2
knife,2
opportunity,3
curfew,4
despair,4
anxiety,4
cloth,1
truck,1
stride,2
three,1
mind,2
sword,2
spider,1
baby,5
inn,2
bullet,1
trumpet,2
costume,2
leopard,1
diversity,5
river,1
duty,4
math,1
bell,2
ceiling,1
blood,2
landscape,1
photograph,2
consideration,5
chief,4
witness,4
insight,3
fear,4
bird,1
butter,1
equality,5
perception,3
availability,2
weather,1
hierarchy,5
toilet,1
principle,3
propeller,1
future,3
riddle,2
promotion,4
annoyance,4
advantage,3
spelling,1
key,2
typewriter,1
sight,2
occasion,3
gun,2
odor,1
ambulance,2
past,2
lane,1
decision,3
volt,1
band,4
ocean,1
sedative,1
rabbit,1
opposition,5
clean,1
boy,4
riot,5
nerve,3
confidence,4
frustration,4
specialist,3
recognition,4
kitten,2
pawn,4
selection,2
mile,1
genuine,3
beetle,1
job,3
towel,1
issue,3
dynasty,5
sandal,1
establishment,3
dagger,2
neck,2
stapler,1
fight,5
lightning,1
lunch,3
second,1
child,5
exclusion,5
description,2
art,2
suggestion,5
development,2
magnitude,1
institute,2
sow,1
alley,2
time,2
honesty,5
produce,1
arrangement,3
bag,1
intention,3
group,5
body,2
rebel,4
midnight,2
drama,5
distraction,3
bracelet,3
proportion,1
horse,1
crime,4
core,1
personality,4
park,3
disaster,3
cocktail,3
suspect,4
philosophy,2
literature,2
limitation,3
magic,2
conscience,4
teacher,5
destiny,3
murder,4
assistance,5
escape,3
affection,7
ability,2
cake,2
football,4
brain,2
psalm,2
fountain,1
imagination,2
state,2
majority,4
tool,1
incentive,3
stranger,5
interaction,6
enemy,6
stick,1
leader,5
competence,3
bedroom,2
cottage,2
pest,2
subtraction,1
lake,1
jacket,1
volume,1
spirit,3
orchestra,4
improvement,3
darkness,2
chicken,1
mileage,1
steam,1
thought,2
criticism,5
reality,2
segment,1
robin,1
student,4
dozen,1
diet,2
rent,3
charity,5
security,3
helplessness,4
sadness,4
sole,1
apple,1
file,1
proof,2
island,1
reflex,1
intelligence,3
accomplishment,3
lettuce,1
physics,1
vocabulary,1
saloon,3
disagreement,6
revenge,5
protection,4
visitor,4
alphabet,1
brevity,2
synagogue,4
wolf,2
shrimp,1
duration,1
lamb,1
circuit,1
cup,1
conclusion,2
want,3
preference,3
grammar,1
reinforcement,3
idiom,2
forest,1
worry,4
branch,1
orchid,1
oven,1
effect,2
salary,3
atom,1
variety,2
beauty,3
assumption,3
republic,4
object,1
belief,3
combination,2
guide,4
factory,2
real,1
effort,3
chocolate,2
flavor,1
composer,3
cucumber,1
hobby,3
empire,4
topic,2
pool,3
ally,6
mercy,5
scent,1
beaver,1
theory,1
drum,2
opinion,4
border,3
nose,1
safety,3
appeal,4
correspondent,4
number,1
tree,1
traveler,3
television,2
refrigerator,1
disgust,4
crisis,4
cause,3
lobster,1
shark,1
temperature,1
satisfaction,3
ditch,1
shame,5
flask,1
supply,2
menu,1
calculation,1
outfit,2
deputy,4
miracle,3
increase,1
lemon,1
attention,3
month,1
rule,3
snow,1
coupon,1
tension,5
