word,rating
admiration,7
robbery,2
peach,4
property,3
liar,7
figure,5
pie,4
lily,6
marriage,7
banana,3
tongue,5
steam,4
form,2
visitor,6
impossibility,3
situation,5
interaction,7
hog,2
vapor,4
acquisition,5
brawl,7
establishment,4
instructor,6
bird,5
opera,7
logic,2
fate,6
grammar,3
laughter,7
ignition,4
location,5
magnitude,6
soul,7
empty,2
rabbit,5
stimulus,6
rule,4
advice,7
queen,5
girl,6
decision,7
safety,6
hatred,7
confidence,7
boy,5
rent,4
crisis,6
extent,5
orchid,6
stranger,7
lock,4
betrayal,7
photo,3
macaroni,4
majority,5
electricity,6
fat,2
inn,4
road,5
capacity,6
view,5
personality,7
dove,6
brute,2
ambulance,5
pig,4
boundary,6
idea,7
baby,5
weather,4
vocabulary,6
flavor,5
toilet,2
show,4
murder,7
teacher,6
genuine,7
rainbow,5
foundation,6
fifteen,3
pond,4
acre,2
intention,7
skull,5
assistance,6
adversity,7
evidence,5
bag,4
square,3
menu,4
individual,6
punishment,7
reality,5
production,6
witness,7
dimension,6
advantage,7
hierarchy,5
crocodile,2
volume,4
degree,6
damage,7
rhyme,5
idiom,4
bottle,3
fisherman,5
mustard,4
behavior,6
body,7
faith,5
winter,4
purpose,6
determination,7
cloth,3
meeting,5
dagger,2
frustration,7
fog,4
philosophy,6
standard,5
eyeball,4
annoyance,7
democracy,6
cranberry,5
sword,2
loan,4
chicken,3
tide,5
law,6
cup,4
sofa,3
originality,7
weight,5
roof,4
candidate,6
job,5
subtraction,2
robin,4
necklace,5
ballot,6
memory,7
station,4
chair,3
refrigerator,2
result,6
thief,7
pimple,4
skunk,2
reputation,7
accident,6
method,5
parish,3
eight,4
justification,7
animal,5
sole,3
play,4
tendency,6
chipmunk,5
shirt,4
reinforcement,7
corporation,6
pawn,2
volt,4
money,5
cognition,7
talent,6
alligator,2
republic,5
orchestra,7
dad,6
door,4
beverage,5
suit,3
grief,7
misery,7
margin,4
response,6
site,5
ball,3
car,4
mile,5
season,6
disagreement,7
ability,6
tradition,5
speech,4
recital,7
requirement,6
theory,5
opinion,7
sadness,7
security,6
month,4
lake,5
band,3
stick,2
retention,6
revenge,7
atom,4
permission,2
frog,3
sneeze,4
ownership,6
trust,7
reduction,3
cow,2
character,6
accomplishment,7
policeman,4
increase,5
sandal,3
independence,7
window,2
wood,1
duel,5
christmas,6
bridge,4
deduction,3
territory,5
comprehension,7
equality,6
irrigation,2
bolt,3
moment,5
beast,4
bell,2
division,3
information,6
palace,5
crime,4
chlorine,2
river,3
paradigm,5
separation,6
state,4
cake,2
potato,1
lemon,3
mercy,7
suggestion,6
