word,rating
lake,2
ambition,4
chance,3
individual,2
apology,3
opponent,2
boredom,5
cowardice,2
beetle,1
silence,4
bet,3
animal,1
coupon,2
faith,3
liar,2
lip,1
tongue,1
originality,2
ankle,1
potato,1
accumulation,5
outfit,1
chair,1
cognition,3
station,4
disaster,3
real,2
dilemma,4
scene,3
ally,2
ownership,3
theory,4
reinforcement,5
puppy,1
guide,6
damage,3
circumstance,5
state,5
response,6
key,4
boat,2
degree,7
crown,1
myth,3
blood,1
deduction,5
forest,1
latch,2
tune,4
show,6
interior,2
starch,1
mankind,2
infection,3
fabric,1
wood,1
tragedy,5
germ,1
iron,1
spider,1
calendar,7
affection,2
photograph,4
territory,3
incident,5
vapor,1
dentist,3
sword,1
flavor,2
clean,2
consistency,4
appeal,3
identification,6
fact,5
route,6
linen,1
macaroni,1
skin,1
stride,4
writing,5
roof,2
menu,3
division,5
value,4
suit,2
lamp,1
personality,3
contract,6
cloth,1
amount,7
intention,4
magic,2
confidence,5
duration,7
sandal,1
thing,3
mattress,2
addition,6
newspaper,5
opposition,4
leopard,1
pigeon,1
clearance,5
opinion,4
play,3
heart,2
irrigation,6
clothing,2
distance,7
fate,5
calculation,6
number,7
wisdom,4
vocabulary,3
talent,3
character,4
nose,1
salad,1
tree,2
risk,5
definition,6
ditch,1
hobby,3
adversity,5
inn,2
butter,1
pyramid,4
tomato,1
riot,5
independence,6
itch,1
temple,3
teacher,4
brain,5
occupation,5
ignition,7
suspect,4
costume,2
door,3
necessity,6
equality,5
orchid,1
bag,2
dove,1
chlorine,1
reflex,4
conference,6
result,6
helmet,3
beauty,2
shortness,5
verse,4
exception,5
bird,1
circuit,7
queen,2
charter,6
principle,6
music,3
want,4
relief,5
moral,4
jerk,1
metaphor,5
scent,2
girl,1
tradition,6
development,7
crisis,6
bubble,3
camera,4
pond,1
decision,6
job,5
frustration,5
error,5
student,4
reputation,5
fear,5
tool,3
shrimp,1
refrigerator,6
empty,7
kindness,2
impairment,5
wish,4
alligator,1
moment,7
injury,5
master,4
file,6
factory,5
body,3
weight,4
tide,6
lemon,1
television,5
coffin,5
admiration,3
tip,2
complication,2
shock,3
past,6
park,2
line,4
nerve,2
income,3
specialist,3
lesson,4
cause,4
squeak,1
insight,3
hotel,2
peacemaker,3
law,5
conscience,4
misery,2
dimension,4
pill,2
alley,1
banana,1
pest,2
debt,3
march,5
justice,5
sanctuary,3
meeting,4
cucumber,1
expression,3
opera,2
significance,4
intelligence,4
object,3
tallness,2
grasshopper,1
purpose,5
mosquito,1
assault,3
pillow,2
anxiety,4
hope,5
fountain,2
benefactor,3
love,6
drum,2
stimulus,4
beverage,1
mountain,3
capacity,5
awareness,4
danger,5
raspberry,1
reality,5
acquisition,4
snow,2
appointment,6
ocean,3
wave,4
composer,3
guilt,4
payment,5
jacket,2
city,3
lamb,1
retention,5
requirement,6
miracle,4
segment,5
oven,2
kitten,1
trust,5
flask,2
preparation,6
imagination,4
bridge,5
towel,1
coincidence,3
context,5
hospital,4
article,3
mercy,4
rabbit,1
spirit,4
rebel,4
interruption,4
design,4
criticism,5
duty,6
fog,2
peach,1
professor,3
friendship,6
cup,1
length,7
form,4
lunch,2
square,5
empire,5
pimple,1
shirt,2
pile,3
abundance,3
visitor,3
responsibility,6
location,5
corporation,4
literature,3
laundry,2
landscape,4
eagle,1
presence,5
tendency,5
construction,6
regulation,6
rocket,5
church,3
doctor,4
topic,4
midnight,7
conclusion,5
neck,2
car,4
fat,1
volume,6
story,4
physics,5
security,6
hog,1
name,3
lens,2
cow,1
chipmunk,1
christmas,4
possibility,7
suggestion,5
fallacy,4
robbery,5
assistance,6
distribution,6
skill,5
stranger,3
record,6
instructor,4
mold,2
occasion,7
hurricane,5
medicine,5
cocktail,1
institute,4
pig,1
guess,3
uncle,2
owner,4
hazard,6
desk,2
apple,1
pie,1
convergence,5
ability,5
democracy,6
grief,5
bed,3
fantasy,4
bolt,2
material,5
issue,5
rent,5
belief,5
rhyme,3
hat,1
variety,4
consideration,6
wage,5
arrow,2
identity,6
advice,5
corpse,1
contempt,4
message,5
math,5
paradigm,6
lightning,3
necklace,2
idea,7
assumption,6
future,7
bracelet,1
despair,5
stupidity,2
skunk,1
cat,1
size,4
method,5
pawn,1
laughter,3
cottage,2
ambulance,4
puddle,2
industry,6
effect,5
crocodile,2
proof,3
waste,4
immortality,6
economy,5
property,4
chocolate,2
scholar,3
incentive,4
coffee,2
tension,4
consequence,5
lobster,1
opportunity,6
uncertainty,5
volt,1
cake,2
justification,5
self,3
safety,4
fireplace,2
grammar,3
leader,5
establishment,4
irony,3
poll,4
fisherman,1
season,7
lane,3
odor,2
event,6
thief,2
saloon,1
extent,5
introduction,4
caterpillar,1
grandmother,3
entree,2
category,4
idiom,3
arc,4
winter,7
explanation,5
moonlight,4
figure,5
shark,1
hurt,3
member,4
riddle,2
adventurer,3
worry,5
accident,4
rainbow,2
emergence,6
mud,1
comprehension,5
lily,2
edge,4
behavior,5
stick,3
mustard,2
helplessness,5
zoo,1
loafer,2
perception,6
protection,5
hatred,4
typewriter,3
effort,5
soul,6
boulder,2
candidate,5
window,4
snake,1
art,4
promotion,5
cliff,3
item,4
sedative,3
lettuce,2
supply,5
spelling,4
logic,6
majority,5
denial,5
weather,6
malice,4
street,3
month,7
betrayal,5
exclusion,5
advantage,6
holiday,6
twig,2
competence,5
duck,1
mystery,4
temperature,7
water,3
impossibility,6
truck,3
toilet,2
reduction,5
foundation,5
handkerchief,1
time,7
wallet,4
steam,3
gender,5
bottle,3
dagger,2
university,6
orchestra,4
eight,1
onion,2
disagreement,5
ignorance,5
witness,5
cranberry,1
produce,5
kite,3
grass,2
preference,6
radio,4
leadership,6
microscope,5
prediction,7
donor,5
sofa,2
sister,3
entrance,5
deputy,5
woman,4
trumpet,3
acre,1
heap,3
magnitude,6
republic,5
manner,4
poetry,4
mastery,6
willingness,5
memory,7
tennis,2
hierarchy,5
group,4
second,7
salary,5
baby,3
fight,4
rule,6
regret,5
increase,6
volcano,2
outcome,6
duel,3
example,5
combination,5
pool,3
uniform,4
island,2
atrocity,5
freedom,7
policeman,4
peace,7
branch,3
victim,4
escape,6
resort,4
road,4
mind,6
replacement,5
missile,2
border,4
lion,1
dad,3
core,5
chicken,2
drug,4
father,3
translation,5
thought,6
disappointment,5
candy,2
performance,5
vision,6
nation,5
distraction,4
bandit,1
horse,3
knife,2
beast,1
neighborhood,4
sky,3
amplitude,6
crime,5
improvement,6
diamond,4
youth,4
beaver,2
instinct,2
pretense,3
lizard,1
claim,4
electricity,5
anger,3
comparison,6
three,7
charity,4
instance,5
prop,2
artist,3
loan,6
sneeze,1
attention,5
brother,4
bullet,2
destiny,7
underworld,1
wolf,2
limitation,4
episode,6
measure,5
quality,3
site,4
knowledge,5
difference,6
sugar,2
lock,4
lisp,1
child,3
importance,5
stapler,2
view,4
sight,3
truth,5
river,6
genuine,4
bedroom,3
accomplishment,7
integrity,5
murder,1
announcement,6
fifteen,7
skull,2
reason,6
correspondent,4
boundary,5
obstruction,3
boy,3
availability,6
phenomenon,5
brute,1
atom,7
deceit,2
honesty,5
description,4
attempt,5
unit,7
summer,6
propeller,3
sadness,2
sow,1
subtraction,6
bell,4
specimen,3
proportion,5
mileage,6
recognition,5
interaction,4
alphabet,7
food,3
ballot,6
annoyance,2
arrangement,5
attitude,4
sole,1
paragraph,5
synagogue,3
margin,4
frog,1
separation,5
palace,3
mansion,2
philosophy,6
money,4
smell,2
brawl,1
nurse,3
chief,4
gesture,3
disgust,2
drama,5
butterfly,3
photo,4
inch,7
football,6
darkness,1
aspect,5
gorilla,1
marriage,6
origin,7
recital,5
information,6
dynasty,7
legality,4
punishment,3
diversity,5
envy,2
heresy,1
speech,5
traveler,6
eyeball,2
unity,5
evidence,6
elephant,1
jewel,3
situation,5
blade,2
permission,4
gun,1
shape,4
engagement,6
selection,5
corn,2
thorn,1
tax,6
autumn,7
burner,3
satisfaction,5
revenge,2
diet,4
band,3
robin,1
brevity,4
psalm,5
bank,6
dozen,7
production,6
mile,7
mother,4
ceiling,2
determination,5
ceremony,6
enemy,3
shame,2
parish,3
standard,5
curfew,6
ball,4
ring,5
