word,rating
scholar,6
deputy,5
produce,2
woman,3
scent,1
ambulance,4
doctor,6
obstruction,5
three,1
flavor,2
volcano,3
cow,4
ankle,1
clearance,5
nerve,4
helmet,3
chief,6
cake,2
manner,5
pill,4
robbery,6
marriage,7
spirit,5
speech,4
scene,3
math,1
freedom,7
atom,2
kindness,6
cat,1
ballot,4
abundance,5
incentive,6
guess,2
effort,5
pond,1
impairment,4
grass,2
belief,6
door,3
conclusion,5
photograph,2
photo,1
explanation,4
chocolate,3
candy,2
sword,5
presence,6
admiration,7
lobster,1
jerk,4
knife,5
crime,6
betrayal,7
microscope,2
bracelet,3
emergence,5
mansion,4
escape,6
heresy,7
stimulus,5
deduction,6
reduction,4
pig,1
sugar,2
lamb,3
loan,4
frog,1
lane,2
gorilla,3
flask,4
music,5
willingness,7
hurt,4
combination,5
lightning,3
foundation,6
confidence,7
contempt,5
contract,4
skin,2
magic,3
conscience,7
evidence,6
response,5
addition,4
ceiling,2
brawl,5
pimple,3
temple,4
saloon,2
integrity,7
suit,5
industry,6
fountain,4
occasion,3
file,2
comparison,5
border,4
sandal,3
future,6
money,5
accomplishment,7
composer,4
correspondent,5
month,2
pie,3
conference,6
burner,4
fog,1
disappointment,5
forest,2
linen,3
student,4
kitten,1
thorn,5
zoo,3
enemy,6
hurricane,4
route,2
fabric,3
boredom,1
ignorance,5
sow,2
character,6
cranberry,3
cup,1
episode,4
assistance,7
duration,5
squeak,2
paradigm,6
circuit,4
disagreement,5
hazard,3
arc,2
toilet,1
bottle,4
tool,3
snow,2
permission,6
awareness,7
heart,5
poetry,4
importance,6
pool,3
stick,2
beauty,5
subtraction,4
translation,6
pile,3
performance,5
hospital,4
criticism,6
apology,7
park,2
medicine,5
mile,3
inn,4
grandmother,1
circumstance,5
trust,7
engagement,6
location,4
lettuce,2
tradition,5
cloth,3
alphabet,4
diamond,6
moment,5
child,1
arrangement,4
island,3
variety,6
information,7
latch,2
chicken,1
artist,4
beaver,3
refrigerator,2
destiny,5
tip,4
grammar,6
hotel,3
brevity,2
shortness,1
capacity,5
worry,4
owner,3
view,2
denial,5
issue,6
personality,7
boy,1
entrance,4
orchid,3
radio,2
hatred,6
opera,5
steam,4
phenomenon,2
lizard,1
visitor,3
ambition,6
mankind,7
brother,5
crocodile,1
error,4
miracle,6
bell,3
germ,2
property,7
bet,4
hog,1
bed,2
deceit,5
member,4
intention,6
hope,7
specialist,3
attitude,5
poll,4
salary,2
fireplace,3
rocket,6
past,4
misery,5
thought,7
entree,3
want,6
skull,2
margin,4
ceremony,5
extent,6
potato,1
reputation,7
determination,6
increase,5
independence,7
genuine,7
story,6
rule,7
eyeball,2
landscape,3
factory,4
injury,5
dad,6
advantage,7
electricity,3
bedroom,2
gesture,5
bridge,4
fact,6
unity,7
lisp,1
coupon,2
stranger,4
dove,6
material,5
prop,3
event,4
result,6
handkerchief,2
institute,5
announcement,4
assault,1
helplessness,5
robin,3
grasshopper,1
justification,6
thing,4
duel,5
adventurer,6
mosquito,1
revenge,5
elephant,2
segment,4
suspect,5
degree,6
anxiety,5
record,4
reflex,3
dilemma,6
replacement,5
tree,2
clean,7
lock,4
stride,6
wish,7
apple,2
reality,7
self,6
consequence,7
form,4
laughter,3
opponent,5
lily,2
lunch,3
sedative,4
menu,5
benefactor,6
duty,7
drama,5
equality,7
trumpet,2
art,6
alligator,1
lake,3
idiom,4
vocabulary,6
instance,5
cucumber,1
chance,4
nose,2
charter,5
branch,3
interruption,4
logic,6
comprehension,7
boundary,5
camera,3
tomato,1
volt,4
nation,6
volume,5
waste,2
key,4
significance,7
hat,3
figure,5
football,2
fear,4
separation,6
measure,7
puddle,1
sight,6
philosophy,7
irony,5
charity,6
advice,7
beast,1
moonlight,3
appeal,6
instructor,5
paragraph,4
economy,6
traveler,3
disaster,5
butter,2
law,7
convergence,6
state,5
instinct,4
season,3
vapor,1
diversity,7
definition,6
lesson,5
spider,1
impossibility,6
