word,properties,codes,frequencies
abominable,"['Dreadful', 'Repulsive', 'Morally reprehensible', 'Evokes disgust', 'Beyond tolerance']","['taxonomic', 'taxonomic', 'entity', 'introspective', 'introspective']","[0.4, 0.2, 0.0, 0.4]"
accessible,"['Available', 'Easy', 'Open', 'Welcoming', 'Adaptable']","['taxonomic', 'taxonomic', 'taxonomic', 'taxonomic', 'entity']","[0.8, 0.2, 0.0, 0.0]"
accurate,"['Precise', 'Correct', 'Verified', 'Reliable', 'Without error']","['taxonomic', 'taxonomic', 'entity', 'entity', 'introspective']","[0.4, 0.4, 0.0, 0.2]"
accusation,"['Formal', 'Blame', 'Legal', 'Assertion', 'Implication of fault']","['situation', 'taxonomic', 'entity', 'taxonomic', 'situation']","[0.4, 0.2, 0.4, 0.0]"
admiration,"['Respect', 'Looking up to', 'Positive feeling', 'Accomplishment', 'Awe']","['taxonomic', 'introspective', 'introspective', 'situation', 'taxonomic']","[0.4, 0.0, 0.2, 0.4]"
adoring,"['Intense', 'Regard', 'Affection', 'Devotion', 'Smiles']","['entity', 'taxonomic', 'taxonomic', 'taxonomic', 'situation']","[0.6, 0.2, 0.2, 0.0]"
affection,"['Warmth', 'Kindness', 'Caring', 'Gentle', 'Connection']","['entity', 'entity', 'entity', 'entity', 'entity']","[0.0, 1.0, 0.0, 0.0]"
affirmation,"['Positive', 'Statement', 'Self-belief', 'Encouragement', 'Repeated']","['introspective', 'taxonomic', 'entity', 'situation', 'situation']","[0.2, 0.2, 0.4, 0.2]"
affordable,"['Within reach', 'Budget-friendly', 'Reasonable price', 'Accessible', 'Cost-effective']","['taxonomic', 'taxonomic', 'taxonomic', 'taxonomic', 'taxonomic']","[1.0, 0.0, 0.0, 0.0]"
aging,"['Time', 'Gradual', 'Decline', 'Wrinkles', 'Experience']","['situation', 'situation', 'entity', 'entity', 'entity']","[0.0, 0.6, 0.4, 0.0]"
agitation,"['Restlessness', 'Anxiety', 'Stirring', 'Emotional', 'Unease']","['taxonomic', 'taxonomic', 'taxonomic', 'taxonomic', 'taxonomic']","[1.0, 0.0, 0.0, 0.0]"
agree,"['Concord', 'Shared view', 'Nodding', 'Resolution', 'Unopposed']","['taxonomic', 'entity', 'entity', 'entity', 'entity']","[0.2, 0.8, 0.0, 0.0]"
amazing,"['Inspiring awe', 'Beyond expectation', 'Remarkable', 'Positive reaction', 'Exceptional']","['introspective', 'introspective', 'taxonomic', 'introspective', 'taxonomic']","[0.4, 0.0, 0.0, 0.6]"
amused,"['Mildly pleased', 'Slight smile', 'Entertainment', 'Lighthearted', 'Not serious']","['introspective', 'entity', 'situation', 'introspective', 'introspective']","[0.0, 0.2, 0.2, 0.6]"
angry,"['Elevated heart rate', 'Facial reddening', 'Frustration', 'Raised voice', 'Reactive']","['entity', 'entity', 'entity', 'situation', 'entity']","[0.0, 0.8, 0.2, 0.0]"
