word,rating
line,1
skill,2
nose,1
knowledge,3
information,2
rainbow,1
ownership,5
faith,6
affection,3
zoo,1
correspondent,1
rebel,5
moonlight,1
photo,1
opportunity,3
anger,3
coupon,1
adventurer,2
fabric,1
itch,1
character,6
cat,1
crisis,4
danger,3
sneeze,1
identification,2
writing,1
behavior,6
tendency,3
burner,1
baby,2
variety,1
mansion,1
uncle,2
macaroni,1
prediction,2
mud,1
engagement,5
square,1
odor,1
window,1
route,1
tide,1
location,1
resort,1
destiny,4
preference,3
helmet,4
occasion,2
outcome,2
unity,4
deduction,2
fate,4
safety,5
cottage,1
irony,1
fear,3
horse,1
onion,1
peace,6
cake,1
opinion,3
bandit,5
imagination,1
tradition,5
belief,6
method,2
menu,2
measure,2
importance,3
propeller,1
park,1
development,2
escape,3
kitten,1
volcano,1
consistency,5
diamond,1
promotion,2
pillow,1
confidence,3
literature,1
incentive,4
ally,4
donor,5
magic,1
arrangement,2
boulder,1
produce,1
independence,5
autumn,1
honesty,7
island,1
love,5
poll,2
entrance,1
pest,1
shortness,1
suspect,4
example,4
cowardice,6
alley,1
opera,1
thief,6
factory,1
charter,5
lobster,1
peacemaker,6
combination,1
liar,7
degree,1
size,1
duck,1
fisherman,1
heresy,6
significance,2
vocabulary,1
guess,1
murder,7
bridge,1
boy,1
microscope,1
lisp,1
university,2
lily,1
fight,4
opposition,4
ditch,1
preparation,2
chicken,1
sow,1
salad,1
betrayal,7
mercy,7
street,1
dimension,1
calendar,1
income,2
fog,1
originality,2
curfew,6
weather,1
music,1
willingness,4
rent,4
bed,1
underworld,5
wish,2
starch,1
wallet,2
volume,1
grief,3
elephant,1
explanation,2
miracle,3
idiom,1
episode,1
announcement,2
past,2
station,1
riot,5
soul,5
effect,2
selection,2
bullet,2
stick,1
proportion,1
property,4
memory,2
contract,6
intention,5
lens,1
assumption,2
recognition,3
youth,1
silence,2
cloth,1
performance,2
recital,1
master,3
salary,2
ankle,1
mother,4
foundation,3
story,2
cucumber,1
availability,2
nurse,3
metaphor,1
grass,1
brother,3
handkerchief,1
comprehension,2
banana,1
television,1
snow,1
amount,1
suit,1
neck,1
clearance,2
standard,6
legality,7
convergence,1
art,1
trumpet,1
diet,4
institute,2
appeal,4
costume,1
prop,1
proof,3
oven,1
candy,1
contempt,5
ceremony,4
eyeball,1
dentist,2
suggestion,3
beauty,2
waste,4
chocolate,1
shirt,1
cause,4
integrity,7
hog,1
nation,3
lamb,2
conscience,7
chlorine,1
extent,1
drama,1
anxiety,3
design,1
record,2
cranberry,1
money,3
mustard,1
calculation,2
protection,4
leadership,5
adversity,3
skin,1
snake,2
mold,1
effort,3
increase,1
subtraction,1
duration,1
description,1
member,3
dynasty,2
revenge,5
production,1
skull,1
mile,1
necessity,3
ambition,3
branch,1
child,2
enemy,4
identity,3
potato,1
professor,2
mosquito,1
doctor,3
artist,1
girl,1
crocodile,1
job,4
debt,5
missile,1
palace,1
tension,2
food,1
issue,3
church,6
assistance,4
supply,1
mankind,3
stranger,2
composer,1
idea,2
appointment,4
decision,5
drum,1
chance,2
hierarchy,5
manner,5
spirit,4
bolt,1
hatred,4
show,1
conclusion,2
pig,1
lion,1
retention,1
interaction,3
tax,6
midnight,1
bracelet,1
specialist,2
risk,4
physics,1
roof,1
frog,1
grandmother,3
body,1
circuit,1
dad,3
bet,3
camera,1
impairment,2
site,1
animal,1
equality,6
poetry,1
boredom,1
response,3
coffee,1
want,2
nerve,2
corn,1
play,2
trust,7
orchestra,2
wisdom,6
inch,1
duty,7
industry,2
limitation,4
hurt,4
capacity,2
car,1
ocean,1
injury,3
radio,1
misery,3
butter,1
chipmunk,1
reflex,1
incident,3
father,3
hospital,2
unit,1
origin,1
translation,1
envy,5
mystery,2
entree,1
reality,2
principle,7
holiday,2
logic,3
arrow,1
sedative,1
kite,1
guide,4
arc,1
boundary,5
forest,1
uniform,5
blood,2
paradigm,3
alligator,1
clothing,2
message,2
mileage,1
rule,7
insight,3
medicine,2
dove,2
aspect,1
hope,3
moral,7
acquisition,2
hat,1
object,1
sadness,2
sofa,1
quality,3
leader,4
tragedy,3
corporation,3
disaster,2
state,4
second,1
rhyme,1
uncertainty,2
time,1
brute,3
gender,2
assault,6
door,1
requirement,6
beverage,1
majority,3
circumstance,2
policeman,6
beetle,1
accumulation,1
bell,1
stride,1
lizard,1
addition,1
fallacy,4
summer,1
city,2
group,3
bubble,1
exception,4
puddle,1
lock,2
presence,2
jacket,1
lake,1
introduction,2
water,1
payment,4
diversity,4
regret,5
distraction,2
football,1
figure,1
eagle,1
stupidity,4
vapor,1
psalm,5
accident,2
pyramid,1
consideration,5
distance,1
refrigerator,1
brawl,5
orchid,1
ball,1
topic,1
situation,2
peach,1
flavor,1
genuine,5
hurricane,1
bird,1
ballot,5
reinforcement,4
duel,4
parish,5
edge,1
sole,1
malice,6
winter,1
caterpillar,1
tip,2
teacher,4
scent,1
towel,1
sky,1
obstruction,4
dagger,2
wave,1
satisfaction,2
irrigation,1
reputation,5
division,2
crime,7
fact,2
electricity,1
verse,2
pie,1
complication,2
coffin,2
hobby,1
loan,4
pretense,5
territory,2
knife,2
desk,1
economy,3
saloon,1
ambulance,2
benefactor,6
event,1
dozen,1
replacement,2
photograph,1
pawn,2
woman,1
pond,1
owner,3
tree,1
determination,5
context,2
grasshopper,1
guilt,7
attempt,2
month,1
traveler,1
marriage,6
dilemma,5
bedroom,1
jerk,4
math,1
freedom,6
inn,1
three,1
acre,1
band,1
eight,1
lane,1
butterfly,1
iron,1
cognition,2
democracy,5
annoyance,2
victim,5
heart,3
twig,1
disappointment,3
spelling,4
admiration,3
fifteen,1
leopard,1
punishment,7
instance,1
coincidence,1
hotel,1
latch,1
heap,1
toilet,1
abundance,1
myth,2
charity,7
difference,1
specimen,1
instinct,3
cup,1
stimulus,2
rabbit,1
necklace,1
meeting,2
clean,3
frustration,2
pimple,1
sister,2
advantage,2
atom,1
deputy,5
smell,1
phenomenon,1
lip,1
form,2
establishment,3
mastery,3
jewel,1
despair,3
