word,response,properties
accusation,"word: accusation
properties: courtroom, denial, anger, evidence","['courtroom', 'denial', 'anger', 'evidence']"
activity,"word: activity
properties: hiking, learning, crafting, volunteering","['hiking', 'learning', 'crafting', 'volunteering']"
addiction,"word: addiction
properties: relapse, cravings, support groups, denial","['relapse', 'cravings', 'support groups', 'denial']"
admiration,"word: admiration
properties: applause, mentor, sculpture, telescope","['applause', 'mentor', 'sculpture', 'telescope']"
adventure,"word: adventure
properties: map, unknown, courage, discovery","['map', 'unknown', 'courage', 'discovery']"
agony,"word: agony
properties: scream, fracture, isolation, darkness","['scream', 'fracture', 'isolation', 'darkness']"
ambition,"word: ambition
properties: ladder, sleeplessness, legacy, fire","['ladder', 'sleeplessness', 'legacy', 'fire']"
apology,"word: apology
properties: regret, flowers, silence, amends","['regret', 'flowers', 'silence', 'amends']"
aptitude,"word: aptitude
properties: puzzles, learning, career, talent","['puzzles', 'learning', 'career', 'talent']"
argument,"word: argument
properties: raised voices, legal, debate, misunderstanding","['raised voices', 'legal', 'debate', 'misunderstanding']"
art,"word: art
properties: canvas, sculpture, museum, expression","['canvas', 'sculpture', 'museum', 'expression']"
assumption,"word: assumption
properties: guesswork, prejudice, leap, confidence","['guesswork', 'prejudice', 'leap', 'confidence']"
attention,"word: attention
properties: spotlight, listening, focus, detail","['spotlight', 'listening', 'focus', 'detail']"
attraction,"word: attraction
properties: magnetism, butterflies, amusement park, orbit","['magnetism', 'butterflies', 'amusement park', 'orbit']"
boredom,"word: boredom
properties: rain, staring, clock, sigh","['rain', 'staring', 'clock', 'sigh']"
boycott,"boycott
properties: protest, consumer, ethics, strike","['protest', 'consumer', 'ethics', 'strike']"
bravery,"word: bravery
properties: shield, mountains, silence, risk","['shield', 'mountains', 'silence', 'risk']"
career,"word: career
properties: interview, promotion, mentorship, burnout","['interview', 'promotion', 'mentorship', 'burnout']"
charm,"word: charm
properties: smile, magic, antique, confidence","['smile', 'magic', 'antique', 'confidence']"
comfort,"word: comfort
properties: blanket, rain, silence, tea","['blanket', 'rain', 'silence', 'tea']"
competence,"word: competence
properties: project, confidence, skill, trust","['project', 'confidence', 'skill', 'trust']"
compromise,"compromise
properties: negotiation, splitting, fairness, concession","['negotiation', 'splitting', 'fairness', 'concession']"
confession,"word: confession
properties: courtroom, guilt, secret, tears","['courtroom', 'guilt', 'secret', 'tears']"
consideration,"word: consideration
properties: empathy, planning, politeness, compromise","['empathy', 'planning', 'politeness', 'compromise']"
consolation,"word: consolation
properties: tea, rain, letter, silence","['tea', 'rain', 'letter', 'silence']"
contempt,"word: contempt
properties: sneer, dismissal, isolation, judgment","['sneer', 'dismissal', 'isolation', 'judgment']"
creativity,"word: creativity
properties: brainstorming, paint, invention, improvisation","['brainstorming', 'paint', 'invention', 'improvisation']"
cruelty,"word: cruelty
properties: scars, isolation, power, silence","['scars', 'isolation', 'power', 'silence']"
curiosity,"word: curiosity
properties: telescope, question, forest, puzzle","['telescope', 'question', 'forest', 'puzzle']"
custom,"word: custom
properties: tailoring, wedding, tradition, souvenir","['tailoring', 'wedding', 'tradition', 'souvenir']"
danger,"word: danger
properties: cliff, warning, storm, shadow","['cliff', 'warning', 'storm', 'shadow']"
desire,"word: desire
properties: ambition, hunger, longing, sparkle","['ambition', 'hunger', 'longing', 'sparkle']"
destruction,"word: destruction
properties: wildfire, demolition, chaos, rust","['wildfire', 'demolition', 'chaos', 'rust']"
