word,rating
corporation,1
deputy,1
brawl,1
church,1
uncle,1
moral,1
faith,1
mountain,1
shirt,1
duel,1
hospital,2
lip,3
love,1
material,1
ambulance,2
enemy,1
event,1
honesty,1
tennis,1
missile,1
origin,1
waste,2
route,1
university,1
limitation,1
poetry,1
artist,1
instructor,1
salary,1
arrangement,1
personality,1
opposition,1
pretense,1
rent,1
possibility,1
ignition,2
circumstance,1
justification,1
gesture,1
lobster,6
insight,1
selection,1
accumulation,1
student,1
topic,1
philosophy,1
gorilla,2
myth,1
misery,1
truth,1
member,1
purpose,1
temperature,2
station,1
marriage,1
outcome,1
cliff,1
puddle,2
lens,1
skin,3
complication,1
peace,1
mustard,7
beverage,7
beaver,2
consistency,3
television,1
logic,1
chief,1
brain,2
cocktail,7
danger,1
pest,2
truck,1
mercy,1
metaphor,1
intelligence,1
damage,1
explanation,1
banana,7
beast,2
oven,4
body,2
holiday,1
theory,1
rocket,1
addition,1
integrity,1
pawn,1
form,1
supply,1
attention,1
hope,1
circuit,1
annoyance,1
memory,2
stimulus,1
proof,1
empty,1
rainbow,1
charter,1
mystery,1
desk,1
music,1
hat,1
length,1
stupidity,1
donor,1
thorn,2
cottage,1
mud,3
crocodile,2
atrocity,1
teacher,1
group,1
establishment,1
zoo,2
meeting,1
site,1
horse,2
interruption,1
dentist,2
originality,1
orchestra,1
christmas,3
ceiling,1
denial,1
want,1
expression,1
shock,1
idiom,1
toilet,2
animal,2
typewriter,1
legality,1
fountain,1
subtraction,1
victim,1
unit,1
requirement,1
car,1
security,1
preparation,2
season,2
sword,1
brevity,1
future,1
menu,6
helplessness,1
woman,1
rhyme,1
cow,4
duration,1
ballot,1
cat,2
hierarchy,1
incident,1
capacity,1
blade,1
grass,2
miracle,1
autumn,3
introduction,1
chlorine,3
jerk,1
outfit,1
frog,3
attempt,1
assault,1
ceremony,1
leader,1
fisherman,3
willingness,1
grammar,1
talent,1
criticism,1
appointment,1
river,2
clearance,1
ditch,2
phenomenon,1
island,2
permission,1
flask,3
tax,1
loafer,1
calculation,1
identity,1
starch,6
fat,5
ankle,1
development,1
tool,1
ownership,1
abundance,1
visitor,1
doctor,1
laundry,2
importance,1
inch,1
cranberry,7
arc,1
girl,1
chair,1
destiny,1
magic,1
square,1
saloon,3
jewel,1
eight,1
cake,7
lily,2
second,1
wave,1
ignorance,1
laughter,1
engagement,1
boat,1
debt,1
impossibility,1
conference,1
speech,1
blood,3
opponent,1
caterpillar,2
revenge,1
wood,2
grasshopper,2
definition,1
mattress,1
ocean,3
leadership,1
bell,1
grief,1
result,1
tendency,1
combination,1
measure,1
policeman,1
anxiety,1
shape,1
sneeze,2
raspberry,7
dagger,1
linen,2
factory,1
irrigation,2
volt,1
comparison,1
paradigm,1
odor,7
