word,properties,codes,frequencies
abominable,"['Shockingly bad behavior', 'Causes moral revulsion', 'Sick to your stomach', 'Deserves intense hatred', 'Extremely unpleasant']","['entity', 'introspective', 'introspective', 'introspective', 'introspective']","[0.0, 0.2, 0.0, 0.8]"
accessible,"['Easy to reach', 'Able to enter', 'Simple to understand', 'Without barriers', 'Accommodates wheelchairs']","['entity', 'entity', 'entity', 'entity', 'entity']","[0.0, 1.0, 0.0, 0.0]"
accurate,"['Hits the bullseye', 'Zero mistakes', 'Matches reality', 'On the mark', 'Never misses']","['situation', 'entity', 'entity', 'taxonomic', 'situation']","[0.2, 0.4, 0.4, 0.0]"
accusation,"['Pointing a finger', 'Claim of wrongdoing', 'Saying ""you did it""', 'Causes defensiveness', 'Heard in courtrooms']","['situation', 'entity', 'situation', 'entity', 'situation']","[0.0, 0.4, 0.6, 0.0]"
admiration,"['Looking up to someone', 'Feeling deeply impressed', 'After seeing great achievements', 'Wishing to be like them', 'Gazing fondly']","['introspective', 'introspective', 'situation', 'introspective', 'entity']","[0.0, 0.2, 0.2, 0.6]"
adoring,"['Starry-eyed gaze', 'Putting on a pedestal', 'Viewing as entirely flawless', 'Hanging on every word', 'Smiling warmly at someone']","['entity', 'situation', 'introspective', 'situation', 'entity']","[0.0, 0.4, 0.4, 0.2]"
affection,"['Gentle feeling', 'Tender touch', 'Shown by hugging', 'Emotional bond', 'Publicly displayed']","['introspective', 'situation', 'situation', 'entity', 'situation']","[0.0, 0.2, 0.6, 0.2]"
affirmation,"['Positive phrase', 'Spoken to yourself', 'Repeated daily', 'Boosts self-esteem', 'Counters negative thinking']","['entity', 'situation', 'situation', 'situation', 'situation']","[0.0, 0.2, 0.8, 0.0]"
affordable,"['Fits the budget', 'Within your means', 'Easy to pay for', 'Low price tag', ""Won't drain savings""]","['introspective', 'introspective', 'introspective', 'entity', 'introspective']","[0.0, 0.2, 0.0, 0.8]"
aging,"['Growing older', 'Getting wrinkles', 'Hair turning gray', 'Losing youth', 'Body slowing down']","['entity', 'entity', 'entity', 'entity', 'entity']","[0.0, 1.0, 0.0, 0.0]"
agitation,"['Stirred up inside', 'Cannot sit still', 'Pacing around', 'Wringing hands', 'Emotional distress']","['introspective', 'entity', 'entity', 'entity', 'taxonomic']","[0.2, 0.6, 0.0, 0.2]"
agree,"['Same opinion', 'Nodding head', 'Saying yes', 'Shaking hands', 'On the same page']","['entity', 'entity', 'entity', 'situation', 'entity']","[0.0, 0.8, 0.2, 0.0]"
amazing,"['Causes sudden wonder', 'Jaw drops', 'Hard to believe', 'Leaves you speechless', 'Better than expected']","['introspective', 'entity', 'introspective', 'entity', 'introspective']","[0.0, 0.4, 0.0, 0.6]"
angry,"['Clenched fists', 'Red face', 'Furrowed brow', 'Raised voice', 'After being treated unfairly']","['entity', 'entity', 'entity', 'entity', 'situation']","[0.0, 0.8, 0.2, 0.0]"
angst,"['Inner turmoil', 'Existential dread', 'Common in teenagers', 'Brooding mood', 'Feeling misunderstood']","['entity', 'entity', 'situation', 'entity', 'entity']","[0.0, 0.8, 0.2, 0.0]"
annoyed,"['Rolling eyes', 'Sighing heavily', 'Grating on nerves', 'Losing patience', 'Caused by minor inconveniences']","['entity', 'entity', 'entity', 'entity', 'situation']","[0.0, 0.8, 0.2, 0.0]"
anxious,"['Racing heart', 'Biting nails', 'Pacing', 'Overthinking the future', 'Unable to relax']","['entity', 'situation', 'situation', 'introspective', 'introspective']","[0.0, 0.2, 0.4, 0.4]"
appeal,"['After losing a trial', 'Higher court', 'Try to overturn a verdict', 'Review of legal errors', 'Hope for a reversal']","['situation', 'situation', 'situation', 'situation', 'introspective']","[0.0, 0.0, 0.8, 0.2]"
appreciation,"['Realizing true worth', 'Noticing effort', 'Saying thank you', 'Felt after receiving help', 'Not taking for granted']","['introspective', 'introspective', 'situation', 'introspective', 'introspective']","[0.0, 0.0, 0.2, 0.8]"
ashamed,"['Lowered head', 'Avoiding eye contact', 'After doing something wrong', 'Wanting to hide', 'Feeling bad about yourself']","['entity', 'entity', 'situation', 'introspective', 'introspective']","[0.0, 0.4, 0.2, 0.4]"
assassinate,"['Take a life', 'Powerful victim', 'Political motive', 'Secretly planned', 'Surprise attack']","['entity', 'situation', 'situation', 'situation', 'situation']","[0.0, 0.2, 0.8, 0.0]"
astonished,"['Dropped jaw', 'Wide eyes', 'Total disbelief', 'Unable to speak', 'After seeing the impossible']","['entity', 'entity', 'entity', 'entity', 'situation']","[0.0, 0.8, 0.2, 0.0]"
atrocity,"['Extremely wicked act', 'Shocking cruelty', 'Severe physical violence', 'Happens during wars', 'Provokes moral outrage']","['entity', 'entity', 'entity', 'situation', 'introspective']","[0.0, 0.6, 0.2, 0.2]"
avenge,"['Strike back', 'Right a wrong', 'Punish the guilty', 'Act for a victim', 'Restore justice']","['situation', 'situation', 'situation', 'situation', 'situation']","[0.0, 0.0, 1.0, 0.0]"
aversion,"['Strong urge to avoid', 'Turning away', 'Unwillingness to engage', 'Common with certain foods', 'Common with taking risks']","['introspective', 'entity', 'introspective', 'situation', 'situation']","[0.0, 0.2, 0.4, 0.4]"
blessing,"['Divine favor', 'Bestowed by clergy', 'Said before meals', 'Sign of approval', 'Evokes deep gratitude']","['entity', 'situation', 'situation', 'situation', 'introspective']","[0.0, 0.2, 0.6, 0.2]"
bliss,"['Serene smile', 'Total absence of worry', 'Highest positive emotion', 'When you are ignorant', 'Perfect mental state']","['entity', 'introspective', 'introspective', 'introspective', 'introspective']","[0.0, 0.2, 0.0, 0.8]"
calamity,"['Sudden terrible event', 'Extreme damage', 'Heavy loss', 'Intense distress', 'Widespread suffering']","['entity', 'entity', 'entity', 'entity', 'entity']","[0.0, 1.0, 0.0, 0.0]"
callous,"['Emotionally hardened', ""Disregards others' feelings"", 'Shows no pity', 'Unmoved by suffering', 'Like toughened skin']","['entity', 'entity', 'entity', 'entity', 'introspective']","[0.0, 0.8, 0.0, 0.2]"
carelessness,"['Not paying attention', 'Acting without thinking', 'Making avoidable mistakes', 'Failing to double-check', 'Causing preventable accidents']","['introspective', 'situation', 'situation', 'situation', 'entity']","[0.0, 0.2, 0.6, 0.2]"
charitable,"['Donating money', 'Helping the needy', 'Volunteering time', 'Without personal gain', 'Tax-deductible']","['situation', 'situation', 'situation', 'situation', 'entity']","[0.0, 0.2, 0.8, 0.0]"
cheerful,"['Big smile', 'Pleasant voice', 'Humming a tune', 'Pep in step', 'Full of good spirits']","['entity', 'entity', 'entity', 'entity', 'entity']","[0.0, 1.0, 0.0, 0.0]"
childlike,"['Wide-eyed wonder', 'Unquestioning trust', 'Playfully imaginative', 'Pure simplicity', 'Unspoiled by adulthood']","['entity', 'entity', 'entity', 'entity', 'entity']","[0.0, 1.0, 0.0, 0.0]"
clever,"['Mentally quick', 'Learns rapidly', 'Finds original solutions', 'Thinks on their feet', 'Good at tricks']","['entity', 'entity', 'entity', 'entity', 'entity']","[0.0, 1.0, 0.0, 0.0]"
clueless,"['Zero understanding', 'Blank stare', 'Has absolutely no idea', 'Misses the obvious', 'Completely lost']","['entity', 'entity', 'entity', 'entity', 'taxonomic']","[0.2, 0.8, 0.0, 0.0]"
cocky,"['Excessively self-assured', 'Struts around', 'Wears a smirk', 'Acts unbeatable', 'Brags prematurely']","['entity', 'entity', 'entity', 'entity', 'entity']","[0.0, 1.0, 0.0, 0.0]"
coerce,"['Unwilling person', 'Use threats', 'Demand action', 'Remove choice', 'Secure compliance']","['situation', 'situation', 'situation', 'situation', 'situation']","[0.0, 0.0, 1.0, 0.0]"
commitment,"['Keeping your word', 'Standing by a decision', 'Investing time and effort', 'No backing out', 'Seeing it through']","['situation', 'situation', 'situation', 'introspective', 'situation']","[0.0, 0.0, 0.8, 0.2]"
completion,"['100% progress', 'Status bar full', 'Nothing left to do', 'Reaching the final step', 'All requirements met']","['entity', 'entity', 'entity', 'situation', 'entity']","[0.0, 0.8, 0.2, 0.0]"
conceit,"['Inflated self-worth', 'Endless self-admiration', 'Constant bragging', 'Nose in the air', 'Looking down on others']","['entity', 'entity', 'entity', 'entity', 'entity']","[0.0, 1.0, 0.0, 0.0]"
conspire,"['Multiple people', 'Work together', 'Secret planning', 'Harmful intent', 'Unlawful goal']","['introspective', 'situation', 'situation', 'entity', 'situation']","[0.0, 0.2, 0.6, 0.2]"
contempt,"['Feeling superior', 'Judging as worthless', 'Beneath consideration', 'Sneering', 'Rolling eyes']","['entity', 'entity', 'entity', 'entity', 'entity']","[0.0, 1.0, 0.0, 0.0]"
courage,"['Inner strength', 'Acting despite fear', 'Facing danger', 'Taking risks', 'Standing up for beliefs']","['entity', 'situation', 'situation', 'situation', 'situation']","[0.0, 0.2, 0.8, 0.0]"
