word,response,properties
ability,"word: ability
properties: practice, limitations, unlock, confidence","['practice', 'limitations', 'unlock', 'confidence']"
accusation,"word: accusation
properties: finger pointing, courtroom, doubt, betrayal","['finger pointing', 'courtroom', 'doubt', 'betrayal']"
achievement,"word: achievement
properties: medal, effort, goal, celebration","['medal', 'effort', 'goal', 'celebration']"
activity,"word: activity
properties: sweat, schedule, children, energy","['sweat', 'schedule', 'children', 'energy']"
addiction,"word: addiction
properties: withdrawal, relapse, dopamine, isolation","['withdrawal', 'relapse', 'dopamine', 'isolation']"
admiration,"word: admiration
properties: trophy, applause, role model, breathless","['trophy', 'applause', 'role model', 'breathless']"
advantage,"word: advantage
properties: competition, leverage, head start, exploit","['competition', 'leverage', 'head start', 'exploit']"
adventure,"word: adventure
properties: mountains, unknown, excitement, risk","['mountains', 'unknown', 'excitement', 'risk']"
advice,"word: advice
properties: mentor, hesitation, unsolicited, crossroads","['mentor', 'hesitation', 'unsolicited', 'crossroads']"
agony,"word: agony
properties: twisted, silence, hospital, drowning","['twisted', 'silence', 'hospital', 'drowning']"
agreement,"word: agreement
properties: handshake, contract, compromise, nod","['handshake', 'contract', 'compromise', 'nod']"
amazement,"word: amazement
properties: wide eyes, jaw drop, frozen moment, discovery","['wide eyes', 'jaw drop', 'frozen moment', 'discovery']"
ambition,"word: ambition
properties: climbing, sleepless, sacrifice, climb","['climbing', 'sleepless', 'sacrifice', 'climb']"
ambush,"word: ambush
properties: jungle, soldiers, trap, surprise","['jungle', 'soldiers', 'trap', 'surprise']"
amusement,"word: amusement
properties: carousel, laughter, distraction, tickets","['carousel', 'laughter', 'distraction', 'tickets']"
anger,"word: anger
properties: fist, red, storm, betrayal","['fist', 'red', 'storm', 'betrayal']"
anxiety,"word: anxiety
properties: racing heart, blank mind, perfectionism, waiting room","['racing heart', 'blank mind', 'perfectionism', 'waiting room']"
apology,"word: apology
properties: mistake, forgiveness, sincere, repair","['mistake', 'forgiveness', 'sincere', 'repair']"
appearance,"word: appearance
properties: mirror, first impression, makeup, deceptive","['mirror', 'first impression', 'makeup', 'deceptive']"
appetite,"word: appetite
properties: growling stomach, dessert, travel, satisfaction","['growling stomach', 'dessert', 'travel', 'satisfaction']"
application,"word: application
properties: form, smartphone, job interview, waiting","['form', 'smartphone', 'job interview', 'waiting']"
aptitude,"word: aptitude
properties: test, musician, natural, struggle","['test', 'musician', 'natural', 'struggle']"
argument,"word: argument
properties: raised voices, kitchen table, compromise, logical fallacy","['raised voices', 'kitchen table', 'compromise', 'logical fallacy']"
art,"word: art
properties: canvas, museum, expression, paint","['canvas', 'museum', 'expression', 'paint']"
aspect,"word: aspect
properties: angle, compromise, examine, facet","['angle', 'compromise', 'examine', 'facet']"
assassination,"word: assassination
properties: conspiracy, history, politics, violence","['conspiracy', 'history', 'politics', 'violence']"
assumption,"word: assumption
properties: quicksand, detective, foundation, gamble","['quicksand', 'detective', 'foundation', 'gamble']"
astonishment,"word: astonishment
properties: jaw dropping, wide eyes, frozen moment, speechless","['jaw dropping', 'wide eyes', 'frozen moment', 'speechless']"
attack,"word: attack
properties: predator, fortress, heart, sudden","['predator', 'fortress', 'heart', 'sudden']"
attention,"word: attention
properties: spotlight, distraction, reward, eyes","['spotlight', 'distraction', 'reward', 'eyes']"
attraction,"word: attraction
properties: magnet, gravity, amusement park, chemistry","['magnet', 'gravity', 'amusement park', 'chemistry']"
beauty,"word: beauty
properties: mirror, rose, peacock, sunset","['mirror', 'rose', 'peacock', 'sunset']"
being,"word: being
properties: breathing, existence, human, present","['breathing', 'existence', 'human', 'present']"
betrayal,"word: betrayal
properties: knife in the back, trust broken, friend becomes enemy, silence after","['knife in the back', 'trust broken', 'friend becomes enemy', 'silence after']"
blackmail,"word: blackmail
properties: envelope, secrets, threat, money","['envelope', 'secrets', 'threat', 'money']"
boredom,"word: boredom
properties: clock, scrolling, yawn, waiting","['clock', 'scrolling', 'yawn', 'waiting']"
boycott,"word: boycott
properties: protest, grapes, business loss, unity","['protest', 'grapes', 'business loss', 'unity']"
bravery,"word: bravery
properties: fire, soldier, trembling hands, mountain climb","['fire', 'soldier', 'trembling hands', 'mountain climb']"
career,"word: career
properties: ladder, resume, promotion, cubicle","['ladder', 'resume', 'promotion', 'cubicle']"
carefulness,"word: carefulness
properties: checking twice, fragile objects, slow movements, fear of mistakes","['checking twice', 'fragile objects', 'slow movements', 'fear of mistakes']"
catastrophe,"word: catastrophe
properties: earthquake, drowning, helplessness, rubble","['earthquake', 'drowning', 'helplessness', 'rubble']"
caution,"word: caution
properties: yellow tape, slippery floor, hesitation, accident","['yellow tape', 'slippery floor', 'hesitation', 'accident']"
challenge,"word: challenge
properties: mountain, strength, competition, growth","['mountain', 'strength', 'competition', 'growth']"
chaos,"word: chaos
properties: tornado, lost, screaming, scattered","['tornado', 'lost', 'screaming', 'scattered']"
character,"word: character
properties: flaws, story, actor, morality","['flaws', 'story', 'actor', 'morality']"
charm,"word: charm
properties: spell, bracelet, smile, magic","['spell', 'bracelet', 'smile', 'magic']"
comfort,"word: comfort
properties: blanket, sigh, couch, familiar","['blanket', 'sigh', 'couch', 'familiar']"
commitment,"word: commitment
properties: wedding ring, alarm clock, breaking promises, chains","['wedding ring', 'alarm clock', 'breaking promises', 'chains']"
comparison,"word: comparison
properties: scale, choice, mirror, gap","['scale', 'choice', 'mirror', 'gap']"
compassion,"word: compassion
properties: suffering, nurse, tears, bridge","['suffering', 'nurse', 'tears', 'bridge']"
competence,"word: competence
properties: certification, surgeon, confidence, mastery","['certification', 'surgeon', 'confidence', 'mastery']"
compromise,"word: compromise
properties: negotiation table, lose-lose, political debate, splitting the bill","['negotiation table', 'lose-lose', 'political debate', 'splitting the bill']"
compulsion,"word: compulsion
properties: nail-biting, confession, gambling, trapped","['nail-biting', 'confession', 'gambling', 'trapped']"
confession,"word: confession
properties: priest, guilt, secret, forgiveness","['priest', 'guilt', 'secret', 'forgiveness']"
conflict,"word: conflict
properties: resolution, opposing sides, tension, consequences","['resolution', 'opposing sides', 'tension', 'consequences']"
consideration,"word: consideration
properties: weighing options, patience, someone listening, compromise","['weighing options', 'patience', 'someone listening', 'compromise']"
consolation,"word: consolation
properties: tears, loss, warm voice, empty chair","['tears', 'loss', 'warm voice', 'empty chair']"
contempt,"word: contempt
properties: sneer, hierarchy, dismissal, poison","['sneer', 'hierarchy', 'dismissal', 'poison']"
convention,"word: convention
properties: business conference, formal dress code, breaking rules, hotel ballroom","['business conference', 'formal dress code', 'breaking rules', 'hotel ballroom']"
cooperation,"word: cooperation
properties: puzzle, agreement, team sport, progress","['puzzle', 'agreement', 'team sport', 'progress']"
courage,"word: courage
properties: fear, soldier, trembling hands, mountaintop","['fear', 'soldier', 'trembling hands', 'mountaintop']"
creativity,"word: creativity
properties: blank canvas, breakthrough, messy studio, risk-taking","['blank canvas', 'breakthrough', 'messy studio', 'risk-taking']"
crime,"word: crime
properties: detective, jail, victim, evidence","['detective', 'jail', 'victim', 'evidence']"
criticism,"word: criticism
properties: improvement, sting, feedback, mirror","['improvement', 'sting', 'feedback', 'mirror']"
cruelty,"word: cruelty
properties: whip, silence, helpless, scar","['whip', 'silence', 'helpless', 'scar']"
culture,"word: culture
properties: cuisine, traditions, museums, language","['cuisine', 'traditions', 'museums', 'language']"
curiosity,"word: curiosity
properties: cat, question mark, discovery, risk","['cat', 'question mark', 'discovery', 'risk']"
custom,"word: custom
properties: tradition, tailored, ceremony, inherit","['tradition', 'tailored', 'ceremony', 'inherit']"
danger,"word: danger
properties: cliff, alarm, poison, chase","['cliff', 'alarm', 'poison', 'chase']"
death,"word: death
properties: silence, finality, grief, darkness","['silence', 'finality', 'grief', 'darkness']"
decision,"word: decision
properties: crossroads, regret, consequences, courage","['crossroads', 'regret', 'consequences', 'courage']"
demand,"word: demand
properties: invoice, negotiation, shortage, exhaustion","['invoice', 'negotiation', 'shortage', 'exhaustion']"
desire,"word: desire
properties: yearning, forbidden, consume, flame","['yearning', 'forbidden', 'consume', 'flame']"
desperation,"word: desperation
properties: drowning, cornered, last resort, trembling hands","['drowning', 'cornered', 'last resort', 'trembling hands']"
destruction,"word: destruction
properties: rubble, fire, irreversible, consequence","['rubble', 'fire', 'irreversible', 'consequence']"
detection,"word: detection
properties: alarm, microscope, lie, hunter","['alarm', 'microscope', 'lie', 'hunter']"
dictatorship,"word: dictatorship
properties: propaganda, fear, single ruler, suppressed voices","['propaganda', 'fear', 'single ruler', 'suppressed voices']"
difference,"word: difference
properties: bridge, conflict, measurement, perspective","['bridge', 'conflict', 'measurement', 'perspective']"
difficulty,"word: difficulty
properties: mountain, sweat, perseverance, obstacle","['mountain', 'sweat', 'perseverance', 'obstacle']"
dignity,"word: dignity
properties: posture, silence, refusal, ceremony","['posture', 'silence', 'refusal', 'ceremony']"
diligence,"word: diligence
properties: student studying late, small details, steady progress, checking twice","['student studying late', 'small details', 'steady progress', 'checking twice']"
disadvantage,"word: disadvantage
properties: uphill battle, starting line, competition, obstacle course","['uphill battle', 'starting line', 'competition', 'obstacle course']"
disappointment,"word: disappointment
properties: exam results, deflated balloon, silence after applause, broken promise","['exam results', 'deflated balloon', 'silence after applause', 'broken promise']"
discovery,"word: discovery
properties: telescope, buried treasure, accident, eureka moment","['telescope', 'buried treasure', 'accident', 'eureka moment']"
disgust,"word: disgust
properties: rotten, recoil, bile, filth","['rotten', 'recoil', 'bile', 'filth']"
dismay,"word: dismay
properties: sudden shock, face goes pale, frozen moment, bad news","['sudden shock', 'face goes pale', 'frozen moment', 'bad news']"
dispute,"word: dispute
properties: courtroom, escalation, compromise, frustration","['courtroom', 'escalation', 'compromise', 'frustration']"
distance,"word: distance
properties: travel, telescope, longing, gap","['travel', 'telescope', 'longing', 'gap']"
distraction,"word: distraction
properties: phone, exam, juggling, forest","['phone', 'exam', 'juggling', 'forest']"
diversity,"word: diversity
properties: classroom, puzzle, strength, celebration","['classroom', 'puzzle', 'strength', 'celebration']"
doubt,"word: doubt
properties: hesitation, shadow, question mark, quicksand","['hesitation', 'shadow', 'question mark', 'quicksand']"
downfall,"word: downfall
properties: steep cliff, scandal, autumn leaves, house of cards","['steep cliff', 'scandal', 'autumn leaves', 'house of cards']"
dream,"word: dream
properties: flying, sleep, forgotten, hope","['flying', 'sleep', 'forgotten', 'hope']"
duty,"word: duty
properties: soldier, obligation, clock, burden","['soldier', 'obligation', 'clock', 'burden']"
eagerness,"word: eagerness
properties: sprinting, job interview, puppy, dawn","['sprinting', 'job interview', 'puppy', 'dawn']"
effort,"word: effort
properties: sweat, struggle, muscle, reward","['sweat', 'struggle', 'muscle', 'reward']"
elegance,"word: elegance
properties: silk gown, ballet, candlelit dinner, marble staircase","['silk gown', 'ballet', 'candlelit dinner', 'marble staircase']"
emotion,"word: emotion
properties: tears, racing heart, memory, conflict","['tears', 'racing heart', 'memory', 'conflict']"
enchantment,"word: enchantment
properties: spell, forest, glowing eyes, wonder","['spell', 'forest', 'glowing eyes', 'wonder']"
enthusiasm,"word: enthusiasm
properties: energy, contagious, sports crowd, early morning","['energy', 'contagious', 'sports crowd', 'early morning']"
envy,"word: envy
properties: green, comparison, wanting, success","['green', 'comparison', 'wanting', 'success']"
error,"word: error
properties: red underline, debugging, consequence, repeat","['red underline', 'debugging', 'consequence', 'repeat']"
event,"word: event
properties: planning, crowd, unexpected, memory","['planning', 'crowd', 'unexpected', 'memory']"
excitement,"word: excitement
properties: racing heartbeat, anticipation, trembling hands, countdown","['racing heartbeat', 'anticipation', 'trembling hands', 'countdown']"
expectation,"word: expectation
properties: waiting, disappointed, future, pressure","['waiting', 'disappointed', 'future', 'pressure']"
experience,"word: experience
properties: learning, mistake, memory, travel","['learning', 'mistake', 'memory', 'travel']"
explanation,"word: explanation
properties: teacher, confusion, why, detective","['teacher', 'confusion', 'why', 'detective']"
exploitation,"word: exploitation
properties: mines, powerless, profit, abuse","['mines', 'powerless', 'profit', 'abuse']"
faithfulness,"word: faithfulness
properties: wedding vows, dog waiting at door, trust broken slowly, anchor","['wedding vows', 'dog waiting at door', 'trust broken slowly', 'anchor']"
fantasy,"word: fantasy
properties: dragons, escape, imagination, unreal","['dragons', 'escape', 'imagination', 'unreal']"
fate,"word: fate
properties: crossroads, inevitable, threads, desert island","['crossroads', 'inevitable', 'threads', 'desert island']"
fear,"word: fear
properties: darkness, heartbeat, paralysis, escape","['darkness', 'heartbeat', 'paralysis', 'escape']"
fight,"word: fight
properties: bruise, boxing ring, anger, losing","['bruise', 'boxing ring', 'anger', 'losing']"
fitness,"word: fitness
properties: gym, sweat, muscles, goals","['gym', 'sweat', 'muscles', 'goals']"
flexibility,"word: flexibility
properties: yoga, negotiations, rubber band, schedule","['yoga', 'negotiations', 'rubber band', 'schedule']"
force,"word: force
properties: push, gravity, military, resistance","['push', 'gravity', 'military', 'resistance']"
