word,rating
lake,6
ambition,3
chance,4
individual,2
apology,3
opponent,3
boredom,4
cowardice,3
beetle,5
silence,6
bet,4
animal,5
coupon,2
faith,3
liar,4
lip,6
tongue,6
originality,3
ankle,5
potato,2
accumulation,2
outfit,3
chair,2
cognition,4
station,5
disaster,5
real,2
dilemma,4
scene,5
ally,3
ownership,2
theory,3
reinforcement,3
puppy,6
guide,4
damage,5
circumstance,3
state,2
response,4
key,6
boat,5
degree,3
crown,4
myth,4
blood,5
deduction,3
forest,6
latch,5
tune,7
show,6
interior,3
starch,2
mankind,2
infection,4
fabric,3
wood,6
tragedy,5
germ,4
iron,5
spider,5
calendar,2
affection,4
photograph,5
territory,3
incident,4
vapor,5
dentist,2
sword,5
flavor,6
clean,3
consistency,2
appeal,4
identification,2
fact,2
route,3
linen,3
macaroni,2
skin,6
stride,4
writing,4
roof,2
menu,2
division,2
value,2
suit,3
lamp,2
personality,3
contract,2
cloth,3
amount,2
intention,3
magic,4
confidence,3
duration,3
sandal,3
thing,2
mattress,2
addition,2
newspaper,2
opposition,3
leopard,5
pigeon,5
clearance,2
opinion,3
play,6
heart,6
irrigation,3
clothing,3
distance,3
fate,3
calculation,2
number,2
wisdom,3
vocabulary,3
talent,3
character,3
nose,6
salad,2
tree,6
risk,4
definition,2
ditch,3
hobby,4
adversity,3
inn,2
butter,2
pyramid,3
tomato,2
riot,5
independence,3
itch,6
temple,3
teacher,3
brain,5
occupation,2
ignition,5
suspect,4
costume,3
door,2
necessity,2
equality,3
orchid,3
bag,2
dove,5
chlorine,4
reflex,4
conference,2
result,3
helmet,2
beauty,4
shortness,2
verse,6
exception,2
bird,6
circuit,2
queen,3
charter,2
principle,3
music,7
want,3
relief,4
moral,3
jerk,4
metaphor,4
scent,6
girl,6
tradition,3
development,3
crisis,5
bubble,5
camera,5
pond,6
decision,3
job,2
frustration,4
error,2
student,3
reputation,3
fear,5
tool,2
shrimp,5
refrigerator,2
empty,3
kindness,4
impairment,3
wish,4
alligator,5
moment,4
injury,4
master,3
file,2
factory,2
body,6
weight,2
tide,6
lemon,6
television,2
coffin,5
admiration,4
tip,3
complication,2
shock,5
past,3
park,6
line,3
nerve,5
income,2
specialist,2
lesson,3
cause,3
squeak,6
insight,4
hotel,2
peacemaker,3
law,2
conscience,3
misery,4
dimension,2
pill,2
alley,3
banana,2
pest,4
debt,2
march,4
justice,3
sanctuary,3
meeting,2
cucumber,2
expression,4
opera,6
significance,3
intelligence,3
object,2
tallness,2
grasshopper,5
purpose,3
mosquito,5
assault,5
pillow,6
anxiety,4
hope,6
fountain,6
benefactor,3
love,6
drum,7
stimulus,4
beverage,2
mountain,6
capacity,2
awareness,4
danger,5
raspberry,6
reality,3
acquisition,2
snow,6
appointment,2
ocean,6
wave,6
composer,6
guilt,4
payment,2
jacket,3
city,2
lamb,5
retention,2
requirement,2
miracle,4
segment,2
oven,2
kitten,6
trust,4
flask,2
preparation,2
imagination,4
bridge,3
towel,2
coincidence,3
context,3
hospital,2
article,2
mercy,4
rabbit,5
spirit,4
rebel,3
interruption,3
design,3
criticism,3
duty,2
fog,6
peach,6
professor,3
friendship,4
cup,2
length,2
form,2
lunch,2
