word,rating
corporation,1
deputy,7
brawl,1
church,7
uncle,7
moral,1
faith,1
mountain,7
shirt,7
duel,1
hospital,7
lip,7
love,1
material,7
ambulance,7
enemy,7
event,1
honesty,1
tennis,1
missile,7
origin,1
waste,6
route,1
university,7
limitation,1
poetry,1
artist,7
instructor,7
salary,1
arrangement,1
personality,1
opposition,1
pretense,1
rent,1
possibility,1
ignition,6
circumstance,1
justification,1
gesture,6
lobster,7
insight,1
selection,1
accumulation,1
student,7
topic,1
philosophy,1
gorilla,7
myth,1
misery,1
truth,1
member,7
purpose,1
temperature,1
station,7
marriage,1
outcome,1
cliff,7
puddle,7
lens,7
skin,7
complication,1
peace,1
mustard,7
beverage,7
beaver,7
consistency,1
television,7
logic,1
chief,7
brain,7
cocktail,7
danger,1
pest,7
truck,7
mercy,1
metaphor,1
intelligence,1
damage,6
explanation,1
banana,7
beast,7
oven,7
body,7
holiday,1
theory,1
rocket,7
addition,1
integrity,1
pawn,7
form,7
supply,6
attention,1
hope,1
circuit,7
annoyance,1
memory,1
stimulus,1
proof,1
empty,6
rainbow,7
charter,6
mystery,1
desk,7
music,1
hat,7
length,1
stupidity,1
donor,7
thorn,7
cottage,7
mud,7
crocodile,7
atrocity,1
teacher,7
group,6
establishment,1
zoo,7
meeting,1
site,7
horse,7
interruption,1
dentist,7
originality,1
orchestra,7
christmas,1
ceiling,7
denial,1
want,1
expression,5
shock,1
idiom,1
toilet,7
animal,7
typewriter,7
legality,1
fountain,7
subtraction,1
victim,7
unit,6
requirement,1
car,7
security,1
preparation,1
season,1
sword,7
brevity,1
future,1
menu,7
helplessness,1
woman,7
rhyme,1
cow,7
duration,1
ballot,7
cat,7
hierarchy,1
incident,1
capacity,1
blade,7
grass,7
miracle,1
autumn,1
introduction,1
chlorine,6
jerk,5
outfit,7
frog,7
attempt,1
assault,1
ceremony,1
leader,7
fisherman,7
willingness,1
grammar,1
talent,1
criticism,1
appointment,1
river,7
clearance,5
ditch,7
phenomenon,1
island,7
permission,1
flask,7
tax,1
loafer,7
calculation,1
identity,1
starch,6
fat,6
ankle,7
development,1
tool,7
ownership,1
abundance,1
visitor,7
doctor,7
laundry,7
importance,1
inch,1
cranberry,7
arc,7
girl,7
chair,7
destiny,1
magic,1
square,7
saloon,7
jewel,7
eight,1
cake,7
lily,7
second,1
wave,7
ignorance,1
laughter,1
engagement,1
boat,7
debt,1
impossibility,1
conference,1
speech,1
blood,7
opponent,7
caterpillar,7
revenge,1
wood,7
grasshopper,7
definition,1
mattress,7
ocean,7
leadership,1
bell,7
grief,1
result,1
tendency,1
combination,1
measure,1
policeman,7
anxiety,1
shape,7
sneeze,1
raspberry,7
dagger,7
linen,7
factory,7
irrigation,1
volt,1
comparison,1
paradigm,1
odor,1
lock,7
dilemma,1
lightning,7
bet,1
acquisition,1
rabbit,7
potato,7
summer,1
ring,7
skill,1
construction,1
determination,1
volcano,7
episode,1
key,7
skull,7
stapler,7
witness,7
appeal,1
vocabulary,1
protection,1
reality,1
cloth,7
money,7
friendship,1
context,1
crime,1
writing,1
frustration,1
hog,7
window,7
mankind,1
suggestion,1
reflex,1
cowardice,1
behavior,1
scholar,7
wisdom,1
separation,1
disgust,1
leopard,7
pyramid,7
punishment,1
view,7
despair,1
football,7
hatred,1
segment,6
bank,7
professor,7
queen,7
robin,7
entrance,7
silence,1
alley,7
palace,7
lamp,7
recital,1
loan,1
chicken,7
vapor,6
fallacy,1
physics,1
hazard,1
dynasty,1
uncertainty,1
chance,1
snake,7
salad,7
design,1
bullet,7
snow,7
nose,7
clothing,7
guide,7
rule,1
stranger,7
fantasy,1
instance,1
exclusion,1
street,7
forest,7
occupation,1
neighborhood,7
scent,1
thought,1
refrigerator,7
hurricane,7
responsibility,1
