word,properties,codes,frequencies
ability,"['climb', 'solve', 'create', 'adapt']","['sensorimotor feature', 'other abstract concept', 'other abstract concept', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
accusation,"['courtroom', 'betrayal', 'silence', 'blame']","['association', 'internal state and emotion', 'association', 'other abstract concept']","[0.0, 0.25, 0.0, 0.75]"
achievement,"['medal', 'podium', 'crowd', 'pride']","['association', 'association', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
activity,"['dance', 'hike', 'bake', 'play']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
addiction,"['compulsive behavior', 'physical dependency', 'emotional escape', 'social isolation']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'social constellation']","[0.5, 0.25, 0.25, 0.0]"
admiration,"['applause', 'mentor', 'awe', 'victory']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'association']","[0.25, 0.25, 0.25, 0.25]"
advantage,"['climb', 'win', 'leap', 'thrive']","['sensorimotor feature', 'internal state and emotion', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.5, 0.0, 0.0]"
adventure,"['mountain peak', 'pirate ship', 'desert oasis', 'alien planet']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
advice,"['mentor', 'puzzle', 'compass', 'storm']","['social constellation', 'association', 'association', 'association']","[0.0, 0.0, 0.25, 0.75]"
agony,"['scream', 'silence', 'broken glass', 'suffocating breath']","['sensorimotor feature', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
agreement,"['contract', 'compromise', 'consensus', 'negotiation']","['other abstract concept', 'internal state and emotion', 'social constellation', 'social constellation']","[0.0, 0.25, 0.5, 0.25]"
amazement,"['awe-struck silence', 'sudden wonder at a comet', 'child’s eyes wide open', 'startled pause in a crowded room']","['internal state and emotion', 'association', 'sensorimotor feature', 'social constellation']","[0.25, 0.25, 0.25, 0.25]"
ambition,"['climb', 'rival', 'dream', 'fire']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'association']","[0.25, 0.25, 0.25, 0.25]"
ambush,"['stealth', 'surprise', 'danger', 'tension']","['sensorimotor feature', 'internal state and emotion', 'association', 'internal state and emotion']","[0.25, 0.5, 0.0, 0.25]"
amusement,"['circus', 'laughter', 'popcorn', 'arcade']","['association', 'internal state and emotion', 'sensorimotor feature', 'association']","[0.25, 0.25, 0.0, 0.5]"
anger,"['shouting', 'betrayal', 'fists', 'isolation']","['sensorimotor feature', 'association', 'sensorimotor feature', 'social constellation']","[0.5, 0.0, 0.25, 0.25]"
anxiety,"['crowded elevator', 'ticking clock', 'whispered panic', 'trembling hands']","['sensorimotor feature', 'association', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
apology,"['broken vase', 'silent tears', 'crowded subway', 'handwritten note']","['sensorimotor feature', 'internal state and emotion', 'association', 'association']","[0.25, 0.25, 0.0, 0.5]"
appearance,"['mirror', 'stage', 'shadow', 'mask']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
appetite,"['midnight snack', 'spicy curry', 'hunger pang', 'picnic blanket']","['association', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
application,"['form', 'server', 'user', 'update']","['other abstract concept', 'association', 'social constellation', 'other abstract concept']","[0.0, 0.0, 0.25, 0.75]"
aptitude,"['math genius', 'musical talent', 'coding wizard', 'athletic prowess']","['other abstract concept', 'other abstract concept', 'other abstract concept', 'other abstract concept']","[0.0, 0.0, 0.0, 1.0]"
argument,"['shouting', 'silence', 'broken promises', 'heated stares']","['sensorimotor feature', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
art,"['brushstrokes', 'silent conversation', 'color palette', 'emotional resonance']","['sensorimotor feature', 'social constellation', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.25, 0.0]"
aspect,"['shadow', 'texture', 'angle', 'echo']","['association', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
assassination,"['gun', 'silence', 'fear', 'chaos']","['sensorimotor feature', 'association', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
assumption,"['bias', 'leap', 'error', 'belief']","['association', 'association', 'association', 'internal state and emotion']","[0.0, 0.25, 0.0, 0.75]"
astonishment,"['thunder', 'frozen eyes', 'sudden silence', 'spilled tea']","['association', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
attack,"['chaos', 'fear', 'defense', 'betrayal']","['association', 'internal state and emotion', 'sensorimotor feature', 'social constellation']","[0.25, 0.25, 0.25, 0.25]"
attention,"['spotlight', 'classroom', 'whisper', 'stage']","['association', 'social constellation', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.25, 0.5]"
attraction,"['magnetic pull', 'romantic spark', 'visual allure', 'magnetic force']","['sensorimotor feature', 'internal state and emotion', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.25, 0.0, 0.0]"
beauty,"['mirror', 'rose', 'silence', 'dusk']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
being,"['solitude', 'transformation', 'presence', 'quiet']","['social constellation', 'other abstract concept', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.0, 0.25, 0.25]"
betrayal,"['broken trust', 'silent tears', 'shattered vows', 'cold silence']","['internal state and emotion', 'internal state and emotion', 'social constellation', 'association']","[0.0, 0.5, 0.25, 0.25]"
