word,properties,codes,frequencies
ability,"['potential', 'practice', 'tool', 'challenge']","['other abstract concept', 'sensorimotor feature', 'association', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
accusation,"['finger', 'trial', 'doubt', 'whisper']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'association']","[0.25, 0.25, 0.25, 0.25]"
achievement,"['pride', 'medal', 'goal', 'podium']","['internal state and emotion', 'association', 'other abstract concept', 'association']","[0.0, 0.25, 0.0, 0.75]"
activity,"['hobby', 'children', 'sweat', 'schedule']","['association', 'social constellation', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
addiction,"['chains', 'needle', 'hiding', 'empty wallet']","['association', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
admiration,"['awe', 'mentorship', 'plaque', 'blueprint']","['internal state and emotion', 'social constellation', 'association', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
advantage,"['head start', 'leverage', 'skill', 'information']","['association', 'other abstract concept', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
adventure,"['map', 'mountain', 'discovery', 'courage']","['sensorimotor feature', 'sensorimotor feature', 'other abstract concept', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
advice,"['parent', 'crossroads', 'listen', 'experience']","['social constellation', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
agony,[''],[],"[0, 0, 0, 0]"
agreement,"['handshake', 'contract', 'compromise', 'peace']","['sensorimotor feature', 'other abstract concept', 'other abstract concept', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
amazement,"['wide eyes', 'gasp', 'magic show', 'waterfall']","['sensorimotor feature', 'sensorimotor feature', 'association', 'association']","[0.5, 0.0, 0.0, 0.5]"
ambition,"['stairs', 'finish line', 'sweat', 'mountain peak']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
