word,rating
suit,2
performance,3
cognition,4
hat,1
disappointment,6
city,2
independence,5
hotel,3
guilt,6
bubble,2
marriage,4
neighborhood,3
adversity,6
crown,4
fisherman,2
peach,3
lion,1
vapor,4
fantasy,5
advice,3
metaphor,4
blade,2
arc,5
lamp,3
square,4
accident,6
attitude,5
material,3
outcome,4
error,6
puddle,2
comparison,5
regulation,4
cowardice,6
engagement,5
site,3
professor,4
mosquito,1
mold,2
irony,5
contempt,6
purpose,7
knife,2
opportunity,5
curfew,4
despair,6
anxiety,5
cloth,2
truck,3
stride,4
three,1
mind,5
sword,2
spider,3
baby,1
inn,4
bullet,2
trumpet,3
costume,4
leopard,2
diversity,5
river,3
duty,4
math,1
bell,2
ceiling,3
blood,6
landscape,4
photograph,5
consideration,7
chief,4
witness,3
insight,6
fear,5
bird,2
butter,3
equality,7
perception,6
availability,5
weather,4
hierarchy,4
toilet,2
principle,7
propeller,4
future,6
riddle,5
promotion,7
annoyance,6
advantage,5
spelling,3
key,2
typewriter,4
sight,5
occasion,6
gun,2
odor,3
ambulance,4
past,5
lane,2
decision,6
volt,4
band,3
ocean,5
sedative,6
rabbit,2
opposition,4
clean,3
boy,1
riot,6
nerve,5
confidence,7
frustration,6
specialist,4
recognition,7
kitten,2
pawn,3
selection,5
mile,4
genuine,7
beetle,2
job,3
towel,4
issue,5
dynasty,6
sandal,3
establishment,4
dagger,2
neck,1
stapler,3
fight,6
lightning,5
lunch,4
second,3
child,1
exclusion,6
description,5
art,4
suggestion,7
development,6
magnitude,5
institute,4
sow,2
alley,3
time,7
honesty,6
produce,5
arrangement,4
bag,2
intention,6
group,3
body,4
rebel,5
midnight,4
drama,6
distraction,5
bracelet,3
proportion,4
horse,2
crime,6
core,3
personality,7
park,4
disaster,6
cocktail,5
suspect,4
philosophy,7
literature,6
limitation,5
magic,4
conscience,7
teacher,6
destiny,5
murder,6
assistance,7
escape,4
affection,5
ability,6
cake,3
football,2
brain,5
psalm,4
fountain,6
imagination,7
state,5
majority,4
tool,3
incentive,6
stranger,5
interaction,7
enemy,6
stick,2
leader,5
competence,7
bedroom,4
cottage,3
pest,2
subtraction,5
lake,4
jacket,3
volume,6
spirit,2
orchestra,3
improvement,4
darkness,2
chicken,1
mileage,6
steam,3
thought,4
criticism,2
reality,5
segment,6
robin,1
student,2
dozen,4
diet,3
rent,1
charity,2
security,5
helplessness,3
sadness,4
sole,2
apple,1
file,3
proof,5
island,2
reflex,4
intelligence,6
accomplishment,7
lettuce,1
physics,3
vocabulary,4
saloon,2
disagreement,5
revenge,3
protection,6
visitor,2
alphabet,1
brevity,4
synagogue,2
wolf,1
shrimp,1
duration,7
lamb,2
circuit,3
cup,1
conclusion,6
want,4
preference,5
grammar,3
reinforcement,4
idiom,2
forest,3
worry,5
branch,4
orchid,2
oven,3
effect,5
salary,4
atom,2
variety,6
beauty,5
assumption,4
republic,3
