word,rating
admiration,1
robbery,4
peach,1
property,1
liar,1
figure,2
pie,1
lily,1
marriage,1
banana,1
tongue,2
steam,1
form,2
visitor,4
impossibility,1
situation,1
interaction,4
hog,3
vapor,1
acquisition,3
brawl,6
establishment,2
instructor,1
bird,1
opera,1
logic,1
fate,1
grammar,1
laughter,3
ignition,2
location,1
magnitude,1
soul,1
empty,1
rabbit,1
stimulus,1
rule,1
advice,1
queen,1
girl,1
decision,1
safety,1
hatred,1
confidence,1
boy,1
rent,1
crisis,1
extent,1
orchid,1
stranger,1
lock,4
betrayal,1
photo,1
macaroni,1
majority,1
electricity,1
fat,1
inn,1
road,2
capacity,1
view,1
personality,1
dove,1
brute,1
ambulance,1
pig,1
boundary,1
idea,1
baby,1
weather,1
vocabulary,1
flavor,1
toilet,1
show,3
murder,4
teacher,1
genuine,1
rainbow,1
foundation,1
fifteen,1
pond,1
acre,1
intention,1
skull,1
assistance,3
adversity,1
evidence,1
bag,1
square,1
menu,1
individual,1
punishment,3
reality,1
production,4
witness,1
dimension,1
advantage,1
hierarchy,1
crocodile,1
volume,1
degree,1
damage,1
rhyme,1
idiom,1
bottle,1
fisherman,4
mustard,1
behavior,5
body,2
faith,1
winter,1
purpose,1
determination,1
cloth,1
meeting,4
dagger,1
frustration,1
fog,1
philosophy,1
standard,1
eyeball,2
annoyance,1
democracy,1
cranberry,1
sword,1
loan,1
chicken,1
tide,1
law,1
cup,1
sofa,1
originality,1
weight,1
roof,1
candidate,1
job,1
subtraction,1
robin,1
necklace,1
ballot,1
memory,1
station,1
chair,1
refrigerator,1
result,1
thief,4
pimple,1
skunk,1
reputation,1
accident,2
method,1
parish,1
eight,1
justification,1
animal,1
sole,3
play,6
tendency,1
chipmunk,1
shirt,1
reinforcement,4
corporation,1
pawn,2
volt,1
money,1
cognition,1
talent,1
alligator,1
republic,1
orchestra,1
dad,1
door,3
beverage,1
suit,1
grief,1
misery,1
margin,1
response,4
site,1
ball,2
car,1
mile,1
season,1
disagreement,1
ability,1
tradition,1
speech,4
recital,4
requirement,1
theory,1
opinion,1
sadness,1
security,1
month,1
lake,1
band,1
stick,1
retention,1
revenge,4
atom,1
permission,1
frog,1
sneeze,4
ownership,1
trust,1
reduction,1
cow,1
character,1
accomplishment,1
policeman,2
increase,1
sandal,1
independence,1
window,1
wood,1
duel,6
christmas,1
bridge,1
deduction,1
territory,1
comprehension,1
equality,1
irrigation,1
bolt,5
moment,1
beast,1
bell,1
division,1
information,1
palace,1
crime,4
chlorine,1
river,1
paradigm,1
separation,1
state,1
cake,1
potato,1
lemon,1
mercy,1
suggestion,1
writing,5
bedroom,1
literature,1
heap,1
city,1
duration,1
fight,6
time,1
gun,2
smell,1
appeal,1
clean,5
perception,1
diet,1
stupidity,1
envy,1
owner,1
sky,1
ceremony,3
sow,4
helplessness,1
article,1
necessity,1
key,1
length,1
drug,1
belief,1
lamp,1
gorilla,1
onion,1
intelligence,1
bubble,1
effort,5
produce,4
rocket,1
lunch,1
topic,1
uncertainty,1
twig,1
puppy,1
ring,2
germ,1
file,4
conscience,1
economy,1
past,1
street,1
lettuce,1
translation,1
spirit,1
regret,1
story,1
mattress,1
preparation,4
traveler,5
gesture,7
comparison,1
newspaper,1
mileage,1
object,1
mosquito,1
heart,2
identity,1
nerve,1
consistency,1
sight,1
candy,1
radio,1
stride,7
protection,1
fallacy,1
linen,1
instinct,2
expression,5
raspberry,1
pretense,1
victim,1
father,1
opponent,4
beaver,1
lamb,1
arrangement,1
desk,1
ally,1
danger,1
message,1
preference,1
appointment,1
camera,1
music,1
brevity,1
destiny,1
propeller,1
anxiety,1
wolf,1
microscope,1
lobster,1
significance,1
improvement,1
occasion,1
freedom,1
kitten,1
shrimp,1
water,1
contempt,1
convergence,2
uniform,1
unity,1
hotel,1
peacemaker,1
wish,1
grandmother,1
possibility,1
episode,1
duty,1
horse,1
wave,5
metaphor,1
institute,1
contract,1
photograph,1
deputy,1
eagle,1
boulder,1
hurt,4
description,1
hurricane,1
reflex,4
flask,1
thorn,1
elephant,1
skin,1
doctor,1
specimen,1
professor,1
selection,4
bracelet,1
member,1
size,1
verse,1
core,1
friendship,1
honesty,1
proportion,1
correspondent,1
dozen,1
truck,1
fireplace,1
bank,1
autumn,1
iron,4
guilt,1
self,1
mansion,1
salad,1
nation,1
coupon,1
distribution,4
principle,1
mud,1
coffee,1
scholar,1
boredom,1
amount,1
cocktail,1
knife,1
injury,2
attitude,1
jewel,1
miracle,1
riddle,1
scene,1
puddle,1
mastery,1
skill,4
odor,1
truth,1
edge,1
woman,1
bullet,1
conclusion,1
name,1
abundance,1
entree,1
food,1
ambition,1
charity,1
sugar,1
fantasy,1
integrity,1
diversity,1
stapler,1
magic,1
announcement,1
wisdom,1
calculation,1
butter,1
ditch,1
coincidence,1
prop,3
tragedy,1
latch,3
artist,4
charter,1
diamond,1
drum,4
origin,1
material,1
crown,1
mold,4
mother,1
lizard,1
alphabet,1
apology,1
hat,1
cat,1
paragraph,1
instance,1
border,1
neighborhood,1
outfit,1
tallness,1
fact,1
introduction,4
anger,1
beetle,1
wallet,1
opposition,1
claim,1
complication,1
empire,1
pill,1
second,1
costume,1
relief,1
effect,1
poetry,1
construction,5
measure,4
competence,1
infection,1
emergence,4
handkerchief,1
hazard,1
hospital,1
duck,6
silence,1
darkness,1
master,1
cliff,1
corn,1
resort,1
error,1
grasshopper,1
lip,2
variety,1
incident,1
incentive,1
brain,1
number,1
summer,1
tool,2
supply,3
risk,1
consideration,1
disgust,1
branch,1
blood,1
tension,1
chocolate,1
corpse,1
unit,1
exception,1
guess,1
brother,1
moral,1
circumstance,1
quality,1
accumulation,4
lane,1
nose,1
assumption,1
snake,1
peace,1
ocean,1
blade,1
university,1
psalm,1
moonlight,1
route,3
interruption,1
thing,1
cucumber,1
pest,1
clothing,1
ceiling,1
future,1
shame,1
leopard,1
outcome,1
oven,1
three,1
satisfaction,1
kindness,1
laundry,4
neck,1
value,1
student,1
coffin,1
love,1
design,1
physics,1
group,1
shock,1
clearance,4
factory,1
tennis,7
lisp,1
midnight,1
cause,1
income,1
pyramid,1
volcano,1
tree,1
waste,1
medicine,1
chance,1
conference,1
entrance,4
combination,1
loafer,1
exclusion,1
television,1
jerk,6
example,1
attention,1
promotion,3
itch,4
definition,1
criticism,1
manner,1
caterpillar,1
recognition,1
insight,1
shape,1
obstruction,1
pigeon,1
willingness,1
park,2
curfew,1
boat,1
availability,1
line,1
ignorance,1
landscape,1
butterfly,1
saloon,1
snow,1
myth,1
alley,1
child,1
legality,1
kite,1
sedative,1
occupation,1
tip,4
bet,1
burner,1
missile,1
replacement,1
sister,1
awareness,1
temperature,1
chief,1
poll,1
record,1
industry,1
bandit,2
lesson,1
lightning,1
affection,1
malice,1
cottage,1
grass,1
drama,1
jacket,1
guide,4
deceit,1
item,1
phenomenon,1
despair,1
opportunity,1
distraction,1
uncle,1
typewriter,4
dentist,1
distance,1
context,1
enemy,1
squeak,3
calendar,1
explanation,1
immortality,1
irony,1
assault,7
real,1
zoo,1
pillow,1
presence,1
heresy,1
interior,1
want,1
mystery,1
apple,1
ankle,4
beauty,1
reason,1
holiday,1
underworld,1
disaster,1
adventurer,5
forest,1
regulation,1
specialist,1
shark,1
composer,1
consequence,1
church,1
vision,1
amplitude,1
justice,1
engagement,1
synagogue,1
performance,5
trumpet,4
riot,7
worry,1
sanctuary,1
math,1
imagination,1
mountain,1
issue,1
knowledge,1
fountain,1
circuit,1
mankind,1
debt,1
limitation,1
pile,1
tax,1
inch,1
lion,1
helmet,1
denial,1
scent,1
identification,1
impairment,1
cowardice,1
atrocity,1
starch,1
temple,1
island,1
spider,1
rebel,4
salary,1
march,7
dynasty,1
importance,1
prediction,1
lens,1
hope,1
leadership,1
difference,1
leader,1
tune,1
disappointment,1
proof,1
segment,1
development,3
towel,1
fear,1
tomato,1
category,1
football,7
event,1
pool,1
payment,1
dilemma,1
attempt,4
benefactor,1
suspect,1
hobby,4
art,1
thought,1
youth,1
addition,1
bed,1
gender,1
mind,1
arrow,1
donor,1
shortness,1
escape,7
arc,4
spelling,1
wage,1
responsibility,1
nurse,1
fabric,1
aspect,1
