word,rating
candidate,6
irrigation,5
democracy,7
snow,3
announcement,6
neighborhood,4
music,7
crown,5
identity,7
midnight,2
hurt,2
adventurer,5
comparison,3
arrow,3
method,6
segment,4
disappointment,2
specialist,6
majority,5
lily,3
rainbow,7
iron,2
relief,6
bolt,3
riot,2
stride,5
hope,7
shortness,2
ally,4
economy,5
ditch,3
stimulus,4
justification,6
pie,2
clearance,3
sight,5
ambulance,3
blood,2
pile,2
limitation,2
abundance,7
outcome,5
regulation,6
cake,3
macaroni,2
twig,2
cognition,5
beast,2
grammar,3
duty,6
standard,5
talent,4
roof,2
lens,3
student,4
worry,2
instinct,5
guess,2
second,3
nation,5
uniform,4
cranberry,3
route,3
ignition,4
occupation,4
separation,2
linen,2
view,3
speech,5
obstruction,2
soul,2
grandmother,3
dove,3
sofa,2
regret,2
suit,3
frustration,2
disaster,2
skin,2
football,2
appeal,5
integrity,7
adversity,2
memory,3
skull,2
station,3
fate,2
consequence,3
attempt,2
raspberry,2
university,4
cloth,2
cup,2
context,4
poetry,5
candy,2
mileage,2
liar,2
trust,4
oven,2
key,2
traveler,4
mustard,2
admiration,5
sadness,2
accumulation,3
conscience,6
rabbit,2
fireplace,2
bridge,3
measure,3
costume,2
intention,4
menu,2
deduction,3
window,2
loafer,2
butter,2
convergence,3
fight,2
winter,2
verse,3
advice,4
form,3
immortality,6
engagement,4
mind,4
trumpet,3
margin,2
puddle,2
amplitude,3
orchid,2
scene,3
reflex,3
interior,3
empire,4
insight,5
aspect,3
denial,2
grasshopper,2
stapler,2
tallness,2
cause,3
article,3
opposition,2
introduction,3
retention,2
pretense,2
capacity,3
pigeon,2
silence,3
boy,2
mastery,4
definition,4
grief,2
replacement,2
quality,5
skill,5
affection,6
thorn,2
reality,5
banana,2
leader,4
danger,2
self,3
edge,2
lunch,2
laughter,4
myth,2
pawn,2
reputation,4
dozen,2
dagger,2
donor,2
duel,2
arc,2
temple,3
shame,2
victim,2
deceit,2
dad,2
paradigm,3
proof,4
charity,6
vocabulary,4
brother,4
pillow,2
propeller,2
significance,6
rule,7
friendship,6
weight,4
suspect,3
marriage,4
episode,3
determination,6
photo,3
landscape,4
shape,3
rhyme,3
situation,4
love,7
synagogue,3
moral,6
object,4
opinion,4
miracle,5
beaver,2
march,2
fat,2
income,4
requirement,4
sanctuary,6
lobster,2
palace,3
bank,2
pig,2
moonlight,3
coffee,2
core,3
competence,6
wood,3
salary,4
cow,2
protection,5
woman,3
brain,4
television,4
justice,6
brawl,2
unity,4
nose,2
wave,3
mankind,4
interruption,2
bottle,2
spelling,3
lizard,2
foundation,4
hurricane,2
professor,4
institute,3
sugar,2
