word,rating
coffin,2
month,3
leader,6
duty,4
incident,3
pill,2
pawn,2
mosquito,1
orchid,3
parish,3
lettuce,1
wallet,2
example,5
payment,3
separation,4
ocean,2
perception,7
key,3
contempt,5
road,2
bell,2
competence,6
hog,1
principle,6
philosophy,7
regret,5
moonlight,3
butter,1
accident,4
bandit,3
guilt,5
specimen,3
flask,2
subtraction,5
zoo,2
nerve,4
adventurer,5
fantasy,6
object,3
contract,5
art,6
personality,7
grandmother,3
behavior,6
helmet,2
midnight,2
helplessness,5
fountain,3
loan,3
permission,4
worry,6
mountain,2
calculation,6
laughter,4
play,4
inn,2
costume,3
heart,4
theory,6
visitor,3
idea,7
announcement,4
income,3
arrow,2
irrigation,3
abundance,3
wage,3
uncertainty,6
horse,2
cat,2
guide,4
distribution,4
drum,2
fate,4
tongue,3
moment,4
opportunity,5
itch,1
difference,5
cause,5
leopard,2
infection,3
territory,3
dimension,4
fog,2
fireplace,3
time,4
teacher,5
occasion,3
occupation,5
core,3
silence,3
vocabulary,6
ankle,1
riot,4
skull,2
bed,2
variety,4
file,2
consideration,6
rainbow,2
measure,4
sugar,1
envy,5
baby,2
linen,1
enemy,4
three,1
mile,2
opinion,7
food,1
impairment,5
beauty,4
performance,5
ambulance,3
punishment,5
starch,1
salary,3
selection,5
significance,6
corpse,2
metaphor,6
cup,1
job,4
response,4
description,5
tradition,4
rule,5
hurricane,3
assumption,6
economy,5
degree,4
appeal,5
lion,2
skunk,1
stranger,4
march,2
proof,5
member,4
eagle,2
suit,2
shape,3
disaster,4
clothing,1
uncle,2
produce,2
unit,3
importance,6
accomplishment,6
empty,3
awareness,7
capacity,5
neck,1
standard,4
ambition,6
propeller,2
cake,1
evidence,6
tennis,2
physics,6
honesty,6
odor,2
landscape,3
lamp,2
circuit,3
injury,3
gorilla,1
master,5
university,6
pigeon,2
hospital,4
shirt,1
bank,2
camera,2
sanctuary,3
pest,1
comparison,5
kindness,6
category,5
recognition,6
obstruction,4
rocket,2
ball,1
circumstance,5
mold,1
writing,6
banana,1
idiom,6
marriage,4
cloth,1
pile,2
comprehension,7
branch,2
edge,2
incentive,5
expression,6
combination,4
jewel,2
rabbit,1
origin,4
requirement,5
mankind,5
microscope,3
view,4
professor,6
typewriter,2
ceiling,2
purpose,6
ditch,1
wave,2
policeman,4
season,3
guess,4
summer,2
margin,3
complication,5
establishment,5
betrayal,5
towel,1
math,6
hat,2
fabric,1
name,3
refrigerator,2
segment,3
conference,5
tendency,5
specialist,6
drama,4
boulder,1
property,4
division,5
site,2
fallacy,5
meeting,4
coupon,2
television,2
mastery,6
identification,6
promotion,5
moral,6
correspondent,5
individual,6
brawl,3
soul,5
retention,5
dagger,2
instance,5
impossibility,6
lightning,2
pig,1
quality,5
corn,1
bullet,2
truth,6
state,4
assault,4
entrance,2
amount,3
friendship,6
macaroni,1
topic,5
border,3
clearance,4
determination,6
route,3
puddle,1
thing,3
arc,2
sky,2
tree,1
student,5
tip,2
presence,4
self,6
autumn,2
love,6
peace,6
episode,4
conscience,7
sight,3
length,3
caterpillar,1
tool,2
body,2
latch,1
cow,1
spirit,5
roof,1
charter,4
reputation,5
lesson,5
fisherman,3
tallness,2
dozen,1
boredom,5
salad,1
magic,3
acre,1
palace,2
