word,property,label
ability,potential,association
ability,skill,association
ability,superpower,association
ability,talent,association
accusation,blame,association
accusation,courtroom,social
accusation,denial,emotion
accusation,finger,association
achievement,graduation,social
achievement,milestone,association
achievement,pride,emotion
achievement,trophy,association
activity,busy,emotion
activity,playground,social
activity,schedule,association
activity,sweat,sensorimotor
addiction,craving,emotion
addiction,dopamine,association
addiction,rehab,social
addiction,spiral,association
admiration,applause,social
admiration,gaze,sensorimotor
admiration,mentor,social
admiration,pedestal,association
advantage,chess,association
advantage,competition,social
advantage,head start,association
advantage,leverage,sensorimotor
adventure,compass,sensorimotor
adventure,jungle,sensorimotor
adventure,risk,emotion
adventure,treasure,association
advice,column,association
advice,mentor,social
advice,unwanted,association
advice,wisdom,emotion
agony,defeat,association
agony,fire,sensorimotor
agony,hospital,association
agony,scream,sensorimotor
agreement,contract,social
agreement,handshake,sensorimotor
agreement,nod,sensorimotor
agreement,signature,sensorimotor
amazement,child,social
amazement,fireworks,sensorimotor
amazement,gasp,sensorimotor
amazement,magic,association
ambition,hunger,emotion
ambition,ladder,association
ambition,mountain,association
ambition,sleepless,emotion
ambush,jungle,sensorimotor
ambush,predator,association
ambush,surprise,emotion
ambush,waiting,emotion
amusement,clown,association
amusement,laughter,sensorimotor
amusement,park,association
amusement,roller coaster,association
anger,fist,sensorimotor
anger,red,sensorimotor
anger,shout,sensorimotor
anger,volcano,sensorimotor
anxiety,chest tightness,sensorimotor
anxiety,deadline,association
anxiety,racing thoughts,emotion
anxiety,sweaty palms,sensorimotor
apology,flowers,association
apology,forgiveness,emotion
apology,letter,association
apology,regret,emotion
appearance,deceiving,association
appearance,first,association
appearance,interview,social
appearance,mirror,sensorimotor
appetite,buffet,sensorimotor
appetite,growling stomach,sensorimotor
appetite,hunger pangs,emotion
appetite,skipping lunch,association
application,form,association
application,job,association
application,rejection,emotion
application,software,association
aptitude,learning,association
aptitude,potential,association
aptitude,talent,association
aptitude,test,association
argument,courtroom,association
argument,debate,social
argument,evidence,association
argument,heated,association
art,canvas,sensorimotor
art,creativity,association
art,gallery,association
art,museum,association
aspect,facet,association
aspect,perspective,association
aspect,widescreen,association
assassination,conspiracy,association
assassination,history,association
assassination,shadows,association
assassination,target,association
assumption,hidden,association
assumption,leap,sensorimotor
assumption,math,association
assumption,wrong,association
astonishment,gasp,sensorimotor
astonishment,magic,association
astonishment,unexpected,association
astonishment,wide-eyed,sensorimotor
attack,heart,sensorimotor
attack,shield,association
attack,sudden,association
attack,wolves,sensorimotor
attention,classroom,social
attention,deficit,association
attention,grabbing,association
attention,spotlight,association
attraction,chemistry,association
attraction,gravity,association
attraction,magnet,association
attraction,rollercoaster,association
beauty,elegance,association
beauty,mirror,association
beauty,rose,sensorimotor
beauty,sunset,sensorimotor
being,alive,association
being,existence,association
being,human,association
being,presence,association
betrayal,knife,sensorimotor
betrayal,shadows,sensorimotor
betrayal,tears,emotion
betrayal,trust,emotion
blackmail,envelope,association
blackmail,leverage,association
blackmail,secret,association
blackmail,threat,emotion
boredom,scrolling,sensorimotor
boredom,waiting,emotion
boredom,yawn,sensorimotor
boycott,bus,association
boycott,grapes,association
boycott,petition,social
bravery,firefighter,association
bravery,lion,association
bravery,medal,association
bravery,war,association
career,ambition,emotion
career,ladder,association
career,promotion,social
career,resume,association
carefulness,glass,sensorimotor
carefulness,slow,sensorimotor
carefulness,surgeon,social
carefulness,tightrope,sensorimotor
catastrophe,debris,sensorimotor
catastrophe,earthquake,sensorimotor
catastrophe,headlines,association
catastrophe,insurance,association
caution,slow,sensorimotor
caution,tape,sensorimotor
caution,wet floor,sensorimotor
caution,yellow,sensorimotor
challenge,growth,association
challenge,mountain,sensorimotor
challenge,opponent,social
challenge,trophy,association
chaos,scattered papers,sensorimotor
chaos,storm,sensorimotor
chaos,traffic jam,sensorimotor
chaos,unraveling,association
character,actor,association
character,alphabet,association
character,moral,association
character,novel,association
charm,bracelet,sensorimotor
charm,luck,association
charm,smile,sensorimotor
charm,spell,association
comfort,blanket,sensorimotor
comfort,couch,sensorimotor
comfort,home,association
comfort,warm,sensorimotor
commitment,dedication,emotion
commitment,long-term,association
commitment,promise,emotion
commitment,ring,association
comparison,chart,association
comparison,mirror,sensorimotor
comparison,shopping,association
comparison,sibling,social
compassion,listening,sensorimotor
compassion,nurse,social
compassion,shelter,sensorimotor
compassion,warm,sensorimotor
competence,certificate,association
competence,confidence,emotion
competence,job interview,social
competence,mastery,association
compromise,middle ground,association
compromise,negotiation,social
compromise,relationship,social
compromise,sacrifice,emotion
compulsion,gambling,association
compulsion,handwashing,sensorimotor
compulsion,itch,sensorimotor
compulsion,repeat,association
confession,booth,sensorimotor
confession,guilt,emotion
confession,priest,association
confession,secret,social
conflict,battlefield,sensorimotor
conflict,resolution,association
conflict,siblings,social
conflict,tension,emotion
consideration,decision-making,association
consideration,kindness,emotion
consideration,pause,association
consideration,thoughtful,emotion
consolation,loss,emotion
consolation,prize,association
consolation,shoulder,sensorimotor
consolation,tears,sensorimotor
contempt,courtroom,social
contempt,disgust,emotion
contempt,dismissive,emotion
contempt,sneer,social
convention,ballroom,social
convention,cosplay,social
convention,delegates,social
convention,nametag,sensorimotor
cooperation,ants,association
cooperation,handshake,sensorimotor
cooperation,puzzle pieces,sensorimotor
cooperation,teamwork,social
courage,cliff,sensorimotor
courage,firefighter,association
courage,heartbeat,sensorimotor
courage,lion,association
creativity,brainstorm,association
creativity,innovation,association
creativity,paintbrush,sensorimotor
creativity,spark,association
crime,alley,sensorimotor
crime,detective,association
crime,fingerprint,association
crime,siren,sensorimotor
criticism,improvement,association
criticism,red pen,association
criticism,review,association
criticism,sting,sensorimotor
cruelty,cage,sensorimotor
cruelty,cold,sensorimotor
cruelty,helpless,emotion
cruelty,laughter,sensorimotor
culture,bacteria,association
culture,museum,association
culture,petri dish,association
culture,traditions,association
curiosity,cat,association
curiosity,child,sensorimotor
curiosity,exploration,association
curiosity,question,association
custom,border,association
custom,handmade,association
custom,tailored,association
custom,tradition,association
danger,adrenaline,emotion
danger,cliff,sensorimotor
danger,red,sensorimotor
danger,warning,association
death,finality,association
death,funeral,social
death,grief,emotion
death,silence,sensorimotor
decision,crossroads,sensorimotor
decision,final,association
decision,hesitation,emotion
decision,voting,association
demand,negotiation,social
demand,protest,social
demand,supply,association
demand,urgent,association
desire,flame,association
desire,forbidden,association
desire,longing,emotion
desire,pursuit,association
desperation,cliff,sensorimotor
desperation,hollow,emotion
desperation,last-chance,association
desperation,sweat,sensorimotor
destruction,aftermath,association
destruction,demolition,sensorimotor
destruction,fire,sensorimotor
destruction,rubble,association
detection,clue,association
detection,hidden,association
detection,magnifying glass,sensorimotor
detection,radar,sensorimotor
dictatorship,fear,emotion
dictatorship,military,association
dictatorship,oppression,association
dictatorship,propaganda,association
difference,contrast,association
difference,math,association
difference,opinion,association
difference,unique,association
difficulty,mountain,sensorimotor
difficulty,obstacle,sensorimotor
difficulty,puzzle,sensorimotor
difficulty,sweat,sensorimotor
dignity,courtroom,association
dignity,elderly,social
dignity,posture,sensorimotor
dignity,respect,emotion
diligence,ant,sensorimotor
diligence,midnight,sensorimotor
diligence,steady,sensorimotor
disadvantage,competition,social
disadvantage,obstacle,sensorimotor
disadvantage,starting line,association
disadvantage,underdog,association
disappointment,expectations,emotion
disappointment,failing,association
disappointment,slumped,association
disappointment,tears,sensorimotor
discovery,curiosity,emotion
discovery,eureka,association
discovery,map,sensorimotor
discovery,telescope,sensorimotor
disgust,cockroach,sensorimotor
disgust,rotten food,sensorimotor
disgust,vomit,sensorimotor
disgust,wrinkled nose,sensorimotor
dismay,bad news,association
dismay,dropped jaw,sensorimotor
dismay,sinking feeling,emotion
dismay,unexpected,emotion
dispute,courtroom,social
dispute,fence,sensorimotor
dispute,neighbors,social
dispute,resolution,association
distance,horizon,sensorimotor
distance,longing,emotion
distance,marathon,association
distance,stars,sensorimotor
distraction,daydream,emotion
distraction,noise,sensorimotor
distraction,phone,sensorimotor
distraction,squirrel,sensorimotor
diversity,ecosystem,association
diversity,mosaic,association
diversity,rainbow,association
diversity,workplace,social
doubt,crossroads,association
doubt,hesitation,emotion
doubt,question,sensorimotor
doubt,shadow,association
downfall,empire,association
downfall,hubris,association
downfall,stairs,sensorimotor
downfall,tragic,association
dream,aspiration,emotion
dream,clouds,sensorimotor
dream,nightmare,emotion
dream,sleep,sensorimotor
duty,obligation,association
duty,soldier,association
duty,tax,association
duty,uniform,association
eagerness,doorbell,sensorimotor
eagerness,leaning,sensorimotor
eagerness,sunrise,sensorimotor
effort,climb,sensorimotor
effort,determination,emotion
effort,exhaustion,emotion
effort,sweat,sensorimotor
elegance,pearls,sensorimotor
elegance,simplicity,association
elegance,swan,sensorimotor
emotion,heart,sensorimotor
emotion,outburst,association
emotion,rollercoaster,association
emotion,tears,sensorimotor
enchantment,castle,sensorimotor
enchantment,fairy,association
enchantment,forest,sensorimotor
enchantment,spell,association
enthusiasm,cheerleader,social
enthusiasm,contagious,association
enthusiasm,puppy,sensorimotor
enthusiasm,spark,association
envy,comparison,association
envy,desire,emotion
envy,green,sensorimotor
envy,neighbor,social
error,404,sensorimotor
error,mistake,association
error,red underline,sensorimotor
error,trial,association
event,calendar,association
event,celebration,social
event,crowd,social
event,tickets,association
excitement,butterflies,association
excitement,jumping,sensorimotor
excitement,rollercoaster,association
excitement,surprise,emotion
expectation,disappointment,emotion
expectation,pressure,emotion
expectation,surprise,emotion
expectation,waiting,emotion
experience,adventure,association
experience,learning,association
experience,resume,association
experience,wisdom,emotion
explanation,confusion,emotion
explanation,diagram,association
explanation,patience,emotion
explanation,teacher,social
exploitation,loophole,association
exploitation,mining,sensorimotor
exploitation,vulnerability,emotion
exploitation,workers,association
faithfulness,dog,sensorimotor
faithfulness,prayer,association
faithfulness,waiting,emotion
faithfulness,wedding,social
fantasy,castle,sensorimotor
fantasy,daydream,emotion
fantasy,dragon,sensorimotor
fantasy,escape,association
fate,crossroads,sensorimotor
fate,inevitable,association
fate,stars,sensorimotor
fate,thread,association
fear,darkness,sensorimotor
fear,escape,association
fear,spider,sensorimotor
fear,sweating,sensorimotor
fight,adrenaline,emotion
fight,boxing ring,sensorimotor
fight,bruise,sensorimotor
fight,siblings,social
fitness,gym,association
fitness,muscles,sensorimotor
fitness,sweat,sensorimotor
fitness,treadmill,sensorimotor
flexibility,contortionist,association
flexibility,rubber band,sensorimotor
flexibility,schedule,association
flexibility,yoga,sensorimotor
force,gravity,association
force,jedi,association
force,military,association
force,push,association
forgiveness,apology,emotion
forgiveness,church,association
forgiveness,letting go,emotion
forgiveness,relief,emotion
freedom,bird,sensorimotor
freedom,breaking chains,sensorimotor
freedom,flag,association
freedom,open road,sensorimotor
fright,darkness,sensorimotor
fright,goosebumps,emotion
fright,haunted house,association
fright,scream,sensorimotor
frustration,clenched fists,sensorimotor
frustration,slow internet,association
