word,response,properties
ability,"word: ability  
properties: learning, overcoming, confidence, adaptability","['learning', 'overcoming', 'confidence', 'adaptability']"
accusation,"word: accusation  
properties: courtroom, betrayal, silence, confrontation","['courtroom', 'betrayal', 'silence', 'confrontation']"
achievement,"word: achievement  
properties: medal, personal growth, overcoming failure, pride","['medal', 'personal growth', 'overcoming failure', 'pride']"
activity,"word: activity  
properties: sports event, school project, dance class, morning run","['sports event', 'school project', 'dance class', 'morning run']"
addiction,"word: addiction  
properties: compulsive behavior, withdrawal symptoms, loss of control, dependency cycle","['compulsive behavior', 'withdrawal symptoms', 'loss of control', 'dependency cycle']"
admiration,"word: admiration  
properties: compliment, quiet respect, glowing eyes, public recognition","['compliment', 'quiet respect', 'glowing eyes', 'public recognition']"
advantage,"word: advantage  
properties: negotiation, competition, strategy, edge","['negotiation', 'competition', 'strategy', 'edge']"
adventure,"word: adventure  
properties: mountain climb, lost forest, foreign language, unexpected twist","['mountain climb', 'lost forest', 'foreign language', 'unexpected twist']"
advice,"word: advice  
properties: career choice, family conflict, personal growth, life decision","['career choice', 'family conflict', 'personal growth', 'life decision']"
agony,"word: agony  
properties: sharp pain, isolation, silent tears, helplessness","['sharp pain', 'isolation', 'silent tears', 'helplessness']"
agreement,"word: agreement  
properties: contract, peace, compromise, collaboration","['contract', 'peace', 'compromise', 'collaboration']"
amazement,"word: amazement  
properties: witnessing a rare bird, solving a long-standing puzzle, seeing a child's first smile, stumbling upon a hidden treasure","['witnessing a rare bird', 'solving a long-standing puzzle', ""seeing a child's first smile"", 'stumbling upon a hidden treasure']"
ambition,"word: ambition  
properties: early mornings, climbing mountains, lifelong goals, relentless drive","['early mornings', 'climbing mountains', 'lifelong goals', 'relentless drive']"
ambush,"word: ambush  
properties: surprise, stealth, sudden attack, hidden trap","['surprise', 'stealth', 'sudden attack', 'hidden trap']"
amusement,"word: amusement  
properties: carnival, laughter, popcorn, roller coaster","['carnival', 'laughter', 'popcorn', 'roller coaster']"
anger,"word: anger  
properties: shouting, betrayal, fists, silence","['shouting', 'betrayal', 'fists', 'silence']"
anxiety,"word: anxiety  
properties: racing heart, tight chest, sleepless night, avoidance behavior","['racing heart', 'tight chest', 'sleepless night', 'avoidance behavior']"
apology,"word: apology  
properties: broken promise, public statement, heartfelt admission, regretful tone","['broken promise', 'public statement', 'heartfelt admission', 'regretful tone']"
appearance,"word: appearance  
properties: mirror, fashion, identity, first impression","['mirror', 'fashion', 'identity', 'first impression']"
appetite,"word: appetite  
properties: hunger, meal prep, food cravings, first bite","['hunger', 'meal prep', 'food cravings', 'first bite']"
application,"word: application  
properties: software, phone, form, update","['software', 'phone', 'form', 'update']"
aptitude,"word: aptitude  
properties: academic success, quick learning, problem-solving ability, natural talent","['academic success', 'quick learning', 'problem-solving ability', 'natural talent']"
argument,"word: argument  
properties: disagreement, raised voice, broken silence, heated debate","['disagreement', 'raised voice', 'broken silence', 'heated debate']"
art,"word: art  
properties: brushstrokes, silent conversation, transformation, rebellion","['brushstrokes', 'silent conversation', 'transformation', 'rebellion']"
