word,response,properties
ability,"word: ability
properties: piano, license, ladder, gym","['piano', 'license', 'ladder', 'gym']"
accusation,"word: accusation
properties: finger, courtroom, gavel, shadow","['finger', 'courtroom', 'gavel', 'shadow']"
achievement,"word: achievement
properties: trophy, mountain, sweat, applause","['trophy', 'mountain', 'sweat', 'applause']"
activity,"word: activity
properties: park, sweat, schedule, noise","['park', 'sweat', 'schedule', 'noise']"
addiction,"word: addiction
properties: smoke, dice, chains, midnight","['smoke', 'dice', 'chains', 'midnight']"
admiration,"word: admiration
properties: pedestal, applause, statue, spotlight","['pedestal', 'applause', 'statue', 'spotlight']"
advantage,"word: advantage
properties: tennis, high ground, head start, ladder","['tennis', 'high ground', 'head start', 'ladder']"
adventure,"word: adventure
properties: mountain, compass, backpack, passport","['mountain', 'compass', 'backpack', 'passport']"
advice,"word: advice
properties: compass, ear, mentor, crossroads","['compass', 'ear', 'mentor', 'crossroads']"
agony,"word: agony
properties: marathon, teeth, thorns, screaming","['marathon', 'teeth', 'thorns', 'screaming']"
agreement,"word: agreement
properties: handshake, nodding, signature, ink","['handshake', 'nodding', 'signature', 'ink']"
amazement,"word: amazement
properties: fireworks, widened eyes, magic trick, galaxy","['fireworks', 'widened eyes', 'magic trick', 'galaxy']"
ambition,"word: ambition
properties: mountain, alarm, ladder, stars","['mountain', 'alarm', 'ladder', 'stars']"
ambush,"word: ambush
properties: jungle, camouflage, tiger, adrenaline","['jungle', 'camouflage', 'tiger', 'adrenaline']"
amusement,"word: amusement
properties: rollercoaster, popcorn, tickle, glitter","['rollercoaster', 'popcorn', 'tickle', 'glitter']"
anger,"word: anger
properties: red, fists, volcano, scream","['red', 'fists', 'volcano', 'scream']"
anxiety,"word: anxiety
properties: tightness, coffee, pacing, crowd","['tightness', 'coffee', 'pacing', 'crowd']"
apology,"word: apology
properties: flowers, letter, handshake, sigh","['flowers', 'letter', 'handshake', 'sigh']"
appearance,"word: appearance
properties: mirror, courtroom, mask, shadow","['mirror', 'courtroom', 'mask', 'shadow']"
