word,rating
suit,3
performance,2
cognition,1
hat,6
disappointment,2
city,5
independence,1
hotel,4
guilt,1
bubble,7
marriage,2
neighborhood,5
adversity,1
crown,6
fisherman,3
peach,7
lion,5
vapor,6
fantasy,2
advice,1
metaphor,1
blade,6
arc,6
lamp,7
square,7
accident,3
attitude,1
material,7
outcome,1
error,1
puddle,7
comparison,1
regulation,1
cowardice,1
engagement,2
site,4
professor,1
mosquito,5
mold,7
irony,1
contempt,1
purpose,1
knife,6
opportunity,1
curfew,2
despair,1
anxiety,1
cloth,7
truck,5
stride,3
three,1
mind,1
sword,6
spider,5
baby,4
inn,4
bullet,6
trumpet,4
costume,5
leopard,5
diversity,1
river,5
duty,1
math,1
bell,5
ceiling,7
blood,6
landscape,7
photograph,7
consideration,1
chief,3
witness,3
insight,1
fear,1
bird,5
butter,7
equality,1
perception,1
availability,1
weather,6
hierarchy,1
toilet,4
principle,1
propeller,6
future,1
riddle,1
promotion,1
annoyance,1
advantage,1
spelling,1
key,5
typewriter,7
sight,7
occasion,2
gun,6
odor,5
ambulance,5
past,1
lane,5
decision,1
volt,6
band,4
ocean,7
sedative,1
rabbit,5
opposition,1
clean,4
boy,2
riot,3
nerve,1
confidence,1
frustration,1
specialist,1
recognition,1
kitten,4
pawn,5
selection,1
mile,5
genuine,1
beetle,5
job,2
towel,7
issue,1
dynasty,1
sandal,6
establishment,1
dagger,6
neck,4
stapler,6
fight,3
lightning,7
lunch,4
second,1
child,2
exclusion,1
description,1
art,3
suggestion,1
development,1
magnitude,1
institute,1
sow,5
alley,5
time,1
honesty,1
produce,5
arrangement,1
bag,6
intention,1
group,2
body,4
rebel,2
midnight,2
drama,2
distraction,1
bracelet,6
proportion,1
horse,5
crime,1
core,1
personality,1
park,5
disaster,3
cocktail,4
suspect,2
philosophy,1
literature,1
limitation,1
magic,2
conscience,1
teacher,1
destiny,1
murder,1
assistance,1
escape,1
affection,1
ability,1
cake,7
football,3
brain,1
psalm,1
fountain,6
imagination,1
state,1
majority,1
tool,5
incentive,1
stranger,2
interaction,1
enemy,1
stick,6
leader,1
competence,1
bedroom,4
cottage,5
pest,5
subtraction,1
lake,7
jacket,6
