word,properties,codes,frequencies
ability,"['learning', 'piano', 'independence', 'challenge']","['other abstract concept', 'sensorimotor feature', 'other abstract concept', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
activity,"['outdoors', 'planning', 'energy', 'teamwork']","['sensorimotor feature', 'internal state and emotion', 'sensorimotor feature', 'social constellation']","[0.5, 0.25, 0.25, 0.0]"
addiction,"['relapse', 'isolation', 'craving', 'desperation']","['other abstract concept', 'social constellation', 'internal state and emotion', 'internal state and emotion']","[0.0, 0.5, 0.25, 0.25]"
admiration,"['sculpture', 'mentor', 'courage', 'stillness']","['association', 'social constellation', 'internal state and emotion', 'sensorimotor feature']","[0.25, 0.25, 0.25, 0.25]"
advantage,"['strategy', 'height', 'preparation', 'opportunity']","['other abstract concept', 'association', 'other abstract concept', 'other abstract concept']","[0.0, 0.0, 0.0, 1.0]"
adventure,"['map', 'forest', 'risk', 'discovery']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'other abstract concept']","[0.5, 0.25, 0.0, 0.25]"
advice,"['mentor', 'crossroads', 'vulnerability', 'learning']","['social constellation', 'association', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
agreement,"['contract', 'handshake', 'compromise', 'trust']","['other abstract concept', 'sensorimotor feature', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
amazement,"['stars', 'discovery', 'silence', 'child']","['association', 'other abstract concept', 'sensorimotor feature', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
ambition,"['staircase', 'blueprint', 'discomfort', 'legacy']","['association', 'association', 'internal state and emotion', 'association']","[0.0, 0.25, 0.0, 0.75]"
ambush,"['jungle', 'surprise', 'fear', 'planning']","['association', 'internal state and emotion', 'internal state and emotion', 'internal state and emotion']","[0.0, 0.75, 0.0, 0.25]"
amusement,"['laughter', 'carnival', 'surprise', 'bubbles']","['sensorimotor feature', 'association', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
anxiety,"['racing', 'shadows', 'knots', 'silence']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
apology,"['forgiveness', 'vulnerability', 'repair', 'silence']","['other abstract concept', 'internal state and emotion', 'other abstract concept', 'association']","[0.0, 0.25, 0.0, 0.75]"
appearance,"['makeup', 'stage', 'courtroom', 'disguise']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
appetite,"['cooking', 'hunger', 'aroma', 'growth']","['sensorimotor feature', 'internal state and emotion', 'sensorimotor feature', 'association']","[0.5, 0.25, 0.0, 0.25]"
application,"['software', 'resume', 'process', 'request']","['association', 'association', 'other abstract concept', 'other abstract concept']","[0.0, 0.0, 0.0, 1.0]"
aptitude,"['learning', 'puzzle', 'potential', 'strategy']","['sensorimotor feature', 'association', 'other abstract concept', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
argument,"['debate', 'frustration', 'compromise', 'evidence']","['social constellation', 'internal state and emotion', 'social constellation', 'association']","[0.0, 0.25, 0.5, 0.25]"
art,"['gallery', 'texture', 'emotion', 'skill']","['association', 'sensorimotor feature', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
aspect,"['viewpoint', 'geometry', 'stage', 'consideration']","['other abstract concept', 'other abstract concept', 'association', 'internal state and emotion']","[0.0, 0.25, 0.0, 0.75]"
assumption,"['risk', 'shortcut', 'bias', 'guesswork']","['other abstract concept', 'association', 'internal state and emotion', 'internal state and emotion']","[0.0, 0.5, 0.0, 0.5]"
astonishment,"['statue', 'silence', 'dropped jaw', 'discovery']","['association', 'sensorimotor feature', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
attack,"['defense', 'fear', 'surprise', 'strategy']","['other abstract concept', 'internal state and emotion', 'internal state and emotion', 'other abstract concept']","[0.0, 0.5, 0.0, 0.5]"
attraction,"['magnet', 'tourism', 'chemistry', 'gaze']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
being,"['growth', 'choice', 'breath', 'wonder']","['other abstract concept', 'internal state and emotion', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.5, 0.0, 0.25]"
blackmail,"['secrets', 'leverage', 'fear', 'desperation']","['association', 'other abstract concept', 'internal state and emotion', 'internal state and emotion']","[0.0, 0.5, 0.0, 0.5]"
bravery,"['mountains', 'silence', 'scars', 'lighthouse']","['association', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
career,"['network', 'training', 'balance', 'impact']","['social constellation', 'other abstract concept', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
carefulness,"['bridge', 'library', 'seedlings', 'stopwatch']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
challenge,"['mountain', 'puzzle', 'growth', 'pressure']","['sensorimotor feature', 'association', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
chaos,"['broken glass', 'static', 'emergency room', 'lost keys']","['sensorimotor feature', 'sensorimotor feature', 'social constellation', 'association']","[0.5, 0.0, 0.25, 0.25]"
character,"['decision', 'flaws', 'story', 'courage']","['internal state and emotion', 'internal state and emotion', 'association', 'internal state and emotion']","[0.0, 0.75, 0.0, 0.25]"
charm,"['bracelet', 'snake', 'persuasion', 'vintage']","['sensorimotor feature', 'association', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
comfort,"['warmth', 'silence', 'tea', 'safety']","['sensorimotor feature', 'sensorimotor feature', 'association', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
commitment,"['contract', 'responsibility', 'trust', 'sacrifice']","['other abstract concept', 'other abstract concept', 'social constellation', 'other abstract concept']","[0.0, 0.0, 0.25, 0.75]"
compassion,"['volunteering', 'shelter', 'listening', 'vulnerability']","['social constellation', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
competence,"['surgery', 'pilot', 'chess', 'repair']","['sensorimotor feature', 'social constellation', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.25, 0.25]"
compromise,"['negotiation', 'fairness', 'flexibility', 'discomfort']","['social constellation', 'other abstract concept', 'other abstract concept', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
compulsion,"['rituals', 'anxiety', 'control', 'repetition']","['sensorimotor feature', 'internal state and emotion', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.5, 0.0, 0.0]"
confession,"['priest', 'secrets', 'relief', 'darkness']","['social constellation', 'association', 'internal state and emotion', 'association']","[0.0, 0.25, 0.25, 0.5]"
conflict,"['tension', 'compromise', 'boundaries', 'frustration']","['internal state and emotion', 'social constellation', 'other abstract concept', 'internal state and emotion']","[0.0, 0.5, 0.25, 0.25]"
consideration,"['debate', 'planning', 'ethics', 'patience']","['social constellation', 'internal state and emotion', 'other abstract concept', 'internal state and emotion']","[0.0, 0.5, 0.25, 0.25]"
consolation,"['blanket', 'quiet', 'rain', 'stories']","['sensorimotor feature', 'sensorimotor feature', 'association', 'association']","[0.5, 0.0, 0.0, 0.5]"
contempt,"['distance', 'sneer', 'power', 'silence']","['sensorimotor feature', 'sensorimotor feature', 'other abstract concept', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
convention,"['badges', 'speeches', 'hotels', 'networking']","['association', 'association', 'association', 'social constellation']","[0.0, 0.0, 0.25, 0.75]"
cooperation,"['bridge', 'puzzle', 'orchestra', 'harvest']","['association', 'association', 'social constellation', 'association']","[0.0, 0.0, 0.25, 0.75]"
courage,"['mountains', 'silence', 'vulnerability', 'brokenness']","['association', 'association', 'internal state and emotion', 'internal state and emotion']","[0.0, 0.5, 0.0, 0.5]"
creativity,"['collage', 'puzzles', 'gardening', 'daydreaming']","['sensorimotor feature', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
criticism,"['growth', 'defensiveness', 'revision', 'discomfort']","['other abstract concept', 'internal state and emotion', 'other abstract concept', 'internal state and emotion']","[0.0, 0.5, 0.0, 0.5]"
cruelty,"['silence', 'shadows', 'power', 'isolation']","['association', 'association', 'other abstract concept', 'social constellation']","[0.0, 0.0, 0.25, 0.75]"
curiosity,"['telescope', 'kitten', 'locked room', 'question mark']","['association', 'sensorimotor feature', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
custom,"['tailoring', 'tradition', 'stamp', 'order']","['sensorimotor feature', 'association', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
danger,"['shadows', 'cliffs', 'silence', 'fever']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
death,"['clocks', 'shadows', 'soil', 'forgetting']","['association', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
decision,"['crossroads', 'risk', 'future', 'consequence']","['association', 'internal state and emotion', 'other abstract concept', 'other abstract concept']","[0.0, 0.25, 0.0, 0.75]"
demand,"['pressure', 'negotiation', 'scarcity', 'entitlement']","['internal state and emotion', 'social constellation', 'association', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
desire,"['journey', 'stars', 'warmth', 'growth']","['association', 'association', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
desperation,"['shadows', 'silence', 'quicksand', 'cracked glass']","['association', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
detection,"['radar', 'clues', 'alarm', 'investigation']","['sensorimotor feature', 'association', 'sensorimotor feature', 'social constellation']","[0.5, 0.0, 0.25, 0.25]"
dictatorship,"['surveillance', 'censorship', 'unrest', 'propaganda']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.5, 0.25, 0.0, 0.25]"
