word,rating
truth,3
legality,2
drug,1
stranger,6
band,4
hotel,3
material,1
lesson,2
victim,5
extent,1
burner,1
suggestion,3
dagger,1
site,1
consequence,2
thing,1
degree,1
unity,6
duty,4
combination,1
guess,1
tool,1
incentive,2
anger,5
manner,3
satisfaction,3
supply,1
bag,1
paragraph,1
neighborhood,4
trust,7
philosophy,2
route,1
father,7
wolf,1
vocabulary,1
incident,2
teacher,5
contract,4
factory,1
rabbit,1
reality,1
territory,2
chief,4
salary,1
outcome,1
past,2
assumption,2
institute,2
chicken,1
street,2
willingness,3
reinforcement,2
crocodile,1
diet,1
bet,2
entree,1
fog,1
rule,3
example,1
moment,1
uncle,7
deputy,3
cow,1
result,1
coincidence,1
thorn,1
fat,1
occasion,2
mile,1
advantage,1
rent,1
time,1
spirit,3
corporation,2
helmet,1
composer,2
distance,3
engagement,7
duel,5
gender,5
individual,5
specialist,2
mankind,5
sky,1
gesture,5
cliff,1
line,2
tree,1
promotion,2
donor,3
acquisition,1
leader,5
replacement,2
flask,1
obstruction,1
pest,1
confidence,5
episode,2
show,2
hurricane,1
eight,1
calendar,1
bank,2
meeting,6
necklace,3
opposition,4
miracle,1
peach,1
christmas,5
vision,2
tension,5
odor,1
inch,1
perception,2
appointment,4
cocktail,3
blade,1
truck,1
peacemaker,6
marriage,7
chair,1
cranberry,1
payment,2
belief,3
microscope,1
significance,1
speech,3
cause,2
loan,2
entrance,1
lock,1
tennis,3
bed,3
retention,1
skunk,1
silence,3
coffee,2
scholar,2
holiday,4
paradigm,1
river,1
limitation,2
volt,1
description,1
bird,1
diversity,4
salad,1
trumpet,2
child,7
march,2
stride,1
apology,7
boulder,1
fallacy,1
shortness,1
knowledge,2
kite,1
diamond,2
starch,1
hat,1
pimple,1
advice,4
costume,2
mileage,1
exception,1
mud,1
skin,2
brevity,1
blood,4
record,1
puppy,3
heap,1
lobster,1
robbery,4
spelling,1
stapler,1
fabric,1
vapor,1
poll,2
road,1
handkerchief,1
stick,1
hospital,4
job,3
grammar,1
radio,1
irrigation,1
genuine,2
location,1
personality,5
waste,1
darkness,1
island,1
guilt,6
pie,1
difference,2
mastery,1
bullet,1
insight,2
metaphor,1
lunch,3
faith,4
midnight,1
typewriter,1
bolt,1
wood,1
disappointment,5
ignition,1
quality,1
conclusion,1
ballot,2
bracelet,2
propeller,1
hierarchy,3
escape,2
definition,1
