word,rating
truth,7
legality,6
drug,2
stranger,3
band,4
hotel,5
material,6
lesson,7
victim,3
extent,5
burner,4
suggestion,7
dagger,2
site,5
consequence,6
thing,4
degree,7
unity,5
duty,6
combination,7
guess,4
tool,5
incentive,6
anger,3
manner,5
satisfaction,7
supply,6
bag,4
paragraph,5
neighborhood,3
trust,7
philosophy,6
route,5
father,4
wolf,2
vocabulary,7
incident,6
teacher,5
contract,4
factory,3
rabbit,2
reality,7
territory,6
chief,5
salary,4
outcome,7
past,3
assumption,6
institute,5
chicken,2
street,4
willingness,7
reinforcement,6
crocodile,2
diet,3
bet,4
entree,5
fog,2
rule,6
example,7
moment,5
uncle,4
deputy,3
cow,2
result,7
coincidence,6
thorn,4
fat,3
occasion,5
mile,4
advantage,7
rent,6
time,5
spirit,4
corporation,6
helmet,3
composer,5
distance,4
engagement,6
duel,2
gender,5
individual,7
specialist,6
mankind,4
sky,5
gesture,7
cliff,3
line,4
tree,5
promotion,6
donor,3
acquisition,7
leader,5
replacement,6
flask,4
obstruction,2
pest,3
confidence,7
episode,6
show,5
hurricane,2
eight,4
calendar,3
bank,5
meeting,6
necklace,4
opposition,7
miracle,6
peach,3
christmas,5
vision,7
tension,6
odor,2
inch,4
perception,7
appointment,6
cocktail,5
blade,3
truck,4
peacemaker,7
marriage,6
chair,5
cranberry,3
payment,4
belief,7
microscope,6
significance,7
speech,5
cause,4
loan,3
entrance,6
lock,5
tennis,4
bed,3
retention,7
skunk,2
silence,6
coffee,5
scholar,7
holiday,4
paradigm,6
river,5
limitation,3
volt,4
description,7
bird,5
diversity,6
salad,4
trumpet,3
child,5
march,4
stride,6
apology,7
boulder,3
fallacy,2
shortness,4
knowledge,7
kite,5
diamond,6
starch,3
hat,4
pimple,2
advice,7
costume,5
mileage,4
exception,6
mud,3
skin,5
brevity,4
blood,2
record,6
puppy,5
heap,3
lobster,4
robbery,2
spelling,7
stapler,5
fabric,4
vapor,3
poll,6
road,5
handkerchief,4
stick,3
hospital,6
job,5
grammar,7
radio,4
irrigation,6
genuine,7
location,5
personality,6
waste,3
darkness,2
island,5
guilt,4
pie,3
difference,7
