word,rating
truth,1
legality,1
drug,1
stranger,2
band,7
hotel,2
material,1
lesson,3
victim,2
extent,1
burner,3
suggestion,3
dagger,2
site,1
consequence,1
thing,1
degree,1
unity,1
duty,1
combination,1
guess,1
tool,3
incentive,1
anger,4
manner,1
satisfaction,1
supply,1
bag,3
paragraph,1
neighborhood,3
trust,1
philosophy,1
route,1
father,3
wolf,6
vocabulary,3
incident,3
teacher,3
contract,1
factory,6
rabbit,2
reality,1
territory,1
chief,2
salary,1
outcome,1
past,1
assumption,1
institute,1
chicken,6
street,5
willingness,1
reinforcement,1
crocodile,4
diet,1
bet,2
entree,1
fog,1
rule,1
example,1
moment,1
uncle,3
deputy,3
cow,6
result,1
coincidence,1
thorn,1
fat,1
occasion,2
mile,1
advantage,1
rent,1
time,3
spirit,1
corporation,1
helmet,2
composer,7
distance,1
engagement,2
duel,5
gender,1
individual,1
specialist,2
mankind,1
sky,1
gesture,1
cliff,2
line,1
tree,4
promotion,1
donor,1
acquisition,1
leader,3
replacement,1
flask,3
obstruction,1
pest,4
confidence,1
episode,4
show,5
hurricane,7
eight,1
calendar,1
bank,2
meeting,5
necklace,3
opposition,1
miracle,1
peach,1
christmas,6
vision,1
tension,1
odor,1
inch,1
perception,1
appointment,1
cocktail,4
blade,3
truck,6
peacemaker,2
marriage,3
chair,3
cranberry,1
payment,1
belief,1
microscope,1
significance,1
speech,7
cause,1
loan,1
entrance,3
lock,5
tennis,5
bed,3
retention,1
skunk,1
silence,1
coffee,4
scholar,2
holiday,4
paradigm,1
river,5
limitation,1
volt,3
description,2
bird,7
diversity,1
salad,3
trumpet,7
child,5
march,6
stride,4
apology,4
boulder,3
fallacy,1
shortness,1
knowledge,1
kite,3
diamond,1
starch,1
hat,1
pimple,1
advice,4
costume,2
mileage,1
exception,1
mud,4
skin,1
brevity,1
blood,1
record,6
puppy,6
heap,1
lobster,3
robbery,5
spelling,2
stapler,5
fabric,2
vapor,3
poll,1
road,4
handkerchief,1
stick,4
hospital,4
job,1
grammar,1
radio,7
irrigation,4
genuine,1
location,1
personality,1
waste,1
darkness,1
island,4
guilt,1
pie,1
difference,1
mastery,1
bullet,6
insight,1
metaphor,1
lunch,3
faith,1
midnight,1
typewriter,7
bolt,5
wood,4
disappointment,1
ignition,6
quality,1
conclusion,1
ballot,1
bracelet,4
propeller,7
hierarchy,1
escape,4
definition,1
grasshopper,6
identity,1
skull,1
preference,1
temple,4
nose,4
interruption,5
item,1
mold,1
disagreement,5
zoo,6
cucumber,3
mother,3
crime,4
electricity,4
friendship,3
sight,1
sister,3
value,1
atrocity,5
ignorance,1
establishment,1
sow,5
charity,1
shame,1
woman,3
tradition,1
arc,1
refrigerator,5
sedative,1
safety,1
murder,5
fantasy,1
mustard,1
grandmother,3
liar,3
coupon,1
nation,1
animal,5
knife,3
reason,1
intention,1
honesty,1
uniform,1
protection,1
pool,5
addition,1
story,4
awareness,1
adventurer,2
fireplace,6
state,1
frog,6
performance,6
squeak,7
mansion,1
station,5
emergence,1
edge,1
division,1
issue,1
betrayal,1
linen,2
potato,1
grass,3
roof,4
kitten,6
punishment,1
bottle,4
sandal,3
number,1
irony,1
riddle,3
pretense,1
consideration,1
category,1
lisp,7
chance,1
queen,2
origin,1
brute,4
calculation,1
jerk,1
adversity,1
logic,1
majority,1
claim,3
selection,1
flavor,1
measure,1
ceiling,1
oven,3
apple,4
independence,1
affection,1
hurt,4
loafer,3
underworld,1
improvement,1
tip,2
method,1
view,1
name,4
translation,2
member,1
lake,4
macaroni,3
corpse,1
intelligence,1
alley,3
rainbow,1
love,1
beetle,3
ally,2
leopard,5
injury,4
uncertainty,1
justification,3
tendency,1
attitude,1
context,1
lemon,1
twig,5
aspect,1
door,5
menu,1
impairment,1
pond,4
water,5
capacity,1
self,1
figure,1
snow,1
moral,1
duck,6
cake,1
dentist,6
riot,7
risk,1
clothing,2
attempt,1
destiny,1
margin,1
brain,1
design,1
rhyme,7
exclusion,1
brawl,6
youth,4
prop,1
situation,1
peace,1
resort,2
explanation,4
effect,1
presence,1
gun,7
effort,3
disaster,6
park,4
horse,6
television,6
imagination,1
thought,1
sole,3
candy,3
unit,1
heart,6
damage,4
real,1
complication,1
comparison,1
germ,1
poetry,6
car,6
hope,1
tomato,1
writing,3
fight,6
arrangement,1
jewel,1
ditch,1
theory,1
debt,1
tide,5
stupidity,1
criticism,4
city,6
recital,7
mind,1
eyeball,1
lettuce,4
opportunity,1
corn,3
football,5
worry,1
beauty,1
phenomenon,1
talent,1
property,1
interior,1
revenge,1
convergence,1
appeal,3
impossibility,1
bandit,4
sugar,3
possibility,1
boundary,1
literature,3
landscape,1
announcement,6
shock,4
elephant,6
identification,1
kindness,1
permission,3
bridge,3
circumstance,1
clearance,1
steam,5
cognition,1
nerve,1
moonlight,1
mountain,1
skill,1
comprehension,1
robin,6
lizard,1
hazard,1
distraction,3
missile,6
food,3
instructor,3
professor,3
mosquito,6
attention,1
clean,1
physics,1
winter,3
master,2
information,1
misery,4
scent,1
second,4
medicine,1
construction,7
dozen,1
alligator,4
decision,1
snake,5
cup,3
owner,1
forest,5
mystery,1
regulation,1
dimension,1
circuit,3
responsibility,1
duration,1
play,5
volume,7
visitor,3
fate,1
suspect,2
competence,1
gorilla,5
magic,3
itch,4
prediction,2
contempt,3
leadership,1
reduction,1
importance,1
annoyance,3
parish,2
hog,5
curfew,4
group,4
baby,6
fear,4
lens,1
idea,1
suit,2
pile,1
accumulation,1
dynasty,1
camera,5
interaction,4
empty,3
stimulus,1
production,4
butter,1
object,1
integrity,1
drum,7
core,1
lily,1
latch,5
conference,5
shirt,2
ankle,2
girl,3
candidate,3
sneeze,7
autumn,4
season,1
sadness,4
variety,1
eagle,6
event,3
originality,1
photograph,1
fisherman,3
laundry,4
law,1
arrow,4
frustration,3
boredom,4
photo,1
grief,5
palace,1
heresy,2
industry,5
increase,1
weather,5
correspondent,3
chipmunk,5
danger,4
wallet,1
neck,1
wage,1
opinion,3
ability,1
chlorine,1
hatred,4
lion,7
accident,6
body,1
crown,1
wish,2
thief,2
orchid,1
fact,1
dilemma,1
length,1
wave,6
sofa,1
boy,3
tragedy,4
caterpillar,1
sword,5
alphabet,2
ceremony,5
lightning,6
assistance,2
disgust,4
pillow,1
ring,7
traveler,3
recognition,2
myth,3
foundation,1
economy,1
justice,1
freedom,1
beast,5
music,7
verse,6
regret,3
branch,4
border,1
standard,1
wisdom,1
drama,5
atom,1
synagogue,4
jacket,2
shark,3
relief,4
topic,1
instance,1
lamb,6
separation,1
conscience,1
student,3
specimen,1
art,2
banana,1
beaver,4
doctor,3
summer,4
distribution,1
artist,2
cowardice,1
determination,1
crisis,4
tallness,1
lamp,3
file,4
form,1
behavior,1
shape,1
evidence,1
ball,4
republic,1
opera,7
soul,1
amplitude,6
ambition,1
fountain,5
ambulance,7
admiration,1
weight,1
bell,7
window,3
principle,1
coffin,1
equality,1
raspberry,3
want,1
pig,6
hobby,1
policeman,4
assault,5
acre,1
tune,7
square,1
reputation,1
income,1
key,5
beverage,3
future,1
amount,1
toilet,6
fifteen,1
consistency,1
lane,1
towel,1
pigeon,6
occupation,1
ownership,1
magnitude,1
democracy,1
onion,3
opponent,2
purpose,1
development,1
benefactor,1
envy,1
laughter,7
church,5
newspaper,3
empire,1
math,1
cottage,1
brother,3
charter,1
necessity,1
expression,3
pawn,2
helplessness,3
produce,1
abundance,1
immortality,1
pill,1
tax,1
size,1
security,1
article,1
deceit,1
deduction,1
rebel,4
scene,4
mattress,3
memory,1
message,3
volcano,6
malice,1
saloon,5
accomplishment,1
spider,1
desk,1
inn,3
tongue,4
response,4
instinct,1
cat,6
sanctuary,2
money,4
character,1
dove,6
bedroom,1
segment,1
iron,4
bubble,5
boat,4
lip,3
denial,4
idiom,2
outfit,1
availability,1
three,1
pyramid,1
mercy,2
despair,4
nurse,3
infection,1
preparation,1
chocolate,3
month,1
reflex,1
error,1
proof,1
rocket,7
enemy,3
cloth,2
orchestra,7
witness,3
ocean,6
dad,3
psalm,6
puddle,4
proportion,1
requirement,1
butterfly,1
introduction,4
smell,1
anxiety,3
subtraction,1
temperature,1
shrimp,1
university,4
guide,3
