word,rating
lake,4
ambition,3
chance,2
individual,2
apology,2
opponent,3
boredom,2
cowardice,2
beetle,1
silence,1
bet,2
animal,3
coupon,1
faith,3
liar,3
lip,2
tongue,4
originality,3
ankle,1
potato,1
accumulation,1
outfit,5
chair,1
cognition,1
station,2
disaster,2
real,2
dilemma,2
scene,3
ally,3
ownership,3
theory,2
reinforcement,2
puppy,4
guide,3
damage,2
circumstance,2
state,2
response,2
key,1
boat,2
degree,2
crown,4
myth,3
blood,4
deduction,2
forest,4
latch,1
tune,3
show,3
interior,3
starch,1
mankind,3
infection,3
fabric,3
wood,3
tragedy,3
germ,3
iron,1
spider,2
calendar,2
affection,4
photograph,4
territory,3
incident,2
vapor,1
dentist,1
sword,3
flavor,3
clean,2
consistency,2
appeal,3
identification,3
fact,2
route,2
linen,2
macaroni,1
skin,2
stride,1
writing,3
roof,1
menu,1
division,2
value,2
suit,4
lamp,1
personality,3
contract,2
cloth,3
amount,2
intention,3
magic,3
confidence,4
duration,2
sandal,2
thing,2
mattress,1
addition,2
newspaper,3
opposition,3
leopard,2
pigeon,2
clearance,1
opinion,3
play,3
heart,3
irrigation,1
clothing,4
distance,2
fate,2
calculation,2
number,2
wisdom,3
vocabulary,3
talent,3
character,3
nose,1
salad,2
tree,3
risk,2
definition,3
ditch,1
hobby,2
adversity,2
inn,1
butter,1
pyramid,2
tomato,2
riot,2
independence,3
itch,1
temple,2
teacher,3
brain,3
occupation,2
ignition,1
suspect,2
costume,4
door,1
necessity,2
equality,2
orchid,2
bag,1
dove,2
chlorine,1
reflex,1
conference,2
result,2
helmet,1
beauty,3
shortness,1
verse,2
exception,2
bird,2
circuit,1
queen,3
charter,2
principle,2
music,3
want,2
relief,3
moral,3
jerk,1
metaphor,3
scent,3
girl,2
tradition,3
development,3
crisis,2
bubble,1
camera,3
pond,2
decision,2
job,2
frustration,3
error,2
student,2
reputation,2
fear,2
tool,2
shrimp,1
refrigerator,1
empty,1
kindness,3
impairment,2
wish,2
alligator,2
moment,2
injury,2
master,3
file,1
factory,2
body,2
weight,2
tide,2
lemon,2
television,2
coffin,1
admiration,3
tip,1
complication,2
shock,2
past,2
park,2
line,1
nerve,2
income,2
specialist,2
lesson,2
cause,2
squeak,1
insight,3
hotel,1
peacemaker,2
law,2
conscience,3
misery,2
dimension,2
pill,1
alley,1
banana,2
pest,1
debt,2
march,2
justice,3
sanctuary,3
meeting,2
cucumber,1
expression,3
opera,2
significance,3
intelligence,3
object,2
tallness,1
grasshopper,1
purpose,2
mosquito,1
assault,2
pillow,1
anxiety,2
hope,3
fountain,2
benefactor,2
love,4
drum,1
stimulus,2
beverage,1
mountain,3
capacity,2
awareness,3
danger,2
raspberry,1
reality,2
acquisition,2
snow,1
appointment,2
ocean,3
wave,2
composer,2
guilt,2
payment,2
jacket,2
city,2
lamb,2
retention,2
requirement,1
miracle,2
segment,1
oven,1
kitten,2
trust,3
flask,1
preparation,2
imagination,3
bridge,2
towel,1
coincidence,2
context,2
hospital,1
article,2
mercy,3
rabbit,2
spirit,3
rebel,2
interruption,2
design,2
criticism,2
duty,2
fog,1
peach,1
professor,2
friendship,4
cup,1
length,1
form,2
lunch,1
square,1
empire,2
pimple,1
shirt,2
pile,1
abundance,2
visitor,2
responsibility,3
location,2
corporation,2
literature,2
laundry,1
landscape,2
eagle,2
presence,2
tendency,2
construction,2
regulation,2
rocket,1
church,2
doctor,2
topic,2
midnight,1
conclusion,2
neck,1
car,1
fat,1
volume,2
story,2
physics,1
security,2
hog,1
name,1
lens,1
cow,1
chipmunk,1
christmas,2
possibility,2
suggestion,2
fallacy,2
robbery,2
assistance,2
distribution,2
skill,3
stranger,2
record,2
instructor,2
mold,1
occasion,2
hurricane,2
medicine,2
cocktail,1
institute,2
pig,1
guess,2
uncle,2
owner,3
hazard,2
desk,1
apple,1
pie,1
convergence,2
ability,3
democracy,2
grief,2
bed,1
fantasy,2
bolt,1
material,2
issue,2
rent,2
belief,2
rhyme,2
hat,1
variety,2
consideration,2
wage,2
arrow,1
identity,3
advice,2
corpse,1
contempt,2
message,2
math,2
paradigm,2
lightning,1
necklace,2
idea,3
assumption,2
future,2
bracelet,1
despair,2
stupidity,2
skunk,1
cat,1
size,1
method,2
pawn,1
laughter,2
cottage,1
ambulance,1
puddle,1
industry,2
effect,2
crocodile,1
proof,2
waste,2
immortality,2
economy,2
property,2
chocolate,1
scholar,2
incentive,2
coffee,1
tension,2
consequence,2
lobster,1
opportunity,2
uncertainty,2
volt,1
cake,1
justification,2
self,2
safety,2
fireplace,1
grammar,2
leader,2
establishment,2
irony,2
poll,1
