word,properties,codes,frequencies
abominable,"['Extremely hateful or disgusting', 'Morally revolting behavior or actions', 'Describes something deserving strong condemnation', 'Inspires deep loathing and repulsion', 'Often paired with ""snowman"" in folklore']","['entity', 'entity', 'introspective', 'introspective', 'situation']","[0.0, 0.4, 0.2, 0.4]"
accessible,"['Easy to reach or enter', 'Available to everyone, including those with disabilities', 'Ramps and wide doorways', 'Simple to understand or use', 'No barriers preventing approach']","['entity', 'entity', 'entity', 'entity', 'introspective']","[0.0, 0.8, 0.0, 0.2]"
accurate,"['Correct', 'Free from errors', 'Hitting the target precisely', 'Matching reality exactly', 'Careful measurement']","['taxonomic', 'entity', 'situation', 'entity', 'introspective']","[0.2, 0.4, 0.2, 0.2]"
accusation,"['Blame directed at someone', 'Alleges wrongdoing or guilt', 'Often heard in courtrooms', 'Pointed finger', 'Requires evidence to prove']","['entity', 'entity', 'situation', 'situation', 'introspective']","[0.0, 0.4, 0.4, 0.2]"
admiration,"['Deep respect felt toward someone impressive', ""Looking up to a person's achievements or qualities"", 'Warm positive feeling mixed with awe', 'Often directed at heroes or role models', 'Gazing with appreciation and high regard']","['introspective', 'introspective', 'introspective', 'situation', 'situation']","[0.0, 0.0, 0.4, 0.6]"
adoring,"['Deep affection directed toward someone', 'Gazing with warmth and devotion', 'Worshipful admiration', 'How a parent looks at their newborn', 'Expressing intense fondness and reverence']","['introspective', 'situation', 'taxonomic', 'situation', 'situation']","[0.2, 0.0, 0.6, 0.2]"
affection,"['Warm feeling toward someone', 'Expressed through hugs and gentle touches', 'Felt between family members or close friends', 'Deeper than liking but softer than passion', 'Caring tenderness shown regularly over time']","['introspective', 'situation', 'situation', 'introspective', 'entity']","[0.0, 0.2, 0.4, 0.4]"
affirmation,"['Positive statement spoken to yourself', 'Reinforces self-belief and confidence', 'Often repeated daily as a habit', 'Saying ""I am worthy"" or ""I am enough""', 'Declaration that something is true']","['entity', 'situation', 'situation', 'taxonomic', 'entity']","[0.2, 0.4, 0.4, 0.0]"
affordable,"['Reasonably priced', 'Within your budget', 'Not expensive', 'Accessible to most people financially', ""Won't cause monetary hardship to purchase""]","['introspective', 'introspective', 'introspective', 'introspective', 'introspective']","[0.0, 0.0, 0.0, 1.0]"
aging,"['Gradual process over time', 'Wrinkles and gray hair', 'Happens to all living things', 'Growing older', 'Bodies slow down and weaken']","['situation', 'entity', 'entity', 'taxonomic', 'entity']","[0.2, 0.6, 0.2, 0.0]"
agitation,"['Restless inability to stay still', 'Emotional state of anxiety and disturbance', 'Pacing back and forth', 'Stirring or shaking movement', 'Caused by frustration or worry']","['entity', 'taxonomic', 'entity', 'entity', 'situation']","[0.2, 0.6, 0.2, 0.0]"
agree,"['Share the same opinion as another person', 'Nod your head', 'Say yes', 'Harmony between two or more parties', 'Opposite of disagree or argue']","['entity', 'situation', 'situation', 'entity', 'introspective']","[0.0, 0.4, 0.4, 0.2]"
amazing,"['Jaw-dropping experience', 'Eyes wide open in wonder', 'Exceeds all expectations', 'Breathtaking quality', 'Causes speechless reaction']","['introspective', 'introspective', 'introspective', 'taxonomic', 'introspective']","[0.2, 0.0, 0.0, 0.8]"
amused,"['Entertained by something funny or clever', 'Slight smile or chuckle', 'Lighthearted feeling of enjoyment', 'Reaction to a joke or witty remark', 'Eyes twinkling with mild delight']","['introspective', 'entity', 'introspective', 'situation', 'entity']","[0.0, 0.4, 0.2, 0.4]"
angry,"['Feeling when wronged or frustrated', 'Clenched fists and jaw', 'Red face', 'Raised voice', 'Wanting to lash out']","['introspective', 'entity', 'entity', 'entity', 'introspective']","[0.0, 0.6, 0.0, 0.4]"
angst,"['Deep existential dread', ""Feeling of unease about life's meaning"", 'Common during teenage years', 'Brooding inner turmoil', 'German-origin emotional distress']","['introspective', 'introspective', 'situation', 'introspective', 'situation']","[0.0, 0.0, 0.4, 0.6]"
annoyed,"['Mild irritation felt toward someone or something', 'Furrowed brow and tight-lipped expression', 'Sighing or eye-rolling', 'Caused by repeated minor bothering', 'Less intense than angry but beyond calm']","['introspective', 'entity', 'entity', 'situation', 'introspective']","[0.0, 0.4, 0.2, 0.4]"
anxious,"['Feeling of unease about something uncertain', 'Racing heartbeat and sweaty palms', 'Worrying about what might go wrong', 'Restless and unable to relax', 'Nervous knot in your stomach']","['introspective', 'entity', 'introspective', 'entity', 'entity']","[0.0, 0.6, 0.0, 0.4]"
appeal,"['Request to a higher court to overturn a decision', 'Attractiveness or pleasing quality', 'Urgent plea for help or support', 'Legal process after losing a case', 'Something that draws you toward it']","['taxonomic', 'taxonomic', 'taxonomic', 'taxonomic', 'taxonomic']","[1.0, 0.0, 0.0, 0.0]"
