word,response,properties
ability,"word: ability  
properties: skill, talent, power, potential","['skill', 'talent', 'power', 'potential']"
accusation,"word: accusation  
properties: courtroom, evidence, guilt, trial","['courtroom', 'evidence', 'guilt', 'trial']"
achievement,"word: achievement  
properties: medal, celebration, effort, milestone","['medal', 'celebration', 'effort', 'milestone']"
activity,"word: activity  
properties: movement, energy, engagement, routine","['movement', 'energy', 'engagement', 'routine']"
addiction,"word: addiction  
properties: craving, withdrawal, obsession, relapse","['craving', 'withdrawal', 'obsession', 'relapse']"
admiration,"word: admiration  
properties: gaze, hero, respect, smile","['gaze', 'hero', 'respect', 'smile']"
advantage,"word: advantage  
properties: edge, benefit, upper hand, gain","['edge', 'benefit', 'upper hand', 'gain']"
adventure,"word: adventure  
properties: map, mountain, compass, discovery","['map', 'mountain', 'compass', 'discovery']"
advice,"word: advice  
properties: mentor, decision, caution, guidance","['mentor', 'decision', 'caution', 'guidance']"
agony,"word: agony  
properties: scream, tears, silence, trembling","['scream', 'tears', 'silence', 'trembling']"
agreement,"word: agreement  
properties: handshake, contract, peace, negotiation","['handshake', 'contract', 'peace', 'negotiation']"
amazement,"word: amazement  
properties: gasp, wonder, sky, moment","['gasp', 'wonder', 'sky', 'moment']"
ambition,"word: ambition  
properties: climb, fire, goal, dawn","['climb', 'fire', 'goal', 'dawn']"
ambush,"word: ambush  
properties: surprise, danger, hiding, attack","['surprise', 'danger', 'hiding', 'attack']"
amusement,"word: amusement  
properties: laughter, carnival, joke, ride","['laughter', 'carnival', 'joke', 'ride']"
anger,"word: anger  
properties: clenched fist, red face, shouting, explosion","['clenched fist', 'red face', 'shouting', 'explosion']"
anxiety,"word: anxiety  
properties: racing heart, clenched fists, blank mind, restless legs","['racing heart', 'clenched fists', 'blank mind', 'restless legs']"
apology,"word: apology  
properties: regret, forgiveness, silence, gesture","['regret', 'forgiveness', 'silence', 'gesture']"
appearance,"word: appearance  
properties: mirror, reflection, first impression, clothing","['mirror', 'reflection', 'first impression', 'clothing']"
appetite,"word: appetite  
properties: hunger, food, craving, meal","['hunger', 'food', 'craving', 'meal']"
application,"word: application  
properties: form, download, software, request","['form', 'download', 'software', 'request']"
aptitude,"word: aptitude  
properties: test, skill, talent, performance","['test', 'skill', 'talent', 'performance']"
argument,"word: argument  
properties: disagreement, debate, conflict, discussion","['disagreement', 'debate', 'conflict', 'discussion']"
art,"word: art  
properties: canvas, brush, museum, emotion","['canvas', 'brush', 'museum', 'emotion']"
aspect,"word: aspect  
properties: angle, light, view, component","['angle', 'light', 'view', 'component']"
assassination,"word: assassination  
properties: conspiracy, secrecy, political, violence","['conspiracy', 'secrecy', 'political', 'violence']"
assumption,"word: assumption  
properties: guess, belief, uncertainty, foundation","['guess', 'belief', 'uncertainty', 'foundation']"
astonishment,"word: astonishment  
properties: gasp, lightning, surprise, wide eyes","['gasp', 'lightning', 'surprise', 'wide eyes']"
attack,"word: attack  
properties: war, danger, violence, defense","['war', 'danger', 'violence', 'defense']"
attention,"word: attention  
properties: spotlight, focus, gaze, magnet","['spotlight', 'focus', 'gaze', 'magnet']"
attraction,"word: attraction  
properties: magnet, gaze, pull, spark","['magnet', 'gaze', 'pull', 'spark']"
beauty,"word: beauty  
properties: sunrise, mirror, music, garden","['sunrise', 'mirror', 'music', 'garden']"
being,"word: being  
properties: breath, existence, awareness, movement","['breath', 'existence', 'awareness', 'movement']"
betrayal,"word: betrayal  
properties: broken trust, hidden motives, tears, silence","['broken trust', 'hidden motives', 'tears', 'silence']"
blackmail,"word: blackmail  
properties: threat, secret, fear, power","['threat', 'secret', 'fear', 'power']"
boredom,"word: boredom  
properties: waiting, silence, daydreaming, scrolling","['waiting', 'silence', 'daydreaming', 'scrolling']"
boycott,"word: boycott  
properties: protest, refusal, consumer, action","['protest', 'refusal', 'consumer', 'action']"
bravery,"word: bravery  
properties: fire, mountain, silence, dawn","['fire', 'mountain', 'silence', 'dawn']"
career,"word: career  
properties: promotion, office, goals, growth","['promotion', 'office', 'goals', 'growth']"
carefulness,"word: carefulness  
properties: safety, caution, precision, protection","['safety', 'caution', 'precision', 'protection']"
catastrophe,"word: catastrophe  
properties: earthquake, disaster, panic, destruction","['earthquake', 'disaster', 'panic', 'destruction']"
caution,"word: caution  
properties: warning sign, slow motion, safety belt, red light","['warning sign', 'slow motion', 'safety belt', 'red light']"
challenge,"word: challenge  
properties: mountain, puzzle, fire, obstacle","['mountain', 'puzzle', 'fire', 'obstacle']"
chaos,"word: chaos  
properties: storm, disorder, noise, explosion","['storm', 'disorder', 'noise', 'explosion']"
character,"word: character  
properties: trait, story, voice, reputation","['trait', 'story', 'voice', 'reputation']"
charm,"word: charm  
properties: smile, magic, dance, sparkle","['smile', 'magic', 'dance', 'sparkle']"
comfort,"word: comfort  
properties: blanket, smile, warmth, silence","['blanket', 'smile', 'warmth', 'silence']"
commitment,"word: commitment  
properties: wedding, oath, loyalty, sacrifice","['wedding', 'oath', 'loyalty', 'sacrifice']"
