word,response,properties
ability,"word: ability
properties: skill, talent, strength, practice","['skill', 'talent', 'strength', 'practice']"
accusation,"word: accusation
properties: courtroom, finger-pointing, denial, guilt","['courtroom', 'finger-pointing', 'denial', 'guilt']"
achievement,"word: achievement
properties: trophy, milestone, effort, pride","['trophy', 'milestone', 'effort', 'pride']"
activity,"word: activity
properties: movement, playground, energy, schedule","['movement', 'playground', 'energy', 'schedule']"
addiction,"word: addiction
properties: craving, withdrawal, cigarettes, compulsion","['craving', 'withdrawal', 'cigarettes', 'compulsion']"
admiration,"word: admiration
properties: trophy, telescope, pedestal, applause","['trophy', 'telescope', 'pedestal', 'applause']"
advantage,"word: advantage
properties: chess, headstart, competition, leverage","['chess', 'headstart', 'competition', 'leverage']"
adventure,"word: adventure
properties: jungle, compass, unknown, thrill","['jungle', 'compass', 'unknown', 'thrill']"
advice,"word: advice
properties: mentor, wisdom, listen, guidance","['mentor', 'wisdom', 'listen', 'guidance']"
agony,"word: agony
properties: writhing, battlefield, tears, thorn","['writhing', 'battlefield', 'tears', 'thorn']"
agreement,"word: agreement
properties: handshake, contract, nodding, peace","['handshake', 'contract', 'nodding', 'peace']"
amazement,"word: amazement
properties: fireworks, gasp, magic, wide-eyed","['fireworks', 'gasp', 'magic', 'wide-eyed']"
ambition,"word: ambition
properties: ladder, fire, sleepless, mountain","['ladder', 'fire', 'sleepless', 'mountain']"
ambush,"word: ambush
properties: jungle, surprise, hidden, predator","['jungle', 'surprise', 'hidden', 'predator']"
amusement,"word: amusement
properties: laughter, carnival, tickle, child","['laughter', 'carnival', 'tickle', 'child']"
anger,"word: anger
properties: red, fist, steam, volcano","['red', 'fist', 'steam', 'volcano']"
anxiety,"word: anxiety
properties: chest, racing thoughts, sweating, deadline","['chest', 'racing thoughts', 'sweating', 'deadline']"
apology,"word: apology
properties: sorry, mistake, forgiveness, letter","['sorry', 'mistake', 'forgiveness', 'letter']"
appearance,"word: appearance
properties: mirror, costume, first impression, stage","['mirror', 'costume', 'first impression', 'stage']"
appetite,"word: appetite
properties: hunger, food, stomach, growl","['hunger', 'food', 'stomach', 'growl']"
application,"word: application
properties: form, software, job, submit","['form', 'software', 'job', 'submit']"
aptitude,"word: aptitude
properties: test, skill, career, potential","['test', 'skill', 'career', 'potential']"
argument,"word: argument
properties: raised voices, courtroom, debate team, tension","['raised voices', 'courtroom', 'debate team', 'tension']"
art,"word: art
properties: museum, brush, canvas, creativity","['museum', 'brush', 'canvas', 'creativity']"
aspect,"word: aspect
properties: angle, view, telescope, facet","['angle', 'view', 'telescope', 'facet']"
assassination,"word: assassination
properties: bullet, political, conspiracy, darkness","['bullet', 'political', 'conspiracy', 'darkness']"
assumption,"word: assumption
properties: belief, leap, mistake, foundation","['belief', 'leap', 'mistake', 'foundation']"
astonishment,"word: astonishment
properties: wide eyes, gasp, unexpected, jaw drop","['wide eyes', 'gasp', 'unexpected', 'jaw drop']"
attack,"word: attack
properties: shield, sudden, teeth, war","['shield', 'sudden', 'teeth', 'war']"
attention,"word: attention
properties: focus, classroom, spotlight, ears","['focus', 'classroom', 'spotlight', 'ears']"
attraction,"word: attraction
properties: magnet, gravity, butterfly, spotlight","['magnet', 'gravity', 'butterfly', 'spotlight']"
beauty,"word: beauty
properties: flower, mirror, sunset, grace","['flower', 'mirror', 'sunset', 'grace']"
being,"word: being
properties: existence, human, consciousness, breath","['existence', 'human', 'consciousness', 'breath']"
betrayal,"word: betrayal
properties: knife, trust, Shakespeare, bitter","['knife', 'trust', 'Shakespeare', 'bitter']"
blackmail,"word: blackmail
properties: secret, threat, money, power","['secret', 'threat', 'money', 'power']"
boredom,"word: boredom
properties: clock, yawning, couch, silence","['clock', 'yawning', 'couch', 'silence']"
boycott,"word: boycott
properties: protest, Rosa Parks, consumer, silence","['protest', 'Rosa Parks', 'consumer', 'silence']"
bravery,"word: bravery
properties: knight, fire, shield, mountain","['knight', 'fire', 'shield', 'mountain']"
career,"word: career
properties: ladder, ambition, resume, promotion","['ladder', 'ambition', 'resume', 'promotion']"
carefulness,"word: carefulness
properties: surgeon, tightrope, glass, slow","['surgeon', 'tightrope', 'glass', 'slow']"
catastrophe,"word: catastrophe
properties: earthquake, ruins, panic, insurance","['earthquake', 'ruins', 'panic', 'insurance']"
caution,"word: caution
properties: yellow, tape, wet floor, slow down","['yellow', 'tape', 'wet floor', 'slow down']"
challenge,"word: challenge
properties: mountain, compete, sweat, trophy","['mountain', 'compete', 'sweat', 'trophy']"
chaos,"word: chaos
properties: tangled, storm, scattered, loud","['tangled', 'storm', 'scattered', 'loud']"
character,"word: character
properties: story, moral, typeface, actor","['story', 'moral', 'typeface', 'actor']"
charm,"word: charm
properties: bracelet, witch, snake, smile","['bracelet', 'witch', 'snake', 'smile']"
comfort,"word: comfort
properties: blanket, fireplace, soup, pillow","['blanket', 'fireplace', 'soup', 'pillow']"
commitment,"word: commitment
properties: wedding ring, deadline, handshake, marathon","['wedding ring', 'deadline', 'handshake', 'marathon']"
comparison,"word: comparison
properties: scale, mirror, contrast, benchmark","['scale', 'mirror', 'contrast', 'benchmark']"
compassion,"word: compassion
properties: tears, volunteering, wounded, embrace","['tears', 'volunteering', 'wounded', 'embrace']"
