word,response,properties
ability,"word: ability
properties: potential, practice, growth, performance","['potential', 'practice', 'growth', 'performance']"
accusation,"word: accusation
properties: courtroom, finger-pointing, defensive, evidence","['courtroom', 'finger-pointing', 'defensive', 'evidence']"
achievement,"word: achievement
properties: trophy, effort, milestone, applause","['trophy', 'effort', 'milestone', 'applause']"
activity,"word: activity
properties: movement, energy, task, play","['movement', 'energy', 'task', 'play']"
addiction,"word: addiction
properties: craving, chain, cycle, escape","['craving', 'chain', 'cycle', 'escape']"
admiration,"word: admiration
properties: respect, inspiration, achievement, hero","['respect', 'inspiration', 'achievement', 'hero']"
advantage,"word: advantage
properties: head start, high ground, leverage, bonus","['head start', 'high ground', 'leverage', 'bonus']"
adventure,"word: adventure
properties: discovery, challenge, backpack, unknown","['discovery', 'challenge', 'backpack', 'unknown']"
advice,"word: advice
properties: guidance, crossroads, mentor, perspective","['guidance', 'crossroads', 'mentor', 'perspective']"
agony,"word: agony
properties: scream, wound, despair, hospital","['scream', 'wound', 'despair', 'hospital']"
agreement,"word: agreement
properties: contract, handshake, peace, meeting","['contract', 'handshake', 'peace', 'meeting']"
amazement,"word: amazement
properties: magic trick, dropped jaw, stargazing, gasp","['magic trick', 'dropped jaw', 'stargazing', 'gasp']"
ambition,"word: ambition
properties: ladder, summit, engine, blueprint","['ladder', 'summit', 'engine', 'blueprint']"
ambush,"word: ambush
properties: concealment, patience, surprise, trap","['concealment', 'patience', 'surprise', 'trap']"
amusement,"word: amusement
properties: laughter, park, circus, smile","['laughter', 'park', 'circus', 'smile']"
anger,"word: anger
properties: red face, shattered glass, tight chest, injustice","['red face', 'shattered glass', 'tight chest', 'injustice']"
anxiety,"word: anxiety
properties: racing heart, fidgeting, unknown, tight knot","['racing heart', 'fidgeting', 'unknown', 'tight knot']"
apology,"word: apology
properties: mistake, forgiveness, tears, repair","['mistake', 'forgiveness', 'tears', 'repair']"
appearance,"word: appearance
properties: light, surface, stage, illusion","['light', 'surface', 'stage', 'illusion']"
appetite,"word: appetite
properties: stomach growl, food, meal time, satisfaction","['stomach growl', 'food', 'meal time', 'satisfaction']"
application,"word: application
properties: resume, icon, brush, form","['resume', 'icon', 'brush', 'form']"
aptitude,"word: aptitude
properties: learning, discovery, growth, mentorship","['learning', 'discovery', 'growth', 'mentorship']"
argument,"word: argument
properties: voice raising, evidence, red face, resolution","['voice raising', 'evidence', 'red face', 'resolution']"
art,"art: brush, museum, color, emotion",[]
aspect,"word: aspect
properties: sunlight, microscope, layer, dimension","['sunlight', 'microscope', 'layer', 'dimension']"
assassination,"word: assassination
properties: sudden, politics, target, conspiracy","['sudden', 'politics', 'target', 'conspiracy']"
assumption,"word: assumption
properties: mistake, blueprint, unspoken, inquiry","['mistake', 'blueprint', 'unspoken', 'inquiry']"
astonishment,"word: astonishment
properties: wide eyes, dropped jaw, gasp, magic show","['wide eyes', 'dropped jaw', 'gasp', 'magic show']"
attack,"word: attack
properties: Pounce, Prey, Damage, Ambush","['Pounce', 'Prey', 'Damage', 'Ambush']"
attention,"word: attention
properties: spotlight, child, ear, detail","['spotlight', 'child', 'ear', 'detail']"
attraction,"word: attraction
properties: magnet, rollercoaster, desire, gravity","['magnet', 'rollercoaster', 'desire', 'gravity']"
beauty,"word: beauty
properties: sunset, awe, symmetry, art","['sunset', 'awe', 'symmetry', 'art']"
being,"word: being
properties: existence, creature, moment, consciousness","['existence', 'creature', 'moment', 'consciousness']"
betrayal,"word: betrayal
properties: broken trust, secret kept, dagger, empty chair","['broken trust', 'secret kept', 'dagger', 'empty chair']"
blackmail,"word: blackmail
properties: secret, threat, envelope, guilt","['secret', 'threat', 'envelope', 'guilt']"
boredom,"word: boredom
properties: yawn, staring, clock, scrolling","['yawn', 'staring', 'clock', 'scrolling']"
boycott,"word: boycott
properties: empty store, no receipt, angry sign, group email","['empty store', 'no receipt', 'angry sign', 'group email']"
bravery,"word: bravery
properties: firefighter, standing up, lion's roar, first step","['firefighter', 'standing up', ""lion's roar"", 'first step']"
