word,rating
scholar,3
deputy,2
produce,4
woman,5
scent,6
ambulance,2
doctor,4
obstruction,3
three,1
flavor,6
volcano,5
cow,4
ankle,3
clearance,2
nerve,4
helmet,5
chief,3
cake,6
manner,4
pill,2
robbery,3
marriage,5
spirit,6
speech,4
scene,6
math,2
freedom,5
atom,4
kindness,6
cat,3
ballot,2
abundance,5
incentive,4
guess,3
effort,5
pond,2
impairment,3
grass,4
belief,5
door,2
conclusion,3
photograph,6
photo,7
explanation,4
chocolate,5
candy,6
sword,3
presence,4
admiration,5
lobster,2
jerk,3
knife,4
crime,2
betrayal,3
microscope,4
bracelet,5
emergence,6
mansion,4
escape,5
heresy,3
stimulus,6
deduction,4
reduction,3
pig,2
sugar,5
lamb,4
loan,3
frog,2
lane,4
gorilla,5
flask,3
music,6
willingness,5
hurt,2
combination,4
lightning,3
foundation,5
confidence,6
contempt,2
contract,4
skin,3
magic,5
conscience,6
evidence,4
response,3
addition,2
ceiling,5
brawl,3
pimple,4
temple,5
saloon,3
integrity,6
suit,4
industry,5
fountain,3
occasion,6
file,2
comparison,4
border,3
sandal,5
future,6
money,4
accomplishment,5
composer,3
correspondent,4
month,2
pie,6
conference,5
burner,3
fog,2
disappointment,4
forest,5
linen,3
student,4
kitten,6
thorn,2
zoo,5
enemy,3
hurricane,4
route,2
fabric,5
boredom,3
ignorance,2
sow,4
character,5
cranberry,3
cup,2
episode,4
assistance,6
duration,5
squeak,3
paradigm,4
circuit,2
disagreement,3
hazard,4
arc,5
toilet,2
bottle,3
tool,4
snow,5
permission,6
awareness,5
heart,4
poetry,3
importance,6
pool,2
stick,4
beauty,5
subtraction,3
translation,4
pile,2
performance,5
hospital,3
criticism,4
apology,6
park,2
medicine,5
mile,3
inn,4
grandmother,6
circumstance,5
trust,4
engagement,6
location,3
lettuce,2
tradition,5
cloth,4
alphabet,3
diamond,6
moment,5
child,4
arrangement,3
island,2
variety,6
information,5
latch,4
chicken,3
artist,2
beaver,5
refrigerator,4
destiny,6
tip,3
grammar,2
hotel,4
brevity,5
shortness,3
capacity,6
worry,2
owner,4
view,5
denial,3
issue,2
personality,6
boy,4
entrance,5
orchid,3
radio,2
hatred,4
opera,5
steam,3
phenomenon,2
lizard,3
visitor,4
ambition,5
mankind,6
brother,4
crocodile,3
error,2
miracle,6
bell,4
germ,3
property,5
bet,2
hog,4
bed,6
deceit,2
member,5
intention,6
hope,7
specialist,4
attitude,5
poll,2
salary,3
fireplace,6
rocket,5
past,4
misery,2
thought,6
entree,5
want,4
skull,3
margin,2
ceremony,6
extent,5
potato,4
reputation,6
determination,7
increase,5
independence,6
genuine,7
story,4
