word,properties,codes,frequencies
ability,"['brain', 'trophy', 'piano', 'superhero']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
accusation,"['finger', 'courtroom', 'betrayal', 'gavel']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'association']","[0.25, 0.25, 0.25, 0.25]"
achievement,"['medal', 'podium', 'applause', 'sweat']","['association', 'association', 'social constellation', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
activity,"['sweat', 'playground', 'heartbeat', 'sneakers']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
addiction,"['casino', 'coffee', 'shaking', 'rehab']","['association', 'sensorimotor feature', 'sensorimotor feature', 'social constellation']","[0.5, 0.0, 0.25, 0.25]"
admiration,"['hero', 'applause', 'award', 'gazing']","['association', 'social constellation', 'association', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
advantage,"['height', 'chess', 'time', 'preparation']","['association', 'association', 'other abstract concept', 'other abstract concept']","[0.0, 0.0, 0.0, 1.0]"
adventure,"['backpack', 'mountains', 'adrenaline', 'map']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.5, 0.25, 0.0, 0.25]"
advice,"['mentor', 'mistake', 'crossroads', 'listening']","['social constellation', 'association', 'association', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
agony,"['tears', 'hospital', 'waiting', 'sweat']","['sensorimotor feature', 'association', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
agreement,"['handshake', 'signature', 'nod', 'smile']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'internal state and emotion']","[0.75, 0.25, 0.0, 0.0]"
amazement,"['magic', 'fireworks', 'gasp', 'stars']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
ambition,"['ladder', 'coffee', 'mountain', 'stars']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
ambush,"['jungle', 'night', 'camouflage', 'predator']","['association', 'association', 'sensorimotor feature', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
amusement,"['rollercoaster', 'carnival', 'popcorn', 'arcade']","['sensorimotor feature', 'social constellation', 'association', 'association']","[0.25, 0.0, 0.25, 0.5]"
anger,"['fire', 'screaming', 'fists', 'red']","['association', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
anxiety,"['heartbeat', 'exams', 'pacing', 'shadows']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
apology,"['flowers', 'tears', 'mistake', 'forgiveness']","['association', 'internal state and emotion', 'other abstract concept', 'other abstract concept']","[0.0, 0.25, 0.0, 0.75]"
appearance,"['mirror', 'stage', 'makeup', 'illusion']","['sensorimotor feature', 'association', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
appetite,"['aroma', 'feast', 'restaurant', 'plate']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
