word,rating
corporation,2
deputy,3
brawl,4
church,6
uncle,7
moral,5
faith,4
mountain,2
shirt,1
duel,5
hospital,6
lip,2
love,7
material,3
ambulance,6
enemy,4
event,2
honesty,7
tennis,3
missile,4
origin,5
waste,2
route,3
university,6
limitation,4
poetry,5
artist,7
instructor,6
salary,2
arrangement,5
personality,7
opposition,4
pretense,5
rent,3
possibility,6
ignition,4
circumstance,5
justification,6
gesture,4
lobster,2
insight,7
selection,5
accumulation,4
student,6
topic,3
philosophy,7
gorilla,2
myth,5
misery,4
truth,7
member,6
purpose,7
temperature,3
station,4
marriage,6
outcome,5
cliff,2
puddle,1
lens,3
skin,2
complication,5
peace,7
mustard,1
beverage,2
beaver,3
consistency,6
television,4
logic,7
chief,5
brain,6
cocktail,3
danger,4
pest,2
truck,1
mercy,7
metaphor,6
intelligence,7
damage,4
explanation,5
banana,1
beast,2
oven,3
body,6
holiday,5
theory,7
rocket,4
addition,3
integrity,7
pawn,2
form,4
supply,5
attention,6
hope,7
circuit,3
annoyance,4
memory,6
stimulus,5
proof,7
empty,2
rainbow,3
charter,4
mystery,6
desk,2
music,7
hat,1
length,3
stupidity,2
donor,4
thorn,3
cottage,2
mud,1
crocodile,3
atrocity,4
teacher,6
group,5
establishment,4
zoo,3
meeting,6
site,2
horse,4
interruption,5
dentist,3
originality,7
orchestra,6
christmas,5
ceiling,2
denial,4
want,3
expression,7
shock,5
idiom,6
toilet,2
animal,4
typewriter,3
legality,6
fountain,2
subtraction,1
victim,4
unit,3
requirement,5
car,2
security,6
preparation,7
season,4
sword,5
brevity,3
future,6
menu,2
helplessness,4
woman,5
rhyme,3
cow,1
duration,4
ballot,2
cat,3
hierarchy,5
incident,4
capacity,6
blade,2
grass,1
miracle,7
autumn,3
introduction,6
chlorine,2
jerk,4
outfit,3
frog,1
attempt,5
assault,4
ceremony,6
leader,7
fisherman,3
willingness,6
grammar,5
talent,7
criticism,4
appointment,6
river,2
clearance,3
ditch,1
phenomenon,5
island,4
permission,6
flask,2
tax,1
loafer,3
calculation,5
identity,7
starch,2
fat,1
ankle,3
development,6
tool,4
ownership,5
abundance,7
visitor,6
doctor,7
laundry,2
importance,7
inch,2
cranberry,1
arc,2
girl,6
chair,3
destiny,7
magic,5
square,4
saloon,6
jewel,7
eight,2
cake,4
lily,6
second,5
wave,3
ignorance,1
laughter,7
engagement,6
boat,3
debt,1
impossibility,2
conference,5
speech,6
blood,1
opponent,4
caterpillar,2
revenge,1
wood,3
grasshopper,2
definition,5
mattress,4
ocean,6
leadership,7
bell,3
grief,1
result,5
tendency,4
combination,6
measure,5
policeman,4
anxiety,1
shape,3
sneeze,2
raspberry,1
dagger,1
linen,4
factory,3
irrigation,2
volt,1
comparison,5
paradigm,6
odor,2
lock,3
dilemma,5
lightning,4
bet,2
acquisition,6
rabbit,3
potato,4
summer,5
ring,6
skill,7
construction,6
determination,7
volcano,5
episode,4
key,6
skull,2
stapler,3
witness,5
appeal,6
vocabulary,7
protection,6
reality,5
cloth,4
money,3
friendship,7
context,6
crime,1
writing,5
frustration,2
hog,3
window,4
mankind,7
suggestion,6
reflex,5
cowardice,1
behavior,4
scholar,6
wisdom,7
separation,5
disgust,1
leopard,3
pyramid,6
punishment,5
view,4
despair,1
football,3
hatred,1
segment,4
bank,5
professor,6
queen,7
robin,3
entrance,5
silence,4
alley,2
palace,6
lamp,3
recital,5
loan,2
chicken,4
vapor,3
fallacy,1
physics,5
hazard,2
dynasty,6
uncertainty,5
chance,4
snake,3
salad,4
design,6
bullet,1
snow,3
nose,5
clothing,6
guide,7
rule,4
stranger,5
fantasy,6
instance,7
exclusion,4
street,3
forest,5
occupation,6
neighborhood,4
scent,5
thought,7
refrigerator,3
hurricane,2
responsibility,7
intention,6
benefactor,7
shrimp,3
stick,4
burner,2
peacemaker,6
cause,5
bed,4
corn,3
economy,6
deduction,7
fact,5
equality,7
line,4
sight,6
tragedy,5
specimen,4
majority,6
bracelet,5
identification,7
three,3
bedroom,4
distraction,2
germ,1
medicine,6
value,7
cognition,7
volume,5
skunk,3
coincidence,6
nation,5
division,4
peach,4
shame,1
month,3
adversity,2
character,7
play,5
clean,4
coffin,1
alligator,3
jacket,4
atom,2
information,7
satisfaction,6
produce,5
youth,4
spelling,7
translation,6
pimple,2
difference,5
sadness,1
consequence,6
conscience,7
pie,4
ball,3
squeak,2
dozen,4
affection,7
contract,6
duty,6
door,2
paragraph,3
diamond,4
instinct,5
mile,2
democracy,6
safety,7
freedom,7
fog,2
curfew,4
past,3
onion,2
corpse,2
mastery,6
law,5
evidence,4
dimension,5
adventurer,6
moonlight,4
alphabet,2
sow,3
category,5
interaction,7
uniform,4
city,6
butterfly,3
error,2
sole,4
pig,3
lisp,2
knowledge,6
hobby,5
fear,4
competence,6
situation,7
coupon,3
opportunity,7
boundary,5
specialist,6
nerve,4
shortness,3
eagle,2
kite,4
boy,5
principle,6
drum,3
aspect,4
mind,5
trumpet,4
scene,6
heart,7
robbery,5
flavor,4
convergence,3
butter,5
tip,6
presence,7
spirit,6
drug,2
envy,4
math,3
candy,5
wish,6
retention,4
arrow,3
mileage,5
sanctuary,6
interior,4
obstruction,5
midnight,3
extent,6
vision,7
cucumber,2
fifteen,3
reason,6
object,4
assumption,5
beetle,2
edge,4
latch,3
