word,rating
lake,2
ambition,5
chance,3
individual,4
apology,6
opponent,4
boredom,2
cowardice,5
beetle,2
silence,3
bet,4
animal,2
coupon,3
faith,6
liar,5
lip,3
tongue,5
originality,4
ankle,2
potato,3
accumulation,3
outfit,4
chair,3
cognition,5
station,3
disaster,4
real,5
dilemma,5
scene,3
ally,5
ownership,5
theory,4
reinforcement,4
puppy,4
guide,4
damage,4
circumstance,4
state,5
response,4
key,4
boat,3
degree,4
crown,5
myth,4
blood,4
deduction,5
forest,3
latch,3
tune,4
show,3
interior,3
starch,3
mankind,5
infection,4
fabric,3
wood,3
tragedy,5
germ,4
iron,3
spider,3
calendar,3
affection,5
photograph,3
territory,5
incident,4
vapor,3
dentist,4
sword,5
flavor,3
clean,4
consistency,4
appeal,4
identification,5
fact,5
route,3
linen,3
macaroni,3
skin,3
stride,3
writing,3
roof,3
menu,3
division,4
value,5
suit,4
lamp,3
personality,5
contract,4
cloth,3
amount,3
intention,4
magic,4
confidence,5
duration,3
sandal,3
thing,3
mattress,3
addition,3
newspaper,3
opposition,5
leopard,3
pigeon,3
clearance,3
opinion,4
play,3
heart,5
irrigation,3
clothing,4
distance,3
fate,5
calculation,5
number,3
wisdom,6
vocabulary,4
talent,4
character,5
nose,3
salad,3
tree,3
risk,4
definition,4
ditch,3
hobby,3
adversity,5
inn,3
butter,3
pyramid,4
tomato,3
riot,5
independence,5
itch,3
temple,3
teacher,5
brain,5
occupation,4
ignition,3
suspect,4
costume,3
door,3
necessity,5
equality,5
orchid,3
bag,3
dove,4
chlorine,3
reflex,4
conference,4
result,4
helmet,3
beauty,5
shortness,3
verse,3
exception,4
bird,3
circuit,3
queen,5
charter,4
principle,6
music,4
want,3
relief,5
moral,7
jerk,3
metaphor,3
scent,4
girl,3
tradition,5
development,4
crisis,5
bubble,3
camera,3
pond,3
decision,5
job,4
frustration,4
error,3
student,4
reputation,5
fear,4
tool,3
shrimp,3
refrigerator,4
empty,2
kindness,6
impairment,4
wish,3
alligator,3
moment,3
injury,4
master,5
file,3
factory,3
body,3
weight,3
tide,3
lemon,3
television,4
coffin,4
admiration,5
tip,3
complication,4
shock,4
past,3
park,3
line,3
nerve,4
income,4
specialist,5
lesson,4
cause,4
squeak,3
insight,5
hotel,4
peacemaker,6
law,6
conscience,6
misery,5
dimension,3
pill,3
alley,3
banana,3
pest,4
debt,4
march,4
justice,6
sanctuary,5
meeting,3
cucumber,3
expression,4
opera,4
significance,5
intelligence,5
object,3
tallness,3
grasshopper,3
purpose,4
mosquito,3
assault,5
pillow,3
anxiety,4
hope,5
fountain,4
benefactor,5
love,6
drum,3
stimulus,4
beverage,3
mountain,3
capacity,4
awareness,5
danger,4
raspberry,3
reality,5
acquisition,4
snow,3
appointment,3
ocean,4
wave,3
composer,4
guilt,5
payment,4
jacket,3
city,3
lamb,3
retention,5
requirement,5
miracle,5
segment,3
oven,3
kitten,4
trust,6
flask,3
preparation,4
imagination,4
bridge,3
towel,3
coincidence,3
context,4
hospital,4
article,3
mercy,5
rabbit,3
spirit,4
rebel,5
interruption,3
design,4
criticism,4
