word,rating
corporation,2
deputy,3
brawl,4
church,5
uncle,2
moral,6
faith,4
mountain,3
shirt,2
duel,5
hospital,4
lip,6
love,7
material,3
ambulance,4
enemy,5
event,2
honesty,7
tennis,3
missile,5
origin,4
waste,2
route,3
university,5
limitation,4
poetry,6
artist,7
instructor,5
salary,2
arrangement,4
personality,6
opposition,5
pretense,4
rent,2
possibility,6
ignition,5
circumstance,4
justification,6
gesture,5
lobster,3
insight,7
selection,4
accumulation,5
student,3
topic,2
philosophy,6
gorilla,3
myth,4
misery,5
truth,7
member,3
purpose,6
temperature,4
station,2
marriage,5
outcome,6
cliff,3
puddle,2
lens,4
skin,3
complication,5
peace,7
mustard,6
beverage,4
beaver,2
consistency,5
television,3
logic,7
chief,4
brain,5
cocktail,6
danger,5
pest,4
truck,2
mercy,7
metaphor,6
intelligence,7
damage,5
explanation,4
banana,2
beast,3
oven,4
body,5
holiday,6
theory,7
rocket,5
addition,4
integrity,7
pawn,3
form,2
supply,4
attention,6
hope,7
circuit,5
annoyance,4
memory,6
stimulus,7
proof,5
empty,2
rainbow,3
charter,4
mystery,6
desk,2
music,7
hat,3
length,4
stupidity,2
donor,3
thorn,4
cottage,2
mud,3
crocodile,5
atrocity,6
teacher,4
group,3
establishment,5
zoo,2
meeting,4
site,3
horse,5
interruption,4
dentist,2
originality,6
orchestra,7
christmas,5
ceiling,2
denial,4
want,3
expression,6
shock,5
idiom,4
toilet,2
animal,3
typewriter,5
legality,4
fountain,2
subtraction,3
victim,5
unit,4
requirement,6
car,2
security,5
preparation,4
season,3
sword,5
brevity,6
future,7
menu,2
helplessness,4
woman,3
rhyme,5
cow,2
duration,4
ballot,3
cat,5
hierarchy,6
incident,4
capacity,7
blade,3
grass,2
miracle,6
autumn,4
introduction,5
chlorine,3
jerk,4
outfit,2
frog,5
attempt,6
assault,5
ceremony,4
leader,7
fisherman,3
willingness,6
grammar,5
talent,7
criticism,4
appointment,3
river,2
clearance,5
ditch,4
phenomenon,6
island,3
permission,4
flask,2
tax,5
loafer,3
calculation,4
identity,6
starch,2
fat,3
ankle,4
development,5
tool,2
ownership,6
abundance,7
visitor,3
doctor,4
laundry,2
importance,7
inch,1
cranberry,7
arc,2
girl,3
chair,1
destiny,4
magic,5
square,2
saloon,6
jewel,7
eight,1
cake,6
lily,4
second,2
wave,3
ignorance,1
laughter,7
engagement,6
boat,3
debt,1
impossibility,2
conference,4
speech,5
blood,6
opponent,3
caterpillar,2
revenge,1
wood,4
grasshopper,2
definition,5
mattress,3
ocean,7
leadership,6
bell,4
grief,1
result,5
tendency,3
combination,6
measure,4
policeman,2
anxiety,1
shape,3
sneeze,6
raspberry,7
dagger,1
linen,4
factory,2
irrigation,3
volt,5
comparison,6
paradigm,4
odor,7
lock,2
dilemma,1
lightning,3
bet,5
acquisition,4
rabbit,2
potato,3
summer,6
ring,5
skill,4
construction,3
determination,6
volcano,2
episode,5
key,4
skull,1
stapler,2
witness,3
appeal,6
vocabulary,5
protection,7
reality,4
cloth,3
money,2
friendship,6
context,5
crime,1
writing,4
frustration,2
hog,3
window,5
mankind,6
suggestion,7
reflex,4
cowardice,1
behavior,3
scholar,5
wisdom,7
separation,2
disgust,1
leopard,3
pyramid,4
punishment,6
view,5
despair,2
football,3
hatred,1
segment,4
bank,2
professor,5
queen,6
robin,3
entrance,4
silence,1
alley,2
palace,5
lamp,3
recital,4
loan,1
chicken,2
vapor,6
fallacy,3
physics,5
hazard,4
dynasty,2
uncertainty,1
chance,3
snake,4
salad,6
design,5
bullet,2
snow,3
nose,7
clothing,4
guide,5
rule,3
stranger,2
fantasy,6
instance,4
exclusion,1
street,3
forest,5
occupation,4
neighborhood,2
scent,7
thought,6
refrigerator,3
hurricane,2
responsibility,5
intention,4
benefactor,6
shrimp,3
stick,2
burner,1
peacemaker,5
cause,4
bed,3
corn,2
economy,5
deduction,4
fact,3
equality,6
line,2
sight,5
tragedy,1
specimen,4
majority,3
bracelet,2
identification,5
three,1
bedroom,4
distraction,2
germ,3
medicine,5
value,6
cognition,4
volume,3
skunk,2
coincidence,1
nation,5
division,4
peach,6
shame,2
month,3
adversity,1
character,5
play,4
clean,6
coffin,2
alligator,3
jacket,4
atom,5
information,7
satisfaction,6
produce,4
youth,5
spelling,3
translation,6
pimple,2
difference,5
sadness,1
consequence,4
conscience,6
pie,7
ball,3
squeak,2
dozen,1
affection,6
contract,5
duty,2
door,3
paragraph,1
diamond,4
instinct,2
mile,3
democracy,1
safety,5
freedom,6
fog,4
curfew,3
past,2
onion,7
corpse,1
mastery,4
law,2
evidence,3
dimension,5
adventurer,4
moonlight,6
alphabet,1
sow,2
category,3
interaction,5
uniform,4
city,6
butterfly,3
error,2
sole,4
pig,5
lisp,3
knowledge,6
hobby,4
fear,2
competence,5
situation,4
coupon,3
opportunity,6
boundary,5
specialist,4
nerve,3
shortness,2
eagle,5
kite,4
boy,6
principle,3
drum,2
aspect,4
mind,5
trumpet,3
scene,6
heart,7
robbery,2
flavor,7
convergence,3
butter,6
tip,4
presence,5
spirit,7
drug,2
envy,3
math,1
candy,6
wish,5
retention,4
arrow,3
mileage,2
sanctuary,6
interior,4
obstruction,2
midnight,5
extent,3
vision,6
cucumber,7
fifteen,2
reason,5
object,3
assumption,4
beetle,1
edge,5
latch,2
