word,response,properties
ability,"

word: ability  
properties: competition, practice, challenge, tool","['competition', 'practice', 'challenge', 'tool']"
accusation,"

word: accusation  
properties: courtroom, public dispute, denial, investigation","['courtroom', 'public dispute', 'denial', 'investigation']"
achievement,"

word: achievement  
properties: certificate, triumph, milestone, recognition","['certificate', 'triumph', 'milestone', 'recognition']"
activity,"

word: activity  
properties: gym class, school project, community event, nature hike","['gym class', 'school project', 'community event', 'nature hike']"
addiction,"

word: addiction  
properties: withdrawal symptoms, compulsive behavior, isolation, denial","['withdrawal symptoms', 'compulsive behavior', 'isolation', 'denial']"
admiration,"

word: admiration  
properties: monument, silent applause, distant peak, award handshake","['monument', 'silent applause', 'distant peak', 'award handshake']"
advantage,"

word: advantage  
properties: chessboard position, resource surplus, favorable timing, tactical edge","['chessboard position', 'resource surplus', 'favorable timing', 'tactical edge']"
adventure,"

word: adventure  
properties: uncertain terrain, hidden dangers, unexpected twists, self-discovery","['uncertain terrain', 'hidden dangers', 'unexpected twists', 'self-discovery']"
advice,"

word: advice  
properties: mentorship, decision-making, written notes, guidance","['mentorship', 'decision-making', 'written notes', 'guidance']"
agony,"

word: agony  
properties: shattered heart, burning ember, silent scream, endless night","['shattered heart', 'burning ember', 'silent scream', 'endless night']"
agreement,"

word: agreement  
properties: handshake, legal contract, peace accord, mutual understanding","['handshake', 'legal contract', 'peace accord', 'mutual understanding']"
amazement,"

word: amazement  
properties: solar eclipse, levitation, AI breakthrough, starry night","['solar eclipse', 'levitation', 'AI breakthrough', 'starry night']"
ambition,"

word: ambition  
properties: climb, horizon, grind, legacy","['climb', 'horizon', 'grind', 'legacy']"
ambush,"

word: ambush  
properties: sudden attack, hidden movement, strategic advantage, unexpected threat","['sudden attack', 'hidden movement', 'strategic advantage', 'unexpected threat']"
amusement,"

word: amusement  
properties: laughter, carnival rides, surprise, shared stories","['laughter', 'carnival rides', 'surprise', 'shared stories']"
anger,"

word: anger  
properties: road rage, clenched fist, red, fight","['road rage', 'clenched fist', 'red', 'fight']"
anxiety,"

word: anxiety  
properties: clenched jaw, waiting in line, racing thoughts, sleepless night","['clenched jaw', 'waiting in line', 'racing thoughts', 'sleepless night']"
apology,"

word: apology  
properties: humble gesture, written note, moment of regret, restoring trust","['humble gesture', 'written note', 'moment of regret', 'restoring trust']"
appearance,"

word: appearance  
properties: first impressions, fashion shows, animal camouflage, optical illusions","['first impressions', 'fashion shows', 'animal camouflage', 'optical illusions']"
appetite,"

word: appetite  
properties: craving, satiation, dining, thirst","['craving', 'satiation', 'dining', 'thirst']"
application,"

word: application  
properties: form filling, program launch, job interview, paint spread","['form filling', 'program launch', 'job interview', 'paint spread']"
aptitude,"

word: aptitude  
properties: problem-solving, musical talent, academic excellence, athletic ability","['problem-solving', 'musical talent', 'academic excellence', 'athletic ability']"
argument,"

word: argument  
properties: courtroom, raised voices, political debate, family conflict","['courtroom', 'raised voices', 'political debate', 'family conflict']"
art,"

word: art  
properties: canvas, chisel, gallery, palette","['canvas', 'chisel', 'gallery', 'palette']"
aspect,"

word: aspect  
properties: angle, viewpoint, feature, side","['angle', 'viewpoint', 'feature', 'side']"
assassination,"

word: assassination  
properties: shadow, hidden dagger, bloodstain, silence","['shadow', 'hidden dagger', 'bloodstain', 'silence']"
assumption,"

word: assumption  
properties: experimental setup, political strategy, mathematical proof, daily conversation","['experimental setup', 'political strategy', 'mathematical proof', 'daily conversation']"
astonishment,"

word: astonishment  
properties: lightning strike, ancient artifact, cosmic event, unexpected revelation","['lightning strike', 'ancient artifact', 'cosmic event', 'unexpected revelation']"
attack,"

word: attack  
properties: predator, firewall, goal, trauma","['predator', 'firewall', 'goal', 'trauma']"
attention,"

word: attention  
properties: classroom, spotlight, distraction, listening","['classroom', 'spotlight', 'distraction', 'listening']"
attraction,"

word: attraction  
properties: magnetic pull, spark, crowd, gravity","['magnetic pull', 'spark', 'crowd', 'gravity']"
beauty,"

word: beauty  
properties: mirror, sunrise, symmetry, rose","['mirror', 'sunrise', 'symmetry', 'rose']"
being,"

word: being  
properties: essence, consciousness, presence, identity","['essence', 'consciousness', 'presence', 'identity']"
