word,rating
lake,1
ambition,6
chance,4
individual,3
apology,5
opponent,2
boredom,6
cowardice,6
beetle,1
silence,2
bet,4
animal,1
coupon,1
faith,7
liar,5
lip,1
tongue,1
originality,6
ankle,1
potato,1
accumulation,2
outfit,1
chair,1
cognition,7
station,1
disaster,3
real,4
dilemma,6
scene,2
ally,2
ownership,3
theory,7
reinforcement,3
puppy,1
guide,3
damage,2
circumstance,3
state,4
response,4
key,1
boat,1
degree,3
crown,1
myth,6
blood,1
deduction,7
forest,1
latch,1
tune,2
show,3
interior,2
starch,1
mankind,3
infection,1
fabric,1
wood,1
tragedy,4
germ,1
iron,1
spider,1
calendar,2
affection,6
photograph,1
territory,1
incident,2
vapor,1
dentist,1
sword,1
flavor,1
clean,2
consistency,5
appeal,5
identification,5
fact,6
route,1
linen,1
macaroni,1
skin,1
stride,2
writing,4
roof,1
menu,1
division,3
value,5
suit,1
lamp,1
personality,6
contract,3
cloth,1
amount,1
intention,6
magic,5
confidence,6
duration,2
sandal,1
thing,1
mattress,1
addition,3
newspaper,3
opposition,5
leopard,1
pigeon,1
clearance,2
opinion,7
play,3
heart,1
irrigation,1
clothing,1
distance,1
fate,6
calculation,6
number,1
wisdom,7
vocabulary,6
talent,5
character,6
nose,1
salad,1
tree,1
risk,5
definition,7
ditch,1
hobby,3
adversity,4
inn,1
butter,1
pyramid,1
tomato,1
riot,2
independence,6
itch,1
temple,1
teacher,3
brain,6
occupation,2
ignition,1
suspect,3
costume,1
door,1
necessity,5
equality,6
orchid,1
bag,1
dove,1
chlorine,1
reflex,2
conference,4
result,3
helmet,1
beauty,4
shortness,2
verse,3
exception,4
bird,1
circuit,1
queen,1
charter,3
principle,7
music,3
want,5
relief,4
moral,7
jerk,2
metaphor,6
scent,1
girl,1
tradition,5
development,4
crisis,4
bubble,1
camera,1
pond,1
decision,7
job,2
frustration,6
error,5
student,3
reputation,5
fear,6
tool,1
shrimp,1
refrigerator,1
empty,2
kindness,6
impairment,3
wish,5
alligator,1
moment,2
injury,1
master,3
file,1
factory,1
body,1
weight,1
tide,1
lemon,1
television,1
coffin,1
admiration,6
tip,2
complication,5
shock,5
past,3
park,1
line,1
nerve,2
income,1
specialist,3
lesson,4
cause,3
squeak,1
insight,7
hotel,1
peacemaker,3
law,6
conscience,7
misery,6
dimension,3
pill,1
alley,1
banana,1
pest,1
debt,2
march,2
justice,7
sanctuary,1
meeting,3
cucumber,1
expression,4
opera,2
significance,6
intelligence,7
object,1
tallness,1
grasshopper,1
purpose,6
mosquito,1
assault,2
pillow,1
anxiety,6
hope,6
fountain,1
benefactor,2
love,6
drum,1
stimulus,3
beverage,1
mountain,1
capacity,4
awareness,7
danger,3
raspberry,1
reality,5
acquisition,3
snow,1
appointment,2
ocean,1
wave,1
composer,3
guilt,6
payment,1
jacket,1
city,1
lamb,1
retention,5
requirement,5
miracle,5
segment,1
oven,1
kitten,1
trust,6
flask,1
preparation,4
imagination,7
bridge,1
towel,1
coincidence,4
context,5
hospital,1
article,5
mercy,6
rabbit,1
spirit,6
rebel,3
interruption,3
design,5
criticism,7
duty,6
fog,1
peach,1
professor,3
friendship,5
cup,1
length,1
form,3
lunch,1
square,1
empire,2
pimple,1
shirt,1
pile,1
abundance,2
visitor,1
responsibility,6
location,1
corporation,2
literature,6
laundry,1
landscape,1
eagle,1
presence,2
tendency,4
construction,2
regulation,6
rocket,1
church,1
doctor,1
topic,6
midnight,1
conclusion,7
neck,1
car,1
fat,1
volume,1
story,5
physics,6
security,4
hog,1
name,3
lens,1
cow,1
chipmunk,1
christmas,2
possibility,6
suggestion,6
fallacy,7
robbery,2
assistance,3
distribution,2
skill,5
stranger,1
record,3
instructor,3
mold,1
occasion,2
hurricane,1
medicine,1
cocktail,1
institute,2
pig,1
guess,6
uncle,1
owner,1
hazard,2
desk,1
apple,1
pie,1
convergence,4
ability,5
democracy,6
grief,6
bed,1
fantasy,7
bolt,1
material,1
issue,5
rent,1
belief,7
rhyme,4
hat,1
variety,3
consideration,7
wage,1
arrow,1
identity,6
advice,7
corpse,1
contempt,6
message,5
math,6
paradigm,7
lightning,1
necklace,1
idea,7
assumption,7
future,5
bracelet,1
despair,6
stupidity,7
skunk,1
cat,1
size,1
method,5
pawn,1
laughter,2
cottage,1
ambulance,1
puddle,1
industry,2
effect,3
crocodile,1
proof,6
waste,1
immortality,6
economy,4
property,1
chocolate,1
scholar,3
incentive,5
coffee,1
tension,4
consequence,5
lobster,1
opportunity,4
uncertainty,6
volt,1
cake,1
justification,7
self,6
safety,4
fireplace,1
grammar,6
leader,3
establishment,2
irony,6
poll,4
fisherman,1
season,1
lane,1
odor,1
event,2
thief,1
saloon,1
extent,3
introduction,4
caterpillar,1
grandmother,1
entree,1
category,6
idiom,6
arc,1
winter,1
explanation,7
moonlight,1
figure,3
shark,1
hurt,2
member,1
riddle,6
adventurer,2
worry,6
accident,2
rainbow,1
