word,properties,codes,frequencies
abominable,"['Extremely bad', 'Morally disgusting', 'Deserving hatred', 'Shockingly offensive', 'Unacceptably vile']","['taxonomic', 'taxonomic', 'taxonomic', 'taxonomic', 'taxonomic']","[1.0, 0.0, 0.0, 0.0]"
accessible,"['Easy to reach', 'Simple to use', 'Available to many people', 'Not blocked by barriers', 'Understandable without special effort']","['situation', 'situation', 'situation', 'introspective', 'situation']","[0.0, 0.0, 0.8, 0.2]"
accurate,"['Matches reality', 'Free of mistakes', 'Precise result', 'Correct measurement', 'Reliable information']","['entity', 'entity', 'entity', 'taxonomic', 'taxonomic']","[0.4, 0.6, 0.0, 0.0]"
accusation,"['Claim someone did wrong', 'Directed at a person', 'Often spoken without proof', 'Common in arguments or court', 'Can damage reputation']","['situation', 'situation', 'situation', 'situation', 'entity']","[0.0, 0.2, 0.8, 0.0]"
admiration,"['Strong positive regard', ""For someone's qualities or achievements"", 'Looking up to a person', 'Respect mixed with warm feeling', 'Often felt toward role models']","['introspective', 'introspective', 'situation', 'introspective', 'situation']","[0.0, 0.0, 0.4, 0.6]"
adoring,"['Looking at someone with deep fondness', 'Warm, affectionate attention', 'Full of admiration and love', 'Tender, devoted expression', 'Often shown toward a cherished person']","['situation', 'entity', 'entity', 'entity', 'situation']","[0.0, 0.6, 0.4, 0.0]"
affection,"['Warm caring feeling', 'Often toward family or partners', 'Shown by hugs or gentle touch', 'Steady, tender emotional bond', 'Expressed through kindness and closeness']","['introspective', 'situation', 'situation', 'entity', 'situation']","[0.0, 0.2, 0.6, 0.2]"
affirmation,"['Statement of support', 'Declares something true', 'Positive confirmation', 'Often spoken aloud', 'Used for encouragement']","['situation', 'situation', 'taxonomic', 'situation', 'situation']","[0.2, 0.0, 0.8, 0.0]"
affordable,"['Low price', 'Within budget', 'Easy to pay for', 'Not financially burdensome', 'Reasonable cost']","['entity', 'introspective', 'introspective', 'introspective', 'introspective']","[0.0, 0.2, 0.0, 0.8]"
aging,"['Growing older', 'Happens over time', 'Hair grays', 'Skin wrinkles', 'Body weakens']","['taxonomic', 'situation', 'entity', 'entity', 'entity']","[0.2, 0.6, 0.2, 0.0]"
agitation,"['Restless state', 'Nervous movement', 'Upset mind', 'Pacing or fidgeting', 'Caused by stress or irritation']","['entity', 'entity', 'entity', 'entity', 'situation']","[0.0, 0.8, 0.2, 0.0]"
agree,"['Same opinion', 'Say yes', 'Accept as true', 'In conversation or decision', 'Not oppose']","['entity', 'situation', 'introspective', 'situation', 'introspective']","[0.0, 0.2, 0.4, 0.4]"
