word,rating
scholar,3
deputy,4
produce,2
woman,5
scent,1
ambulance,6
doctor,7
obstruction,2
three,1
flavor,2
volcano,3
cow,1
ankle,1
clearance,4
nerve,5
helmet,6
chief,5
cake,2
manner,5
pill,4
robbery,7
marriage,6
spirit,3
speech,5
scene,2
math,1
freedom,7
atom,1
kindness,6
cat,2
ballot,4
abundance,3
incentive,5
guess,2
effort,5
pond,1
impairment,4
grass,1
belief,6
door,2
conclusion,4
photograph,3
photo,2
explanation,5
chocolate,2
candy,2
sword,5
presence,4
admiration,6
lobster,1
jerk,7
knife,5
crime,7
betrayal,7
microscope,3
bracelet,2
emergence,4
mansion,3
escape,6
heresy,7
stimulus,3
deduction,5
reduction,4
pig,1
sugar,2
lamb,1
loan,5
frog,1
lane,2
gorilla,1
flask,2
music,3
willingness,6
hurt,7
combination,4
lightning,5
foundation,5
confidence,6
contempt,7
contract,5
skin,2
magic,3
conscience,6
evidence,5
response,5
addition,1
ceiling,2
brawl,7
pimple,4
temple,5
saloon,3
integrity,6
suit,4
industry,5
fountain,2
occasion,4
file,3
comparison,4
border,3
sandal,1
future,5
money,6
accomplishment,7
composer,4
correspondent,4
month,2
pie,2
conference,4
burner,2
fog,1
disappointment,6
forest,2
linen,1
student,5
kitten,1
thorn,3
zoo,2
enemy,7
hurricane,5
route,3
fabric,2
boredom,6
ignorance,6
sow,1
character,5
cranberry,1
cup,1
episode,4
assistance,7
duration,3
squeak,2
paradigm,5
circuit,3
disagreement,6
hazard,6
arc,2
toilet,1
bottle,2
tool,4
snow,1
permission,5
awareness,6
heart,7
poetry,3
importance,6
pool,1
stick,2
beauty,7
subtraction,1
translation,4
pile,2
performance,5
hospital,7
criticism,6
apology,7
park,2
medicine,7
mile,1
inn,2
grandmother,7
circumstance,4
trust,7
engagement,5
location,3
lettuce,1
tradition,6
cloth,2
alphabet,1
diamond,4
moment,3
child,7
arrangement,4
island,2
variety,5
information,5
latch,2
chicken,1
artist,6
beaver,1
refrigerator,3
destiny,5
tip,4
grammar,3
hotel,4
brevity,2
shortness,2
capacity,4
worry,6
owner,5
view,4
denial,6
issue,5
personality,7
boy,7
entrance,3
orchid,2
radio,3
hatred,7
opera,4
steam,1
phenomenon,3
lizard,2
visitor,4
ambition,6
mankind,5
brother,7
crocodile,1
error,4
miracle,5
bell,2
germ,3
property,5
bet,4
hog,2
bed,3
deceit,6
member,5
intention,6
hope,7
specialist,5
attitude,5
poll,4
salary,5
fireplace,2
rocket,3
past,4
misery,6
thought,5
entree,2
want,7
skull,1
margin,3
ceremony,5
extent,3
potato,2
reputation,5
determination,6
increase,4
independence,6
genuine,7
story,5
rule,7
eyeball,1
landscape,3
factory,4
injury,6
dad,7
advantage,5
electricity,4
bedroom,2
gesture,3
bridge,4
fact,5
unity,6
lisp,1
coupon,3
stranger,4
dove,2
material,4
prop,3
event,5
result,5
handkerchief,1
institute,5
announcement,4
assault,6
helplessness,7
robin,2
grasshopper,1
justification,5
thing,3
duel,4
adventurer,5
mosquito,1
revenge,6
elephant,2
segment,3
suspect,5
degree,4
anxiety,7
record,5
reflex,4
dilemma,6
replacement,4
tree,2
clean,3
lock,5
stride,3
wish,7
apple,2
reality,5
self,6
consequence,5
form,4
laughter,3
opponent,5
lily,1
lunch,2
sedative,3
menu,2
benefactor,5
duty,6
drama,4
equality,7
trumpet,2
art,5
alligator,1
lake,2
idiom,3
vocabulary,4
instance,4
cucumber,2
chance,5
nose,1
charter,4
branch,2
interruption,3
logic,5
comprehension,5
boundary,4
camera,3
tomato,2
volt,3
nation,6
volume,4
waste,5
key,5
significance,6
hat,1
figure,4
football,3
fear,7
separation,5
measure,5
puddle,1
sight,4
philosophy,6
irony,5
charity,7
advice,6
beast,2
moonlight,3
appeal,5
instructor,5
paragraph,4
economy,6
traveler,4
disaster,7
butter,1
law,7
convergence,5
state,5
instinct,5
season,3
vapor,2
diversity,6
definition,5
lesson,5
spider,1
impossibility,7
window,3
cliff,4
mountain,4
disgust,6
onion,2
republic,5
chipmunk,1
pest,2
safety,6
skunk,1
shame,7
beetle,1
possibility,6
crown,4
retention,5
immortality,7
proportion,4
raspberry,2
beverage,3
metaphor,5
effect,5
weight,4
physics,6
curfew,5
teacher,6
salad,2
bullet,4
lemon,1
second,3
fisherman,2
uncertainty,7
shock,6
leadership,6
winter,3
ring,4
food,3
payment,5
recital,4
bag,2
sadness,7
behavior,5
lip,2
guilt,6
incident,4
annoyance,3
wood,1
mastery,5
victim,6
autumn,2
gender,7
leader,6
peacemaker,5
ownership,4
distance,2
cowardice,6
ally,5
jewel,1
truck,2
intelligence,5
palace,3
job,4
situation,4
summer,2
mileage,1
shrimp,1
parish,3
perception,5
ditch,1
fantasy,2
uncle,2
regret,6
bank,4
midnight,2
policeman,7
calculation,5
outfit,2
witness,5
verse,3
dentist,4
satisfaction,4
preference,4
originality,5
resort,2
fat,1
attention,5
writing,4
legality,7
size,3
smell,2
thief,6
heap,1
dagger,6
underworld,6
fifteen,1
mold,1
frustration,5
shirt,2
brain,5
expression,4
edge,3
ignition,4
name,4
darkness,3
message,4
square,2
site,3
snake,6
consideration,5
occupation,4
claim,4
pretense,5
silence,3
mystery,5
wallet,4
corn,1
caterpillar,1
calendar,2
opposition,6
chlorine,1
candidate,5
road,3
method,5
leopard,5
shark,6
neighborhood,4
cognition,5
promotion,5
holiday,2
necklace,1
tendency,4
lion,6
car,3
bandit,7
oven,1
atrocity,7
pyramid,3
interaction,5
talent,5
master,6
eight,1
clothing,2
duck,1
donor,4
protection,6
guide,5
peach,1
description,4
bubble,1
production,5
risk,6
university,5
tide,2
limitation,5
amplitude,3
principle,7
magnitude,4
bird,2
value,6
consistency,5
corpse,6
show,3
irrigation,1
jacket,2
church,6
truth,7
girl,4
wage,4
uniform,4
tragedy,7
selection,5
lamp,2
literature,5
development,5
temperature,3
drug,6
memory,5
riot,7
difference,5
knowledge,6
identification,5
affection,4
chair,2
boulder,1
typewriter,1
eagle,5
availability,3
acre,1
roof,2
competence,6
context,5
ocean,3
rent,4
twig,1
alley,2
exception,5
regulation,7
kite,1
fallacy,6
drum,2
group,4
outcome,5
baby,3
sole,2
distribution,5
responsibility,7
play,3
meeting,4
dynasty,5
prediction,5
preparation,6
debt,6
empty,1
professor,5
empire,6
relief,4
shape,3
youth,3
reinforcement,5
construction,5
security,7
blood,5
odor,2
towel,1
punishment,6
insight,5
arrow,4
tax,6
mother,5
appointment,3
diet,4
ball,2
tension,5
acquisition,5
identity,6
missile,7
individual,5
inch,1
territory,5
loafer,2
hobby,3
despair,2
cocktail,3
boat,3
sofa,3
decision,6
hierarchy,5
ability,4
river,3
wisdom,7
sanctuary,6
gun,5
recognition,4
item,2
banana,2
newspaper,4
lens,3
propeller,3
origin,4
mustard,2
malice,6
city,5
fate,4
grief,4
rebel,5
specimen,3
vision,5
myth,4
synagogue,7
nurse,6
accumulation,2
soul,7
peace,7
itch,2
democracy,7
animal,3
desk,3
purpose,6
tennis,3
tune,3
liar,5
coffin,4
mud,2
damage,5
division,5
accident,4
pawn,4
costume,3
weather,3
wave,3
street,4
bolt,3
fight,6
honesty,7
tongue,4
love,7
stupidity,5
spelling,4
psalm,7
line,3
corporation,5
body,4
blade,5
idea,6
pillow,3
theory,5
improvement,6
example,4
band,3
stapler,2
television,4
danger,6
cause,5
butterfly,3
coffee,3
aspect,4
topic,4
exclusion,5
opportunity,6
envy,5
establishment,5
sneeze,2
station,3
mind,6
justice,7
neck,3
rabbit,3
complication,4
christmas,5
dimension,4
wolf,4
core,4
cottage,3
supply,4
real,4
attempt,5
quality,6
suggestion,5
puppy,4
interior,3
anger,5
riddle,4
macaroni,2
pigeon,3
proof,5
introduction,4
starch,2
rainbow,3
imagination,6
water,4
length,3
tallness,3
design,5
crisis,6
murder,7
rhyme,4
necessity,5
moral,7
horse,3
assumption,5
dozen,2
majority,5
brute,5
queen,6
adversity,6
object,4
iron,3
orchestra,4
time,5
opinion,5
distraction,3
mercy,7
father,6
skill,5
coincidence,4
requirement,5
laundry,2
sky,3
friendship,7
number,3
standard,5
mattress,3
infection,5
march,4
sister,6
reason,6
article,4
category,4
amount,3
faith,7
unit,3
income,5
