word,rating
corporation,4
deputy,5
brawl,6
church,5
uncle,7
moral,5
faith,4
mountain,1
shirt,1
duel,6
hospital,4
lip,2
love,7
material,1
ambulance,2
enemy,7
event,3
honesty,6
tennis,4
missile,1
origin,2
waste,1
route,1
university,4
limitation,2
poetry,3
artist,4
instructor,6
salary,4
arrangement,3
personality,5
opposition,5
pretense,5
rent,4
possibility,1
ignition,1
circumstance,2
justification,4
gesture,5
lobster,1
insight,2
selection,2
accumulation,1
student,6
topic,3
philosophy,3
gorilla,1
myth,3
misery,4
truth,5
member,6
purpose,2
temperature,1
station,2
marriage,7
outcome,2
cliff,1
puddle,1
lens,1
skin,2
complication,3
peace,6
mustard,1
beverage,1
beaver,1
consistency,2
television,2
logic,1
chief,6
brain,1
cocktail,4
danger,3
pest,4
truck,1
mercy,7
metaphor,2
intelligence,2
damage,2
explanation,5
banana,1
beast,2
oven,1
body,2
holiday,5
theory,1
rocket,1
addition,1
integrity,6
pawn,4
form,1
supply,2
attention,5
hope,3
circuit,1
annoyance,5
memory,3
stimulus,1
proof,2
empty,1
rainbow,1
charter,3
mystery,2
desk,1
music,3
hat,1
length,1
stupidity,4
donor,6
thorn,1
cottage,2
mud,1
crocodile,1
atrocity,6
teacher,7
group,6
establishment,3
zoo,2
meeting,6
site,1
horse,2
interruption,5
dentist,5
originality,2
orchestra,5
christmas,6
ceiling,1
denial,5
want,3
expression,5
shock,3
idiom,2
toilet,1
animal,1
typewriter,1
legality,3
fountain,1
subtraction,1
victim,7
unit,2
requirement,3
car,1
security,4
preparation,2
season,1
sword,2
brevity,1
future,2
menu,2
helplessness,4
woman,6
rhyme,1
cow,1
duration,1
ballot,4
cat,2
hierarchy,6
incident,3
capacity,1
blade,1
grass,1
miracle,2
autumn,1
introduction,6
chlorine,1
jerk,6
outfit,2
frog,1
attempt,2
assault,7
ceremony,6
leader,7
fisherman,3
willingness,4
grammar,1
talent,2
criticism,6
appointment,5
river,1
clearance,2
ditch,1
phenomenon,1
island,1
permission,6
flask,1
tax,4
loafer,4
calculation,1
identity,5
starch,1
fat,1
ankle,1
development,2
tool,1
ownership,4
abundance,1
visitor,7
doctor,6
laundry,1
importance,3
inch,1
cranberry,1
arc,1
girl,6
chair,1
destiny,2
magic,2
square,1
saloon,4
jewel,1
eight,1
cake,2
lily,1
second,1
wave,3
ignorance,4
laughter,6
engagement,7
boat,1
debt,5
impossibility,1
conference,6
speech,5
blood,3
opponent,7
caterpillar,1
revenge,7
wood,1
grasshopper,1
definition,1
mattress,1
ocean,1
leadership,7
bell,1
grief,5
result,1
tendency,2
combination,2
measure,1
policeman,6
anxiety,4
shape,1
sneeze,1
raspberry,1
dagger,2
linen,1
factory,3
irrigation,1
volt,1
comparison,3
paradigm,1
odor,1
lock,1
dilemma,3
lightning,1
bet,5
acquisition,2
rabbit,1
potato,1
summer,1
ring,5
skill,2
construction,2
determination,2
volcano,1
episode,2
key,1
skull,1
stapler,1
witness,6
appeal,5
vocabulary,2
protection,5
reality,1
cloth,1
money,4
friendship,7
context,2
crime,6
writing,3
frustration,4
hog,1
window,1
mankind,6
suggestion,5
reflex,1
cowardice,5
behavior,5
scholar,4
wisdom,3
separation,6
disgust,4
leopard,1
pyramid,1
punishment,6
view,2
despair,4
football,5
hatred,7
segment,1
bank,3
professor,6
queen,6
robin,1
entrance,1
silence,3
alley,1
palace,2
lamp,1
recital,4
loan,5
chicken,1
vapor,1
fallacy,2
physics,1
hazard,2
dynasty,6
uncertainty,2
chance,2
snake,1
salad,1
design,2
bullet,1
snow,1
nose,1
clothing,2
guide,6
rule,4
stranger,7
fantasy,2
instance,1
exclusion,6
street,2
forest,1
occupation,4
neighborhood,5
scent,1
thought,2
refrigerator,1
hurricane,1
responsibility,6
intention,4
benefactor,7
shrimp,1
stick,1
burner,1
peacemaker,7
cause,2
bed,3
corn,1
economy,4
deduction,1
fact,1
equality,6
line,1
sight,1
tragedy,4
specimen,1
majority,5
bracelet,3
identification,4
three,1
bedroom,3
distraction,3
germ,1
medicine,2
value,4
cognition,1
volume,1
skunk,1
coincidence,2
nation,5
division,3
peach,1
shame,6
month,1
adversity,4
character,5
play,5
clean,1
coffin,2
alligator,1
jacket,1
atom,1
information,4
satisfaction,4
produce,1
youth,4
spelling,1
translation,3
pimple,1
difference,3
sadness,5
consequence,3
conscience,5
pie,2
ball,2
squeak,1
dozen,1
affection,7
contract,6
duty,6
door,1
paragraph,1
diamond,4
instinct,2
mile,1
democracy,6
safety,4
freedom,5
fog,1
curfew,5
past,2
onion,1
corpse,2
mastery,3
law,5
evidence,3
dimension,1
adventurer,4
moonlight,2
alphabet,1
sow,1
category,1
interaction,7
uniform,4
city,4
butterfly,1
error,2
sole,1
pig,1
lisp,3
knowledge,2
hobby,3
fear,4
competence,3
situation,3
coupon,2
opportunity,3
boundary,5
specialist,5
nerve,2
shortness,1
eagle,1
kite,1
boy,6
principle,4
drum,1
aspect,1
mind,2
trumpet,1
scene,3
heart,5
robbery,6
flavor,1
convergence,2
butter,1
tip,3
presence,5
spirit,3
drug,2
envy,7
math,1
candy,2
wish,3
retention,1
arrow,1
mileage,1
sanctuary,3
interior,1
obstruction,2
midnight,1
extent,1
vision,2
cucumber,1
fifteen,1
reason,2
object,1
assumption,4
beetle,1
edge,1
latch,1
ambition,4
temple,3
duck,1
incentive,4
band,6
brute,4
tune,1
weather,1
coffee,4
pile,1
magnitude,1
mansion,2
bag,1
brother,7
twig,1
item,1
pond,1
fate,2
tongue,2
winter,1
variety,1
distance,4
regulation,4
moment,2
macaroni,1
example,3
crown,3
underworld,4
march,3
eyeball,1
regret,5
reinforcement,4
amplitude,1
story,5
lettuce,1
conclusion,2
betrayal,7
iron,1
idea,2
industry,3
replacement,3
fight,6
nurse,6
spider,1
relief,4
psalm,3
belief,4
payment,5
name,6
bird,1
property,3
prop,1
inn,3
neck,2
decision,3
pigeon,1
kindness,7
republic,5
perception,2
degree,1
advantage,4
tree,1
availability,3
heap,1
tide,1
heresy,5
father,7
diversity,5
weight,1
reduction,1
dad,7
riddle,3
tradition,6
towel,1
margin,1
independence,5
synagogue,5
electricity,1
bolt,1
real,1
description,3
literature,3
hotel,3
opinion,5
lemon,1
food,3
lunch,5
entree,2
ally,7
gun,2
baby,7
malice,7
wallet,2
claim,4
newspaper,3
number,1
pool,2
escape,3
disagreement,7
grandmother,7
cup,1
water,1
exception,2
branch,1
bridge,2
beauty,3
message,6
occasion,4
puppy,3
foundation,2
manner,5
accomplishment,4
guess,2
consideration,6
resort,3
gender,5
hurt,6
apology,7
effect,2
comprehension,2
issue,3
significance,3
lesson,5
file,1
prediction,2
emergence,1
worry,5
parish,5
traveler,4
effort,2
boulder,1
fabric,1
crisis,4
art,3
child,7
anger,6
disappointment,6
darkness,1
amount,1
method,1
proportion,1
self,4
announcement,5
stride,1
propeller,1
calendar,1
admiration,7
necessity,2
confidence,5
empire,5
elephant,1
disaster,3
composer,4
radio,2
charity,7
article,2
individual,4
attitude,5
tallness,1
sky,1
genuine,5
show,4
advice,7
wolf,1
accident,2
production,2
reputation,7
sugar,1
orchid,1
microscope,1
performance,5
infection,2
rebel,6
poll,5
correspondent,6
lion,1
lake,1
riot,6
immortality,2
diet,1
recognition,6
photograph,3
tomato,1
awareness,2
state,4
location,1
tension,5
trust,7
suit,2
roof,1
opera,4
soul,3
lizard,1
risk,3
murder,7
imagination,2
thing,1
job,5
record,2
shark,1
mold,1
mosquito,1
sandal,1
pill,1
assistance,7
bubble,1
camera,2
owner,6
chocolate,2
irony,3
promotion,5
bandit,5
preference,3
chipmunk,1
size,1
contempt,7
unity,6
core,1
thief,6
increase,1
quality,2
helmet,1
liar,7
pillow,1
institute,4
acre,1
candidate,6
bottle,1
improvement,2
landscape,1
costume,3
border,2
steam,1
master,6
suspect,6
apple,1
ability,2
dove,2
lamb,2
sofa,2
boredom,3
wage,5
road,1
necklace,3
verse,2
guilt,6
distribution,2
lane,1
smell,1
itch,1
knife,1
park,3
sedative,1
injury,3
territory,4
income,4
photo,3
standard,3
sister,7
figure,2
justice,6
drama,6
response,5
kitten,2
fireplace,2
impairment,2
handkerchief,1
time,1
deceit,7
mother,7
