word,response,properties
ability,"ability: potential, training, competitions, teamwork",[]
accusation,"accusation: 
property1: trial
property2: evidence
property3: motive
property4: coverup",[]
achievement,"achievement: gold medal, parade, certificate, lifelong goal",[]
activity,"activity: 
properties: energy, sports, travel, festival","['energy', 'sports', 'travel', 'festival']"
addiction,"word: addiction
properties: intervention, withdrawal symptoms, financial troubles, rehabilitation centre","['intervention', 'withdrawal symptoms', 'financial troubles', 'rehabilitation centre']"
admiration,"word: admiration
properties: applause, art gallery, national hero, romance novel","['applause', 'art gallery', 'national hero', 'romance novel']"
advantage,"word: advantage
properties: negotiation, skillset, winner's circle, scoreboard","['negotiation', 'skillset', ""winner's circle"", 'scoreboard']"
adventure,"word: adventure
properties: trekking, pirate, map, secret","['trekking', 'pirate', 'map', 'secret']"
advice,"advice: 
 properties: coach, lawyer, older sibling, professor","['coach', 'lawyer', 'older sibling', 'professor']"
agony,"word: agony
properties: cry, hospital, darkness, silence","['cry', 'hospital', 'darkness', 'silence']"
agreement,"agreement: lawcourt, politician, handshake, marriage certificate",[]
amazement,"amazement: 
properties: wonderland, fireworks, overwhelming, dreamlike","['wonderland', 'fireworks', 'overwhelming', 'dreamlike']"
ambition,"ambition: 
property 1: marathon
property 2: hard work
property 3: college scholarships
property 4: entrepreneurial spirit",[]
ambush,"word: ambush
properties: surprise attack, stealth, war movies, military tactics","['surprise attack', 'stealth', 'war movies', 'military tactics']"
amusement,"amusement: laughter, rollercoaster, childrens birthday, circus",[]
anger,"anger: 
 properties: fist, scream, betrayal, darkness","['fist', 'scream', 'betrayal', 'darkness']"
anxiety,"anxiety: 
darkness, panic attack, late night call, medicine bottle",[]
apology,"apology: regret, flowers, lawyer, forgiveness",[]
appearance,"word: appearance
properties: makeup, photo shoot, first impression, disguise","['makeup', 'photo shoot', 'first impression', 'disguise']"
appetite,"appetite: 
hungry before bed
favorite restaurant discovery
empty stomach rumbling sound
increased calorie intake during holidays",[]
application,"word: application
properties: resume, interview, productivity, software","['resume', 'interview', 'productivity', 'software']"
aptitude,"aptitude: 
properties: sport, employee, puzzle, interview","['sport', 'employee', 'puzzle', 'interview']"
argument,"argument: shouting, couple, lawyer, politics",[]
art,"art: 
 properties: museum, painter, sculpture, expression","['museum', 'painter', 'sculpture', 'expression']"
aspect,"aspect: 

 properties: beauty, architecture, silence, transparency","['beauty', 'architecture', 'silence', 'transparency']"
assassination,"word: assassination
properties: conspiracy, guns, secret service, trial","['conspiracy', 'guns', 'secret service', 'trial']"
assumption,"assumption: bias, argument, statistics, prejudice",[]
astonishment,"astonishment: 
properties: silence, scream, telescope, explosion","['silence', 'scream', 'telescope', 'explosion']"
attack,"word: attack
properties: military, virus, chess, sudden","['military', 'virus', 'chess', 'sudden']"
