word,rating
lake,3
ambition,6
chance,4
individual,5
apology,2
opponent,4
boredom,2
cowardice,3
beetle,1
silence,2
bet,4
animal,3
coupon,2
faith,5
liar,2
lip,3
tongue,4
originality,6
ankle,4
potato,1
accumulation,3
outfit,4
chair,2
cognition,5
station,3
disaster,2
real,5
dilemma,4
scene,3
ally,5
ownership,4
theory,5
reinforcement,4
puppy,6
guide,5
damage,2
circumstance,3
state,4
response,5
key,6
boat,3
degree,4
crown,5
myth,3
blood,4
deduction,5
forest,3
latch,2
tune,4
show,5
interior,3
starch,1
mankind,5
infection,2
fabric,2
wood,3
tragedy,2
germ,1
iron,3
spider,2
calendar,4
affection,6
photograph,5
territory,4
incident,3
vapor,1
dentist,2
sword,3
flavor,4
clean,5
consistency,4
appeal,5
identification,6
fact,5
route,4
linen,2
macaroni,1
skin,3
stride,5
writing,5
roof,2
menu,3
division,4
value,6
suit,4
lamp,3
personality,6
contract,4
cloth,2
amount,3
intention,5
magic,5
confidence,6
duration,4
sandal,3
thing,5
mattress,3
addition,4
newspaper,2
opposition,4
leopard,1
pigeon,2
clearance,3
opinion,5
play,6
heart,7
irrigation,2
clothing,4
distance,4
fate,5
calculation,5
number,4
wisdom,6
vocabulary,5
talent,6
character,6
nose,3
salad,2
tree,3
risk,4
definition,5
ditch,1
hobby,5
adversity,4
inn,2
butter,1
pyramid,2
tomato,1
riot,3
independence,6
itch,2
temple,3
teacher,5
brain,6
occupation,4
ignition,3
suspect,3
costume,4
door,3
necessity,5
equality,6
orchid,2
bag,3
dove,2
chlorine,1
reflex,5
conference,4
result,5
helmet,4
beauty,7
shortness,2
verse,5
exception,4
bird,3
circuit,4
queen,5
charter,4
principle,6
music,7
want,6
relief,6
moral,5
jerk,2
metaphor,5
scent,3
girl,5
tradition,4
development,5
crisis,4
bubble,1
camera,4
pond,2
decision,6
job,5
frustration,3
error,2
student,5
reputation,5
fear,4
tool,4
shrimp,1
refrigerator,2
empty,2
kindness,6
impairment,3
wish,5
alligator,1
moment,4
injury,3
master,5
file,3
factory,3
body,5
weight,4
tide,2
lemon,1
television,3
coffin,1
admiration,6
tip,3
complication,3
shock,4
past,5
park,6
line,4
nerve,2
income,5
specialist,4
lesson,5
cause,3
squeak,2
insight,6
hotel,5
peacemaker,7
law,4
conscience,6
misery,3
dimension,4
pill,5
alley,4
banana,6
pest,2
debt,4
march,5
justice,7
sanctuary,6
meeting,5
cucumber,5
expression,6
opera,5
significance,7
intelligence,7
object,4
tallness,3
grasshopper,2
purpose,7
mosquito,1
assault,2
pillow,6
anxiety,3
hope,7
fountain,5
benefactor,6
love,7
drum,4
stimulus,5
beverage,5
mountain,6
capacity,4
awareness,6
danger,3
raspberry,5
reality,6
acquisition,4
snow,5
appointment,4
ocean,7
wave,5
composer,5
guilt,3
payment,5
jacket,5
city,6
lamb,5
retention,4
requirement,4
miracle,7
segment,4
oven,5
kitten,6
trust,7
flask,3
preparation,5
imagination,7
bridge,5
towel,4
coincidence,5
context,5
hospital,6
article,4
mercy,6
rabbit,5
spirit,6
rebel,4
interruption,3
design,5
criticism,3
duty,5
fog,2
peach,5
professor,5
friendship,7
cup,4
length,4
form,4
lunch,5
square,3
empire,6
pimple,2
shirt,5
pile,3
abundance,6
visitor,5
responsibility,5
location,4
corporation,4
literature,6
laundry,4
landscape,6
eagle,5
presence,6
tendency,4
construction,4
regulation,4
rocket,6
church,5
doctor,6
topic,4
midnight,5
conclusion,5
neck,3
car,6
fat,2
volume,4
story,7
physics,5
security,6
hog,1
name,5
lens,3
cow,2
chipmunk,1
christmas,7
possibility,6
suggestion,5
fallacy,2
robbery,2
assistance,6
distribution,4
skill,5
stranger,3
record,5
instructor,5
mold,1
occasion,5
hurricane,2
medicine,6
cocktail,4
institute,5
pig,2
guess,3
uncle,5
owner,5
hazard,3
desk,4
apple,6
pie,5
convergence,4
ability,6
democracy,7
grief,3
bed,6
fantasy,7
bolt,2
material,4
issue,5
rent,4
belief,6
rhyme,5
hat,4
variety,5
consideration,5
wage,4
arrow,3
identity,6
advice,6
corpse,1
contempt,2
message,5
math,5
paradigm,5
lightning,4
necklace,5
idea,7
assumption,5
future,6
bracelet,4
despair,2
stupidity,1
skunk,1
cat,5
size,4
method,5
pawn,3
laughter,6
cottage,5
ambulance,5
puddle,2
industry,5
effect,5
crocodile,2
proof,5
waste,3
immortality,4
economy,6
property,5
chocolate,7
scholar,5
incentive,6
coffee,6
tension,4
consequence,5
lobster,3
opportunity,6
uncertainty,4
volt,2
cake,7
justification,5
self,7
safety,6
fireplace,4
grammar,3
leader,6
establishment,5
irony,4
poll,5
fisherman,3
season,5
lane,2
odor,3
event,5
thief,3
saloon,2
extent,4
introduction,5
caterpillar,3
grandmother,6
entree,5
category,4
idiom,4
arc,3
winter,4
explanation,5
moonlight,5
figure,5
shark,3
hurt,4
member,6
riddle,4
adventurer,5
worry,4
accident,3
rainbow,5
emergence,5
mud,2
comprehension,6
lily,4
edge,4
behavior,5
stick,3
mustard,3
helplessness,4
zoo,4
loafer,2
perception,6
protection,6
hatred,4
typewriter,3
effort,5
soul,7
boulder,4
candidate,5
window,5
snake,3
art,6
promotion,5
cliff,4
item,5
sedative,3
lettuce,2
supply,5
spelling,4
logic,6
majority,5
denial,4
weather,5
malice,4
street,5
month,3
betrayal,4
exclusion,4
advantage,6
holiday,7
twig,2
competence,6
duck,3
mystery,5
temperature,5
water,7
impossibility,4
truck,4
toilet,3
reduction,5
foundation,6
handkerchief,2
time,7
wallet,5
steam,3
gender,5
bottle,4
dagger,3
university,6
orchestra,5
eight,2
onion,3
disagreement,4
ignorance,4
witness,5
cranberry,3
produce,5
kite,4
grass,4
preference,6
radio,5
leadership,6
microscope,5
prediction,5
donor,5
sofa,4
sister,7
entrance,5
deputy,5
woman,7
trumpet,4
acre,3
heap,3
magnitude,5
republic,6
manner,5
poetry,6
mastery,6
willingness,6
memory,7
tennis,4
hierarchy,5
group,5
second,3
salary,5
baby,7
fight,4
rule,5
regret,4
increase,5
volcano,4
outcome,6
duel,3
example,5
combination,5
pool,4
uniform,5
island,5
atrocity,4
freedom,7
policeman,5
peace,7
branch,4
victim,4
escape,5
resort,6
road,5
mind,7
replacement,5
missile,3
border,5
lion,4
dad,7
core,5
chicken,4
drug,4
father,7
translation,6
thought,6
disappointment,4
candy,6
performance,6
vision,5
nation,6
distraction,3
bandit,3
horse,5
knife,3
beast,4
neighborhood,5
sky,5
amplitude,4
crime,4
improvement,6
diamond,5
youth,5
beaver,3
instinct,5
pretense,3
lizard,2
claim,4
electricity,6
anger,5
comparison,3
three,4
charity,4
instance,3
prop,2
artist,5
loan,3
sneeze,2
attention,4
brother,6
bullet,5
destiny,4
underworld,2
wolf,3
limitation,3
episode,4
measure,4
quality,5
site,3
knowledge,5
difference,4
sugar,3
lock,3
lisp,2
child,6
importance,5
stapler,2
view,4
sight,5
truth,5
river,4
genuine,5
bedroom,3
accomplishment,5
integrity,6
murder,1
announcement,3
fifteen,4
skull,2
reason,5
correspondent,3
boundary,3
obstruction,2
boy,5
availability,4
phenomenon,3
brute,2
atom,3
deceit,1
honesty,6
description,4
attempt,5
unit,3
summer,5
propeller,4
sadness,4
sow,2
subtraction,3
bell,3
specimen,3
proportion,3
mileage,3
recognition,5
interaction,5
alphabet,3
food,4
ballot,2
annoyance,3
arrangement,4
attitude,5
sole,3
paragraph,3
synagogue,2
margin,3
frog,2
separation,3
palace,3
mansion,3
philosophy,4
money,5
smell,3
brawl,2
nurse,5
chief,4
gesture,6
disgust,2
drama,4
butterfly,4
photo,4
inch,3
football,5
darkness,2
aspect,4
gorilla,2
marriage,6
origin,4
recital,4
information,5
dynasty,3
legality,4
punishment,1
diversity,5
envy,2
heresy,1
speech,5
traveler,5
eyeball,2
unity,6
evidence,5
elephant,3
jewel,4
situation,5
blade,3
permission,5
gun,1
shape,4
engagement,5
selection,4
corn,3
thorn,2
tax,3
autumn,4
burner,3
satisfaction,6
revenge,1
diet,4
band,5
robin,3
brevity,3
psalm,4
bank,4
dozen,3
production,5
mile,3
mother,6
ceiling,2
determination,6
ceremony,5
enemy,2
shame,3
parish,3
standard,4
curfew,3
ball,5
ring,4
