word,rating
scholar,1.0
deputy,1.0
produce,4.0
woman,2.0
scent,2.0
ambulance,3.0
doctor,2.0
obstruction,5.0
three,6.0
flavor,2.0
volcano,6.0
cow,1.0
ankle,4.0
clearance,7.0
nerve,2.0
helmet,3.0
chief,1.0
cake,5.0
manner,2.0
pill,4.0
robbery,3.0
marriage,4.0
spirit,3.0
speech,3.0
scene,4.0
math,6.0
freedom,4.0
atom,7.0
kindness,5.0
cat,1.0
ballot,2.0
abundance,7.0
incentive,5.0
guess,3.0
effort,5.0
pond,6.0
impairment,4.0
grass,2.0
belief,2.0
door,1.0
conclusion,2.0
photograph,2.0
photo,2.0
explanation,3.0
chocolate,5.0
candy,6.0
sword,4.0
presence,3.0
admiration,3.0
lobster,4.0
jerk,1.0
knife,2.0
crime,5.0
betrayal,4.0
microscope,7.0
bracelet,1.0
emergence,6.0
mansion,7.0
escape,3.0
heresy,3.0
stimulus,6.0
deduction,5.0
reduction,7.0
pig,2.0
sugar,4.0
lamb,1.0
loan,7.0
frog,2.0
lane,4.0
gorilla,3.0
flask,2.0
music,1.0
willingness,6.0
hurt,3.0
combination,6.0
lightning,5.0
foundation,7.0
confidence,6.0
contempt,4.0
contract,6.0
skin,2.0
magic,1.0
conscience,4.0
evidence,5.0
response,5.0
addition,7.0
ceiling,6.0
brawl,3.0
pimple,2.0
temple,4.0
saloon,3.0
integrity,4.0
suit,1.0
industry,5.0
fountain,5.0
occasion,5.0
file,2.0
comparison,7.0
border,6.0
sandal,1.0
future,3.0
money,5.0
accomplishment,6.0
composer,1.0
correspondent,2.0
month,4.0
pie,2.0
conference,3.0
burner,1.0
fog,1.0
disappointment,2.0
forest,4.0
linen,1.0
student,1.0
kitten,1.0
thorn,1.0
zoo,3.0
enemy,1.0
hurricane,6.0
route,5.0
fabric,2.0
boredom,4.0
ignorance,2.0
sow,2.0
character,2.0
cranberry,1.0
cup,3.0
episode,4.0
assistance,5.0
duration,6.0
squeak,1.0
paradigm,4.0
circuit,3.0
disagreement,2.0
hazard,5.0
arc,5.0
toilet,1.0
bottle,4.0
tool,2.0
snow,1.0
permission,3.0
awareness,4.0
heart,2.0
poetry,2.0
importance,6.0
pool,5.0
stick,2.0
beauty,2.0
subtraction,6.0
translation,1.0
pile,5.0
performance,4.0
hospital,3.0
criticism,1.0
apology,1.0
park,2.0
medicine,1.0
mile,7.0
inn,1.0
grandmother,1.0
circumstance,2.0
trust,1.0
engagement,2.0
location,3.0
lettuce,1.0
tradition,1.0
cloth,2.0
alphabet,1.0
diamond,4.0
moment,6.0
child,1.0
arrangement,2.0
island,5.0
variety,6.0
information,3.0
latch,1.0
chicken,1.0
artist,1.0
beaver,1.0
refrigerator,4.0
destiny,1.0
tip,2.0
grammar,1.0
hotel,3.0
brevity,7.0
shortness,7.0
capacity,7.0
worry,1.0
owner,1.0
view,5.0
denial,1.0
issue,2.0
personality,1.0
boy,1.0
entrance,3.0
orchid,1.0
radio,1.0
hatred,1.0
opera,4.0
steam,5.0
phenomenon,6.0
lizard,2.0
visitor,3.0
ambition,4.0
mankind,5.0
brother,1.0
crocodile,2.0
error,3.0
miracle,5.0
bell,2.0
germ,2.0
property,6.0
bet,3.0
hog,4.0
bed,2.0
deceit,1.0
member,4.0
intention,3.0
hope,4.0
specialist,5.0
attitude,3.0
poll,4.0
salary,5.0
fireplace,3.0
rocket,6.0
past,2.0
misery,1.0
thought,2.0
entree,2.0
want,3.0
skull,2.0
margin,7.0
ceremony,4.0
extent,7.0
potato,3.0
reputation,5.0
determination,6.0
increase,7.0
independence,5.0
genuine,1.0
story,2.0
rule,4.0
eyeball,1.0
landscape,5.0
factory,4.0
injury,3.0
dad,1.0
advantage,6.0
electricity,4.0
bedroom,3.0
gesture,2.0
bridge,5.0
fact,1.0
unity,2.0
lisp,1.0
coupon,4.0
stranger,1.0
dove,1.0
material,3.0
prop,6.0
event,2.0
result,5.0
handkerchief,2.0
institute,3.0
announcement,2.0
assault,4.0
helplessness,3.0
robin,1.0
grasshopper,1.0
justification,3.0
thing,5.0
duel,6.0
adventurer,3.0
mosquito,2.0
revenge,4.0
elephant,7.0
segment,6.0
suspect,1.0
degree,7.0
anxiety,1.0
record,5.0
reflex,1.0
dilemma,3.0
replacement,4.0
tree,2.0
clean,1.0
lock,6.0
stride,6.0
wish,2.0
apple,3.0
reality,4.0
self,2.0
consequence,5.0
form,6.0
laughter,1.0
opponent,3.0
lily,2.0
lunch,2.0
sedative,1.0
menu,4.0
benefactor,1.0
duty,1.0
drama,2.0
equality,3.0
trumpet,2.0
art,1.0
alligator,4.0
lake,6.0
idiom,1.0
vocabulary,1.0
instance,5.0
cucumber,3.0
chance,2.0
nose,1.0
charter,1.0
branch,5.0
interruption,1.0
logic,1.0
comprehension,1.0
boundary,6.0
camera,1.0
tomato,4.0
volt,2.0
nation,5.0
volume,7.0
waste,3.0
key,1.0
significance,5.0
hat,1.0
figure,5.0
football,6.0
fear,1.0
separation,4.0
measure,7.0
puddle,6.0
sight,2.0
philosophy,1.0
irony,1.0
charity,1.0
advice,1.0
beast,3.0
moonlight,1.0
appeal,2.0
instructor,1.0
paragraph,4.0
economy,6.0
traveler,5.0
disaster,6.0
butter,4.0
law,1.0
convergence,3.0
state,4.0
instinct,2.0
season,2.0
