word,rating
truth,2
legality,3
drug,1
stranger,4
band,2
hotel,5
material,3
lesson,4
victim,6
extent,5
burner,3
suggestion,4
dagger,6
site,7
consequence,5
thing,4
degree,6
unity,7
duty,5
combination,4
guess,3
tool,6
incentive,5
anger,4
manner,6
satisfaction,7
supply,5
bag,2
paragraph,1
neighborhood,6
trust,7
philosophy,3
route,5
father,2
wolf,1
vocabulary,4
incident,5
teacher,3
contract,6
factory,4
rabbit,1
reality,7
territory,6
chief,5
salary,4
outcome,7
past,3
assumption,5
institute,6
chicken,1
street,4
willingness,7
reinforcement,6
crocodile,1
diet,2
bet,3
entree,4
fog,1
rule,5
example,6
moment,4
uncle,2
deputy,3
cow,1
result,7
coincidence,5
thorn,4
fat,2
occasion,6
mile,5
advantage,7
rent,4
time,6
spirit,5
corporation,6
helmet,3
composer,2
distance,7
engagement,6
duel,5
gender,4
individual,7
specialist,6
mankind,5
sky,4
gesture,6
cliff,3
line,5
tree,2
promotion,7
donor,4
acquisition,6
leader,5
replacement,7
flask,3
obstruction,4
pest,1
confidence,7
episode,6
show,5
hurricane,2
eight,1
calendar,4
bank,3
meeting,6
necklace,2
opposition,5
miracle,6
peach,1
christmas,2
vision,7
tension,5
odor,1
inch,2
perception,6
appointment,5
cocktail,3
blade,4
truck,2
peacemaker,6
marriage,5
chair,3
cranberry,1
payment,4
belief,6
microscope,5
significance,7
speech,6
cause,4
loan,3
entrance,5
lock,2
tennis,1
bed,4
retention,6
skunk,2
silence,5
coffee,3
scholar,6
holiday,4
paradigm,7
river,5
limitation,4
volt,2
description,6
bird,1
diversity,7
salad,3
trumpet,2
child,4
march,5
stride,6
apology,7
boulder,3
fallacy,4
shortness,2
knowledge,6
kite,1
diamond,5
starch,2
hat,3
pimple,1
advice,6
costume,4
mileage,5
exception,7
mud,2
skin,3
brevity,4
blood,1
record,6
puppy,2
heap,3
lobster,1
robbery,4
spelling,5
stapler,2
fabric,3
vapor,1
poll,4
road,5
handkerchief,2
stick,3
hospital,6
job,4
grammar,5
radio,2
irrigation,3
genuine,7
location,6
personality,5
waste,1
darkness,2
island,4
guilt,6
pie,1
difference,7
mastery,5
bullet,3
insight,6
metaphor,2
lunch,1
faith,3
midnight,6
typewriter,2
bolt,5
