word,properties,codes,frequencies
ability,"['mastering guitar', 'leading a team', 'passing exams', 'solving complex problems']","['sensorimotor feature', 'social constellation', 'other abstract concept', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
accusation,"['courtroom', 'written letter', 'public confrontation', 'legal defense']","['sensorimotor feature', 'association', 'social constellation', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
achievement,"['medal', 'perseverance', 'final exam', 'trophy']","['association', 'internal state and emotion', 'other abstract concept', 'association']","[0.0, 0.25, 0.0, 0.75]"
activity,"['exercise', 'collaboration', 'curiosity', 'focus']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'internal state and emotion']","[0.25, 0.5, 0.25, 0.0]"
addiction,"['craving', 'withdrawal', 'relapse', 'isolation']","['internal state and emotion', 'internal state and emotion', 'internal state and emotion', 'social constellation']","[0.0, 0.75, 0.25, 0.0]"
admiration,"['sunset', 'monument', 'scientific breakthrough', 'artistic masterpiece']","['association', 'association', 'other abstract concept', 'other abstract concept']","[0.0, 0.0, 0.0, 1.0]"
advantage,"['competition', 'strategic positioning', 'resource surplus', 'favorable timing']","['social constellation', 'other abstract concept', 'association', 'other abstract concept']","[0.0, 0.0, 0.25, 0.75]"
adventure,"['map', 'unexpected twist', 'danger', 'exhilaration']","['sensorimotor feature', 'other abstract concept', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
advice,"['decision-making', 'expertise', 'confidentiality', 'trust']","['other abstract concept', 'association', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
agony,"['broken bone', 'grief', 'childbirth', 'public shaming']","['sensorimotor feature', 'internal state and emotion', 'sensorimotor feature', 'social constellation']","[0.5, 0.25, 0.25, 0.0]"
agreement,"['handshake', 'peace treaty', 'compromise', 'unified team']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'social constellation']","[0.25, 0.25, 0.5, 0.0]"
amazement,"['supernova', 'albino tiger', 'quantum computer', 'abstract sculpture']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
ambition,"['career ladder', 'relentless drive', 'risk-taking', 'personal milestones']","['association', 'internal state and emotion', 'internal state and emotion', 'association']","[0.0, 0.5, 0.0, 0.5]"
ambush,"['hidden position', 'sudden confrontation', 'stealthy approach', 'unexpected threat']","['sensorimotor feature', 'social constellation', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.25, 0.0]"
amusement,"['clown', 'laughter', 'carnival ride', 'storytelling']","['association', 'internal state and emotion', 'sensorimotor feature', 'association']","[0.25, 0.25, 0.0, 0.5]"
anger,"['clenched fists', 'shouting match', 'red face', 'silent rage']","['sensorimotor feature', 'social constellation', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.25, 0.0]"
anxiety,"['racing heart', 'public speaking', 'restlessness', 'avoidance']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'internal state and emotion']","[0.25, 0.5, 0.25, 0.0]"
apology,"['bow', 'handshakes', 'written note', 'humility']","['sensorimotor feature', 'social constellation', 'association', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
appearance,"['costume', 'reflections', 'storefront display', 'sudden aging']","['sensorimotor feature', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
appetite,"['meal', 'overeating', 'hunger pangs', 'food cravings']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'internal state and emotion']","[0.25, 0.5, 0.25, 0.0]"
application,"['job submission', 'smartphone interface', 'background process', 'problem-solving']","['association', 'sensorimotor feature', 'other abstract concept', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
aptitude,"['exam', 'puzzle', 'mentor', 'talent']","['association', 'sensorimotor feature', 'social constellation', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
argument,"['courtroom', 'raised voice', 'anger', 'protest sign']","['association', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
art,"['museum', 'brushstroke', 'emotion', 'gallery']","['association', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
aspect,"['angle', 'orientation', 'design elements', 'perspective']","['sensorimotor feature', 'sensorimotor feature', 'association', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
assassination,"['shadowy figure', 'chaotic aftermath', 'power vacuum', 'silent scream']","['association', 'social constellation', 'other abstract concept', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
assumption,"['unproven belief', 'workplace misjudgment', 'scientific hypothesis', 'relationship expectation']","['internal state and emotion', 'social constellation', 'other abstract concept', 'social constellation']","[0.0, 0.25, 0.5, 0.25]"
astonishment,"['thunderclap', 'uncovered treasure', 'sunrise over mountains', 'unexpected celebrity encounter']","['association', 'association', 'association', 'social constellation']","[0.0, 0.0, 0.25, 0.75]"
attack,"['surprise', 'chaos', 'strategy', 'weapon']","['internal state and emotion', 'association', 'other abstract concept', 'sensorimotor feature']","[0.25, 0.25, 0.0, 0.5]"
attention,"['classroom', 'problem-solving', 'interruptions', 'intimacy']","['association', 'other abstract concept', 'association', 'social constellation']","[0.0, 0.0, 0.25, 0.75]"
attraction,"['magnetic pull', 'romantic spark', 'gravitational force', 'shared interests']","['sensorimotor feature', 'internal state and emotion', 'association', 'social constellation']","[0.25, 0.25, 0.25, 0.25]"
beauty,"['mirror', 'garden', 'sunrise', 'dance']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
being,"['presence', 'consciousness', 'essence', 'continuity']","['sensorimotor feature', 'internal state and emotion', 'other abstract concept', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
betrayal,"['secret', 'shock', 'broken bond', 'deceit']","['association', 'internal state and emotion', 'social constellation', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
blackmail,"['secret leverage', 'threat exposure', 'coercive manipulation', 'vulnerable position']","['association', 'association', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
boredom,"['waiting room', 'idle time', 'stagnant pond', 'unstimulating environment']","['association', 'internal state and emotion', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
boycott,"['economic disruption', 'social movement', 'non-cooperation', 'public backlash']","['association', 'social constellation', 'other abstract concept', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
bravery,"['battlefield', 'standing alone in a storm', 'rescuing from danger', 'defending truth']","['association', 'sensorimotor feature', 'social constellation', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
career,"['promotion', 'networking events', 'work-life balance', 'professional development']","['other abstract concept', 'social constellation', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
carefulness,"['meticulous planning', 'error prevention', 'deliberate action', 'reduced risk']","['internal state and emotion', 'other abstract concept', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
catastrophe,"['earthquake', 'recovery teams', 'panic', 'collapse']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.25, 0.25, 0.0]"
caution,"['icy road', 'construction zone', 'warning sign', '""parent\'s advice""']","['sensorimotor feature', 'social constellation', 'association', 'social constellation']","[0.25, 0.0, 0.5, 0.25]"
challenge,"['competition', 'mountain climb', 'skill test', 'problem-solving']","['social constellation', 'sensorimotor feature', 'other abstract concept', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
chaos,"['cluttered space', 'unpredictable weather', 'system failure', 'confusing directions']","['sensorimotor feature', 'sensorimotor feature', 'other abstract concept', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
character,"['role-play', 'mask', 'signature', 'conflict']","['social constellation', 'association', 'association', 'social constellation']","[0.0, 0.0, 0.5, 0.5]"
charm,"['spell', 'confidence', 'trinket', 'allure']","['association', 'internal state and emotion', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
comfort,"['soft blanket', 'quiet room', 'familiar scent', 'resting position']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
commitment,"['marriage vows', 'long-term project', 'renewable energy initiative', 'staying in a relationship during hardship']","['association', 'other abstract concept', 'other abstract concept', 'social constellation']","[0.0, 0.0, 0.25, 0.75]"
comparison,"['shopping', 'debate', 'cooking', 'scale']","['association', 'social constellation', 'association', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
compassion,"['nursing home', 'comforting presence', 'supporting friend', 'shared grief']","['association', 'social constellation', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.5, 0.25]"
competence,"['certification', 'problem-solving', 'reliability', 'expertise']","['association', 'sensorimotor feature', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
compromise,"['negotiation', 'trade-off', 'bridge', 'resolution']","['social constellation', 'other abstract concept', 'association', 'other abstract concept']","[0.0, 0.0, 0.25, 0.75]"
compulsion,"['ritual', 'anxiety relief', 'social withdrawal', 'time consumption']","['sensorimotor feature', 'internal state and emotion', 'social constellation', 'association']","[0.25, 0.25, 0.25, 0.25]"
confession,"['church booth', 'guilt relief', 'relationship repair', 'court testimony']","['association', 'internal state and emotion', 'social constellation', 'social constellation']","[0.0, 0.25, 0.5, 0.25]"
conflict,"['war', 'debate', 'friction', 'resolution']","['association', 'social constellation', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
consideration,"['holding doors', 'adjusting plans', 'prioritizing needs', 'thoughtful gestures']","['sensorimotor feature', 'internal state and emotion', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.5, 0.0, 0.0]"
consolation,"['cup of tea', 'memorial gathering', 'shared story', 'blanket']","['sensorimotor feature', 'social constellation', 'social constellation', 'sensorimotor feature']","[0.5, 0.0, 0.5, 0.0]"
contempt,"['scornful glance', 'dismissive silence', 'hierarchical disdain', 'rejection gesture']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'sensorimotor feature']","[0.75, 0.25, 0.0, 0.0]"
convention,"['keynote speeches', 'exhibitor booths', 'networking events', 'themed costumes']","['association', 'association', 'social constellation', 'association']","[0.0, 0.0, 0.25, 0.75]"
cooperation,"['bridge construction', 'classroom teamwork', 'community garden', 'relay race']","['sensorimotor feature', 'social constellation', 'social constellation', 'social constellation']","[0.25, 0.0, 0.75, 0.0]"
courage,"['emergency', 'lion', 'posture', 'challenge']","['association', 'association', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
creativity,"['sketchbook', 'lightbulb moment', 'collaborative brainstorming', 'unconventional materials']","['sensorimotor feature', 'internal state and emotion', 'social constellation', 'association']","[0.25, 0.25, 0.25, 0.25]"
crime,"['robbery scene', 'legal trial', 'witness testimony', 'prison cell']","['sensorimotor feature', 'social constellation', 'social constellation', 'sensorimotor feature']","[0.5, 0.0, 0.5, 0.0]"
criticism,"['classroom', 'performance review', 'literary analysis', 'personal reflection']","['association', 'social constellation', 'other abstract concept', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
cruelty,"['sharp object', 'hostile environment', 'cold gaze', 'punishment system']","['sensorimotor feature', 'social constellation', 'sensorimotor feature', 'social constellation']","[0.5, 0.0, 0.5, 0.0]"
culture,"['festivals', 'art expressions', 'social customs', 'culinary traditions']","['association', 'association', 'social constellation', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
curiosity,"['telescope', 'crime scene', 'exotic food', 'unopened box']","['association', 'social constellation', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.25, 0.5]"
custom,"['tailor', 'ritual', 'adaptation', 'identity']","['sensorimotor feature', 'association', 'other abstract concept', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
danger,"['trembling hands', 'stormy horizon', 'broken glass', 'shadowed path']","['internal state and emotion', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
death,"['funeral', 'grief', 'afterlife', 'legacy']","['association', 'internal state and emotion', 'other abstract concept', 'association']","[0.0, 0.25, 0.0, 0.75]"
decision,"['crossroads', 'weighing pros', 'irreversible outcome', 'calculated gamble']","['association', 'internal state and emotion', 'other abstract concept', 'association']","[0.0, 0.25, 0.0, 0.75]"
demand,"['protest', 'negotiation', 'deadline', 'assertiveness']","['social constellation', 'social constellation', 'other abstract concept', 'internal state and emotion']","[0.0, 0.25, 0.5, 0.25]"
desire,"['flame', 'conflict', 'longing', 'pursuit']","['association', 'other abstract concept', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.0, 0.75]"
