word,rating
truth,1
legality,1
drug,6
stranger,5
band,5
hotel,7
material,6
lesson,1
victim,4
extent,2
burner,7
suggestion,1
dagger,7
site,5
consequence,1
thing,4
degree,2
unity,1
duty,1
combination,3
guess,1
tool,7
incentive,1
anger,2
manner,1
satisfaction,1
supply,4
bag,7
paragraph,5
neighborhood,6
trust,1
philosophy,1
route,5
father,5
wolf,7
vocabulary,1
incident,3
teacher,5
contract,5
factory,7
rabbit,7
reality,1
territory,5
chief,5
salary,3
outcome,1
past,1
assumption,1
institute,6
chicken,7
street,7
willingness,1
reinforcement,3
crocodile,7
diet,4
bet,1
entree,7
fog,6
rule,1
example,1
moment,1
uncle,5
deputy,5
cow,7
result,1
coincidence,1
thorn,7
fat,6
occasion,1
mile,2
advantage,1
rent,1
time,1
spirit,3
corporation,3
helmet,7
composer,5
distance,3
engagement,1
duel,4
gender,1
individual,4
specialist,4
mankind,1
sky,7
gesture,5
cliff,7
line,7
tree,7
promotion,1
donor,4
acquisition,1
leader,5
replacement,1
flask,7
obstruction,5
pest,6
confidence,1
episode,1
show,5
hurricane,6
eight,6
calendar,7
bank,6
meeting,3
necklace,7
opposition,1
miracle,1
peach,7
christmas,4
vision,5
tension,3
odor,1
inch,4
perception,1
appointment,1
cocktail,7
blade,7
truck,7
peacemaker,4
marriage,1
chair,7
cranberry,7
payment,3
belief,1
microscope,7
significance,1
speech,1
cause,1
loan,1
entrance,6
lock,7
tennis,5
bed,7
retention,1
skunk,7
silence,1
coffee,7
scholar,5
holiday,1
paradigm,1
river,7
limitation,1
volt,1
description,1
bird,7
diversity,1
salad,7
trumpet,7
child,6
march,4
stride,5
apology,1
boulder,7
fallacy,1
shortness,3
knowledge,1
kite,7
diamond,7
starch,6
hat,7
pimple,7
advice,1
costume,7
mileage,1
exception,1
mud,7
skin,7
brevity,1
blood,7
record,6
puppy,7
heap,7
lobster,7
robbery,3
spelling,3
stapler,7
fabric,7
vapor,5
poll,3
road,7
handkerchief,7
stick,7
hospital,7
job,1
grammar,1
radio,7
irrigation,5
genuine,1
location,3
personality,1
waste,4
darkness,6
island,7
guilt,1
pie,7
difference,1
mastery,1
bullet,7
insight,1
metaphor,1
lunch,7
faith,1
midnight,3
typewriter,7
bolt,7
wood,7
disappointment,1
ignition,4
quality,1
conclusion,1
ballot,6
bracelet,7
propeller,7
hierarchy,3
escape,2
definition,1
grasshopper,7
identity,1
skull,7
preference,1
temple,7
nose,7
interruption,1
item,5
mold,7
disagreement,1
zoo,6
cucumber,7
mother,5
crime,1
electricity,3
friendship,1
sight,4
sister,5
value,1
atrocity,1
ignorance,1
establishment,4
sow,7
charity,1
shame,1
woman,6
tradition,1
arc,7
refrigerator,7
sedative,6
safety,1
murder,2
fantasy,1
mustard,7
grandmother,5
liar,4
coupon,6
nation,3
animal,7
knife,7
reason,1
intention,1
honesty,1
uniform,7
protection,1
pool,7
addition,1
story,1
awareness,1
adventurer,5
fireplace,7
state,3
frog,7
performance,4
squeak,1
mansion,7
station,6
emergence,1
edge,6
division,1
issue,1
betrayal,1
linen,7
potato,7
grass,7
roof,7
kitten,7
punishment,1
bottle,7
sandal,7
number,5
irony,1
riddle,1
pretense,1
consideration,1
category,1
lisp,1
chance,1
queen,6
origin,1
brute,5
calculation,1
jerk,4
adversity,1
logic,1
majority,1
claim,1
selection,1
flavor,1
measure,4
ceiling,7
oven,7
apple,7
independence,1
affection,1
hurt,2
loafer,7
underworld,3
improvement,1
tip,4
method,1
view,6
name,1
translation,1
member,4
lake,7
macaroni,7
corpse,7
intelligence,1
alley,7
rainbow,7
love,1
beetle,7
ally,4
leopard,7
injury,5
uncertainty,1
justification,1
tendency,1
attitude,1
context,1
lemon,7
twig,7
aspect,1
door,7
menu,6
impairment,1
pond,7
water,6
capacity,1
self,1
figure,7
snow,7
moral,1
duck,7
cake,7
dentist,5
riot,4
risk,1
clothing,7
attempt,1
destiny,1
margin,5
brain,7
design,5
rhyme,1
exclusion,1
brawl,4
youth,3
prop,7
situation,1
peace,1
resort,6
explanation,1
effect,1
presence,1
gun,7
effort,1
disaster,3
park,6
horse,7
television,7
imagination,1
thought,1
sole,6
candy,7
unit,3
heart,7
damage,4
real,1
complication,1
comparison,1
germ,5
poetry,1
car,7
hope,1
tomato,7
writing,5
fight,4
arrangement,4
jewel,7
ditch,7
theory,1
debt,1
tide,5
stupidity,1
criticism,1
city,6
recital,4
mind,1
eyeball,7
lettuce,7
opportunity,1
corn,7
football,7
worry,1
beauty,1
phenomenon,1
talent,1
property,4
interior,5
revenge,1
convergence,3
appeal,1
impossibility,1
bandit,5
sugar,7
possibility,1
boundary,5
literature,3
landscape,7
announcement,1
shock,2
elephant,7
identification,4
kindness,1
permission,1
bridge,7
circumstance,1
clearance,3
steam,5
cognition,1
nerve,5
moonlight,6
mountain,7
skill,1
comprehension,1
robin,7
lizard,7
hazard,1
distraction,1
missile,7
food,7
instructor,5
professor,5
mosquito,7
attention,1
clean,3
physics,1
winter,4
master,5
information,1
misery,1
scent,1
second,1
medicine,6
construction,5
dozen,2
alligator,7
decision,1
snake,7
cup,7
owner,4
forest,7
mystery,1
regulation,1
dimension,3
circuit,6
responsibility,1
duration,1
play,4
volume,3
visitor,5
fate,1
suspect,5
competence,1
gorilla,7
magic,1
itch,1
prediction,1
contempt,1
leadership,1
reduction,1
importance,1
annoyance,1
parish,5
hog,7
curfew,1
group,4
baby,7
fear,1
lens,7
idea,1
suit,7
pile,7
accumulation,4
dynasty,1
camera,7
interaction,1
empty,3
stimulus,1
production,1
butter,7
object,7
integrity,1
drum,7
core,6
lily,7
latch,7
conference,4
shirt,7
ankle,7
girl,6
candidate,5
sneeze,2
autumn,4
season,1
sadness,1
variety,1
eagle,7
event,1
originality,1
photograph,7
fisherman,5
laundry,7
law,1
arrow,7
frustration,1
boredom,1
photo,7
grief,1
palace,7
heresy,1
industry,4
increase,1
weather,4
correspondent,5
chipmunk,7
danger,1
wallet,7
neck,7
wage,3
opinion,1
ability,1
chlorine,3
hatred,1
lion,7
accident,4
body,7
crown,7
wish,1
thief,5
orchid,7
fact,1
dilemma,1
length,3
wave,7
sofa,7
boy,6
tragedy,1
caterpillar,7
sword,7
alphabet,5
ceremony,4
lightning,7
assistance,1
disgust,1
pillow,7
ring,7
traveler,5
recognition,1
myth,1
foundation,4
economy,1
justice,1
freedom,1
beast,7
music,1
verse,4
regret,1
branch,7
border,6
standard,3
wisdom,1
drama,3
atom,4
synagogue,7
jacket,7
shark,7
relief,1
topic,1
instance,1
lamb,7
separation,1
conscience,1
student,5
specimen,6
art,5
banana,7
beaver,7
doctor,5
summer,4
distribution,1
artist,5
cowardice,1
determination,1
crisis,1
tallness,4
lamp,7
file,6
form,7
behavior,1
shape,7
evidence,4
ball,7
republic,1
opera,4
soul,1
amplitude,2
ambition,1
fountain,7
ambulance,7
admiration,1
weight,2
bell,7
window,7
principle,1
coffin,7
equality,1
raspberry,7
want,1
pig,7
hobby,1
policeman,6
assault,3
acre,4
tune,1
square,7
reputation,1
income,3
key,7
beverage,6
future,1
amount,1
toilet,7
fifteen,2
consistency,4
lane,7
towel,7
pigeon,7
occupation,1
ownership,1
magnitude,1
democracy,1
onion,7
opponent,5
purpose,1
development,1
benefactor,4
envy,1
laughter,3
church,7
newspaper,7
empire,1
math,1
cottage,7
brother,5
charter,5
necessity,1
expression,4
pawn,7
helplessness,1
produce,7
abundance,1
immortality,1
pill,7
tax,1
size,4
security,1
article,4
deceit,1
deduction,1
rebel,5
scene,6
mattress,7
memory,1
message,3
volcano,7
malice,1
saloon,7
accomplishment,1
spider,7
desk,7
inn,7
tongue,7
response,1
instinct,1
cat,7
sanctuary,5
money,7
character,4
dove,7
bedroom,6
segment,6
iron,7
bubble,7
boat,7
lip,7
denial,1
idiom,1
outfit,7
availability,1
three,2
pyramid,7
mercy,1
despair,1
nurse,6
infection,3
preparation,1
chocolate,7
month,1
reflex,2
error,1
proof,3
rocket,7
enemy,4
cloth,7
orchestra,5
witness,5
ocean,7
dad,5
psalm,3
puddle,7
proportion,4
requirement,1
butterfly,7
introduction,1
smell,1
anxiety,1
subtraction,1
temperature,1
shrimp,7
university,6
guide,5
