word,rating
scholar,3
deputy,5
produce,1
woman,1
scent,1
ambulance,3
doctor,4
obstruction,4
three,1
flavor,1
volcano,1
cow,1
ankle,1
clearance,4
nerve,1
helmet,4
chief,5
cake,1
manner,5
pill,1
robbery,7
marriage,5
spirit,3
speech,2
scene,1
math,2
freedom,5
atom,1
kindness,7
cat,1
ballot,4
abundance,1
incentive,5
guess,1
effort,3
pond,1
impairment,1
grass,1
belief,6
door,1
conclusion,1
photograph,1
photo,1
explanation,2
chocolate,1
candy,1
sword,2
presence,1
admiration,3
lobster,1
jerk,4
knife,2
crime,7
betrayal,7
microscope,1
bracelet,1
emergence,1
mansion,1
escape,3
heresy,7
stimulus,3
deduction,2
reduction,1
pig,1
sugar,1
lamb,1
loan,5
frog,1
lane,2
gorilla,1
flask,1
music,1
willingness,3
hurt,5
combination,1
lightning,1
foundation,2
confidence,2
contempt,5
contract,6
skin,1
magic,1
conscience,7
evidence,5
response,2
addition,1
ceiling,1
brawl,5
pimple,1
temple,5
saloon,1
integrity,7
suit,2
industry,2
fountain,1
occasion,1
file,1
comparison,1
border,4
sandal,1
future,1
money,4
accomplishment,2
composer,1
correspondent,1
month,1
pie,1
conference,2
burner,1
fog,1
disappointment,2
forest,1
linen,1
student,3
kitten,1
thorn,1
zoo,1
enemy,4
hurricane,1
route,2
fabric,1
boredom,1
ignorance,3
sow,1
character,6
cranberry,1
cup,1
episode,1
assistance,5
duration,1
squeak,1
paradigm,2
circuit,1
disagreement,3
hazard,4
arc,1
toilet,1
bottle,1
tool,1
snow,1
permission,6
awareness,3
heart,2
poetry,1
importance,2
pool,1
stick,1
beauty,1
subtraction,1
translation,1
pile,1
performance,2
hospital,2
criticism,4
apology,6
park,1
medicine,2
mile,1
inn,1
grandmother,3
circumstance,1
trust,6
engagement,4
location,1
lettuce,1
tradition,6
cloth,1
alphabet,2
diamond,1
moment,1
child,2
arrangement,2
island,1
variety,1
information,1
latch,1
chicken,1
artist,1
beaver,1
refrigerator,1
destiny,3
tip,4
grammar,4
hotel,1
brevity,1
shortness,1
capacity,1
worry,2
owner,4
view,1
denial,2
issue,1
personality,2
boy,1
entrance,1
orchid,1
radio,1
hatred,5
opera,1
steam,1
phenomenon,1
lizard,1
visitor,2
ambition,3
mankind,2
brother,2
crocodile,1
error,4
miracle,3
bell,2
germ,1
property,5
bet,3
hog,1
bed,1
deceit,7
member,3
intention,4
hope,2
specialist,1
attitude,3
poll,2
salary,3
fireplace,1
rocket,1
past,1
misery,2
thought,2
entree,1
want,2
skull,1
margin,1
ceremony,5
extent,1
potato,1
reputation,5
determination,3
increase,1
independence,4
genuine,4
story,1
rule,7
eyeball,1
landscape,1
factory,2
injury,3
dad,4
advantage,2
electricity,1
bedroom,1
gesture,2
bridge,1
fact,2
unity,3
lisp,1
coupon,1
stranger,2
dove,2
material,1
prop,1
event,1
result,2
handkerchief,1
institute,3
announcement,2
assault,7
helplessness,1
robin,1
grasshopper,1
justification,5
thing,1
duel,5
adventurer,1
mosquito,1
revenge,6
elephant,1
segment,1
suspect,5
degree,1
anxiety,2
record,2
reflex,1
dilemma,5
replacement,1
tree,1
clean,3
lock,3
stride,1
wish,1
apple,1
reality,1
self,3
consequence,6
form,1
laughter,1
opponent,2
lily,1
lunch,1
sedative,1
menu,1
benefactor,5
duty,7
drama,1
equality,6
trumpet,1
art,1
alligator,1
lake,1
idiom,1
vocabulary,1
instance,1
cucumber,1
chance,1
nose,1
charter,5
branch,1
interruption,3
logic,3
comprehension,1
boundary,5
camera,2
tomato,1
volt,1
nation,4
volume,1
waste,3
key,2
significance,1
hat,1
figure,1
football,2
fear,4
separation,1
measure,2
puddle,1
sight,1
philosophy,5
irony,1
charity,7
advice,4
beast,2
moonlight,1
appeal,3
instructor,4
paragraph,1
economy,2
traveler,1
disaster,1
butter,1
law,7
convergence,1
state,4
instinct,4
season,1
vapor,1
diversity,1
definition,2
lesson,4
spider,1
impossibility,1
window,1
cliff,1
mountain,1
disgust,4
onion,1
republic,3
chipmunk,1
pest,1
safety,5
skunk,1
shame,6
beetle,1
possibility,1
crown,3
retention,1
immortality,2
proportion,1
raspberry,1
beverage,1
metaphor,1
effect,2
weight,1
physics,1
curfew,7
teacher,5
salad,1
bullet,2
lemon,1
second,1
fisherman,1
uncertainty,2
shock,2
leadership,5
winter,1
ring,2
food,1
payment,4
recital,1
bag,1
sadness,1
behavior,7
lip,1
guilt,7
incident,1
annoyance,2
wood,1
mastery,2
victim,5
autumn,1
gender,2
leader,5
peacemaker,6
ownership,5
distance,1
cowardice,6
ally,4
jewel,1
truck,1
intelligence,2
palace,1
job,4
situation,1
summer,1
mileage,1
shrimp,1
parish,4
perception,1
ditch,1
fantasy,1
uncle,2
regret,5
bank,2
midnight,1
policeman,7
calculation,1
outfit,1
witness,5
verse,1
dentist,1
satisfaction,1
preference,1
originality,1
resort,1
fat,1
attention,2
writing,1
legality,7
size,1
smell,1
thief,7
heap,1
dagger,2
underworld,5
fifteen,1
mold,1
frustration,2
shirt,1
brain,1
expression,1
edge,1
ignition,1
name,1
darkness,1
message,1
square,1
site,1
snake,2
consideration,5
occupation,3
claim,3
pretense,4
silence,3
mystery,1
wallet,1
corn,1
caterpillar,1
calendar,2
opposition,3
chlorine,1
candidate,2
road,2
method,2
leopard,1
shark,1
neighborhood,2
cognition,1
promotion,2
holiday,2
necklace,1
tendency,2
lion,1
car,1
bandit,6
oven,1
atrocity,7
pyramid,1
interaction,2
talent,1
master,4
eight,1
clothing,2
duck,1
donor,4
protection,4
guide,4
peach,1
description,1
bubble,1
production,1
risk,3
university,3
tide,1
limitation,5
amplitude,1
principle,7
magnitude,1
bird,1
value,6
consistency,3
corpse,2
show,1
irrigation,1
jacket,1
church,6
truth,7
girl,1
wage,3
uniform,5
tragedy,2
selection,1
lamp,1
literature,1
development,1
temperature,1
drug,4
memory,1
riot,6
difference,1
knowledge,2
identification,3
affection,2
chair,1
boulder,1
typewriter,1
eagle,1
availability,1
acre,1
roof,1
competence,2
context,1
ocean,1
rent,4
twig,1
alley,1
exception,4
regulation,7
kite,1
fallacy,3
drum,1
group,2
outcome,2
baby,1
sole,1
distribution,1
responsibility,7
play,1
meeting,2
dynasty,2
prediction,1
preparation,2
debt,5
empty,1
professor,4
empire,3
relief,1
shape,1
youth,1
reinforcement,4
construction,1
security,4
blood,1
odor,1
towel,1
punishment,7
insight,2
arrow,1
tax,6
mother,5
appointment,4
diet,4
ball,1
tension,1
acquisition,1
identity,2
missile,1
individual,1
inch,1
territory,3
loafer,4
hobby,1
despair,1
cocktail,1
boat,1
sofa,1
decision,3
hierarchy,5
ability,1
river,1
wisdom,5
sanctuary,4
gun,3
recognition,2
item,1
banana,1
newspaper,1
lens,1
propeller,1
origin,1
mustard,1
malice,7
city,2
fate,2
grief,1
rebel,6
specimen,1
vision,1
myth,2
synagogue,5
nurse,3
accumulation,1
soul,5
peace,5
itch,1
democracy,4
animal,1
desk,1
purpose,3
tennis,2
tune,1
liar,7
coffin,1
mud,1
damage,3
division,1
accident,1
pawn,1
costume,1
weather,1
wave,1
street,1
bolt,1
fight,4
honesty,7
tongue,1
love,4
stupidity,2
spelling,3
psalm,4
line,2
corporation,3
body,1
blade,1
idea,1
pillow,1
theory,1
improvement,2
example,3
band,1
stapler,1
television,1
danger,3
cause,2
butterfly,1
coffee,1
aspect,1
topic,1
exclusion,3
opportunity,1
envy,6
establishment,4
sneeze,1
station,1
mind,2
justice,7
neck,1
rabbit,1
complication,1
christmas,2
dimension,1
wolf,1
core,1
cottage,1
supply,1
real,1
attempt,1
quality,1
suggestion,2
puppy,1
interior,1
anger,3
riddle,1
macaroni,1
pigeon,1
proof,3
introduction,1
starch,1
rainbow,1
imagination,1
water,1
