word,rating
truth,7
legality,6
drug,1
stranger,3
band,2
hotel,1
material,2
lesson,5
victim,4
extent,4
burner,1
suggestion,6
dagger,1
site,2
consequence,6
thing,1
degree,4
unity,5
duty,6
combination,4
guess,7
tool,2
incentive,6
anger,4
manner,4
satisfaction,4
supply,3
bag,1
paragraph,4
neighborhood,2
trust,6
philosophy,7
route,2
father,2
wolf,1
vocabulary,6
incident,3
teacher,3
contract,6
factory,1
rabbit,1
reality,7
territory,2
chief,2
salary,3
outcome,5
past,5
assumption,7
institute,3
chicken,1
street,1
willingness,6
reinforcement,4
crocodile,1
diet,3
bet,5
entree,1
fog,1
rule,6
example,5
moment,3
uncle,1
deputy,2
cow,1
result,5
coincidence,5
thorn,1
fat,1
occasion,3
mile,2
advantage,6
rent,2
time,5
spirit,5
corporation,3
helmet,1
composer,3
distance,2
engagement,4
duel,2
gender,5
individual,4
specialist,3
mankind,5
sky,1
gesture,3
cliff,1
line,2
tree,1
promotion,4
donor,2
acquisition,4
leader,4
replacement,3
flask,1
obstruction,3
pest,3
confidence,6
episode,3
show,2
hurricane,1
eight,3
calendar,2
bank,1
meeting,4
necklace,1
opposition,6
miracle,5
peach,1
christmas,3
vision,5
tension,4
odor,1
inch,2
perception,7
appointment,4
cocktail,1
blade,1
truck,1
peacemaker,4
marriage,5
chair,1
cranberry,1
payment,3
belief,7
microscope,1
significance,7
speech,5
cause,6
loan,3
entrance,1
lock,1
tennis,1
bed,1
retention,4
skunk,1
silence,3
coffee,1
scholar,5
holiday,3
paradigm,7
river,1
limitation,5
volt,2
description,6
bird,1
diversity,5
salad,1
trumpet,1
child,1
march,2
stride,1
apology,5
boulder,1
fallacy,7
shortness,3
knowledge,7
kite,1
diamond,1
starch,1
hat,1
pimple,1
advice,6
costume,1
mileage,2
exception,5
mud,1
skin,1
brevity,5
blood,1
record,3
puppy,1
heap,1
lobster,1
robbery,3
spelling,4
stapler,1
fabric,1
vapor,1
poll,5
road,1
handkerchief,1
stick,1
hospital,1
job,3
grammar,6
radio,1
irrigation,2
genuine,6
location,2
personality,5
waste,3
darkness,2
island,1
guilt,6
pie,1
difference,5
